ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
243	0	2	0,2	0,4	197	149	1	1.0
578	2	0	0,0	0,2	152	149	1	1.0
643	0	1	0,2	0,2	152	149	1	1.0
644	2	0	0,0	9,0	152	149	1	1.0
933	10	0	0,4	4,2	153	149	7.58087591283e-05	0.0015667143553182003
1095	2	2	0,0	0,2	433	149	1	1.0
2288	0	4	0,2	2,0	681	149	0.368450811073	0.95390630737825
2289	0	4	0,2	2,0	684	149	0.369254054469	0.95390630737825
2401	0	2	6,0	0,2	395	149	0.0271481740375	0.14026556586041666
2402	4	2	6,0	0,2	642	149	0.526198012145	1.0
2633	0	14	6,0	0,4	753	149	0.0658835142933	0.27231852574564
2680	2	4	0,0	10,12	426	149	0.110277444334	0.40218832639458824
2881	2	0	0,2	4,0	152	149	0.00916340676941	0.056813121970341995
2882	2	0	6,0	3,6	185	149	0.000192342821412	0.002981313731886
2918	2	2	0,0	0,2	167	149	1	1.0
3174	164	4	12,169	0,0	183	149	0.258743037215	0.763908014634762
3193	4	4	4,0	0,2	1105	149	0.800054641838	1.0
3226	0	4	0,2	2,0	208	149	0.169331980904	0.5249291408023999
3296	2	4	0,4	0,2	164	149	1	1.0
3297	10	0	2,6	0,2	332	149	0.566982239646	1.0
3318	2	0	0,8	4,0	158	149	0.0121410319433	0.06843127095314545
3384	2	0	0,0	0,2	240	149	1	1.0
3473	0	2	2,0	0,0	1104	149	1	1.0
3634	4	0	0,6	0,2	218	149	1	1.0
4203	2	2	2,6	0,0	186	149	0.00103725013303	0.012861901649571999
4376	1	0	0,0	2,0	300	149	1	1.0
4423	2	0	0,8	4,0	519	149	0.00263589835597	0.02377276606703143
4424	4	0	12,12	4,0	1267	149	0.00731216598097	0.050372698980015555
4432	4	0	0,0	0,2	152	149	1	1.0
4485	2	0	0,2	0,1	152	149	1	1.0
4601	2	0	0,0	2,0	329	149	1	1.0
4744	0	2	0,2	0,2	193	149	1	1.0
4745	0	2	2,0	0,0	152	149	1	1.0
5195	0	4	0,3	0,2	184	149	1	1.0
5379	0	2	0,2	0,0	171	149	1	1.0
6818	2	0	0,0	2,2	1452	149	2.62052606848e-05	0.0008123630812288
7065	2	0	0,0	2,0	333	149	1	1.0
7125	2	2	0,2	0,4	152	149	1	1.0
7544	53	0	18,4	0,2	537	149	0.316314127247	0.8914307222415453
7793	0	2	8,0	0,0	308	149	1	1.0
8043	104	2	12,12	0,0	205	149	0.562480153655	1.0
8044	38	2	8,2	0,0	421	149	0.117140064782	0.4034824453602222
8127	0	2	0,2	6,8	174	149	0.799641442748	1.0
8168	26	4	6,22	0,0	1405	149	3.67777197707e-06	0.00022802186257834002
8176	4	2	8,18	2,0	185	149	0.0446576897282	0.19776976879631428
8190	2	0	0,2	0,4	179	149	1	1.0
8194	6	2	0,0	0,2	517	149	1	1.0
8878	8	0	4,6	3,0	153	149	0.0927252509648	0.3593103474886
10007	2	0	0,0	0,6	172	149	1	1.0
10021	10	2	4,12	0,0	434	149	0.00364921377943	0.028281406790582497
10022	27	2	8,14	0,0	509	149	0.0355934530236	0.1697533913433231
10023	17	0	4,12	0,10	224	149	0.00268402197531	0.02377276606703143
10374	0	2	0,2	0,0	161	149	1	1.0
10390	14	2	14,6	0,0	161	149	0.153789420647	0.5018391621112631
10391	0	2	4,0	0,0	177	149	1	1.0
10457	8	18	0,8	6,4	2914	149	0.668378177351	1.0
10593	0	2	4,0	0,0	200	149	1	1.0
10672	8	2	0,4	0,0	311	149	1	1.0
10674	0	3	0,2	10,4	232	149	0.810143424083	1.0
10700	1	0	0,0	4,0	257	149	1	1.0
10716	2	0	0,0	2,0	152	149	1	1.0
10724	0	2	0,2	0,0	155	149	1	1.0
