ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	0	2	0,4	0,2	254	149	1	1.0	0.0	NA,0.54	-0.54
430	2	0	0,0	0,2	247	149	1	1.0	1.0	NA,0.0	1.0
431	2	0	0,0	0,2	442	149	1	1.0	1.0	NA,0.0	1.0
536	0	2	0,2	0,0	230	149	1	1.0	0.0	NA,1.0	-1.0
570	2	10	0,0	16,22	250	149	0.18587728352	0.5661305511929999	0.107	0.0,0.0	0.107
839	2	0	0,4	0,2	206	149	1	1.0	1.0	NA,0.591	0.409
990	2	12	0,0	0,16	305	149	1	1.0	0.075	NA,0.0	0.075
1169	0	4	2,0	0,0	724	149	1	1.0	0.0	1.0,NA	-1.0
1403	1	0	0,0	2,0	634	149	1	1.0	1.0	0.0,NA	1.0
1448	0	4	0,4	0,0	2544	149	1	1.0	0.0	NA,1.0	-1.0
1702	0	14	2,0	0,4	438	149	0.291362478064	0.7820782305928421	0.0	1.0,0.0	-0.5
1879	0	2	2,0	6,14	296	149	0.86468661829	1.0	0.0	0.144,0.0	-0.072
2031	4	0	2,0	0,2	203	149	0.0637324669621	0.33751937896094997	1.0	1.0,0.0	0.5
2270	4	6	0,0	6,14	166	149	0.000104126593549	0.001770152090333	0.374	0.0,0.0	0.374
2462	2	44	0,0	12,8	174	149	0.785159072656	1.0	0.037	0.0,0.0	0.037
2465	4	0	0,6	2,0	211	149	0.0661802703845	0.33751937896094997	1.0	0.0,1.0	0.5
2576	2	0	0,0	2,0	321	149	1	1.0	1.0	0.0,NA	1.0
2831	4	4	8,4	11,8	167	149	0.479098244678	1.0	0.472	0.394,0.308	0.121
2982	0	6	2,4	32,6	1708	149	0.713123107306	1.0	0.0	0.005,0.055	-0.03
3025	2	4	0,4	0,0	1230	149	1	1.0	0.057	NA,1.0	-0.943
3425	4	2	4,4	0,0	152	149	0.0127014345665	0.10796219381525	0.662	1.0,1.0	-0.338
3427	0	2	2,0	0,0	269	149	1	1.0	0.0	1.0,NA	-1.0
3770	0	4	8,4	0,0	1492	149	3.11995984603e-11	1.5911795214753e-09	0.0	1.0,1.0	-1.0
3782	0	16	2,0	18,26	176	149	0.591857882843	1.0	0.0	0.086,0.0	-0.043
3797	6	2	0,2	6,0	1681	149	0.188710183731	0.5661305511929999	0.21	0.0,1.0	-0.29
3966	0	4	8,0	4,6	932	149	0.021434069848	0.1447406288562	0.0	0.242,0.0	-0.121
3977	2	6	0,0	4,14	407	149	0.259704488436	0.7358293839020001	0.109	0.0,0.0	0.109
4095	0	2	4,0	0,0	207	149	1	1.0	0.0	1.0,NA	-1.0
4302	0	2	0,2	0,0	156	149	1	1.0	0.0	NA,1.0	-1.0
4307	2	4	0,0	0,8	157	149	1	1.0	0.322	NA,0.0	0.322
4660	2	0	2,2	2,0	217	149	0.376886395374	0.9610603082036999	1.0	0.407,1.0	0.296
4825	0	2	0,2	0,0	248	149	1	1.0	0.0	NA,1.0	-1.0
4854	4	0	6,6	0,2	1168	149	0.156452302704	0.5319378291936	1.0	1.0,0.277	0.361
5306	4	0	4,20	0,2	202	149	0.483842216967	1.0	1.0	1.0,0.881	0.059
5316	4	0	0,0	0,4	167	149	1	1.0	1.0	NA,0.0	1.0
5361	0	2	4,2	1,0	396	149	6.95254229677e-06	0.00017728982856763498	0.0	0.601,1.0	-0.8
5503	0	1	0,2	0,0	268	149	1	1.0	0.0	NA,1.0	-1.0
5518	0	2	0,2	3,0	188	149	0.153226414077	0.5319378291936	0.0	0.0,1.0	-0.5
5930	0	2	0,2	2,0	159	149	0.126150677208	0.5319378291936	0.0	0.0,1.0	-0.5
5991	0	16	0,2	0,8	276	149	1	1.0	0.0	NA,0.119	-0.119
6235	0	6	0,6	0,2	153	149	1	1.0	0.0	NA,0.745	-0.745
6236	2	6	4,2	0,2	298	149	0.0227044123696	0.1447406288562	0.143	1.0,0.333	-0.523
6237	2	0	4,2	0,6	294	149	0.00830646301836	0.08472592278727199	1.0	1.0,0.145	0.427
6353	1	0	2,4	2,4	440	149	0.00109065531377	0.0139058552505675	1.0	0.253,0.253	0.747
6418	2	0	2,4	2,0	537	149	0.134849676056	0.5319378291936	1.0	0.217,1.0	0.391
6768	2	0	0,4	0,2	153	149	1	1.0	1.0	NA,0.661	0.339
7072	0	2	0,2	0,2	164	149	1	1.0	0.0	NA,0.476	-0.476
7098	0	4	2,0	0,2	191	149	0.155530253256	0.5319378291936	0.0	1.0,0.0	-0.5
7170	0	6	2,0	2,6	403	149	0.804220801691	1.0	0.0	0.27,0.0	-0.135
7221	2	4	0,2	0,0	154	149	1	1.0	0.326	NA,1.0	-0.674
7243	4	2	0,8	0,2	202	149	1	1.0	0.596	NA,0.747	-0.151
