IncLevel1	IncLevel2	IncLevelDifference
0.399	0.0,0.57	0.114
1.0	0.459,0.0	0.77
0.471	0.0,0.379	0.281
0.325	NA,1.0	-0.675
0.296	NA,1.0	-0.704
0.394	0.722,1.0	-0.467
0.799	0.0,1.0	0.299
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
1.0	0.367,0.0	0.817
0.0	0.654,0.654	-0.654
1.0	0.0,1.0	0.5
0.0	NA,0.497	-0.497
0.0	0.211,0.05	-0.131
1.0	0.932,0.773	0.147
1.0	NA,0.0	1.0
0.28	1.0,0.341	-0.39
0.725	0.0,0.0	0.725
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
0.539	0.577,0.676	-0.088
0.561	NA,0.338	0.223
1.0	0.0,NA	1.0
0.794	0.0,1.0	0.294
1.0	NA,0.0	1.0
1.0	1.0,0.789	0.105
0.0	1.0,NA	-1.0
0.0	1.0,1.0	-1.0
0.0	0.0,1.0	-0.5
0.0	0.0,1.0	-0.5
1.0	1.0,0.0	0.5
0.0	1.0,NA	-1.0
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
1.0	0.0,0.0	1.0
1.0	1.0,0.6	0.2
0.0	1.0,NA	-1.0
1.0	0.0,1.0	0.5
0.0	NA,1.0	-1.0
1.0	0.0,0.0	1.0
0.0	0.657,0.742	-0.7
0.0	0.663,0.747	-0.705
0.18	0.0,0.0	0.18
1.0	NA,0.0	1.0
0.547	0.547,0.377	0.085
0.314	NA,1.0	-0.686
1.0	0.77,1.0	0.115
0.335	0.791,0.0	-0.06
0.0	0.616,0.762	-0.689
0.241	0.0,0.0	0.241
0.187	0.0,0.648	-0.137
1.0	NA,0.0	1.0
0.609	0.531,0.404	0.141
0.483	1.0,0.483	-0.259
