IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	8	0,2	4,2	245	325
2	0	2,0	2,2	327	277
10	12	0,4	4,7	254	271
2	4	0,4	0,0	305	294
2	4	0,4	0,0	209	176
2	2	8,2	2,0	317	206
4	1	0,4	2,0	334	332
0	1	2,0	0,0	230	275
0	2	2,0	0,0	184	199
0	2	2,0	0,0	232	199
6	0	2,0	4,4	248	288
0	2	2,2	4,4	212	803
2	0	0,2	2,0	249	240
0	4	0,2	0,2	289	286
0	4	4,2	26,66	3110	5411
4	0	32,8	2,2	287	245
2	0	0,0	0,2	199	242
4	4	6,8	0,6	641	249
4	2	0,0	2,4	223	294
2	0	0,0	0,2	441	371
2	0	0,0	0,2	266	204
2	0	0,0	0,4	266	259
2	0	0,0	0,4	266	317
12	8	14,16	8,6	315	246
4	4	0,2	0,5	262	335
4	0	0,0	4,0	296	302
27	8	0,2	4,0	275	314
2	0	0,0	0,2	293	376
2	0	6,9	0,2	230	191
0	2	4,0	0,0	299	269
0	2	2,6	0,0	305	293
0	4	0,2	2,0	262	277
0	4	0,2	2,0	299	277
2	0	2,0	0,2	277	211
0	2	2,0	0,0	246	329
2	0	0,0	0,2	245	173
2	0	0,0	0,2	212	227
2	0	0,0	2,2	194	300
2	0	2,6	0,4	246	246
0	2	4,0	0,0	411	610
8	0	0,2	2,0	343	343
0	2	0,2	0,0	253	289
6	0	0,0	10,2	285	235
0	4	4,6	2,2	240	230
0	4	4,6	2,2	240	236
2	16	0,0	2,12	182	319
2	0	0,0	0,2	246	310
4	4	8,4	8,8	267	323
4	8	0,2	0,0	326	299
4	0	8,2	2,0	377	315
4	10	12,0	4,2	299	377
0	2	1,2	2,2	227	727
2	12	0,0	12,6	177	337
2	12	0,8	12,6	244	337
6	0	0,0	0,2	219	210
22	16	6,6	6,10	296	335
2	2	2,4	0,4	223	208
