IncLevel1	IncLevel2	IncLevelDifference
0.0	0.0,0.035	-0.018
0.0	0.0,0.084	-0.042
0.0	0.0,0.234	-0.117
0.07	0.036,0.0	0.052
0.251	1.0,1.0	-0.749
0.0	NA,0.28	-0.28
0.0	1.0,0.0	-0.5
0.0	0.0,0.11	-0.055
0.0	1.0,0.0	-0.5
0.027	1.0,0.027	-0.486
0.076	NA,1.0	-0.924
1.0	NA,0.0	1.0
0.059	0.0,0.0	0.059
0.0	NA,1.0	-1.0
0.0	0.087,0.0	-0.043
0.0	0.266,0.0	-0.133
0.0	NA,1.0	-1.0
0.0	0.395,0.0	-0.198
0.0	NA,1.0	-1.0
0.206	NA,0.0	0.206
0.0	0.0,0.07	-0.035
0.0	1.0,0.053	-0.526
0.0	0.0,1.0	-0.5
0.0	1.0,1.0	-1.0
0.203	NA,0.0	0.203
0.0	1.0,0.0	-0.5
0.0	1.0,0.0	-0.5
0.094	0.0,0.0	0.094
0.0	0.0,0.03	-0.015
0.0	0.075,0.139	-0.107
1.0	0.0,NA	1.0
0.0	0.368,0.0	-0.184
0.01	0.0,0.0	0.01
0.0	0.0,0.059	-0.029
0.007	0.0,0.008	0.003
0.874	1.0,1.0	-0.126
0.0	0.0,0.008	-0.004
0.141	1.0,0.098	-0.408
0.0	0.0,0.285	-0.142
1.0	NA,0.0	1.0
0.0	0.097,0.0	-0.049
0.0	1.0,NA	-1.0
0.201	NA,0.0	0.201
0.347	NA,0.0	0.347
0.043	1.0,0.078	-0.496
0.106	NA,0.262	-0.156
0.0	1.0,1.0	-1.0
0.0	NA,0.11	-0.11
0.0	NA,1.0	-1.0
0.089	0.0,0.062	0.058
0.0	1.0,0.0	-0.5
1.0	0.0,NA	1.0
1.0	0.041,0.0	0.98
0.0	0.0,0.047	-0.024
0.063	NA,0.0	0.063
0.161	0.0,0.224	0.049
0.0	0.0,0.207	-0.103
0.0	0.064,0.0	-0.032
0.0	0.069,0.0	-0.035
1.0	0.372,1.0	0.314
0.0	0.214,NA	-0.214
0.0	0.039,NA	-0.039
0.0	0.282,0.0	-0.141
0.0	NA,1.0	-1.0
0.0	0.0,0.024	-0.012
0.0	0.068,0.0	-0.034
0.647	0.0,NA	0.647
1.0	0.0,NA	1.0
1.0	0.0,NA	1.0
0.0	1.0,NA	-1.0
0.281	0.115,0.248	0.1
0.0	0.0,0.068	-0.034
0.0	0.372,0.228	-0.3
0.0	1.0,NA	-1.0
1.0	0.0,NA	1.0
0.077	0.0,0.0	0.077
1.0	0.0,NA	1.0
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
1.0	0.0,0.0	1.0
1.0	0.0,0.152	0.924
0.0	0.056,0.0	-0.028
0.0	0.037,0.015	-0.026
0.231	0.048,1.0	-0.293
0.0	0.007,0.0	-0.004
1.0	1.0,0.689	0.155
0.0	1.0,NA	-1.0
0.094	NA,0.0	0.094
0.0	0.0,0.119	-0.059
0.097	0.126,0.058	0.005
0.0	0.0,0.055	-0.028
0.0	1.0,NA	-1.0
0.0	NA,0.01	-0.01
0.0	0.148,1.0	-0.574
0.0	0.219,NA	-0.219
0.0	1.0,0.382	-0.691
0.0	0.148,0.0	-0.074
0.0	1.0,0.0	-0.5
0.059	0.159,0.0	-0.021
0.0	0.104,0.0	-0.052
1.0	0.0,0.0	1.0
0.114	NA,0.0	0.114
1.0	1.0,0.04	0.48
0.0	0.0,0.046	-0.023
1.0	0.0,NA	1.0
1.0	1.0,0.0	0.5
0.0	0.049,0.0	-0.025
0.0	0.229,NA	-0.229
0.0	NA,1.0	-1.0
0.0	NA,1.0	-1.0
0.163	NA,0.0	0.163
0.196	0.0,0.0	0.196
0.266	0.266,0.0	0.133
0.0	1.0,NA	-1.0
0.118	0.118,NA	0.0
0.0	1.0,0.0	-0.5
0.07	0.108,0.083	-0.025
0.0	NA,1.0	-1.0
0.0	1.0,0.0	-0.5
0.0	1.0,0.0	-0.5
1.0	0.195,NA	0.805
0.0	0.0,0.303	-0.151
0.092	0.185,NA	-0.093
0.117	0.262,0.1	-0.064
0.123	1.0,NA	-0.877
0.12	NA,1.0	-0.88
0.194	NA,0.0	0.194
0.027	0.431,0.0	-0.189
0.0	0.26,0.0	-0.13
0.181	0.228,0.0	0.067
1.0	NA,0.0	1.0
0.0	0.576,NA	-0.576
0.0	1.0,NA	-1.0
0.587	1.0,0.608	-0.217
0.0	NA,1.0	-1.0
0.0	1.0,NA	-1.0
0.0	0.0,0.264	-0.132
0.264	0.349,0.264	-0.042
0.072	0.0,0.0	0.072
0.0	1.0,NA	-1.0
0.04	NA,0.0	0.04
0.0	NA,1.0	-1.0
0.017	NA,0.05	-0.033
0.0	0.0,0.054	-0.027
0.0	0.041,NA	-0.041
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
0.0	NA,0.037	-0.037
1.0	NA,0.0	1.0
0.045	0.0,0.0	0.045
0.03	0.0,0.0	0.03
0.0	NA,0.146	-0.146
0.079	0.204,0.277	-0.161
0.0	0.117,NA	-0.117
0.0	0.072,NA	-0.072
0.093	0.0,0.093	0.046
0.012	0.047,0.0	-0.011
1.0	NA,0.0	1.0
1.0	1.0,0.0	0.5
0.129	NA,1.0	-0.871
0.0	NA,0.161	-0.161
0.0	0.139,0.0	-0.07
0.0	NA,1.0	-1.0
0.006	0.0,0.0	0.006
0.0	0.0,0.051	-0.025
1.0	0.0,NA	1.0
1.0	1.0,0.0	0.5
0.0	1.0,NA	-1.0
0.0	NA,0.163	-0.163
0.0	0.208,0.0	-0.104
0.009	0.049,0.0	-0.016
0.147	1.0,NA	-0.853
0.0	0.0,0.043	-0.021
0.0	0.059,0.0	-0.029
1.0	0.267,1.0	0.367
