IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2	0,2	4,6	1385	149
0	6	0,2	4,10	324	149
0	8	0,2	4,4	244	149
2	2	2,0	4,2	1994	149
2	2	4,4	0,0	444	149
0	2	0,2	0,2	384	149
0	2	2,0	0,8	1747	149
0	2	0,2	4,6	400	149
0	4	2,0	0,8	246	149
4	4	4,2	0,2	5288	149
2	2	0,5	0,0	1816	149
2	0	0,0	0,2	503	149
2	10	0,0	16,22	479	149
0	2	0,2	0,0	632	149
0	28	8,0	18,29	698	149
0	4	2,0	2,16	411	149
0	2	0,2	0,0	911	149
0	10	4,0	2,22	457	149
0	4	0,2	0,0	245	149
2	4	0,0	0,4	287	149
0	2	0,2	2,2	1970	149
0	2	2,5	0,4	3343	149
0	4	0,2	2,0	1014	149
0	4	2,4	0,0	2668	149
2	2	0,0	0,6	584	149
0	2	2,0	0,2	262	149
0	14	8,0	0,4	919	149
2	4	0,0	10,12	715	149
0	4	0,2	4,14	683	149
0	6	2,4	2,2	1842	149
2	0	0,0	2,0	1046	149
0	4	4,0	2,2	512	149
6	41	0,0	4,6	2271	149
0	4	0,2	12,8	589	149
2	91	0,2	24,83	452	149
69	4	8,61	0,0	372	149
0	95	0,2	4,110	338	149
6	4	8,2	0,2	1364	149
0	6	0,2	2,3	249	149
2	0	0,0	0,4	2308	149
0	6	2,0	8,4	347	149
0	50	4,0	0,0	237	149
2	4	0,0	0,2	296	149
2	2	0,0	0,4	281	149
4	30	2,2	0,8	441	149
2	6	0,2	0,2	419	149
0	2	2,2	0,0	1311	149
0	2	0,2	0,2	1211	149
0	2	0,2	0,0	1335	149
59	40	0,8	6,8	2254	149
0	2	4,0	0,2	369	149
2	0	0,0	2,0	632	149
4	0	4,0	2,2	6889	149
0	28	0,2	12,26	232	149
2	6	0,0	0,2	744	149
2	6	0,2	8,4	258	149
0	22	0,6	10,10	343	149
0	4	3,0	11,8	591	149
0	4	2,0	7,4	573	149
4	0	22,12	4,0	1385	149
0	2	4,0	6,0	364	149
0	4	2,0	14,0	525	149
0	5	2,0	2,4	380	149
0	2	0,2	0,0	228	149
0	2	0,2	4,8	1516	149
0	8	2,0	12,16	340	149
6	2	0,0	2,0	244	149
2	0	0,0	2,0	912	149
2	0	0,0	2,0	267	149
0	2	4,0	0,0	1355	149
81	24	46,57	41,20	1289	149
0	18	0,2	4,10	407	149
0	2	4,6	2,6	504	149
0	2	2,0	0,0	641	149
2	0	0,0	2,0	4259	149
2	10	0,0	4,2	355	149
2	0	0,0	2,0	418	149
0	2	2,0	0,0	367	149
0	4	2,0	0,0	426	149
2	0	0,0	2,1	961	149
2	0	0,4	2,2	1657	149
0	16	2,0	18,26	278	149
0	20	4,4	20,52	776	149
8	2	4,2	6,0	1988	149
0	39	2,0	110,83	405	149
4	0	4,14	0,4	235	149
0	2	2,0	0,0	1090	149
2	1	0,0	0,4	2865	149
0	8	0,2	2,2	1098	149
4	8	4,4	6,14	690	149
0	6	0,6	2,8	1912	149
0	2	2,0	0,0	2043	149
0	2	0,2	0,4	7184	149
0	6	2,2	6,0	286	149
0	2	6,0	4,0	799	149
0	6	8,2	0,2	241	149
0	2	2,0	4,4	430	149
0	4	2,0	0,8	238	149
2	6	2,0	2,6	787	149
0	2	2,0	6,4	430	149
2	0	0,0	2,2	2445	149
4	2	0,0	0,2	2319	149
2	0	2,2	0,2	3590	149
0	4	0,2	6,8	775	149
2	0	0,0	4,0	296	149
2	0	4,0	0,2	285	149
0	34	4,0	8,14	1458	149
0	4	2,0	2,0	501	149
0	2	0,2	0,0	256	149
0	2	0,4	0,0	613	149
2	4	0,0	0,6	383	149
2	4	0,0	2,1	305	149
4	2	4,0	2,2	822	149
0	2	4,0	0,0	297	149
2	5	4,0	10,0	446	149
0	4	2,0	0,2	743	149
10	16	4,9	4,12	1231	149
0	2	0,4	0,0	626	149
0	4	2,0	0,2	480	149
0	2	2,0	0,3	567	149
18	0	4,0	2,0	1234	149
0	5	0,2	2,1	684	149
8	6	6,0	2,0	1972	149
6	2	16,10	2,4	3366	149
4	2	12,0	0,0	2122	149
4	6	0,2	0,0	729	149
2	2	0,0	0,2	620	149
2	18	6,0	2,10	590	149
0	12	4,0	6,16	283	149
2	2	4,0	3,2	673	149
2	0	0,0	0,2	342	149
0	6	2,0	1,0	219	149
0	4	2,0	0,0	481	149
22	4	18,12	0,2	576	149
0	2	0,2	0,0	829	149
0	2	2,0	0,0	679	149
0	6	0,2	2,2	415	149
8	8	6,2	4,2	416	149
2	16	0,0	2,10	241	149
0	2	2,0	0,0	448	149
2	16	0,0	0,6	442	149
0	1	0,2	0,0	841	149
2	6	0,2	0,2	2837	149
0	18	0,4	12,8	1293	149
0	2	2,0	4,0	1764	149
0	2	2,0	0,0	238	149
0	2	4,0	0,0	3050	149
0	2	0,2	0,2	3869	149
