ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
161	0	2	0,2	4,6	1385	149	0.930092561765
207	0	6	0,2	4,10	324	149	0.379858513468
251	0	8	0,2	4,4	244	149	0.749704405429
252	2	2	2,0	4,2	1994	149	0.267136259151
359	2	2	4,4	0,0	444	149	0.000115385520706
431	0	2	0,2	0,2	384	149	1
438	0	2	2,0	0,8	1747	149	0.547910382793
465	0	2	0,2	4,6	400	149	0.55200000517
514	0	4	2,0	0,8	246	149	0.196219748979
620	4	4	4,2	0,2	5288	149	0.91284550616
662	2	2	0,5	0,0	1816	149	1
672	2	0	0,0	0,2	503	149	1
691	2	10	0,0	16,22	479	149	0.571369300967
729	0	2	0,2	0,0	632	149	1
914	0	28	8,0	18,29	698	149	0.0653961304506
1125	0	4	2,0	2,16	411	149	0.81755008823
1162	0	2	0,2	0,0	911	149	1
1214	0	10	4,0	2,22	457	149	0.136158396595
1319	0	4	0,2	0,0	245	149	1
1320	2	4	0,0	0,4	287	149	1
1512	0	2	0,2	2,2	1970	149	0.49491574639
1520	0	2	2,5	0,4	3343	149	0.276249708968
1721	0	4	0,2	2,0	1014	149	0.437620216596
1728	0	4	2,4	0,0	2668	149	7.99615929026e-12
1780	2	2	0,0	0,6	584	149	1
1996	0	2	2,0	0,2	262	149	0.206680982573
2003	0	14	8,0	0,4	919	149	0.0538327981124
2025	2	4	0,0	10,12	715	149	0.380478599021
2029	0	4	0,2	4,14	683	149	0.576076110489
2191	0	6	2,4	2,2	1842	149	0.0272802243853
2272	2	0	0,0	2,0	1046	149	1
2285	0	4	4,0	2,2	512	149	0.0472860149154
2354	6	41	0,0	4,6	2271	149	1
2359	0	4	0,2	12,8	589	149	0.528710821151
2361	2	91	0,2	24,83	452	149	1
2363	69	4	8,61	0,0	372	149	0.00364389073474
2364	0	95	0,2	4,110	338	149	1
2375	6	4	8,2	0,2	1364	149	0.510243861233
2404	0	6	0,2	2,3	249	149	0.673388052855
2415	2	0	0,0	0,4	2308	149	1
2418	0	6	2,0	8,4	347	149	0.455848197591
2469	0	50	4,0	0,0	237	149	1
2470	2	4	0,0	0,2	296	149	1
2471	2	2	0,0	0,4	281	149	1
2482	4	30	2,2	0,8	441	149	0.351308521146
2484	2	6	0,2	0,2	419	149	1
2512	0	2	2,2	0,0	1311	149	2.73143193619e-08
2599	0	2	0,2	0,2	1211	149	1
2667	0	2	0,2	0,0	1335	149	1
2670	59	40	0,8	6,8	2254	149	0.00976302343285
2684	0	2	4,0	0,2	369	149	0.0552615462262
2709	2	0	0,0	2,0	632	149	1
2808	4	0	4,0	2,2	6889	149	0.000117882345998
2875	0	28	0,2	12,26	232	149	0.350916254729
2905	2	6	0,0	0,2	744	149	1
3013	2	6	0,2	8,4	258	149	0.181191118013
3224	0	22	0,6	10,10	343	149	0.00998438856053
3264	0	4	3,0	11,8	591	149	0.648113418444
3265	0	4	2,0	7,4	573	149	0.334130617165
3274	4	0	22,12	4,0	1385	149	0.00627038568664
3278	0	2	4,0	6,0	364	149	1
3279	0	4	2,0	14,0	525	149	1
3280	0	5	2,0	2,4	380	149	0.777670187138
3431	0	2	0,2	0,0	228	149	1
3461	0	2	0,2	4,8	1516	149	1
3464	0	8	2,0	12,16	340	149	0.461345520288
3493	6	2	0,0	2,0	244	149	1
3512	2	0	0,0	2,0	912	149	1
3523	2	0	0,0	2,0	267	149	1
3556	0	2	4,0	0,0	1355	149	1
3586	81	24	46,57	41,20	1289	149	0.0395073973515
3616	0	18	0,2	4,10	407	149	0.295313155609
3617	0	2	4,6	2,6	504	149	0.00468322856628
3696	0	2	2,0	0,0	641	149	1
3709	2	0	0,0	2,0	4259	149	1
3892	2	10	0,0	4,2	355	149	0.384701545517
3908	2	0	0,0	2,0	418	149	1
3969	0	2	2,0	0,0	367	149	1
