ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
15	0	2	0,4	0,2	254	149	1	1.0
430	2	0	0,0	0,2	247	149	1	1.0
431	2	0	0,0	0,2	298	149	1	1.0
536	0	2	0,2	0,0	230	149	1	1.0
570	2	10	0,0	16,22	250	149	0.18587728352	0.6107396458514286
839	2	0	0,4	0,2	206	149	1	1.0
990	2	12	0,0	0,16	298	149	1	1.0
1403	1	0	0,0	2,0	298	149	1	1.0
1879	0	2	2,0	6,14	296	149	0.86468661829	1.0
2031	4	0	2,0	0,2	203	149	0.0637324669621	0.33825471529855555
2270	4	6	0,0	6,14	166	149	0.000104126593549	0.0015966077677513335
2462	2	44	0,0	12,8	174	149	0.785159072656	1.0
2465	4	0	0,6	2,0	211	149	0.0661802703845	0.33825471529855555
2576	2	0	0,0	2,0	298	149	1	1.0
2831	4	4	8,4	11,8	167	149	0.479098244678	1.0
2982	0	6	2,0	32,6	298	149	0.477593542879	1.0
3025	0	4	0,4	0,0	298	149	1	1.0
3425	4	2	4,4	0,0	152	149	0.0127014345665	0.09737766500983334
3427	0	2	2,0	0,0	269	149	1	1.0
3770	0	4	6,4	0,0	298	149	1.56887147718e-09	7.216808795028e-08
3782	0	16	2,0	18,26	176	149	0.591857882843	1.0
3966	0	4	8,0	4,6	298	149	0.0110705980786	0.09737766500983334
3977	2	6	0,0	4,14	298	149	0.165445223508	0.5854215601052307
4095	0	2	4,0	0,0	207	149	1	1.0
4302	0	2	0,2	0,0	156	149	1	1.0
4307	2	4	0,0	0,8	157	149	1	1.0
4660	2	0	2,2	2,0	217	149	0.376886395374	1.0
4825	0	2	0,2	0,0	248	149	1	1.0
4854	4	0	6,6	0,2	298	149	0.56641271373	1.0
5306	4	0	4,20	0,2	202	149	0.483842216967	1.0
5316	4	0	0,0	0,4	167	149	1	1.0
5503	0	1	0,2	0,0	268	149	1	1.0
5518	0	2	0,2	3,0	188	149	0.153226414077	0.5854215601052307
5930	0	2	0,2	2,0	159	149	0.126150677208	0.5802931151568
5991	0	16	0,2	0,8	276	149	1	1.0
6235	0	6	0,6	0,2	153	149	1	1.0
6236	2	6	4,2	0,2	298	149	0.0227044123696	0.1492004241430857
6237	2	0	4,2	0,6	294	149	0.00830646301836	0.09552432471113999
6353	1	0	2,0	2,4	298	149	7.42888806249e-07	1.7086442543727e-05
6418	2	0	2,4	2,0	298	149	0.306348206898	0.9394678344872001
6768	2	0	0,4	0,2	153	149	1	1.0
7072	0	2	0,2	0,2	164	149	1	1.0
7098	0	4	2,0	0,2	191	149	0.155530253256	0.5854215601052307
7170	0	6	2,0	2,6	298	149	0.607724155229	1.0
7221	2	4	0,2	0,0	154	149	1	1.0
7243	4	2	0,8	0,2	202	149	1	1.0
