IncLevel1	IncLevel2	IncLevelDifference
0.378	0.0,0.549	0.103
1.0	0.482,0.0	0.759
0.471	0.0,0.379	0.281
0.33	NA,1.0	-0.67
0.296	NA,1.0	-0.704
0.409	0.734,1.0	-0.458
0.8	0.0,1.0	0.3
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
1.0	0.367,0.0	0.817
1.0	0.0,1.0	0.5
0.0	NA,0.497	-0.497
1.0	0.932,0.773	0.147
1.0	NA,0.0	1.0
0.0	1.0,0.218	-0.609
0.725	0.0,0.0	0.725
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
0.553	0.508,0.658	-0.03
0.532	NA,0.313	0.219
0.785	0.0,1.0	0.285
1.0	NA,0.0	1.0
1.0	1.0,0.789	0.105
0.0	1.0,NA	-1.0
0.0	1.0,1.0	-1.0
0.0	0.0,1.0	-0.5
0.0	0.0,1.0	-0.5
1.0	1.0,0.0	0.5
0.0	1.0,NA	-1.0
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
1.0	0.0,0.0	1.0
1.0	1.0,0.6	0.2
0.0	1.0,NA	-1.0
1.0	0.0,1.0	0.5
0.0	NA,1.0	-1.0
1.0	0.0,0.0	1.0
0.0	0.657,0.742	-0.7
0.0	0.663,0.747	-0.705
0.17	0.0,0.0	0.17
0.527	0.527,0.427	0.05
0.333	NA,1.0	-0.667
1.0	0.75,1.0	0.125
0.333	0.857,0.0	-0.095
0.0	1.0,1.0	-1.0
0.219	0.0,0.0	0.219
0.169	0.0,0.62	-0.141
1.0	NA,0.0	1.0
0.581	0.502,0.377	0.141
0.483	1.0,0.483	-0.259
