IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	8	0,2	4,2	245	298
2	0	2,0	2,2	298	277
10	12	0,4	4,7	254	271
2	4	0,4	0,0	298	294
2	4	0,4	0,0	209	176
2	2	8,2	2,0	298	206
4	1	0,4	2,0	298	298
0	1	2,0	0,0	230	275
0	2	2,0	0,0	184	199
0	2	2,0	0,0	232	199
6	0	2,0	4,4	248	288
2	0	0,2	2,0	249	240
0	4	0,2	0,2	289	286
4	0	32,8	2,2	287	245
2	0	0,0	0,2	199	242
0	4	4,2	0,6	298	249
4	2	0,0	2,4	223	294
2	0	0,0	0,2	266	204
2	0	0,0	0,4	266	259
2	0	0,0	0,4	266	298
12	8	10,14	8,6	298	246
4	4	0,2	0,5	262	298
27	8	0,2	4,0	275	298
2	0	0,0	0,2	293	298
2	0	6,9	0,2	230	191
0	2	4,0	0,0	298	269
0	2	2,6	0,0	298	293
0	4	0,2	2,0	262	277
0	4	0,2	2,0	298	277
2	0	2,0	0,2	277	211
0	2	2,0	0,0	246	298
2	0	0,0	0,2	245	173
2	0	0,0	0,2	212	227
2	0	0,0	2,2	194	298
2	0	2,6	0,4	246	246
0	2	4,0	0,0	298	298
6	0	0,2	2,0	298	298
0	2	0,2	0,0	253	289
6	0	0,0	10,2	285	235
0	4	4,6	2,2	240	230
0	4	4,6	2,2	240	236
2	16	0,0	2,12	182	298
4	4	8,4	8,6	267	298
4	8	0,2	0,0	298	298
2	0	6,2	2,0	298	298
4	8	12,0	2,2	298	298
0	2	1,2	0,0	227	298
2	12	0,0	12,6	177	298
2	12	0,8	12,6	244	298
6	0	0,0	0,2	219	210
22	16	6,6	6,10	296	298
2	2	2,4	0,4	223	208
