ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
161	0	2	0,2	4,6	298	149	0.673083777387	1.0
207	0	6	0,2	4,10	298	149	0.413096633962	1.0
251	0	8	0,2	4,4	244	149	0.749704405429	1.0
359	2	2	4,4	0,0	298	149	0.000331123494975	0.014017561287275
431	0	2	0,2	0,2	298	149	1	1.0
514	0	4	2,0	0,8	246	149	0.196219748979	0.8593071765632069
672	2	0	0,0	0,2	298	149	1	1.0
691	2	10	0,0	16,22	298	149	0.30092123098	1.0
914	0	28	8,0	18,29	298	149	0.0109611221162	0.1540866501954
1125	0	4	2,0	2,16	298	149	0.68749089476	1.0
1162	0	2	0,2	0,0	298	149	1	1.0
1214	0	10	4,0	2,22	298	149	0.0753959001348	0.4559656817676
1319	0	4	0,2	0,0	245	149	1	1.0
1320	2	4	0,0	0,4	287	149	1	1.0
1512	0	2	0,2	2,2	298	149	0.695244222636	1.0
1520	0	2	0,5	0,4	298	149	1	1.0
1728	0	4	2,0	0,0	298	149	1	1.0
1780	2	2	0,0	0,6	298	149	1	1.0
1996	0	2	2,0	0,2	262	149	0.206680982573	0.8602518090266452
2025	2	4	0,0	10,12	298	149	0.103250662197	0.5043397730391923
2029	0	4	0,2	4,14	298	149	0.293167108724	1.0
2191	0	6	0,2	2,2	298	149	0.685143401728	1.0
2272	2	0	0,0	2,0	298	149	1	1.0
2285	0	4	4,0	2,2	298	149	0.0308245517661	0.2584119855284687
2354	4	41	0,0	4,6	298	149	0.0672328603885	0.426928663466975
2361	2	91	0,0	24,83	298	149	1	1.0
2363	69	4	8,61	0,0	298	149	0.00621093199606	0.1540866501954
2364	0	95	0,2	4,110	298	149	1	1.0
2375	4	4	0,0	0,2	298	149	1	1.0
2404	0	6	0,2	2,3	249	149	0.673388052855	1.0
2418	0	6	2,0	8,4	298	149	0.517034499137	1.0
2469	0	50	4,0	0,0	237	149	1	1.0
2470	2	4	0,0	0,2	296	149	1	1.0
2471	2	2	0,0	0,4	281	149	1	1.0
2482	2	30	0,2	0,8	298	149	1	1.0
2484	2	6	0,2	0,2	298	149	1	1.0
2512	0	2	0,2	0,0	298	149	1	1.0
2667	0	2	0,2	0,0	298	149	1	1.0
2684	0	2	4,0	0,2	298	149	0.0398118600756	0.2855983815191945
2709	2	0	0,0	2,0	298	149	1	1.0
2875	0	28	0,2	12,26	232	149	0.350916254729	1.0
2905	2	6	0,0	0,2	298	149	1	1.0
3013	2	6	0,2	8,4	258	149	0.181191118013	0.852269332875963
3224	0	22	0,6	10,10	298	149	0.00850345472779	0.1540866501954
3264	0	4	1,0	11,8	298	149	1	1.0
3278	0	2	4,0	6,0	298	149	1	1.0
3280	0	5	2,0	2,4	298	149	0.613271955821	1.0
3431	0	2	0,2	0,0	228	149	1	1.0
3461	0	2	0,2	4,8	298	149	0.517034499137	1.0
3464	0	8	2,0	12,16	298	149	0.518013907928	1.0
3493	6	2	0,0	2,0	244	149	1	1.0
3523	2	0	0,0	2,0	267	149	1	1.0
3586	14	24	4,8	41,20	298	149	0.0208616753222	0.220800487319275
3616	0	18	0,2	4,10	298	149	0.413096633962	1.0
3617	0	2	4,2	2,6	298	149	0.0076216003815	0.1540866501954
3696	0	2	2,0	0,0	298	149	1	1.0
3709	2	0	0,0	2,0	298	149	1	1.0
3892	2	10	0,0	4,2	298	149	0.301689454101	1.0
3908	2	0	0,0	2,0	298	149	1	1.0
3969	0	2	2,0	0,0	298	149	1	1.0
4025	0	4	2,0	0,0	298	149	1	1.0
4353	0	16	2,0	18,26	278	149	0.536692163881	1.0
4364	0	20	4,4	20,52	298	149	0.0427957144852	0.28605556524317893
4376	2	2	4,0	6,0	298	149	1	1.0
4392	0	39	2,0	110,83	298	149	1	1.0
4393	4	0	4,14	0,4	235	149	0.012132807102	0.1540866501954
4466	2	1	0,0	0,4	298	149	1	1.0
4563	4	8	4,4	6,14	298	149	0.781418423526	1.0
4564	0	6	0,4	2,8	298	149	0.0404785107665	0.2855983815191945
4834	0	6	2,2	6,0	286	149	0.0119238756272	0.1540866501954
4881	0	6	8,2	0,2	241	149	1.64677298629e-05	0.0020914016925882998
4999	0	4	2,0	0,8	238	149	0.190880050845	0.8593071765632069
5000	2	6	2,0	2,6	298	149	0.264098867998	0.9864869481101763
5029	0	2	2,0	6,4	298	149	0.673083851573	1.0
5238	0	4	0,2	6,8	298	149	0.56355517945	1.0
5364	2	0	0,0	4,0	296	149	1	1.0
5365	2	0	4,0	0,2	285	149	0.0325558406965	0.2584119855284687
5483	0	34	2,0	8,14	298	149	0.946708576169	1.0
5591	0	4	2,0	2,0	298	149	1	1.0
5679	0	2	0,2	0,0	256	149	1	1.0
5708	0	2	0,4	0,0	298	149	1	1.0
5800	2	4	0,0	0,6	298	149	1	1.0
5821	2	4	0,0	2,1	298	149	0.0815260953697	0.47062791417963185
5822	4	2	2,0	2,2	298	149	0.0228151346006	0.2228863149443231
5826	0	2	4,0	0,0	297	149	1	1.0
5827	2	5	2,0	10,0	298	149	1	1.0
5830	0	4	2,0	0,2	298	149	0.22755513751	0.8757424989021213
5946	6	16	0,0	4,12	298	149	0.00032007317377	0.014017561287275
5956	0	2	0,4	0,0	298	149	1	1.0
5958	0	2	2,0	0,3	298	149	0.227041556114	0.8757424989021213
