IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2	0,2	4,6	298	149
0	6	0,2	4,10	298	149
0	8	0,2	4,4	244	149
2	2	4,4	0,0	298	149
0	2	0,2	0,2	298	149
0	4	2,0	0,8	246	149
2	0	0,0	0,2	298	149
2	10	0,0	16,22	298	149
0	28	8,0	18,29	298	149
0	4	2,0	2,16	298	149
0	2	0,2	0,0	298	149
0	10	4,0	2,22	298	149
0	4	0,2	0,0	245	149
2	4	0,0	0,4	287	149
0	2	0,2	2,2	298	149
0	2	0,5	0,4	298	149
0	4	2,0	0,0	298	149
2	2	0,0	0,6	298	149
0	2	2,0	0,2	262	149
2	4	0,0	10,12	298	149
0	4	0,2	4,14	298	149
0	6	0,2	2,2	298	149
2	0	0,0	2,0	298	149
0	4	4,0	2,2	298	149
4	41	0,0	4,6	298	149
2	91	0,0	24,83	298	149
69	4	8,61	0,0	298	149
0	95	0,2	4,110	298	149
4	4	0,0	0,2	298	149
0	6	0,2	2,3	249	149
0	6	2,0	8,4	298	149
0	50	4,0	0,0	237	149
2	4	0,0	0,2	296	149
2	2	0,0	0,4	281	149
2	30	0,2	0,8	298	149
2	6	0,2	0,2	298	149
0	2	0,2	0,0	298	149
0	2	0,2	0,0	298	149
0	2	4,0	0,2	298	149
2	0	0,0	2,0	298	149
0	28	0,2	12,26	232	149
2	6	0,0	0,2	298	149
2	6	0,2	8,4	258	149
0	22	0,6	10,10	298	149
0	4	1,0	11,8	298	149
0	2	4,0	6,0	298	149
0	5	2,0	2,4	298	149
0	2	0,2	0,0	228	149
0	2	0,2	4,8	298	149
0	8	2,0	12,16	298	149
6	2	0,0	2,0	244	149
2	0	0,0	2,0	267	149
14	24	4,8	41,20	298	149
0	18	0,2	4,10	298	149
0	2	4,2	2,6	298	149
0	2	2,0	0,0	298	149
2	0	0,0	2,0	298	149
2	10	0,0	4,2	298	149
2	0	0,0	2,0	298	149
0	2	2,0	0,0	298	149
0	4	2,0	0,0	298	149
0	16	2,0	18,26	278	149
0	20	4,4	20,52	298	149
2	2	4,0	6,0	298	149
0	39	2,0	110,83	298	149
4	0	4,14	0,4	235	149
2	1	0,0	0,4	298	149
4	8	4,4	6,14	298	149
0	6	0,4	2,8	298	149
0	6	2,2	6,0	286	149
0	6	8,2	0,2	241	149
0	4	2,0	0,8	238	149
2	6	2,0	2,6	298	149
0	2	2,0	6,4	298	149
0	4	0,2	6,8	298	149
2	0	0,0	4,0	296	149
2	0	4,0	0,2	285	149
0	34	2,0	8,14	298	149
0	4	2,0	2,0	298	149
0	2	0,2	0,0	256	149
0	2	0,4	0,0	298	149
2	4	0,0	0,6	298	149
2	4	0,0	2,1	298	149
4	2	2,0	2,2	298	149
0	2	4,0	0,0	297	149
2	5	2,0	10,0	298	149
0	4	2,0	0,2	298	149
6	16	0,0	4,12	298	149
0	2	0,4	0,0	298	149
0	2	2,0	0,3	298	149
2	0	0,0	2,0	298	149
4	6	0,0	2,0	298	149
0	2	2,2	2,4	298	149
2	6	0,2	0,0	298	149
2	18	2,0	2,10	298	149
0	12	4,0	6,16	283	149
2	2	0,0	3,2	298	149
2	0	0,0	0,2	298	149
0	6	2,0	1,0	219	149
0	4	2,0	0,0	298	149
0	2	0,2	0,0	298	149
0	2	2,0	0,0	298	149
0	6	0,2	2,2	298	149
8	8	6,0	4,2	298	149
2	16	0,0	2,10	241	149
2	16	0,0	0,6	298	149
0	18	0,4	12,8	298	149
0	2	2,0	0,0	238	149
0	2	4,0	0,0	298	149
2	0	0,0	0,4	298	149
2	12	0,0	6,18	298	149
0	6	0,2	0,2	298	149
2	9	4,6	6,6	298	149
0	4	2,0	6,0	298	149
4	24	0,2	2,12	242	149
2	0	0,0	0,2	298	149
0	2	0,2	0,0	298	149
0	1	0,2	0,2	298	149
0	2	2,0	3,6	298	149
0	2	0,2	0,0	298	149
2	54	0,0	8,18	298	149
0	3	0,2	10,4	298	149
2	0	2,0	0,2	298	149
0	3	0,2	0,4	298	149
0	6	2,0	2,6	298	149
0	12	2,0	2,6	298	149
4	2	4,0	0,0	298	149
