ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
45	0	2	0,2	0,0	270	149	1	1.0	0.0	NA,1.0	-1.0
351	0	2	2,0	0,0	271	149	1	1.0	0.0	1.0,NA	-1.0
1037	17	0	16,5	0,2	298	149	0.563156218572	1.0	1.0	1.0,0.556	0.222
1038	13	0	14,5	0,2	298	149	0.562045855303	1.0	1.0	1.0,0.556	0.222
1299	0	4	2,0	0,0	298	149	1	1.0	0.0	1.0,NA	-1.0
1320	176	6	6,32	0,0	285	149	0.0100321355908	0.08732619185094737	0.939	1.0,1.0	-0.061
1321	48	6	2,4	0,0	298	149	0.000368434745976	0.008631899762866286	0.8	1.0,1.0	-0.2
1322	48	6	2,4	0,0	298	149	0.000368434745976	0.008631899762866286	0.8	1.0,1.0	-0.2
1590	2	0	0,0	0,2	224	149	1	1.0	1.0	NA,0.0	1.0
1900	9	0	0,0	4,0	240	149	1	1.0	1.0	0.0,NA	1.0
2216	0	4	2,0	0,0	230	149	1	1.0	0.0	1.0,NA	-1.0
2494	2	0	0,0	0,2	194	149	1	1.0	1.0	NA,0.0	1.0
2495	0	1	9,0	0,2	194	149	0.004874350415	0.04702314518	0.0	1.0,0.0	-0.5
3851	0	2	0,4	0,0	298	149	1	1.0	0.0	NA,1.0	-1.0
4695	2	0	0,2	0,2	239	149	1	1.0	1.0	NA,0.384	0.616
5315	4	2	2,2	0,0	266	149	0.00197926966067	0.024969248026913846	0.528	1.0,1.0	-0.472
5738	0	2	0,2	0,0	259	149	1	1.0	0.0	NA,1.0	-1.0
5859	2	399	2,0	31,120	257	149	1	1.0	0.003	0.036,0.0	-0.015
6973	4	2	0,0	0,2	216	149	1	1.0	0.58	NA,0.0	0.58
6974	4	2	0,0	0,2	195	149	1	1.0	0.604	NA,0.0	0.604
6977	4	4	0,4	0,0	209	149	1	1.0	0.416	NA,1.0	-0.584
7109	2	0	2,0	0,2	167	149	0.101339939141	0.5539916673041333	1.0	1.0,0.0	0.5
7164	2	0	2,0	0,2	206	149	0.0590670525573	0.3340343661861104	1.0	1.0,0.0	0.5
7538	0	4	4,0	0,0	298	149	1	1.0	0.0	1.0,NA	-1.0
7554	2	0	0,2	0,2	298	149	1	1.0	1.0	NA,0.333	0.667
8822	1	18	0,0	4,12	246	149	0.313378295518	1.0	0.033	0.0,0.0	0.033
8823	18	0	4,12	2,0	250	149	0.492726893579	1.0	1.0	0.544,1.0	0.228
8825	18	0	4,12	2,0	253	149	0.490297228951	1.0	1.0	0.541,1.0	0.23
8960	1	0	0,0	2,0	275	149	1	1.0	1.0	0.0,NA	1.0
9769	4	2	0,0	0,2	298	149	1	1.0	0.5	NA,0.0	0.5
10075	2	0	0,0	0,2	298	149	1	1.0	1.0	NA,0.0	1.0
10477	0	2	4,0	0,0	232	149	1	1.0	0.0	1.0,NA	-1.0
10562	2	0	0,0	0,2	264	149	1	1.0	1.0	NA,0.0	1.0
10882	2	14	0,2	0,4	298	149	1	1.0	0.067	NA,0.2	-0.133
10981	0	2	0,2	0,0	203	149	1	1.0	0.0	NA,1.0	-1.0
11488	0	23	0,2	6,12	293	149	0.364056209996	1.0	0.0	0.0,0.078	-0.039
12244	0	2	2,0	6,14	210	149	0.82435902927	1.0	0.0	0.191,0.0	-0.096
12294	2	0	0,2	0,2	195	149	1	1.0	1.0	NA,0.433	0.567
12523	143	0	72,67	0,2	255	149	0.517592402182	1.0	1.0	1.0,0.951	0.024
13899	0	2	2,0	0,0	212	149	1	1.0	0.0	1.0,NA	-1.0
13945	2	0	0,2	0,2	271	149	1	1.0	1.0	NA,0.355	0.645
14034	6	2	4,2	0,2	170	149	0.248779476846	1.0	0.724	1.0,0.467	-0.01
14035	0	6	0,4	4,0	173	149	0.0158991325735	0.1133677279153913	0.0	0.0,1.0	-0.5
14304	6	4	2,4	0,8	203	149	0.843644024198	1.0	0.524	1.0,0.268	-0.11
14305	8	4	4,4	0,8	298	149	0.7848399268	1.0	0.5	1.0,0.2	-0.1
14306	4	0	2,6	0,2	200	149	0.671662788587	1.0	1.0	1.0,0.691	0.155
14308	2	0	0,0	0,2	200	149	1	1.0	1.0	NA,0.0	1.0
14678	2	0	0,2	0,2	298	149	1	1.0	1.0	NA,0.333	0.667
14688	4	0	0,0	0,2	285	149	1	1.0	1.0	NA,0.0	1.0
15358	4	2	2,4	0,0	298	149	0.001474365237	0.020409746527936666	0.5	1.0,1.0	-0.5
15359	4	2	2,4	0,0	298	149	0.001474365237	0.020409746527936666	0.5	1.0,1.0	-0.5
15431	0	4	4,0	0,0	298	149	1	1.0	0.0	1.0,NA	-1.0
15726	4	2	4,5	0,0	289	149	0.00149339608741	0.020409746527936666	0.508	1.0,1.0	-0.492
16147	0	2	0,2	0,0	238	149	1	1.0	0.0	NA,1.0	-1.0
16148	0	2	0,2	0,0	242	149	1	1.0	0.0	NA,1.0	-1.0
16765	2	0	0,4	0,2	203	149	1	1.0	1.0	NA,0.595	0.405
16767	2	2	0,6	0,0	251	149	1	1.0	0.372	NA,1.0	-0.628
16770	0	2	2,0	6,0	281	149	1	1.0	0.0	0.15,NA	-0.15
17332	1	0	6,2	2,0	242	149	0.645709886104	1.0	1.0	0.649,1.0	0.175
17525	0	2	0,2	2,6	298	149	0.603687011468	1.0	0.0	0.0,0.143	-0.071
17613	8	6	0,0	0,2	236	149	1	1.0	0.457	NA,0.0	0.457
17688	2	20	0,0	5,0	298	149	1	1.0	0.048	0.0,NA	0.048
18015	2	2	2,2	0,0	298	149	0.000365113531971	0.008631899762866286	0.333	1.0,1.0	-0.667
18235	3	0	0,0	2,0	290	149	1	1.0	1.0	0.0,NA	1.0
18606	0	2	2,2	0,4	242	149	0.00300536760308	0.030805017931570002	0.0	1.0,0.235	-0.617
18713	2	2	2,0	0,0	298	149	1	1.0	0.333	1.0,NA	-0.667
19298	4	2	0,4	0,0	298	149	1	1.0	0.5	NA,1.0	-0.5
19902	2	0	0,2	2,0	213	149	0.0362458282418	0.24767982631896665	1.0	0.0,1.0	0.5
19903	4	0	0,4	2,0	240	149	0.0487883013231	0.29634375618475556	1.0	0.0,1.0	0.5
20184	0	4	0,2	0,0	298	149	1	1.0	0.0	NA,1.0	-1.0
20185	0	4	0,2	0,0	285	149	1	1.0	0.0	NA,1.0	-1.0
20885	2	0	0,0	2,0	218	149	1	1.0	1.0	0.0,NA	1.0
20955	2	0	0,0	0,2	298	149	1	1.0	1.0	NA,0.0	1.0
21047	2	6	6,8	32,6	298	149	0.703074209358	1.0	0.143	0.086,0.4	-0.1
21331	2	0	0,0	4,0	298	149	1	1.0	1.0	0.0,NA	1.0
21389	0	4	0,6	0,0	298	149	1	1.0	0.0	NA,1.0	-1.0
21457	0	5	0,2	16,10	242	149	0.786702875107	1.0	0.0	0.0,0.11	-0.055
