IncLevel1	IncLevel2	IncLevelDifference
0.0	NA,1.0	-1.0
0.0	1.0,NA	-1.0
1.0	1.0,0.556	0.222
1.0	1.0,0.556	0.222
0.0	1.0,NA	-1.0
0.939	1.0,1.0	-0.061
0.8	1.0,1.0	-0.2
0.8	1.0,1.0	-0.2
1.0	NA,0.0	1.0
1.0	0.0,NA	1.0
0.0	1.0,NA	-1.0
1.0	NA,0.0	1.0
0.0	1.0,0.0	-0.5
0.0	NA,1.0	-1.0
1.0	NA,0.384	0.616
0.528	1.0,1.0	-0.472
0.0	NA,1.0	-1.0
0.003	0.036,0.0	-0.015
0.58	NA,0.0	0.58
0.604	NA,0.0	0.604
0.416	NA,1.0	-0.584
1.0	1.0,0.0	0.5
1.0	1.0,0.0	0.5
0.0	1.0,NA	-1.0
1.0	NA,0.333	0.667
0.033	0.0,0.0	0.033
1.0	0.544,1.0	0.228
1.0	0.541,1.0	0.23
1.0	0.0,NA	1.0
0.5	NA,0.0	0.5
1.0	NA,0.0	1.0
0.0	1.0,NA	-1.0
1.0	NA,0.0	1.0
0.067	NA,0.2	-0.133
0.0	NA,1.0	-1.0
0.0	0.0,0.078	-0.039
0.0	0.191,0.0	-0.096
1.0	NA,0.433	0.567
1.0	1.0,0.951	0.024
0.0	1.0,NA	-1.0
1.0	NA,0.355	0.645
0.724	1.0,0.467	-0.01
0.0	0.0,1.0	-0.5
0.524	1.0,0.268	-0.11
0.5	1.0,0.2	-0.1
1.0	1.0,0.691	0.155
1.0	NA,0.0	1.0
1.0	NA,0.333	0.667
1.0	NA,0.0	1.0
0.5	1.0,1.0	-0.5
0.5	1.0,1.0	-0.5
0.0	1.0,NA	-1.0
0.508	1.0,1.0	-0.492
0.0	NA,1.0	-1.0
0.0	NA,1.0	-1.0
1.0	NA,0.595	0.405
0.372	NA,1.0	-0.628
0.0	0.15,NA	-0.15
1.0	0.649,1.0	0.175
0.0	0.0,0.143	-0.071
0.457	NA,0.0	0.457
0.048	0.0,NA	0.048
0.333	1.0,1.0	-0.667
1.0	0.0,NA	1.0
0.0	1.0,0.235	-0.617
0.333	1.0,NA	-0.667
0.5	NA,1.0	-0.5
1.0	0.0,1.0	0.5
1.0	0.0,1.0	0.5
0.0	NA,1.0	-1.0
0.0	NA,1.0	-1.0
1.0	0.0,NA	1.0
1.0	NA,0.0	1.0
0.143	0.086,0.4	-0.1
1.0	0.0,NA	1.0
0.0	NA,1.0	-1.0
0.0	0.0,0.11	-0.055
0.946	1.0,0.909	-0.009
1.0	NA,0.367	0.633
0.153	NA,0.0	0.153
0.0	1.0,0.0	-0.5
1.0	0.641,NA	0.359
0.52	NA,1.0	-0.48
1.0	0.0,NA	1.0
0.0	0.429,0.0	-0.214
1.0	0.0,1.0	0.5
0.0	NA,0.345	-0.345
1.0	1.0,0.808	0.096
0.0	1.0,1.0	-1.0
0.0	0.0,0.068	-0.034
1.0	0.0,NA	1.0
0.0	1.0,NA	-1.0
0.186	0.0,NA	0.186
0.205	NA,0.0	0.205
1.0	0.867,1.0	0.067
0.0	1.0,NA	-1.0
1.0	0.0,1.0	0.5
1.0	0.0,NA	1.0
0.163	NA,0.0	0.163
1.0	NA,0.0	1.0
0.0	NA,1.0	-1.0
1.0	0.0,NA	1.0
1.0	NA,0.0	1.0
0.0	1.0,0.0	-0.5
0.463	0.0,0.0	0.463
1.0	1.0,0.718	0.141
0.434	0.606,0.277	-0.008
0.0	0.17,NA	-0.17
1.0	1.0,0.0	0.5
1.0	0.0,NA	1.0
1.0	1.0,0.518	0.241
0.0	1.0,NA	-1.0
0.561	NA,1.0	-0.439
0.249	NA,0.216	0.033
0.0	NA,1.0	-1.0
0.0	1.0,1.0	-1.0
0.0	1.0,NA	-1.0
0.0	1.0,1.0	-1.0
1.0	0.0,NA	1.0
1.0	NA,0.0	1.0
0.0	0.289,NA	-0.289
0.0	1.0,NA	-1.0
0.8	1.0,1.0	-0.2
1.0	1.0,0.627	0.186
1.0	0.0,NA	1.0
0.929	1.0,1.0	-0.071
0.387	NA,0.0	0.387
1.0	1.0,0.429	0.285
0.0	0.0,0.111	-0.056
1.0	NA,0.143	0.857
1.0	NA,0.812	0.188
0.0	0.0,0.149	-0.074
0.239	0.295,0.0	0.091
0.0	0.279,0.0	-0.14
0.957	1.0,1.0	-0.043
1.0	NA,0.519	0.481
0.057	NA,0.288	-0.231
1.0	NA,0.5	0.5
1.0	0.0,1.0	0.5
0.333	1.0,NA	-0.667
0.353	1.0,NA	-0.647
1.0	0.0,NA	1.0
0.0	NA,1.0	-1.0
0.0	0.0,0.143	-0.071
0.0	1.0,0.0	-0.5
0.0	1.0,0.0	-0.5
0.0	NA,0.167	-0.167
1.0	0.0,NA	1.0
0.36	0.0,NA	0.36
1.0	NA,0.371	0.629
0.207	NA,0.0	0.207
1.0	0.362,1.0	0.319
0.857	1.0,1.0	-0.143
0.902	1.0,1.0	-0.098
0.0	0.667,0.111	-0.389
0.6	1.0,1.0	-0.4
0.0	0.0,0.446	-0.223
1.0	NA,0.706	0.294
0.274	NA,1.0	-0.726
0.303	0.0,0.662	-0.028
0.143	0.0,0.167	0.059
0.723	0.567,0.411	0.234
0.0	NA,0.169	-0.169
1.0	0.0,0.0	1.0
