ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	35	62	77,37	63,73	298	149
2	13	6	22,26	3,3	298	149
8	0	50	1,0	37,57	298	149
9	0	59	7,3	27,74	298	149
11	21	0	66,209	28,66	298	149
13	10	574	31,19	226,435	298	149
14	43	604	56,45	183,496	298	149
15	32	2	64,41	0,0	298	149
16	17	498	41,15	171,416	298	149
17	28	0	87,21	4,2	298	149
18	14	162	14,13	58,133	298	149
19	7	2	16,5	9,11	273	149
20	11	0	15,10	0,2	298	149
22	0	1	1,2	0,0	298	149
25	17	556	9,28	313,697	262	149
26	9	185	26,10	134,267	298	149
27	25	120	36,31	128,251	298	149
29	2	0	3,3	0,2	298	149
38	3	57	1,1	47,59	298	149
39	0	44	1,2	60,32	298	149
40	5	2	11,13	0,2	298	149
41	0	3	13,5	4,2	298	149
42	22	0	38,38	2,2	298	149
43	163	57	132,267	1,79	298	149
44	7	119	28,2	37,78	217	149
45	0	66	12,0	123,138	217	149
46	8	59	20,14	132,80	244	149
47	0	14	7,4	39,19	241	149
48	11	10	15,12	7,14	298	149
49	1	0	25,1	1,1	298	149
50	29	39	29,26	45,44	220	149
51	10	28	10,8	6,26	298	149
52	43	1	53,41	2,3	298	149
53	47	17	63,46	12,33	298	149
55	17	65	19,47	11,192	228	149
57	5	11	15,2	6,14	298	149
58	8	6	8,5	0,6	298	149
59	20	18	23,31	7,21	235	149
60	46	253	24,28	26,89	298	149
61	8	80	14,7	33,66	298	149
62	14	56	26,6	16,41	298	149
65	94	5	132,62	2,0	298	149
66	105	675	155,59	191,330	298	149
67	58	696	58,39	300,410	298	149
68	566	2145	1611,590	1022,1101	298	149
69	1	11	5,0	0,36	298	149
70	2	7	4,2	0,40	298	149
72	7	63	20,5	16,39	225	149
73	36	0	43,75	1,0	239	149
74	22	84	131,49	145,166	298	149
75	25	64	228,84	153,181	298	149
77	2	1	4,1	0,0	298	149
79	7	16	26,7	28,15	298	149
80	2	15	12,3	17,32	236	149
85	15	249	31,38	208,940	298	149
86	9	4	6,0	2,2	298	149
87	4	59	6,0	24,37	264	149
88	3	250	19,15	182,182	235	149
90	2	4	11,4	2,5	298	149
91	50	68	74,58	16,66	298	149
92	57	1	73,70	0,0	298	149
93	62	54	75,64	15,64	298	149
94	67	40	112,51	12,19	298	149
95	64	0	100,49	0,2	298	149
96	345	72	297,308	13,35	298	149
97	26	8	23,5	1,3	298	149
99	38	0	46,11	0,4	298	149
100	42	8	36,11	8,3	298	149
102	8	27	64,14	19,33	298	149
103	4	22	29,8	22,50	298	149
105	553	6	173,382	0,2	226	149
106	744	50	233,502	11,32	267	149
108	26	708	16,10	132,480	230	149
109	245	13	143,160	7,4	230	149
110	14	0	6,0	0,4	298	149
111	11	1	8,1	0,2	298	149
112	7	1	11,4	0,0	298	149
113	48	11	14,47	0,10	298	149
114	3	242	6,10	19,155	298	149
119	3	5	4,3	0,22	269	149
120	18	2	10,17	0,17	284	149
121	31	4	19,40	0,8	298	149
123	0	41	6,1	34,38	298	149
129	4	0	0,0	0,1	298	149
133	2	2	16,0	0,1	298	149
136	0	4	1,2	4,9	298	149
137	100	5	119,119	0,0	230	149
138	1	18	7,5	15,15	298	149
139	0	9	2,0	18,17	237	149
140	4	34	6,4	3,7	222	149
141	1	4	1,0	0,0	298	149
144	40	3	54,14	4,1	298	149
148	218	197	36,45	7,56	298	149
149	22	252	40,31	414,444	298	149
150	6	177	46,27	112,178	278	149
151	20	181	63,24	111,141	233	149
152	25	104	87,9	163,109	239	149
153	54	59	154,58	33,59	298	149
154	118	0	188,119	1,6	298	149
155	81	32	4,11	0,8	298	149
156	19	94	72,12	200,78	298	149
158	124	7	176,132	0,1	298	149
161	22	19	45,21	6,14	298	149
162	17	1221	16,23	510,1383	278	149
163	44	2	68,45	0,3	298	149
165	57	9	19,26	1,0	298	149
166	0	4	4,2	7,16	298	149
167	0	4	2,1	0,2	298	149
168	492	0	348,522	0,1	298	149
169	144	4686	166,144	3098,4976	298	149
170	3	9	7,5	4,10	298	149
173	0	1	2,0	1,2	298	149
175	2	67	26,22	257,294	237	149
176	124	165	180,127	106,150	239	149
177	79	143	159,81	113,166	298	149
