ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	41	62	83,40	63,73	372	149
2	564	6	690,921	3,3	2403	149
8	0	50	2,0	37,57	1223	149
9	2	59	18,15	27,74	1432	149
11	42	0	106,347	28,66	620	149
13	68	574	171,88	226,435	2371	149
14	105	604	146,110	183,496	817	149
15	159	2	275,167	0,0	2462	149
16	64	498	141,61	171,416	1730	149
17	69	0	171,84	4,2	1192	149
18	22	162	21,18	58,133	469	149
19	7	2	16,5	9,11	273	149
20	35	0	29,43	0,2	989	149
22	2	1	4,9	0,0	1356	149
25	17	556	9,28	313,697	262	149
26	67	185	119,47	134,267	1121	149
27	27	120	40,40	128,251	363	149
29	2	0	3,3	0,2	319	149
38	3	57	14,11	47,59	1432	149
39	0	44	3,2	60,32	1223	149
40	9	2	29,13	0,2	716	149
41	4	3	17,5	4,2	496	149
42	155	0	72,210	2,2	554	149
43	164	57	133,267	1,79	302	149
44	7	119	28,2	37,78	217	149
45	0	66	12,0	123,138	217	149
46	8	59	20,14	132,80	244	149
47	0	14	7,4	39,19	241	149
48	14	10	15,12	7,14	477	149
49	1	0	34,2	1,1	431	149
50	29	39	29,26	45,44	220	149
51	12	28	12,8	6,26	336	149
52	51	1	54,45	2,3	325	149
53	61	17	69,57	12,33	384	149
55	17	65	19,47	11,192	228	149
57	18	11	31,11	6,14	897	149
58	24	6	24,10	0,6	1071	149
59	20	18	23,31	7,21	235	149
60	56	253	28,33	26,89	371	149
61	33	80	98,42	33,66	2365	149
62	29	56	66,14	16,41	629	149
65	134	5	201,119	2,0	605	149
66	163	675	264,133	191,330	723	149
67	60	696	61,39	300,410	323	149
68	4202	2145	8118,5083	1022,1101	4089	149
69	1	11	15,2	0,36	823	149
70	15	7	63,18	0,40	1632	149
72	7	63	20,5	16,39	225	149
73	36	0	43,75	1,0	239	149
74	43	84	265,129	145,166	641	149
75	26	64	252,96	153,181	394	149
77	6	1	21,5	0,0	2420	149
79	28	16	108,40	28,15	1531	149
80	2	15	12,3	17,32	236	149
85	19	249	90,53	208,940	1560	149
86	13	4	31,5	2,2	848	149
87	4	59	6,0	24,37	264	149
88	3	250	19,15	182,182	235	149
90	2	4	11,4	2,5	443	149
91	1251	68	1782,1067	16,66	2924	149
92	1269	1	1790,1088	0,0	2958	149
93	1263	54	1783,1073	15,64	2927	149
94	84	40	134,62	12,19	448	149
95	156	0	220,102	0,2	852	149
96	362	72	319,317	13,35	467	149
97	38	8	31,8	1,3	395	149
99	108	0	80,23	0,4	1013	149
100	68	8	48,15	8,3	600	149
102	26	27	168,50	19,33	823	149
103	104	22	343,120	22,50	2437	149
105	553	6	173,382	0,2	226	149
106	744	50	233,502	11,32	267	149
108	26	708	16,10	132,480	230	149
109	245	13	143,160	7,4	230	149
110	30	0	32,4	0,4	1153	149
111	30	1	35,5	0,2	1228	149
112	11	1	19,14	0,0	577	149
113	54	11	20,71	0,10	1139	149
114	9	242	12,33	19,155	1091	149
119	3	5	4,3	0,22	269	149
120	18	2	10,17	0,17	284	149
121	32	4	19,43	0,8	343	149
123	0	41	10,3	34,38	632	149
129	4	0	0,0	0,1	360	149
133	2	2	18,0	0,1	324	149
136	0	4	3,2	4,9	365	149
137	100	5	119,119	0,0	230	149
138	1	18	7,7	15,15	428	149
139	0	9	2,0	18,17	237	149
140	4	34	6,4	3,7	222	149
141	1	4	1,0	0,0	1692	149
144	142	3	175,79	4,1	632	149
148	806	197	116,174	7,56	1221	149
149	34	252	164,90	414,444	1799	149
150	6	177	46,27	112,178	278	149
151	20	181	63,24	111,141	233	149
152	25	104	87,9	163,109	239	149
153	62	59	168,62	33,59	380	149
154	141	0	246,146	1,6	470	149
155	146	32	8,30	0,8	537	149
156	19	94	72,12	200,78	302	149
158	1041	7	1625,1116	0,1	4146	149
161	37	19	76,38	6,14	615	149
162	17	1221	16,23	510,1383	278	149
163	240	2	385,298	0,3	3295	149
165	152	9	56,60	1,0	854	149
166	2	4	5,4	7,16	659	149
167	0	4	5,2	0,2	470	149
168	656	0	725,699	0,1	1404	149
169	305	4686	540,320	3098,4976	1385	149
170	3	9	7,5	4,10	317	149
173	0	1	2,0	1,2	311	149
175	2	67	26,22	257,294	237	149
176	124	165	180,127	106,150	239	149
177	206	143	445,209	113,166	822	149
178	4	336	9,12	152,292	253	149
179	25	195	24,13	62,198	235	149
180	39	5	56,21	0,3	288	149
181	32	27	48,19	9,13	256	149
182	27	10	46,18	5,6	232	149
184	83	4	85,50	1,2	1068	149
185	84	4	87,51	4,0	1132	149
193	0	57	4,6	49,72	227	149
194	9	43	63,18	4,73	589	149
195	0	3	14,0	8,6	248	149
197	0	90	14,0	78,107	265	149
199	2	36	6,4	10,21	386	149
200	2	115	6,15	47,238	272	149
202	84	0	15,141	0,2	366	149
203	6	186	6,8	43,291	287	149
204	50	263	129,53	187,261	1796	149
205	31	1	56,15	8,1	846	149
207	65	186	268,119	95,92	468	149
208	64	14207	268,119	7268,11243	458	149
209	23	4	111,65	12,4	290	149
211	99	0	374,150	1,0	701	149
212	44	15856	154,60	8729,12699	326	149
213	402	4	365,427	0,0	331	149
215	467	16055	338,435	9586,13095	351	149
216	921	14556	547,649	9148,11773	324	149
217	161	0	119,146	0,1	307	149
218	178	18439	172,157	12088,14766	474	149
219	39	369	60,25	161,353	241	149
221	1	17	17,0	47,48	324	149
222	8	93	7,7	24,102	373	149
223	11	324	44,20	155,359	570	149
226	39	5319	65,54	1705,4549	578	149
227	486	62	1337,537	74,61	2058	149
228	424	2	1178,479	0,4	1762	149
230	94	223	188,55	97,125	1626	149
231	4	3	6,5	1,1	258	149
232	14	162	40,9	198,177	318	149
233	28	173	76,25	125,121	1200	149
234	175	0	167,142	1,0	1285	149
235	10	147	46,6	112,119	299	149
236	7	54	10,15	60,119	287	149
237	0	7	16,4	1,5	460	149
238	0	4	4,0	0,3	234	149
240	42	3	7,108	5,7	281	149
241	25	59	171,41	185,142	356	149
242	9	0	17,0	2,0	508	149
243	0	18	6,0	18,2	394	149
246	151	6	183,189	2,1	1782	149
247	150	5	180,188	2,2	1768	149
248	8	1	20,2	0,0	252	149
249	17	3	26,12	0,0	802	149
250	27	764	20,14	108,499	255	149
251	51	353	50,49	193,272	358	149
253	84	0	163,160	0,4	1108	149
254	96	0	179,198	0,1	1286	149
255	20	1254	21,21	442,1010	285	149
257	11	0	12,16	0,3	828	149
258	50	428	55,29	199,554	288	149
259	15	642	33,19	282,771	356	149
262	9	2701	102,22	1764,5971	252	149
263	22	2108	103,56	996,4899	244	149
264	419	1563	1537,507	790,3780	1994	149
265	1222	38	1919,2332	14,76	2045	149
266	8	268	19,5	122,212	242	149
267	3	238	25,2	63,228	247	149
269	59	277	123,91	427,303	600	149
271	6	0	24,5	0,2	719	149
272	2	0	9,4	1,0	367	149
273	0	8	9,2	1,26	351	149
274	77	686	78,83	172,658	260	149
275	24	24	37,1	5,11	572	149
276	11	4	9,6	0,0	221	149
277	0	20	20,5	69,51	233	149
278	0	12	25,7	87,42	227	149
280	18	70	69,23	29,58	1423	149
281	0	2	10,0	6,27	240	149
282	8	96	7,9	64,140	224	149
283	3	169	10,8	64,275	225	149
284	22	109	70,28	183,191	1413	149
288	11	558	32,9	166,465	395	149
291	3	77	41,13	75,88	403	149
292	24	417	115,82	404,810	298	149
293	2	8	49,31	17,37	230	149
294	289	3	23,66	0,0	593	149
295	164	593	22,34	16,135	236	149
296	7	5	17,9	4,1	239	149
297	6	5	17,9	1,10	236	149
298	21	16	77,23	29,16	1154	149
299	7	19	34,37	41,25	326	149
300	18	17	47,23	28,30	353	149
301	78	3	115,53	1,4	852	149
302	62	4	73,32	2,8	535	149
303	3	33	8,2	21,32	283	149
304	16	11	24,14	1,20	402	149
306	4	327	25,10	279,542	285	149
307	10	1	19,15	0,0	459	149
308	35	234	44,67	184,354	238	149
309	4	41	5,0	9,14	259	149
310	9	22	4,3	2,14	652	149
311	3	12	0,0	0,3	262	149
312	7	22	13,1	9,12	267	149
313	7	35	14,1	4,24	275	149
314	27	417	35,14	69,186	246	149
315	34	117	42,19	15,38	249	149
317	24	2	11,5	0,0	385	149
318	26	1504	16,6	20,182	478	149
319	134	1296	11,19	26,165	294	149
321	0	60	6,4	26,77	239	149
322	7	1	35,11	3,1	380	149
323	4	30	2,4	7,47	263	149
324	3	61	10,0	8,19	790	149
325	36	374	70,55	223,498	234	149
326	113	2	155,174	2,2	258	149
327	13	596	32,11	444,664	237	149
333	36	23	27,24	19,56	448	149
336	4	142	28,17	194,194	263	149
337	6	115	7,5	56,195	232	149
338	6	110	12,14	66,174	219	149
339	61	111	179,82	59,218	1897	149
340	6	124	14,10	104,164	223	149
341	15	120	82,44	69,221	229	149
342	2	19	25,4	78,75	223	149
343	7	105	18,20	22,98	252	149
344	66	11	20,63	6,9	372	149
345	1	152	1,3	47,149	297	149
346	169	64	375,141	69,114	806	149
347	261	1	429,329	2,3	305	149
349	6	286	14,4	120,275	259	149
350	0	8	6,1	1,18	404	149
352	151	74	34,353	0,217	484	149
353	169	25	34,448	0,77	550	149
354	59	0	83,108	0,3	1304	149
355	59	154	83,108	43,230	1323	149
356	58	3781	26,66	1507,3666	233	149
357	849	0	378,881	2,1	279	149
359	0	26	3,3	0,37	248	149
360	0	15	0,4	0,27	253	149
362	4	2	9,1	0,0	507	149
363	2	1	4,0	0,0	314	149
364	4	0	8,3	0,1	738	149
365	136	1	26,97	0,0	374	149
366	4942	2	2885,4632	2,1	266	149
368	2	31	5,8	4,44	258	149
369	2	14	7,5	11,23	245	149
371	6	130	14,2	65,93	289	149
372	37	96	196,69	156,225	412	149
373	10	3	48,32	0,18	269	149
374	63	4	287,81	0,1	2985	149
375	934	31	354,995	12,26	444	149
376	4	0	54,14	6,1	539	149
377	4	11	56,15	13,13	550	149
378	2	142	2,0	97,240	244	149
379	63	1127	551,137	1335,1850	1096	149
381	11	99	2,1	1,14	243	149
382	48	162	16,23	6,24	1201	149
383	95	151	11,20	0,29	353	149
386	29	98	54,13	70,85	652	149
387	6	142	5,14	68,110	229	149
388	47	336	39,23	58,258	1507	149
389	13	315	13,4	64,234	236	149
390	2	0	76,14	5,8	579	149
391	3	73	15,0	169,213	233	149
392	5	109	25,5	53,116	246	149
393	22	83	54,28	45,117	776	149
394	1	77	9,2	41,100	242	149
395	1	10	9,3	5,12	245	149
396	30	72	74,45	104,111	238	149
397	34	0	88,56	0,2	249	149
398	4	2	45,2	0,1	1599	149
399	7	112	2,6	5,88	217	149
400	43	241	43,15	32,143	457	149
402	4	232	8,5	48,133	423	149
403	1	52	2,4	32,49	238	149
404	62	0	133,76	1,0	857	149
405	34	311	101,43	245,408	840	149
406	26	3	57,32	9,9	493	149
408	8	250	14,13	71,184	289	149
411	401	43	149,240	7,26	728	149
412	7	129	10,9	69,158	252	149
413	180	188	273,136	111,198	812	149
414	11	90	21,27	40,99	594	149
415	308	1	319,451	0,0	1037	149
416	13	109	51,2	116,186	235	149
417	11	162	38,21	109,272	324	149
419	6	63	16,15	51,68	235	149
420	5	111	41,6	71,105	232	149
421	2	87	7,0	89,81	223	149
422	10	41	51,15	24,28	831	149
423	176	747	347,108	361,901	240	149
424	33	73	56,40	71,79	466	149
428	20	5	9,29	1,6	224	149
429	3	105	2,3	5,205	236	149
430	9	56	32,13	30,63	377	149
432	39	64	144,49	49,94	987	149
433	71	2	162,107	8,1	1039	149
434	7	49	67,17	58,59	469	149
435	648	5	237,853	1,6	480	149
436	490	15	185,584	2,3	370	149
437	5	0	19,12	2,3	1004	149
438	0	22	14,12	37,112	336	149
439	13	102	114,17	377,256	270	149
440	15	138	95,17	466,266	231	149
441	0	3	24,0	13,19	260	149
443	46	4927	22,22	2193,3878	398	149
444	39	302	35,7	35,65	505	149
445	83	119	3,4	1,0	597	149
446	7	265	56,12	268,304	378	149
447	0	134	20,5	92,223	255	149
448	27	75	65,20	44,100	384	149
449	9	4	16,6	0,5	236	149
450	3	4	15,5	7,16	339	149
451	0	20	24,2	56,25	249	149
452	1	10	1,13	30,27	269	149
453	1	17	23,2	41,40	255	149
454	9	174	59,12	93,174	877	149
455	123	930	116,142	145,844	1747	149
456	11	52	6,16	3,71	364	149
457	4	32	2,8	9,16	290	149
458	21	346	35,22	129,340	447	149
460	3	11	8,2	2,6	232	149
461	4	0	8,2	0,5	236	149
462	31	109	92,31	42,106	518	149
467	21	101	49,18	30,95	965	149
468	2	109	37,7	3,91	1127	149
470	1644	2	978,1998	1,1	1879	149
471	40	2	23,25	0,1	618	149
472	32	33	22,13	3,65	583	149
475	0	179	20,14	53,165	384	149
477	45	229	99,48	106,205	1623	149
478	9	267	31,20	138,297	508	149
479	71	10	91,82	5,3	246	149
480	4	123	23,4	37,155	232	149
482	91	1714	234,190	1349,2400	400	149
483	6	96	33,7	113,121	228	149
484	100	494	153,63	460,800	252	149
487	17	2	46,29	0,0	1217	149
488	18	2	46,29	0,1	1224	149
