ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	75	0	83,99	0,1	313	149
1	26	0	24,17	1,0	252	149
2	36	16	35,41	0,8	252	149
3	83	0	151,93	1,0	269	149
4	178	1	383,160	0,1	401	149
5	105	1	204,84	1,2	278	149
6	136	0	406,131	1,0	269	149
7	56	1	136,76	2,2	241	149
8	71	0	90,70	2,0	252	149
9	0	39	2,0	26,32	179	149
10	57	2	30,67	0,0	207	149
11	93	0	275,94	1,0	273	149
12	288	1	243,371	1,0	279	149
13	248	6	320,357	4,2	303	149
14	287	0	303,322	2,0	250	149
15	194	0	140,275	0,3	312	149
16	293	0	372,359	1,0	418	149
17	258	0	313,289	0,1	340	149
18	117	0	142,125	0,1	294	149
19	207	0	287,243	1,1	228	149
20	45	0	35,97	0,1	319	149
21	51	0	38,97	0,1	309	149
22	71	0	80,114	2,0	215	149
23	144	0	128,206	4,0	258	149
24	134	1	85,201	4,3	246	149
25	91	0	55,126	0,1	271	149
26	99	0	108,177	1,0	258	149
27	41	0	42,84	1,0	225	149
28	2512	0	1711,1881	4,0	215	149
29	1219	0	430,1307	3,0	212	149
30	1905	1	1013,1517	0,0	200	149
31	1633	0	903,1308	0,2	185	149
32	1999	0	1156,1600	1,0	212	149
33	1837	23	857,1454	21,12	195	149
38	1	1	0,0	0,2	185	149
39	6	1	0,8	0,0	284	149
40	4	1	1,3	0,1	224	149
41	1	1	0,2	0,1	293	149
43	3	0	0,6	1,0	209	149
45	5670	2	271,2104	0,0	209	149
46	5542	1	331,2252	0,2	365	149
47	1364	1	45,788	0,0	236	149
48	4830	1	111,2679	0,6	308	149
49	2653	1	101,1339	0,0	176	149
50	5923	0	440,2298	0,1	212	149
51	1	1	0,2	0,0	176	149
52	5730	4	510,2081	1,0	176	149
53	6149	16	637,2243	3,5	185	149
54	11950	9	1462,3932	2,5	176	149
55	3157	13	452,1129	4,3	290	149
56	3384	1	141,1537	0,0	182	149
57	35	38	38,31	17,40	355	149
58	113	0	126,103	0,1	273	149
59	47	66	52,53	53,72	690	149
61	8	84	2,4	65,73	284	149
62	0	10	3,4	16,16	284	149
63	12	1	24,11	0,0	325	149
64	141	1	99,103	2,4	294	149
65	70	0	50,46	1,0	294	149
66	0	1	1,0	2,4	209	149
67	7	62	2,1	35,30	209	149
69	686	0	1699,3234	1,0	369	149
70	592	1	2183,2182	4,1	337	149
71	1	301	4,2	813,1140	221	149
76	241	0	174,251	0,1	271	149
77	830	0	511,913	0,1	221	149
78	208	0	76,283	3,10	392	149
79	800	0	453,937	3,10	278	149
84	7	0	8,4	2,0	244	149
87	0	135	0,1	9,51	251	149
88	147	0	30,94	0,1	212	149
89	240	9	36,109	0,0	212	149
90	117	1	27,68	0,0	212	149
92	18	1	29,3	0,0	842	149
93	559	0	132,454	0,1	375	149
94	16	347	4,17	75,305	297	149
95	349	1	193,282	3,1	225	149
98	49	0	55,26	0,1	211	149
99	162	0	91,147	2,0	169	149
100	2133	4	2031,2975	0,2	251	149
101	31	0	31,19	0,3	453	149
102	37	139	33,11	78,250	658	149
103	34	0	32,13	0,3	658	149
104	158	2	168,294	2,0	288	149
105	454	2	389,829	2,0	233	149
106	587	0	602,954	1,0	261	149
107	163	2	109,208	0,0	235	149
108	3	1	13,7	0,2	253	149
109	26	0	8,44	1,0	431	149
110	121	1	92,100	1,1	321	149
111	67	0	52,54	1,1	247	149
112	397	2	160,354	6,5	270	149
113	711	24	170,570	2,10	270	149
114	1261	425	851,1136	90,319	1244	149
115	50	0	27,37	1,3	220	149
