ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	6	1250	8,3	506,987	197	149	1	1.0
2	30	133	12,25	27,126	442	149	0.837347278618	1.0
3	4	0	0,5	0,1	152	149	1	1.0
5	361	1553	11,154	45,686	152	149	0.838929851227	1.0
6	151	0	231,175	0,1	2227	149	1	1.0
7	4	2	19,24	19,10	192	149	0.626100117473	1.0
8	4	197	19,25	420,1058	192	149	0.283678897045	0.7753129132702595
13	4	8	16,3	2,5	226	149	0.0825296828745	0.4011778577421219
14	3	314	1,1	240,546	204	149	1	1.0
15	10	353	24,14	320,589	370	149	0.240075718131	0.717705533304337
17	328	7	50,157	0,1	153	149	0.175071134507	0.6058855950611228
18	1035	3	550,833	0,1	2480	149	0.114243829503	0.4835736249834677
19	36	588	104,25	207,429	378	149	1.56002315367e-05	0.0014149924297134262
21	11	98	8,8	29,77	374	149	0.569563854714	1.0
22	10	0	18,8	0,1	198	149	1	1.0
23	11	1	18,10	5,1	198	149	0.385855682483	0.8854191835459221
24	25	18	24,16	25,10	198	149	0.652366632426	1.0
25	10	0	19,8	1,0	153	149	1	1.0
26	10	1902	3,20	775,1839	166	149	1	1.0
27	60	7	39,62	1,2	182	149	0.015176096094	0.14349330007890548
28	52	0	31,48	0,1	182	149	1	1.0
29	3	0	4,5	0,1	940	149	1	1.0
31	0	1	0,3	0,0	905	149	1	1.0
32	164	2	44,42	0,0	2396	149	0.0558675198758	0.3182405169460684
33	33	23	41,47	9,16	215	149	0.0148217191567	0.1419239790248281
47	17	43	48,43	32,43	845	149	0.000674259126746	0.020843950682252747
48	34	2	68,24	0,1	155	149	0.363880442975	0.8670523026315387
49	59	0	110,35	0,3	193	149	0.699137821126	1.0
50	23	92	15,10	55,80	152	149	0.365884372398	0.868068298296376
53	22	59	52,29	132,80	152	149	0.920841733935	1.0
54	25	439	7,12	227,194	152	149	0.400282069299	0.9022196067706024
55	36	299	5,21	129,144	152	149	0.340867627226	0.8410501175139212
56	0	282	2,3	102,149	170	149	0.601382342355	1.0
57	265	4	53,92	2,1	153	149	0.702605664234	1.0
58	13	0	16,7	0,2	235	149	0.63054637332	1.0
59	45	0	38,40	2,1	181	149	0.684538659102	1.0
60	742	5	989,749	1,3	2008	149	0.0737879413425	0.37735171489528807
61	43	1	73,35	1,0	153	149	0.385829959692	0.8854191835459221
62	253	0	226,336	1,0	401	149	1	1.0
64	6	27	46,4	15,35	582	149	0.0712388695709	0.3687063811429938
65	69	46	14,18	7,20	152	149	0.658402187878	1.0
66	6	27	2,6	9,19	152	149	0.744029477797	1.0
67	0	6	6,2	0,0	200	149	2.43763564889e-10	2.515030580742258e-07
69	3	128	4,1	93,113	200	149	0.968307623743	1.0
70	8	138	19,17	64,115	309	149	0.00116319927414	0.028745649127998683
71	10	2	19,17	0,1	309	149	0.0156069445111	0.1458886976156505
72	47	24	12,27	12,6	182	149	0.85454004523	1.0
74	0	8	1,4	11,18	234	149	0.0533238138555	0.3095181150234156
75	265	1	49,108	2,3	463	149	0.0364044849017	0.24489210951803733
76	14	7	45,18	11,22	279	149	0.861618615929	1.0
77	5	130	10,5	109,129	191	149	0.32247161586	0.8172185192841387
78	5	5	0,2	0,1	233	149	1	1.0
79	74	23	40,39	7,37	235	149	0.513766421889	0.9948247964237631
80	85	10	55,87	5,15	428	149	0.742169193848	1.0
81	1002	18	426,521	16,3	152	149	0.871766999697	1.0
82	7	479	16,4	152,241	212	149	0.00502814871498	0.07304220236345725
83	79	0	17,41	0,4	165	149	0.102799233645	0.45447502651624533
84	13	142	20,13	42,83	266	149	0.0044001469811	0.06716005532899301
85	5638	0	8947,5931	2,0	4149	149	1	1.0
86	63	0	108,88	0,2	154	149	1	1.0
88	1	0	1,3	2,0	154	149	0.319468519952	0.8136048021239765
89	78	0	27,45	3,3	154	149	0.0136544802477	0.13497494606528837
90	59	3	13,35	2,2	154	149	0.83069299265	1.0
92	4	1	15,7	0,0	244	149	0.253447090427	0.7352567352453722
94	9	37	65,42	220,162	167	149	0.619649733844	1.0
96	7	49	4,1	79,49	168	149	0.0222782760505	0.183152281395246
98	6	49	29,6	22,30	176	149	0.013577779655	0.13437768977502398
99	37	1	58,42	1,0	271	149	0.845821621656	1.0
100	80	1	51,66	1,0	244	149	0.621152500677	1.0
101	3	48	11,7	12,27	232	149	0.000974873822673	0.025873339332292418
102	35	2	12,19	0,0	154	149	0.527463143495	1.0
103	2	33	8,0	29,19	219	149	0.195645599336	0.6428577933596115
104	15	14	9,15	4,8	214	149	0.198136565761	0.6477268390500277
105	91	1	102,101	10,5	218	149	0.00535801905144	0.07572789255237287
106	77	1	158,255	6,5	161	149	0.197769626808	0.6473275164437637
107	0	10	2,0	10,9	195	149	0.670087158768	1.0
109	1	70	0,0	67,119	170	149	1	1.0
110	2	11	9,4	3,4	193	149	0.00336099913393	0.05615726083291137
111	7	36	9,9	21,38	152	149	0.361587507797	0.8650850114076631
112	0	49	3,1	48,50	166	149	0.420796081971	0.9217757061010174
114	215	2	241,263	2,1	236	149	0.606110424957	1.0
115	416	0	213,383	1,1	155	149	1	1.0
116	34	615	21,31	272,575	152	149	0.690216626429	1.0
118	1718	0	2011,1515	1,0	3105	149	1	1.0
119	80	54	17,72	15,64	152	149	0.302110884009	0.7977041703807696
120	0	20	3,0	10,4	217	149	0.189658448192	0.634552424554831
123	78	0	50,18	0,4	767	149	0.0122285810176	0.12717595176939622
124	1	43	18,1	60,51	258	149	0.00529519758482	0.0751165350170554
135	136	375	18,93	86,310	152	149	0.138320730206	0.5375232142751054
136	269	54	88,160	16,27	257	149	0.529825857228	1.0
137	626	1	201,431	0,1	354	149	1	1.0
138	411	1	129,298	0,1	246	149	1	1.0
139	3	9	0,4	0,3	152	149	1	1.0
140	608	233	155,370	64,213	257	149	0.113687321991	0.48270326940005864
141	197	50	60,122	11,32	190	149	0.708849183642	1.0
142	558	131	157,404	48,80	152	149	0.984233903158	1.0
143	44	702	16,8	171,534	171	149	0.0299468642636	0.21797303142130017
144	116	859	17,49	136,447	152	149	0.358830193574	0.8622663304182497
145	0	61	4,0	45,54	181	149	0.657962241758	1.0
146	2	2	4,1	2,3	185	149	0.813392707097	1.0
147	63	2	45,55	2,3	153	149	0.585530648511	1.0
148	8	1	11,9	0,9	485	149	0.82307188654	1.0
150	13	2	4,28	0,1	185	149	0.0333040694198	0.2329591432127366
151	0	1	3,5	0,2	224	149	6.08920820878e-05	0.0036686368288518334
152	9	151	19,12	16,127	587	149	0.000445591927891	0.015388768923900894
153	271	0	75,238	0,5	729	149	0.0561266520327	0.3188364665367555
154	413	0	72,353	0,5	291	149	0.696462363108	1.0
155	2	24	0,2	1,53	170	149	0.238621856724	0.7151724057370719
164	50	4	47,43	8,2	753	149	0.693859567467	1.0
166	3	26	5,1	35,15	197	149	0.88516953472	1.0
167	1	3	0,2	4,2	188	149	0.768476929475	1.0
172	1	2	0,1	0,0	217	149	1	1.0
174	70	0	66,54	2,0	242	149	0.451817230221	0.9475144229873826
177	0	5	1,0	0,0	182	149	1	1.0
178	0	10	1,0	1,17	185	149	1	1.0
179	5	10	0,0	1,17	152	149	4.01495066386e-05	0.0027416384161317387
180	715	69	451,418	14,69	2845	149	0.601223166904	1.0
184	12	376	39,17	162,298	837	149	0.000403642312264	0.01443875826730013
186	115	0	396,200	2,0	182	149	1	1.0
188	138	0	111,143	1,6	239	149	0.0476217430573	0.2887687165239658
190	168	73	420,144	112,74	600	149	0.485445307131	0.9747567766751
191	19	68	36,14	144,64	256	149	0.669267451366	1.0
192	99	1	82,138	0,0	322	149	0.408549777179	0.9108252507044293
193	829	18	839,932	8,26	1300	149	0.667027744519	1.0
195	41	1	77,68	0,0	289	149	0.273495483094	0.7649717781965015
196	26	9	43,26	10,3	215	149	0.207618724974	0.6621657480430433
197	17	1	39,20	1,1	215	149	0.975592286776	1.0
204	84	34	80,48	35,38	184	149	0.241518368884	0.7206568362290517
206	12	0	1,11	0,2	191	149	0.655501150213	1.0
207	13	0	4,5	0,2	194	149	0.606929970089	1.0
208	8	7	3,0	0,6	152	149	0.73402710452	1.0
210	2	3	0,0	0,1	152	149	1	1.0
212	1	0	0,0	0,2	152	149	1	1.0
214	7	7	2,3	0,1	236	149	0.00147172415515	0.0327658573695814
215	11	7	2,5	0,1	463	149	0.00244079335539	0.044571478662365174
216	5	1	0,2	0,0	376	149	1	1.0
217	4	7	21,22	3,19	152	149	0.0507421653877	0.3023795196667137
218	1	0	3,8	0,1	188	149	1	1.0
219	27	4	2,43	2,9	152	149	0.423551412989	0.9233285077455399
222	255	159	61,335	29,189	152	149	0.441776238144	0.9393150617312149
223	68	523	16,44	58,535	197	149	0.648165319188	1.0
224	29	10	10,16	3,4	197	149	0.614549618911	1.0
226	16	5	62,70	35,19	198	149	0.561074313975	1.0
233	2	6	4,9	4,3	152	149	0.0351898884059	0.24064402560256715
235	62	4	223,290	8,7	229	149	0.353037880561	0.8557928534950057
236	32	26	218,211	64,103	152	149	0.0212673204592	0.17749288480307057
237	15	69	163,129	381,416	152	149	0.0688023584761	0.362350036241272
238	46	43	257,336	285,296	152	149	0.83443986432	1.0
242	98	19	212,381	52,63	152	149	0.888446324115	1.0
243	5	19	22,27	52,63	186	149	0.265532493339	0.7539405572824581
244	4	97	19,22	209,376	183	149	0.1856497023	0.6259610468889706
245	23	128	93,83	211,400	305	149	0.0499835473724	0.2985269175193847
246	11	0	64,63	5,4	305	149	0.0164386609248	0.15092848417497132
247	1	0	5,7	2,0	152	149	0.667567872604	1.0
248	400	2957	570,392	1325,2486	994	149	1.99878767282e-06	0.0003299598690291256
250	7	74	7,7	80,91	172	149	0.785472239061	1.0
251	5	294	12,6	102,199	177	149	0.00889353783038	0.104420001780877
252	362	1	210,333	0,1	167	149	1	1.0
253	114	2	121,167	1,1	186	149	0.529137297432	1.0
254	3	15	9,9	22,17	152	149	0.16313449164	0.5836636731671261
255	0	3	5,2	1,9	169	149	0.00201306988021	0.040021526366450774
256	34	5	17,15	0,3	181	149	0.23019447177	0.7024122624730426
257	22	5	15,9	0,3	205	149	0.204772704649	0.658053003378895
258	15	27	7,7	9,13	173	149	0.836751487551	1.0
261	639	0	234,749	0,1	153	149	1	1.0
262	0	3	0,2	0,0	275	149	1	1.0
263	87	0	84,47	0,1	161	149	1	1.0
265	1	0	3,1	3,0	182	149	0.0472132946092	0.28802552380217056
267	3	13	4,6	39,27	226	149	0.827821008729	1.0
275	4	2	1,4	0,1	152	149	0.0139298347439	0.13706417050607342
277	4	6	1,4	4,2	197	149	0.923455116309	1.0
278	5	0	5,13	0,1	184	149	1	1.0
281	655	7	276,592	1,10	219	149	0.866453742188	1.0
282	759	8	323,712	3,5	257	149	0.447847587235	0.9454051112628363
283	111	8	48,130	3,5	187	149	0.299646377321	0.7950116356179795
284	79	306	20,108	70,291	197	149	0.155871324388	0.5710686256001927
287	0	13	2,0	6,4	203	149	0.857133501718	1.0
288	47	8	4,31	1,6	152	149	0.773509755527	1.0
289	2	36	4,1	10,21	316	149	0.305488258533	0.7999438013981736
290	264	0	52,424	0,2	228	149	1	1.0
291	19	263	57,31	187,261	845	149	0.000232201391029	0.010049228673285497
292	22	263	81,39	187,261	1099	149	4.98459782317e-06	0.0006635946843942771
293	389	2	374,401	1,4	1878	149	0.886833245207	1.0
294	359	0	261,358	4,3	154	149	1	1.0
295	10	14207	50,31	7268,11243	254	149	1	1.0
296	14246	0	7391,11279	1,0	392	149	1	1.0
297	16214	4	8940,13066	0,0	154	149	1	1.0
298	3	25	1,7	28,44	166	149	0.653965957229	1.0
299	2	22	2,3	35,35	177	149	0.895093299544	1.0
300	25	8	59,53	6,15	203	149	0.312566550814	0.8063183399499543
301	1	0	15,4	4,0	200	149	0.0167027827202	0.15267416231730987
302	5	14	16,13	19,23	200	149	0.19355697591	0.6411982057835658
303	307	1	205,325	0,8	248	149	0.17912984364	0.6142657787306024
304	101	1	56,88	0,8	348	149	0.0396607035457	0.25888198729218154
305	15	221	23,7	172,244	249	149	0.866270104208	1.0
306	12	2	11,27	1,2	152	149	0.449199277344	0.946233784783201
307	375	2	187,403	1,2	199	149	1	1.0
308	367	4	184,379	8,3	196	149	0.30301629282	0.7983242173232744
314	8	325	8,4	72,452	219	149	0.899073925417	1.0
315	0	75	1,1	69,54	169	149	1	1.0
318	106	2	8,116	0,0	326	149	0.898456983443	1.0
319	52	2	3,42	0,0	267	149	0.422528007633	0.9233285077455399
321	34	5246	11,22	2750,4952	167	149	1	1.0
322	3386	1	1614,2957	5,7	157	149	1	1.0
323	66	10	91,55	18,8	152	149	0.695665431761	1.0
324	64	62	159,62	74,61	445	149	0.189079398616	0.6328715961786148
325	133	4	340,137	8,10	155	149	0.533185814961	1.0
326	2	46	1,7	6,60	220	149	0.145500730078	0.5498914954504633
327	73	32	57,63	18,18	152	149	0.205444504203	0.6590512777658617
329	26	591	13,16	435,624	191	149	0.106962111514	0.4625503503967504
331	33	111	19,35	62,119	170	149	0.98157224436	1.0
332	16	111	23,4	62,119	294	149	0.92561903284	1.0
333	12	29	19,3	15,34	273	149	0.913736513292	1.0
334	9	130	11,10	100,138	268	149	0.561941319311	1.0
335	5	0	3,3	0,1	174	149	1	1.0
338	8	127	3,2	49,124	186	149	0.101749959081	0.451772007667872
339	7	4	2,18	2,2	153	149	0.232668136797	0.7057856674466879
340	10	0	7,7	2,0	180	149	0.733304532867	1.0
344	2	0	5,12	2,1	218	149	0.0861738805904	0.4111440522503825
345	42	0	4,25	1,0	251	149	1	1.0
346	0	94	0,1	33,40	164	149	1	1.0
348	22	124	38,16	102,113	176	149	0.318248256153	0.8125534911199028
349	9	334	18,18	455,261	176	149	0.0823247941615	0.4009916194995368
351	253	3	20,81	3,0	283	149	0.821035977094	1.0
352	0	9	1,1	4,6	173	149	0.340858207609	0.8410501175139212
353	30	9	7,76	1,9	152	149	0.0701002828898	0.36574282901541894
354	62	18	48,96	38,40	152	149	0.0545601751202	0.313738627964213
355	1	63	1,0	29,75	178	149	1	1.0
356	1	80	4,1	63,130	170	149	0.575286747238	1.0
361	130	0	132,244	0,1	197	149	1	1.0
362	36	0	57,71	0,1	222	149	1	1.0
363	2	96	2,0	77,173	174	149	0.617782055621	1.0
365	3	1	3,10	0,0	285	149	0.110872643607	0.4742299945596508
366	7	3	8,16	5,7	197	149	0.86350616841	1.0
367	1	13	7,1	10,19	215	149	0.141255246669	0.5430083400542626
368	99	0	455,206	0,3	455	149	0.937950477598	1.0
369	2	115	16,3	402,133	200	149	0.177468768924	0.6108537192238097
370	3	0	35,11	1,3	319	149	0.0199153303062	0.17034314647396354
371	3	118	38,11	361,255	319	149	0.0147732458224	0.14162412429510987
374	15	10	13,5	14,19	232	149	0.0540449840676	0.31238606337112773
375	4	4	0,3	1,5	152	149	0.185564400975	0.6259291236810993
378	6	6	5,3	2,1	163	149	0.173617768269	0.6020614347349476
379	0	2	0,1	0,0	171	149	1	1.0
380	81	3	76,70	0,2	928	149	0.0583590323146	0.3275680113488619
