IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
6	1250	8,3	506,987	197	149
30	133	12,25	27,126	442	149
4	0	0,5	0,1	152	149
361	1553	11,154	45,686	152	149
151	0	231,175	0,1	2227	149
4	2	19,24	19,10	192	149
4	197	19,25	420,1058	192	149
4	8	16,3	2,5	226	149
3	314	1,1	240,546	204	149
10	353	24,14	320,589	370	149
328	7	50,157	0,1	153	149
1035	3	550,833	0,1	2480	149
36	588	104,25	207,429	378	149
11	98	8,8	29,77	374	149
10	0	18,8	0,1	198	149
11	1	18,10	5,1	198	149
25	18	24,16	25,10	198	149
10	0	19,8	1,0	153	149
10	1902	3,20	775,1839	166	149
60	7	39,62	1,2	182	149
52	0	31,48	0,1	182	149
3	0	4,5	0,1	940	149
0	1	0,3	0,0	905	149
164	2	44,42	0,0	2396	149
33	23	41,47	9,16	215	149
17	43	48,43	32,43	845	149
34	2	68,24	0,1	155	149
59	0	110,35	0,3	193	149
23	92	15,10	55,80	152	149
22	59	52,29	132,80	152	149
25	439	7,12	227,194	152	149
36	299	5,21	129,144	152	149
0	282	2,3	102,149	170	149
265	4	53,92	2,1	153	149
13	0	16,7	0,2	235	149
45	0	38,40	2,1	181	149
742	5	989,749	1,3	2008	149
43	1	73,35	1,0	153	149
253	0	226,336	1,0	401	149
6	27	46,4	15,35	582	149
69	46	14,18	7,20	152	149
6	27	2,6	9,19	152	149
0	6	6,2	0,0	200	149
3	128	4,1	93,113	200	149
8	138	19,17	64,115	309	149
10	2	19,17	0,1	309	149
47	24	12,27	12,6	182	149
0	8	1,4	11,18	234	149
265	1	49,108	2,3	463	149
14	7	45,18	11,22	279	149
5	130	10,5	109,129	191	149
5	5	0,2	0,1	233	149
74	23	40,39	7,37	235	149
85	10	55,87	5,15	428	149
1002	18	426,521	16,3	152	149
7	479	16,4	152,241	212	149
79	0	17,41	0,4	165	149
13	142	20,13	42,83	266	149
5638	0	8947,5931	2,0	4149	149
63	0	108,88	0,2	154	149
1	0	1,3	2,0	154	149
78	0	27,45	3,3	154	149
59	3	13,35	2,2	154	149
4	1	15,7	0,0	244	149
9	37	65,42	220,162	167	149
7	49	4,1	79,49	168	149
6	49	29,6	22,30	176	149
37	1	58,42	1,0	271	149
80	1	51,66	1,0	244	149
3	48	11,7	12,27	232	149
35	2	12,19	0,0	154	149
2	33	8,0	29,19	219	149
15	14	9,15	4,8	214	149
91	1	102,101	10,5	218	149
77	1	158,255	6,5	161	149
0	10	2,0	10,9	195	149
1	70	0,0	67,119	170	149
2	11	9,4	3,4	193	149
7	36	9,9	21,38	152	149
0	49	3,1	48,50	166	149
215	2	241,263	2,1	236	149
416	0	213,383	1,1	155	149
34	615	21,31	272,575	152	149
1718	0	2011,1515	1,0	3105	149
80	54	17,72	15,64	152	149
0	20	3,0	10,4	217	149
78	0	50,18	0,4	767	149
1	43	18,1	60,51	258	149
136	375	18,93	86,310	152	149
269	54	88,160	16,27	257	149
626	1	201,431	0,1	354	149
411	1	129,298	0,1	246	149
3	9	0,4	0,3	152	149
608	233	155,370	64,213	257	149
197	50	60,122	11,32	190	149
558	131	157,404	48,80	152	149
44	702	16,8	171,534	171	149
116	859	17,49	136,447	152	149
0	61	4,0	45,54	181	149
2	2	4,1	2,3	185	149
63	2	45,55	2,3	153	149
8	1	11,9	0,9	485	149
13	2	4,28	0,1	185	149
0	1	3,5	0,2	224	149
9	151	19,12	16,127	587	149
271	0	75,238	0,5	729	149
413	0	72,353	0,5	291	149
2	24	0,2	1,53	170	149
50	4	47,43	8,2	753	149
3	26	5,1	35,15	197	149
1	3	0,2	4,2	188	149
1	2	0,1	0,0	217	149
70	0	66,54	2,0	242	149
0	5	1,0	0,0	182	149
0	10	1,0	1,17	185	149
5	10	0,0	1,17	152	149
715	69	451,418	14,69	2845	149
12	376	39,17	162,298	837	149
115	0	396,200	2,0	182	149
