ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	6	1250	8,3	506,987	197	149	1
2	30	133	12,25	27,126	442	149	0.837347278618
3	4	0	0,5	0,1	152	149	1
5	361	1553	11,154	45,686	152	149	0.838929851227
6	151	0	231,175	0,1	2227	149	1
7	4	2	19,24	19,10	192	149	0.626100117473
8	4	197	19,25	420,1058	192	149	0.283678897045
13	4	8	16,3	2,5	226	149	0.0825296828745
14	3	314	1,1	240,546	204	149	1
15	10	353	24,14	320,589	370	149	0.240075718131
17	328	7	50,157	0,1	153	149	0.175071134507
18	1035	3	550,833	0,1	2480	149	0.114243829503
19	36	588	104,25	207,429	378	149	1.56002315367e-05
21	11	98	8,8	29,77	374	149	0.569563854714
22	10	0	18,8	0,1	198	149	1
23	11	1	18,10	5,1	198	149	0.385855682483
24	25	18	24,16	25,10	198	149	0.652366632426
25	10	0	19,8	1,0	153	149	1
26	10	1902	3,20	775,1839	166	149	1
27	60	7	39,62	1,2	182	149	0.015176096094
28	52	0	31,48	0,1	182	149	1
29	3	0	4,5	0,1	940	149	1
31	0	1	0,3	0,0	905	149	1
32	164	2	44,42	0,0	2396	149	0.0558675198758
33	33	23	41,47	9,16	215	149	0.0148217191567
47	17	43	48,43	32,43	845	149	0.000674259126746
48	34	2	68,24	0,1	155	149	0.363880442975
49	59	0	110,35	0,3	193	149	0.699137821126
50	23	92	15,10	55,80	152	149	0.365884372398
53	22	59	52,29	132,80	152	149	0.920841733935
54	25	439	7,12	227,194	152	149	0.400282069299
55	36	299	5,21	129,144	152	149	0.340867627226
56	0	282	2,3	102,149	170	149	0.601382342355
57	265	4	53,92	2,1	153	149	0.702605664234
58	13	0	16,7	0,2	235	149	0.63054637332
59	45	0	38,40	2,1	181	149	0.684538659102
60	742	5	989,749	1,3	2008	149	0.0737879413425
61	43	1	73,35	1,0	153	149	0.385829959692
62	253	0	226,336	1,0	401	149	1
64	6	27	46,4	15,35	582	149	0.0712388695709
65	69	46	14,18	7,20	152	149	0.658402187878
66	6	27	2,6	9,19	152	149	0.744029477797
67	0	6	6,2	0,0	200	149	2.43763564889e-10
69	3	128	4,1	93,113	200	149	0.968307623743
70	8	138	19,17	64,115	309	149	0.00116319927414
71	10	2	19,17	0,1	309	149	0.0156069445111
72	47	24	12,27	12,6	182	149	0.85454004523
74	0	8	1,4	11,18	234	149	0.0533238138555
75	265	1	49,108	2,3	463	149	0.0364044849017
76	14	7	45,18	11,22	279	149	0.861618615929
77	5	130	10,5	109,129	191	149	0.32247161586
78	5	5	0,2	0,1	233	149	1
79	74	23	40,39	7,37	235	149	0.513766421889
80	85	10	55,87	5,15	428	149	0.742169193848
81	1002	18	426,521	16,3	152	149	0.871766999697
82	7	479	16,4	152,241	212	149	0.00502814871498
83	79	0	17,41	0,4	165	149	0.102799233645
84	13	142	20,13	42,83	266	149	0.0044001469811
85	5638	0	8947,5931	2,0	4149	149	1
86	63	0	108,88	0,2	154	149	1
88	1	0	1,3	2,0	154	149	0.319468519952
89	78	0	27,45	3,3	154	149	0.0136544802477
90	59	3	13,35	2,2	154	149	0.83069299265
92	4	1	15,7	0,0	244	149	0.253447090427
94	9	37	65,42	220,162	167	149	0.619649733844
96	7	49	4,1	79,49	168	149	0.0222782760505
98	6	49	29,6	22,30	176	149	0.013577779655
99	37	1	58,42	1,0	271	149	0.845821621656
100	80	1	51,66	1,0	244	149	0.621152500677
101	3	48	11,7	12,27	232	149	0.000974873822673
102	35	2	12,19	0,0	154	149	0.527463143495
103	2	33	8,0	29,19	219	149	0.195645599336
104	15	14	9,15	4,8	214	149	0.198136565761
105	91	1	102,101	10,5	218	149	0.00535801905144
106	77	1	158,255	6,5	161	149	0.197769626808
107	0	10	2,0	10,9	195	149	0.670087158768
109	1	70	0,0	67,119	170	149	1
110	2	11	9,4	3,4	193	149	0.00336099913393
111	7	36	9,9	21,38	152	149	0.361587507797
112	0	49	3,1	48,50	166	149	0.420796081971
114	215	2	241,263	2,1	236	149	0.606110424957
115	416	0	213,383	1,1	155	149	1
116	34	615	21,31	272,575	152	149	0.690216626429
118	1718	0	2011,1515	1,0	3105	149	1
119	80	54	17,72	15,64	152	149	0.302110884009
120	0	20	3,0	10,4	217	149	0.189658448192
123	78	0	50,18	0,4	767	149	0.0122285810176
124	1	43	18,1	60,51	258	149	0.00529519758482
135	136	375	18,93	86,310	152	149	0.138320730206
136	269	54	88,160	16,27	257	149	0.529825857228
137	626	1	201,431	0,1	354	149	1
138	411	1	129,298	0,1	246	149	1
139	3	9	0,4	0,3	152	149	1
140	608	233	155,370	64,213	257	149	0.113687321991
141	197	50	60,122	11,32	190	149	0.708849183642
142	558	131	157,404	48,80	152	149	0.984233903158
143	44	702	16,8	171,534	171	149	0.0299468642636
144	116	859	17,49	136,447	152	149	0.358830193574
145	0	61	4,0	45,54	181	149	0.657962241758
146	2	2	4,1	2,3	185	149	0.813392707097
147	63	2	45,55	2,3	153	149	0.585530648511
148	8	1	11,9	0,9	485	149	0.82307188654
150	13	2	4,28	0,1	185	149	0.0333040694198
151	0	1	3,5	0,2	224	149	6.08920820878e-05
152	9	151	19,12	16,127	587	149	0.000445591927891
153	271	0	75,238	0,5	729	149	0.0561266520327
154	413	0	72,353	0,5	291	149	0.696462363108
155	2	24	0,2	1,53	170	149	0.238621856724
164	50	4	47,43	8,2	753	149	0.693859567467
166	3	26	5,1	35,15	197	149	0.88516953472
167	1	3	0,2	4,2	188	149	0.768476929475
172	1	2	0,1	0,0	217	149	1
174	70	0	66,54	2,0	242	149	0.451817230221
177	0	5	1,0	0,0	182	149	1
178	0	10	1,0	1,17	185	149	1
179	5	10	0,0	1,17	152	149	4.01495066386e-05
180	715	69	451,418	14,69	2845	149	0.601223166904
184	12	376	39,17	162,298	837	149	0.000403642312264
186	115	0	396,200	2,0	182	149	1
188	138	0	111,143	1,6	239	149	0.0476217430573
190	168	73	420,144	112,74	600	149	0.485445307131
191	19	68	36,14	144,64	256	149	0.669267451366
192	99	1	82,138	0,0	322	149	0.408549777179
193	829	18	839,932	8,26	1300	149	0.667027744519
195	41	1	77,68	0,0	289	149	0.273495483094
196	26	9	43,26	10,3	215	149	0.207618724974
197	17	1	39,20	1,1	215	149	0.975592286776
204	84	34	80,48	35,38	184	149	0.241518368884
206	12	0	1,11	0,2	191	149	0.655501150213
207	13	0	4,5	0,2	194	149	0.606929970089
208	8	7	3,0	0,6	152	149	0.73402710452
210	2	3	0,0	0,1	152	149	1
212	1	0	0,0	0,2	152	149	1
214	7	7	2,3	0,1	236	149	0.00147172415515
215	11	7	2,5	0,1	463	149	0.00244079335539
216	5	1	0,2	0,0	376	149	1
217	4	7	21,22	3,19	152	149	0.0507421653877
218	1	0	3,8	0,1	188	149	1
219	27	4	2,43	2,9	152	149	0.423551412989
222	255	159	61,335	29,189	152	149	0.441776238144
223	68	523	16,44	58,535	197	149	0.648165319188
224	29	10	10,16	3,4	197	149	0.614549618911
226	16	5	62,70	35,19	198	149	0.561074313975
233	2	6	4,9	4,3	152	149	0.0351898884059
235	62	4	223,290	8,7	229	149	0.353037880561
236	32	26	218,211	64,103	152	149	0.0212673204592
237	15	69	163,129	381,416	152	149	0.0688023584761
238	46	43	257,336	285,296	152	149	0.83443986432
242	98	19	212,381	52,63	152	149	0.888446324115
243	5	19	22,27	52,63	186	149	0.265532493339
244	4	97	19,22	209,376	183	149	0.1856497023
245	23	128	93,83	211,400	305	149	0.0499835473724
246	11	0	64,63	5,4	305	149	0.0164386609248
247	1	0	5,7	2,0	152	149	0.667567872604
248	400	2957	570,392	1325,2486	994	149	1.99878767282e-06
250	7	74	7,7	80,91	172	149	0.785472239061
251	5	294	12,6	102,199	177	149	0.00889353783038
252	362	1	210,333	0,1	167	149	1
253	114	2	121,167	1,1	186	149	0.529137297432
254	3	15	9,9	22,17	152	149	0.16313449164
255	0	3	5,2	1,9	169	149	0.00201306988021
256	34	5	17,15	0,3	181	149	0.23019447177
257	22	5	15,9	0,3	205	149	0.204772704649
258	15	27	7,7	9,13	173	149	0.836751487551
261	639	0	234,749	0,1	153	149	1
262	0	3	0,2	0,0	275	149	1
263	87	0	84,47	0,1	161	149	1
265	1	0	3,1	3,0	182	149	0.0472132946092
267	3	13	4,6	39,27	226	149	0.827821008729
275	4	2	1,4	0,1	152	149	0.0139298347439
277	4	6	1,4	4,2	197	149	0.923455116309
278	5	0	5,13	0,1	184	149	1
281	655	7	276,592	1,10	219	149	0.866453742188
282	759	8	323,712	3,5	257	149	0.447847587235
283	111	8	48,130	3,5	187	149	0.299646377321
284	79	306	20,108	70,291	197	149	0.155871324388
287	0	13	2,0	6,4	203	149	0.857133501718
288	47	8	4,31	1,6	152	149	0.773509755527
289	2	36	4,1	10,21	316	149	0.305488258533
290	264	0	52,424	0,2	228	149	1
291	19	263	57,31	187,261	845	149	0.000232201391029
292	22	263	81,39	187,261	1099	149	4.98459782317e-06
293	389	2	374,401	1,4	1878	149	0.886833245207
294	359	0	261,358	4,3	154	149	1
295	10	14207	50,31	7268,11243	254	149	1
296	14246	0	7391,11279	1,0	392	149	1
297	16214	4	8940,13066	0,0	154	149	1
298	3	25	1,7	28,44	166	149	0.653965957229
299	2	22	2,3	35,35	177	149	0.895093299544
300	25	8	59,53	6,15	203	149	0.312566550814
301	1	0	15,4	4,0	200	149	0.0167027827202
302	5	14	16,13	19,23	200	149	0.19355697591
303	307	1	205,325	0,8	248	149	0.17912984364
304	101	1	56,88	0,8	348	149	0.0396607035457
305	15	221	23,7	172,244	249	149	0.866270104208
306	12	2	11,27	1,2	152	149	0.449199277344
307	375	2	187,403	1,2	199	149	1
308	367	4	184,379	8,3	196	149	0.30301629282
314	8	325	8,4	72,452	219	149	0.899073925417
315	0	75	1,1	69,54	169	149	1
318	106	2	8,116	0,0	326	149	0.898456983443
319	52	2	3,42	0,0	267	149	0.422528007633
321	34	5246	11,22	2750,4952	167	149	1
322	3386	1	1614,2957	5,7	157	149	1
323	66	10	91,55	18,8	152	149	0.695665431761
324	64	62	159,62	74,61	445	149	0.189079398616
325	133	4	340,137	8,10	155	149	0.533185814961
326	2	46	1,7	6,60	220	149	0.145500730078
327	73	32	57,63	18,18	152	149	0.205444504203
329	26	591	13,16	435,624	191	149	0.106962111514
331	33	111	19,35	62,119	170	149	0.98157224436
332	16	111	23,4	62,119	294	149	0.92561903284
333	12	29	19,3	15,34	273	149	0.913736513292
334	9	130	11,10	100,138	268	149	0.561941319311
335	5	0	3,3	0,1	174	149	1
338	8	127	3,2	49,124	186	149	0.101749959081
339	7	4	2,18	2,2	153	149	0.232668136797
340	10	0	7,7	2,0	180	149	0.733304532867
344	2	0	5,12	2,1	218	149	0.0861738805904
345	42	0	4,25	1,0	251	149	1
346	0	94	0,1	33,40	164	149	1
348	22	124	38,16	102,113	176	149	0.318248256153
349	9	334	18,18	455,261	176	149	0.0823247941615
351	253	3	20,81	3,0	283	149	0.821035977094
352	0	9	1,1	4,6	173	149	0.340858207609
353	30	9	7,76	1,9	152	149	0.0701002828898
354	62	18	48,96	38,40	152	149	0.0545601751202
355	1	63	1,0	29,75	178	149	1
356	1	80	4,1	63,130	170	149	0.575286747238
361	130	0	132,244	0,1	197	149	1
362	36	0	57,71	0,1	222	149	1
363	2	96	2,0	77,173	174	149	0.617782055621
365	3	1	3,10	0,0	285	149	0.110872643607
366	7	3	8,16	5,7	197	149	0.86350616841
367	1	13	7,1	10,19	215	149	0.141255246669
368	99	0	455,206	0,3	455	149	0.937950477598
369	2	115	16,3	402,133	200	149	0.177468768924
370	3	0	35,11	1,3	319	149	0.0199153303062
371	3	118	38,11	361,255	319	149	0.0147732458224
374	15	10	13,5	14,19	232	149	0.0540449840676
375	4	4	0,3	1,5	152	149	0.185564400975
378	6	6	5,3	2,1	163	149	0.173617768269
379	0	2	0,1	0,0	171	149	1
380	81	3	76,70	0,2	928	149	0.0583590323146
381	15	665	6,5	106,370	224	149	0.9439789828
384	2	2	0,2	0,1	245	149	1
385	26	65	26,19	57,61	152	149	0.868410696671
386	928	2	463,1197	6,7	242	149	0.858026571177
387	8	9	22,32	6,30	269	149	0.233193679974
388	1261	2	638,2779	2,19	152	149	1
389	16	5	27,57	17,16	152	149	0.541250114865
390	48	3	97,124	2,9	329	149	0.692214361924
391	37	3	87,83	2,9	326	149	0.722047651689
393	215	2	66,213	0,0	277	149	0.537986126703
394	10	0	1,28	1,0	165	149	1
395	28	45	6,5	9,11	308	149	0.682963799311
396	22	0	7,2	3,0	308	149	0.0424430197653
398	2	5	3,0	0,0	180	149	1
399	0	14	5,10	17,32	208	149	0.0012181209456
400	342	1	250,479	0,0	380	149	1
403	2	55	8,3	31,46	397	149	0.0394149828947
404	18	0	12,19	0,1	155	149	1
405	57	3	60,32	6,1	155	149	0.733293437202
406	0	6	0,9	3,23	152	149	0.00732263188187
407	25	20	16,17	11,16	152	149	0.973569453374
408	2	14	0,1	5,5	152	149	0.086904683428
409	9	8	4,4	14,6	174	149	0.0874416287173
411	0	2	0,2	1,0	152	149	0.118233888948
412	0	2	3,0	1,0	311	149	1
415	24	0	86,110	1,1	1432	149	0.468918443056
416	25	0	85,111	1,1	1487	149	0.514845653486
417	25	0	80,109	1,1	1537	149	0.589843180797
421	1	0	6,4	7,3	204	149	0.00336852904787
422	1	0	1,2	7,3	254	149	0.000371808646832
424	2	1690	1,4	1537,2334	179	149	1
425	1330	2	779,1806	1,1	200	149	1
426	104	4	29,109	1,21	187	149	0.0122956644693
427	4	74	4,15	23,92	181	149	0.0288800808819
428	1	74	0,0	23,92	169	149	1
431	673	129	801,1193	164,232	152	149	0.809664172028
432	22	129	41,40	164,232	245	149	0.476916702663
433	1	652	26,17	786,1170	242	149	0.225146353083
434	2	4	12,11	14,24	194	149	0.70604965824
435	1	4	4,28	4,85	152	149	0.389355470581
436	6	5	1,10	4,1	152	149	0.661290469225
437	51	0	71,66	2,0	333	149	0.361112946199
438	12	2	18,20	0,0	286	149	0.0395082844882
439	20	3	47,29	1,4	466	149	0.310040697833
440	66	3	80,33	1,4	709	149	0.905593051746
441	6	10	7,6	3,12	174	149	0.477654678719
442	357	2	327,493	0,0	596	149	0.528723530625
443	31	1	24,21	0,0	295	149	0.249610553149
444	9	2	11,9	0,0	325	149	0.0122265568694
445	1	31	0,0	13,12	212	149	0.395870122329
446	424	117	76,191	15,38	152	149	0.110887313969
447	53	28	8,11	2,3	306	149	0.145284363505
448	4	1504	5,1	20,182	242	149	0.504470041659
451	49	96	12,23	52,95	152	149	0.00546582843568
452	13	135	15,10	48,123	409	149	0.26304752157
453	1	0	0,1	0,2	152	149	1
454	4	0	0,9	1,11	152	149	0.000318695684426
455	4	11	0,10	6,7	152	149	0.902490426253
456	15	72	47,10	114,55	227	149	0.208694979966
457	3	0	3,15	0,1	207	149	1
464	451	2	308,617	2,2	173	149	1
466	9	0	3,13	0,1	158	149	1
472	115	1	102,179	0,2	3955	149	0.692879677359
479	16	3	7,18	7,9	152	149	0.0483011800774
480	208	26	213,319	55,19	219	149	0.842187253317
481	29	10	51,64	14,15	301	149	0.474337432964
482	27	4	39,52	5,15	158	149	0.436108902019
483	6	105	16,6	69,85	204	149	0.0471408057856
484	113	0	63,95	0,2	191	149	1
486	19	52	36,8	19,96	214	149	0.870559875521
487	33	52	72,12	19,96	345	149	0.894149883103
488	18	4	40,6	4,2	280	149	0.456041505469
489	128	0	64,102	1,0	220	149	1
490	89	96	84,110	106,109	152	149	0.890721622149
492	217	11	66,209	6,9	224	149	0.905859389822
493	4	174	7,11	63,211	245	149	0.0355352240698
494	727	2	970,828	0,2	2740	149	0.251299853978
495	370	1	140,335	0,0	421	149	1
496	92	25	0,312	0,77	215	149	1
497	4	121	22,2	14,358	729	149	0.00232538934161
498	0	154	0,3	43,230	168	149	1
499	4572	0	1859,4481	2,1	195	149	1
500	36	786	9,24	338,785	168	149	0.0867545210313
501	542	218	192,694	69,244	152	149	0.430865488254
503	84	0	27,107	0,2	775	149	0.367566200636
504	0	1	6,1	0,4	188	149	0.000794684593038
505	0	10	6,0	2,2	411	149	0.0110046228962
506	3	2	5,1	0,0	342	149	0.000583344273619
510	28	2	304,255	2,6	188	149	0.35462715179
511	1	8	1,4	40,89	163	149	0.413888107247
512	156	0	128,249	0,4	199	149	0.786854763523
514	0	4	1,3	0,21	258	149	0.301346213054
515	22	0	12,49	1,0	318	149	1
516	28	7	13,31	0,6	212	149	0.198814962513
517	0	12	0,6	25,33	707	149	0.52180754344
519	43	32	91,98	91,79	152	149	0.491763574419
520	27	0	19,21	1,3	152	149	0.0621264541089
522	55	4	190,59	0,1	1247	149	0.000164395693235
525	0	46	4,1	40,39	214	149	0.134136275316
527	0	11	8,2	13,13	160	149	0.00177386974692
529	910	9	303,562	0,4	169	149	0.820629974502
531	46	2	0,10	0,4	183	149	1
532	1	120	1,3	82,73	166	149	0.569694765794
533	7	0	10,6	2,2	190	149	0.0188008075153
