IncLevel1	IncLevel2	IncLevelDifference
0.928	1.0,0.885	-0.014
0.394	1.0,1.0	-0.606
0.0	0.804,0.313	-0.558
0.073	0.203,0.102	-0.08
0.398	0.318,0.206	0.136
0.008	0.052,0.017	-0.027
1.0	1.0,0.926	0.037
0.0	0.022,0.0	-0.011
0.001	0.012,0.003	-0.006
0.349	0.309,0.123	0.133
0.485	0.0,0.485	0.242
0.997	1.0,1.0	-0.003
0.347	NA,1.0	-0.653
0.01	0.0,0.011	0.005
0.431	0.21,0.465	0.093
0.495	0.102,0.111	0.389
0.319	0.053,0.066	0.26
0.012	0.037,0.021	-0.017
0.98	1.0,1.0	-0.02
0.294	0.387,0.406	-0.103
0.003	0.008,0.004	-0.003
0.929	1.0,0.853	0.003
0.709	1.0,1.0	-0.291
0.025	0.032,0.011	0.004
0.866	0.0,0.291	0.721
0.664	0.736,0.583	0.005
0.752	0.94,0.889	-0.162
0.475	0.65,0.46	-0.08
0.217	0.07,0.047	0.159
0.239	1.0,1.0	-0.761
0.0	1.0,0.0	-0.5
1.0	0.36,0.824	0.408
0.618	1.0,0.669	-0.217
0.046	0.201,0.096	-0.103
0.317	0.504,0.246	-0.058
0.095	0.086,0.135	-0.015
0.867	1.0,0.875	-0.071
0.991	1.0,1.0	-0.009
0.991	1.0,1.0	-0.009
0.027	0.16,0.023	-0.065
1.0	0.626,1.0	0.187
0.0	1.0,0.0	-0.5
0.0	0.035,0.043	-0.039
0.908	0.91,0.919	-0.007
0.001	0.013,0.0	-0.005
0.976	1.0,0.966	-0.007
0.209	0.446,0.197	-0.113
0.015	0.048,0.016	-0.017
0.044	0.079,0.081	-0.036
0.915	0.818,0.881	0.066
0.0	0.014,0.021	-0.018
0.025	0.047,0.024	-0.011
0.074	0.257,0.095	-0.102
0.069	0.241,0.095	-0.099
0.924	0.995,0.977	-0.062
0.0	1.0,0.695	-0.847
0.039	0.092,0.135	-0.075
0.0	0.154,0.043	-0.099
0.98	1.0,1.0	-0.02
0.869	1.0,1.0	-0.131
0.973	1.0,1.0	-0.027
0.88	0.938,0.9	-0.039
1.0	1.0,0.923	0.038
0.993	0.894,0.989	0.051
0.215	0.397,0.155	-0.061
0.244	0.492,0.114	-0.059
1.0	0.917,1.0	0.041
1.0	1.0,0.422	0.289
0.583	0.415,0.413	0.169
1.0	0.951,0.951	0.049
0.952	1.0,0.936	-0.016
0.241	0.765,0.56	-0.422
0.716	0.545,0.698	0.095
1.0	1.0,0.899	0.05
1.0	1.0,0.974	0.013
0.741	1.0,0.794	-0.156
0.0	NA,0.141	-0.141
0.025	0.062,0.036	-0.024
0.939	1.0,1.0	-0.061
0.88	1.0,1.0	-0.12
1.0	0.956,1.0	0.022
0.909	0.956,0.94	-0.039
0.805	0.516,0.768	0.163
1.0	1.0,0.99	0.005
0.979	0.984,0.974	0.0
0.773	0.96,1.0	-0.207
0.969	1.0,1.0	-0.031
0.447	1.0,0.0	-0.053
0.0	0.85,0.0	-0.425
0.029	0.119,0.084	-0.073
0.334	1.0,1.0	-0.666
0.166	0.401,0.217	-0.143
0.0	0.139,0.0	-0.07
0.592	1.0,1.0	-0.408
0.077	0.022,0.092	0.02
1.0	1.0,1.0	0.0
0.493	0.0,0.0	0.493
0.042	0.348,0.058	-0.161
0.98	1.0,1.0	-0.02
0.142	0.262,0.085	-0.032
0.979	0.991,0.984	-0.009
0.032	0.031,0.006	0.014
1.0	0.982,1.0	0.009
0.846	0.6,0.799	0.146
0.948	1.0,0.696	0.1
0.053	0.575,0.458	-0.463
1.0	1.0,0.972	0.014
0.327	0.838,0.123	-0.153
0.496	0.504,0.291	0.099
0.661	0.886,0.808	-0.186
1.0	1.0,0.816	0.092
0.509	0.397,0.579	0.021
0.507	1.0,0.739	-0.362
0.677	0.0,0.0	0.677
0.331	0.132,0.312	0.109
0.038	0.0,0.0	0.038
0.052	0.133,0.108	-0.069
0.986	0.986,0.991	-0.002
0.101	0.448,0.223	-0.235
0.001	0.011,0.002	-0.005
1.0	1.0,1.0	0.0
0.0	1.0,1.0	-1.0
0.015	0.013,0.017	0.0
0.016	0.026,0.009	-0.001
0.026	0.061,0.022	-0.015
0.948	0.796,0.961	0.069
0.204	0.169,0.263	-0.012
0.431	0.698,0.596	-0.216
0.81	1.0,0.864	-0.122
0.0	0.003,0.0	-0.002
0.813	0.883,0.811	-0.034
0.209	0.322,0.229	-0.067
0.01	0.029,0.005	-0.007
0.0	0.007,0.005	-0.006
0.651	0.482,1.0	-0.09
1.0	0.993,1.0	0.004
0.898	0.705,0.714	0.189
0.236	0.187,0.287	-0.001
0.002	0.003,0.003	-0.001
0.046	0.0,0.0	0.046
0.72	0.823,0.772	-0.078
0.41	0.581,0.0	0.119
0.0	0.0,0.048	-0.024
0.0	0.015,0.006	-0.01
0.761	0.736,0.839	-0.026
0.014	0.095,0.062	-0.065
0.028	0.012,0.011	0.017
0.0	0.0,0.006	-0.003
0.0	0.025,0.018	-0.021
0.976	1.0,0.958	-0.003
1.0	0.891,1.0	0.054
0.778	0.706,0.304	0.273
0.522	0.515,1.0	-0.236
0.035	0.11,0.037	-0.038
0.036	0.381,0.051	-0.18
0.002	0.0,0.005	-0.001
0.994	1.0,1.0	-0.006
0.995	1.0,1.0	-0.005
1.0	1.0,0.95	0.025
0.0	NA,1.0	-1.0
1.0	0.585,1.0	0.208
0.0	0.002,0.0	-0.001
0.688	0.408,0.615	0.176
0.995	0.985,0.991	0.007
