IncLevel1	IncLevel2	IncLevelDifference
0.622	0.618,0.707	-0.04
0.373	0.172,0.314	0.13
0.601	0.766,0.545	-0.054
0.74	0.658,0.735	0.043
0.343	0.302,0.339	0.023
0.486	0.228,0.552	0.096
0.404	0.211,0.405	0.096
0.0	0.014,0.0	-0.007
1.0	0.971,0.982	0.024
0.412	0.289,0.464	0.035
0.178	0.508,0.195	-0.174
0.0	0.0,0.13	-0.065
0.425	0.399,0.445	0.003
0.522	0.277,0.314	0.227
0.803	1.0,0.775	-0.084
0.504	0.867,0.62	-0.24
0.518	0.545,0.517	-0.013
0.134	0.053,0.175	0.02
0.982	0.859,0.993	0.056
0.608	0.581,0.797	-0.081
0.056	0.217,0.019	-0.062
0.037	0.1,0.042	-0.034
0.15	0.075,0.072	0.076
0.391	0.286,0.698	-0.101
0.279	0.201,0.424	-0.033
0.449	0.294,0.521	0.042
0.519	0.492,0.551	-0.003
0.737	0.811,0.716	-0.027
0.562	0.822,0.692	-0.195
0.501	0.583,0.474	-0.027
1.0	0.972,1.0	0.014
0.0	1.0,0.118	-0.559
0.787	1.0,0.956	-0.191
1.0	0.932,0.994	0.037
0.346	0.252,0.333	0.053
0.566	0.46,0.544	0.064
0.484	0.388,0.468	0.056
0.378	0.359,0.291	0.053
0.21	0.254,0.135	0.015
0.05	0.0,0.0	0.05
0.0	0.0,0.465	-0.233
1.0	1.0,0.551	0.224
0.14	0.0,0.0	0.14
0.134	NA,0.0	0.134
0.011	0.0,0.0	0.011
0.0	0.0,0.027	-0.013
0.054	0.0,0.378	-0.135
0.991	0.946,1.0	0.018
0.851	0.759,0.79	0.077
0.588	0.0,NA	0.588
0.477	0.0,NA	0.477
0.193	0.0,NA	0.193
0.556	0.592,0.57	-0.025
0.501	0.581,0.472	-0.025
0.0	0.0,0.333	-0.167
0.933	0.79,0.771	0.153
0.387	0.197,0.408	0.085
0.515	0.474,0.555	0.001
0.0	0.0,0.004	-0.002
0.59	0.652,0.436	0.046
0.476	0.438,0.448	0.033
0.338	0.426,0.383	-0.066
0.413	0.345,0.437	0.022
0.232	0.073,0.279	0.056
0.522	0.5,0.604	-0.03
0.413	0.597,0.42	-0.095
0.0	0.0,0.002	-0.001
0.573	0.522,0.556	0.034
0.099	0.068,0.142	-0.006
0.103	0.022,0.084	0.05
0.395	0.429,0.311	0.025
0.47	0.406,0.439	0.047
0.417	0.269,0.415	0.075
0.387	0.362,0.382	0.015
0.604	0.736,0.613	-0.071
0.396	0.388,0.378	0.013
0.39	0.403,0.381	-0.002
1.0	0.0,0.543	0.728
0.991	1.0,0.951	0.015
0.407	0.492,0.313	0.005
0.608	0.707,0.584	-0.037
0.333	0.549,0.585	-0.234
0.577	0.381,0.352	0.21
0.489	0.274,0.422	0.141
0.386	0.592,0.207	-0.013
0.755	0.679,0.707	0.062
