ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	126	53	313,108	134,31	401	278	0.624223102019
1	48	78	55,44	256,93	278	269	0.0163459936242
2	196	97	299,231	68,144	418	312	0.391135977282
3	437	142	229,342	110,114	200	185	0.271580304283
4	311	683	155,241	410,538	185	212	0.533514333815
5	1497	1314	41,664	115,448	212	176	0.27936052031
6	565	877	34,223	134,345	176	185	0.115168310452
7	0	141	1,0	99,103	209	294	1
8	207	0	68,281	2,5	278	271	0.534577024425
9	207	235	68,281	133,258	278	221	0.586689499552
10	8	38	6,4	6,17	220	227	0.251614193908
12	0	22	0,1	6,6	227	204	1
15	43	36	15,22	14,17	329	204	0.976043691322
16	31	28	7,13	18,28	234	231	0.0118849586272
18	22	4	17,42	0,9	242	179	0.701883934369
19	22	25	17,41	3,29	242	279	0.0486985456962
20	3393	2051	970,1586	526,963	413	268	0.706928821695
21	114	1103	18,118	483,830	227	339	0.429360694636
22	172	3	107,139	17,1	251	242	0.0102747593195
23	27	19	19,36	15,10	203	222	0.35079909066
24	10	177	22,3	84,166	295	312	0.20769750692
25	24	177	33,26	84,166	1104	312	0.0444441683712
26	17	106	5,8	68,113	284	312	0.0343911450678
27	24	10	33,26	22,3	1104	295	0.672990374936
28	29	20	32,33	34,12	1104	295	0.919680764951
29	15	20	13,12	34,12	271	295	0.58563073161
31	1504	1309	476,1727	461,1322	279	262	0.857733820924
32	427	123	213,394	40,126	356	287	0.583792152647
33	185	182	128,239	35,134	218	275	0.000145130195962
34	178	121	221,144	108,109	371	253	0.582871246349
35	97	0	133,254	3,0	293	230	1
36	0	40	3,1	0,7	314	294	0.0024804795806
37	123	40	32,128	0,7	245	294	3.3686560208e-08
38	123	0	32,128	3,1	245	314	0.538611660162
39	62	132	57,100	190,225	287	323	0.310151189869
40	85	73	99,131	130,123	246	275	0.267270891704
41	4880	4640	554,2092	778,2121	246	219	0.117899181974
42	41	86	29,18	66,56	258	329	0.428754545481
43	11	41	12,6	35,38	329	326	0.813296032801
44	1	31	0,0	44,66	202	329	0.263635811675
45	0	1	0,3	6,4	215	249	0.0804385238149
46	1	0	1,2	0,2	212	260	0.515487749474
50	6	39	0,0	3,10	209	221	0.000542338035229
52	1	9	0,0	0,11	211	294	1
53	1	94	0,0	6,27	211	221	1
55	0	94	0,1	6,27	294	221	1
56	1	58	0,2	22,11	247	825	0.583106538321
58	67	1	11,21	1,0	210	337	1
59	109	24	15,36	6,12	210	264	0.295495411616
60	1	1	0,0	1,0	185	264	1
61	1	2	0,0	2,0	185	337	1
62	1	8	0,0	2,0	185	354	1
64	448	298	370,286	213,180	350	292	0.515299185105
65	316	353	302,207	245,260	292	328	0.5731397702
69	0	2	0,1	1,2	216	216	1
71	64	5	52,28	15,9	275	298	0.00450898916443
72	148	246	25,152	107,232	233	245	0.211684137517
73	96	61	119,120	89,65	326	220	0.968534774244
75	0	228	0,1	314,240	262	259	1
76	161	99	284,158	134,181	277	245	0.552706896298
77	497	928	73,161	159,336	352	597	0.413029868963
78	96	186	87,101	116,161	233	231	0.162205430062
79	164	270	90,149	198,223	231	268	0.658179424542
80	7	20	1,9	11,20	230	198	0.729079861817
81	148	156	138,211	159,159	252	290	0.529902140621
82	51	75	63,56	44,80	211	218	0.228069753766
83	0	416	0,1	125,418	306	260	1
84	196	158	80,169	79,146	237	256	0.518470037626
85	55	592	18,89	291,634	219	259	0.466919562632
86	21	234	2,19	113,266	171	219	0.123822267964
87	130	235	23,38	36,99	225	265	0.491319055363
88	328	319	153,307	193,338	329	284	0.252337297293
89	114	148	74,102	187,134	287	267	0.170333683197
90	111	213	88,104	188,204	267	324	0.740447439039
91	233	107	278,210	70,93	324	227	0.160722341688
92	187	275	67,168	102,267	228	220	0.721808062158
93	248	415	74,198	117,344	220	235	0.982405590998
94	1	0	0,1	2,1	241	286	5.45124404964e-05
95	136	1	45,96	0,4	301	241	0.350776338294
96	37	75	16,17	23,52	216	301	0.817520097707
97	113	67	184,116	70,76	325	299	0.478801611033
98	3	6	39,24	32,17	241	241	0.151756634555
99	11	9	27,19	49,39	241	269	0.0816813024706
100	342	223	57,266	94,227	481	300	0.0151887811619
101	19	70	15,10	24,89	216	501	0.939545982707
102	15	3	55,47	16,12	429	264	0.523640924806
103	9	20	3,3	5,12	337	289	0.505058816636
105	1501	2325	1091,1003	2073,1489	291	310	0.527204906431
106	1213	1498	933,802	1215,950	215	291	0.963502285043
107	455	381	208,312	102,228	229	211	0.0736485178171
108	38	75	22,16	30,51	197	301	0.864259614071
115	123	93	21,25	17,31	428	296	0.265548951711
116	82	141	22,36	23,38	313	428	0.0561683843295
117	67	55	5,18	7,13	305	313	0.855694893749
118	67	82	15,23	23,36	275	305	0.39059945024
119	18	11	22,21	7,3	219	186	0.0542670492914
120	12	41	17,8	56,38	186	270	0.819461610139
121	12	0	17,8	2,0	186	294	0.30867892816
122	55	12	43,40	5,13	321	210	0.929090272364
123	37	7	158,54	39,8	323	221	0.669832688487
124	1	20	24,4	120,25	260	244	0.0379929254334
125	8	21	50,14	120,24	260	244	0.621669182478
126	9	20	53,15	120,26	260	244	0.826976047415
127	50	24	133,65	14,15	328	225	0.00118052749547
128	50	8	117,57	28,5	328	252	0.758034813149
130	7	439	3,2	170,318	247	373	0.291681678275
131	131	10	20,104	17,8	262	371	0.0245050725509
132	131	85	275,303	167,222	315	265	0.866416575162
133	45	16	26,38	8,2	228	220	0.0648890482252
134	4	154	2,0	51,115	223	247	0.202500094398
135	0	112	2,2	36,85	258	247	0.847664579326
136	88	40	68,78	46,67	272	233	0.0376620199921
137	82	52	64,135	44,56	284	224	0.467768243857
138	32	111	24,52	126,138	224	263	0.939354793732
139	15	307	18,19	135,279	276	235	0.0629099420643
140	457	307	211,430	135,279	273	235	0.795587287224
141	958	830	452,795	400,773	336	317	0.603364942953
142	521	2	244,512	4,0	330	225	1
143	477	1	235,455	0,0	330	225	1
144	477	105	235,455	15,84	330	187	0.0194595607714
145	1	105	0,0	15,84	225	187	1
146	14	15	5,2	10,3	253	233	0.316299814574
147	10	18	4,2	0,3	234	240	0.0635669533122
148	8	469	0,11	280,326	203	374	0.747845082221
149	60	35	27,58	9,37	294	197	0.686666471506
150	0	9	3,1	12,20	508	240	0.169694356676
151	0	9	0,3	12,20	187	240	0.217575233508
152	31	9	39,41	12,20	297	240	0.43867494648
153	33	9	35,30	12,19	274	240	0.206700243065
154	31	0	39,41	3,1	297	508	0.82463883811
155	61	0	60,59	9,1	297	508	0.0163713186482
156	31	0	39,41	0,3	297	187	0.518989906193
157	61	0	60,59	0,1	297	187	1
158	5	19	0,1	2,2	301	330	0.0137062466126
159	34	0	155,35	3,3	356	328	0.177287262885
161	6	43	16,41	98,64	223	251	0.073818563193
162	33	59	65,48	129,108	201	241	0.565442563404
163	96	54	221,141	116,111	241	249	0.589231989939
164	56	45	116,90	108,127	286	263	0.18603272769
165	137	139	17,58	29,86	219	221	0.063450955909
166	18	38	3,9	6,20	219	236	0.978073416931
167	79	46	2,14	8,2	277	468	0.922958161089
168	61	36	4,11	2,5	320	277	0.517481344078
169	137	232	215,170	340,206	299	436	0.281594306218
170	10	6	9,23	0,9	251	300	0.173511091669
171	10	7	9,23	0,6	251	225	0.0288249913937
