ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	41	62	83,40	63,73	372	149	0.377885820293	0.5882673289285962	0.209	0.345,0.18	-0.053
2	564	6	690,921	3,3	2403	149	0.0650726009194	0.16512711259489032	0.854	0.934,0.95	-0.088
8	0	50	2,0	37,57	1223	149	1	1.0	0.0	0.007,0.0	-0.004
9	2	59	18,15	27,74	1432	149	0.000452895729745	0.0047772171282909545	0.004	0.065,0.021	-0.039
11	42	0	106,347	28,66	620	149	4.78842865226e-06	0.00015099845954220933	1.0	0.476,0.558	0.483
13	68	574	171,88	226,435	2371	149	2.8518186701e-09	3.7340225760896304e-07	0.007	0.045,0.013	-0.022
14	105	604	146,110	183,496	817	149	6.00732398215e-06	0.00017665214872032679	0.031	0.127,0.039	-0.052
15	159	2	275,167	0,0	2462	149	0.0858905935305	0.20342864523562784	0.828	1.0,1.0	-0.172
16	64	498	141,61	171,416	1730	149	1.32138007092e-07	1.0074268566014126e-05	0.011	0.066,0.012	-0.028
17	69	0	171,84	4,2	1192	149	0.0151836722324	0.0584726712632642	1.0	0.842,0.84	0.159
18	22	162	21,18	58,133	469	149	0.18595585419	0.3584038751316384	0.041	0.103,0.041	-0.031
19	7	2	16,5	9,11	273	149	0.106702847832	0.23890471336543478	0.656	0.492,0.199	0.31
20	35	0	29,43	0,2	989	149	0.923402808603	1.0	1.0	1.0,0.764	0.118
22	2	1	4,9	0,0	1356	149	0.00441373354168	0.02484478235657817	0.18	1.0,1.0	-0.82
25	17	556	9,28	313,697	262	149	0.616558647823	0.8125892200958268	0.017	0.016,0.022	-0.002
26	67	185	119,47	134,267	1121	149	0.503579946382	0.7161750520482556	0.046	0.106,0.023	-0.019
27	27	120	40,40	128,251	363	149	0.911158458195	1.0	0.085	0.114,0.061	-0.002
29	2	0	3,3	0,2	319	149	0.3880998907	0.5996730738035146	1.0	1.0,0.412	0.294
38	3	57	14,11	47,59	1432	149	0.0182836073959	0.0669438769695732	0.005	0.03,0.019	-0.019
39	0	44	3,2	60,32	1223	149	1	1.0	0.0	0.006,0.008	-0.007
40	9	2	29,13	0,2	716	149	0.0456488607708	0.12871867435511627	0.484	1.0,0.575	-0.303
41	4	3	17,5	4,2	496	149	0.188552585109	0.36201855916847525	0.286	0.561,0.429	-0.209
