ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	41	62	83,40	63,73	372	149	0.377885820293	0.5882673289285962
2	564	6	690,921	3,3	2403	149	0.0650726009194	0.16512711259489032
8	0	50	2,0	37,57	1223	149	1	1.0
9	2	59	18,15	27,74	1432	149	0.000452895729745	0.0047772171282909545
11	42	0	106,347	28,66	620	149	4.78842865226e-06	0.00015099845954220933
13	68	574	171,88	226,435	2371	149	2.8518186701e-09	3.7340225760896304e-07
14	105	604	146,110	183,496	817	149	6.00732398215e-06	0.00017665214872032679
15	159	2	275,167	0,0	2462	149	0.0858905935305	0.20342864523562784
16	64	498	141,61	171,416	1730	149	1.32138007092e-07	1.0074268566014126e-05
17	69	0	171,84	4,2	1192	149	0.0151836722324	0.0584726712632642
18	22	162	21,18	58,133	469	149	0.18595585419	0.3584038751316384
19	7	2	16,5	9,11	273	149	0.106702847832	0.23890471336543478
20	35	0	29,43	0,2	989	149	0.923402808603	1.0
22	2	1	4,9	0,0	1356	149	0.00441373354168	0.02484478235657817
25	17	556	9,28	313,697	262	149	0.616558647823	0.8125892200958268
26	67	185	119,47	134,267	1121	149	0.503579946382	0.7161750520482556
27	27	120	40,40	128,251	363	149	0.911158458195	1.0
29	2	0	3,3	0,2	319	149	0.3880998907	0.5996730738035146
38	3	57	14,11	47,59	1432	149	0.0182836073959	0.0669438769695732
39	0	44	3,2	60,32	1223	149	1	1.0
40	9	2	29,13	0,2	716	149	0.0456488607708	0.12871867435511627
41	4	3	17,5	4,2	496	149	0.188552585109	0.36201855916847525
42	155	0	72,210	2,2	554	149	0.180907504197	0.35191842644926935
43	164	57	133,267	1,79	302	149	0.00603805829943	0.031243320564834098
44	7	119	28,2	37,78	217	149	0.0234868769448	0.08014813588585291
45	0	66	12,0	123,138	217	149	0.0545603706478	0.14559907506056685
46	8	59	20,14	132,80	244	149	0.60667645961	0.8053807177057594
47	0	14	7,4	39,19	241	149	0.00730543546617	0.03537028763082147
48	14	10	15,12	7,14	477	149	0.829830551222	0.9782872205930919
49	1	0	34,2	1,1	431	149	1	1.0
50	29	39	29,26	45,44	220	149	0.563678680812	0.7653556189130414
51	12	28	12,8	6,26	336	149	0.401155710149	0.6132387924435093
52	51	1	54,45	2,3	325	149	0.224575596638	0.41389804729212787
53	61	17	69,57	12,33	384	149	0.69309474498	0.8751450881489975
55	17	65	19,47	11,192	228	149	0.138268888076	0.2868734112579221
57	18	11	31,11	6,14	897	149	0.784868462262	0.947253769403581
58	24	6	24,10	0,6	1071	149	0.362176179485	0.5708943022868765
59	20	18	23,31	7,21	235	149	0.180412981782	0.3517245328134108
60	56	253	28,33	26,89	371	149	0.00195076087628	0.01415594308172824
61	33	80	98,42	33,66	2365	149	3.37189982681e-05	0.0006386463099646738
62	29	56	66,14	16,41	629	149	0.133631741251	0.2793980054784377
65	134	5	201,119	2,0	605	149	0.00605801573985	0.03131968137434897
66	163	675	264,133	191,330	723	149	2.62103901361e-07	1.68814427018488e-05
67	60	696	61,39	300,410	323	149	0.0193934594874	0.06960912545571751
68	4202	2145	8118,5083	1022,1101	4089	149	5.55111512313e-16	1.6717183193305995e-12
69	1	11	15,2	0,36	823	149	0.0368606732746	0.11017957078556614
70	15	7	63,18	0,40	1632	149	0.273845362948	0.4700400743903687
72	7	63	20,5	16,39	225	149	0.026647999553	0.08727493042915076
73	36	0	43,75	1,0	239	149	1	1.0
74	43	84	265,129	145,166	641	149	0.00157059202545	0.011898963231805471
75	26	64	252,96	153,181	394	149	0.0142254048581	0.05600802073043131
77	6	1	21,5	0,0	2420	149	0.00482774816656	0.026603410070622946
79	28	16	108,40	28,15	1531	149	0.0684865876036	0.1713729610039397
80	2	15	12,3	17,32	236	149	0.212100608431	0.39624130415009706
85	19	249	90,53	208,940	1560	149	0.023643758139	0.08045843571110395
86	13	4	31,5	2,2	848	149	0.299395482458	0.5017415110864035
87	4	59	6,0	24,37	264	149	0.873826341117	1.0
88	3	250	19,15	182,182	235	149	2.14886000931e-05	0.0004622351370026474
90	2	4	11,4	2,5	443	149	0.11016080343	0.24386561299180867
91	1251	68	1782,1067	16,66	2924	149	0.101520298126	0.2302171519626875
92	1269	1	1790,1088	0,0	2958	149	0.576524667935	0.7780434853176126
93	1263	54	1783,1073	15,64	2927	149	0.217542086434	0.4035243376764714
94	84	40	134,62	12,19	448	149	0.0104937305824	0.04498486782761224
95	156	0	220,102	0,2	852	149	0.895350500237	1.0
96	362	72	319,317	13,35	467	149	0.00018709637076	0.002430258110808541
97	38	8	31,8	1,3	395	149	0.301201810645	0.5034582593836882
99	108	0	80,23	0,4	1013	149	0.0126682198362	0.05172928004978481
100	68	8	48,15	8,3	600	149	0.416177404051	0.6272864125623556
102	26	27	168,50	19,33	823	149	0.0140342313604	0.05553756602082076
103	104	22	343,120	22,50	2437	149	0.609591036919	0.8078328249258475
105	553	6	173,382	0,2	226	149	0.593164464384	0.7939176819966293
106	744	50	233,502	11,32	267	149	0.49127326128	0.7035042445766619
108	26	708	16,10	132,480	230	149	0.661385026583	0.8484116325842321
109	245	13	143,160	7,4	230	149	0.304230632662	0.5061826244539298
110	30	0	32,4	0,4	1153	149	0.00665232886355	0.03303130811637399
111	30	1	35,5	0,2	1228	149	0.940528949607	1.0
112	11	1	19,14	0,0	577	149	0.277328361739	0.47412680180357564
113	54	11	20,71	0,10	1139	149	0.131638323703	0.2763533020784834
114	9	242	12,33	19,155	1091	149	9.87147643627e-07	4.644992388722985e-05
119	3	5	4,3	0,22	269	149	0.559172894802	0.7623128894052617
120	18	2	10,17	0,17	284	149	0.485281882758	0.6977867561985562
121	32	4	19,43	0,8	343	149	0.767121770131	0.9332204446574456
123	0	41	10,3	34,38	632	149	0.00769664355763	0.03660388946341998
129	4	0	0,0	0,1	360	149	1	1.0
133	2	2	18,0	0,1	324	149	0.0509905383639	0.1386164421981704
136	0	4	3,2	4,9	365	149	0.0205881368416	0.07303409240885211
137	100	5	119,119	0,0	230	149	0.00484272387282	0.02663719258994964
138	1	18	7,7	15,15	428	149	0.00433877314607	0.024630000620904438
139	0	9	2,0	18,17	237	149	0.355217116	0.5622792876919842
140	4	34	6,4	3,7	222	149	0.00397374343499	0.02316927077342185
141	1	4	1,0	0,0	1692	149	1	1.0
