IncLevel1	IncLevel2	IncLevelDifference
0.209	0.345,0.18	-0.053
0.854	0.934,0.95	-0.088
0.0	0.007,0.0	-0.004
0.004	0.065,0.021	-0.039
1.0	0.476,0.558	0.483
0.007	0.045,0.013	-0.022
0.031	0.127,0.039	-0.052
0.828	1.0,1.0	-0.172
0.011	0.066,0.012	-0.028
1.0	0.842,0.84	0.159
0.041	0.103,0.041	-0.031
0.656	0.492,0.199	0.31
1.0	1.0,0.764	0.118
0.18	1.0,1.0	-0.82
0.017	0.016,0.022	-0.002
0.046	0.106,0.023	-0.019
0.085	0.114,0.061	-0.002
1.0	1.0,0.412	0.294
0.005	0.03,0.019	-0.019
0.0	0.006,0.008	-0.007
0.484	1.0,0.575	-0.303
0.286	0.561,0.429	-0.209
1.0	0.906,0.966	0.064
0.587	0.985,0.625	-0.218
0.039	0.342,0.017	-0.141
0.0	0.063,0.0	-0.032
0.076	0.085,0.097	-0.015
0.0	0.1,0.115	-0.108
0.304	0.401,0.211	-0.002
1.0	0.922,0.409	0.335
0.335	0.304,0.286	0.04
0.16	0.47,0.12	-0.135
0.959	0.925,0.873	0.06
0.582	0.691,0.401	0.036
0.146	0.53,0.138	-0.188
0.214	0.462,0.115	-0.075
0.358	1.0,0.188	-0.236
0.413	0.676,0.483	-0.167
0.082	0.302,0.13	-0.134
0.025	0.158,0.039	-0.074
0.109	0.494,0.075	-0.175
0.868	0.961,1.0	-0.112
0.047	0.222,0.077	-0.102
0.038	0.086,0.042	-0.026
0.067	0.224,0.144	-0.117
0.016	1.0,0.01	-0.489
0.164	1.0,0.039	-0.355
0.069	0.453,0.078	-0.197
1.0	0.964,1.0	0.018
0.106	0.298,0.153	-0.119
0.133	0.384,0.167	-0.143
0.27	1.0,1.0	-0.73
0.146	0.273,0.206	-0.093
0.078	0.308,0.056	-0.104
0.007	0.04,0.005	-0.015
0.363	0.731,0.305	-0.155
0.037	0.124,0.0	-0.025
0.008	0.062,0.05	-0.048
0.144	0.649,0.212	-0.286
0.484	0.85,0.452	-0.167
0.985	1.0,1.0	-0.015
0.544	0.858,0.46	-0.115
0.411	0.788,0.52	-0.243
1.0	1.0,0.899	0.05
0.616	0.887,0.743	-0.199
0.642	0.921,0.501	-0.069
1.0	1.0,0.458	0.271
0.679	0.598,0.554	0.103
0.148	0.616,0.215	-0.267
0.224	0.488,0.128	-0.084
0.984	1.0,0.992	-0.012
0.893	0.922,0.897	-0.016
0.023	0.073,0.013	-0.02
0.924	0.93,0.963	-0.022
1.0	1.0,0.114	0.443
0.784	1.0,0.233	0.167
0.74	1.0,1.0	-0.26
0.391	1.0,0.482	-0.35
0.005	0.079,0.028	-0.049
0.249	1.0,0.07	-0.286
0.825	1.0,0.344	0.153
0.777	1.0,0.7	-0.073
0.0	0.065,0.018	-0.042
1.0	NA,0.0	1.0
0.315	1.0,0.0	-0.185
