IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
41	62	83,40	63,73	372	149
564	6	690,921	3,3	2403	149
0	50	2,0	37,57	1223	149
2	59	18,15	27,74	1432	149
42	0	106,347	28,66	620	149
68	574	171,88	226,435	2371	149
105	604	146,110	183,496	817	149
159	2	275,167	0,0	2462	149
64	498	141,61	171,416	1730	149
69	0	171,84	4,2	1192	149
22	162	21,18	58,133	469	149
7	2	16,5	9,11	273	149
35	0	29,43	0,2	989	149
2	1	4,9	0,0	1356	149
17	556	9,28	313,697	262	149
67	185	119,47	134,267	1121	149
27	120	40,40	128,251	363	149
2	0	3,3	0,2	319	149
3	57	14,11	47,59	1432	149
0	44	3,2	60,32	1223	149
9	2	29,13	0,2	716	149
4	3	17,5	4,2	496	149
155	0	72,210	2,2	554	149
164	57	133,267	1,79	302	149
7	119	28,2	37,78	217	149
0	66	12,0	123,138	217	149
8	59	20,14	132,80	244	149
0	14	7,4	39,19	241	149
14	10	15,12	7,14	477	149
1	0	34,2	1,1	431	149
29	39	29,26	45,44	220	149
12	28	12,8	6,26	336	149
51	1	54,45	2,3	325	149
61	17	69,57	12,33	384	149
17	65	19,47	11,192	228	149
18	11	31,11	6,14	897	149
24	6	24,10	0,6	1071	149
20	18	23,31	7,21	235	149
56	253	28,33	26,89	371	149
33	80	98,42	33,66	2365	149
29	56	66,14	16,41	629	149
134	5	201,119	2,0	605	149
163	675	264,133	191,330	723	149
60	696	61,39	300,410	323	149
4202	2145	8118,5083	1022,1101	4089	149
1	11	15,2	0,36	823	149
15	7	63,18	0,40	1632	149
7	63	20,5	16,39	225	149
36	0	43,75	1,0	239	149
43	84	265,129	145,166	641	149
26	64	252,96	153,181	394	149
6	1	21,5	0,0	2420	149
28	16	108,40	28,15	1531	149
2	15	12,3	17,32	236	149
19	249	90,53	208,940	1560	149
13	4	31,5	2,2	848	149
4	59	6,0	24,37	264	149
3	250	19,15	182,182	235	149
2	4	11,4	2,5	443	149
1251	68	1782,1067	16,66	2924	149
1269	1	1790,1088	0,0	2958	149
1263	54	1783,1073	15,64	2927	149
84	40	134,62	12,19	448	149
156	0	220,102	0,2	852	149
362	72	319,317	13,35	467	149
38	8	31,8	1,3	395	149
108	0	80,23	0,4	1013	149
68	8	48,15	8,3	600	149
26	27	168,50	19,33	823	149
104	22	343,120	22,50	2437	149
553	6	173,382	0,2	226	149
744	50	233,502	11,32	267	149
26	708	16,10	132,480	230	149
245	13	143,160	7,4	230	149
30	0	32,4	0,4	1153	149
30	1	35,5	0,2	1228	149
11	1	19,14	0,0	577	149
54	11	20,71	0,10	1139	149
9	242	12,33	19,155	1091	149
3	5	4,3	0,22	269	149
18	2	10,17	0,17	284	149
32	4	19,43	0,8	343	149
0	41	10,3	34,38	632	149
4	0	0,0	0,1	360	149
2	2	18,0	0,1	324	149
0	4	3,2	4,9	365	149
100	5	119,119	0,0	230	149
1	18	7,7	15,15	428	149
0	9	2,0	18,17	237	149
4	34	6,4	3,7	222	149
1	4	1,0	0,0	1692	149
142	3	175,79	4,1	632	149
806	197	116,174	7,56	1221	149
34	252	164,90	414,444	1799	149
6	177	46,27	112,178	278	149
20	181	63,24	111,141	233	149
25	104	87,9	163,109	239	149
62	59	168,62	33,59	380	149
141	0	246,146	1,6	470	149
146	32	8,30	0,8	537	149
19	94	72,12	200,78	302	149
1041	7	1625,1116	0,1	4146	149
37	19	76,38	6,14	615	149
17	1221	16,23	510,1383	278	149
240	2	385,298	0,3	3295	149
152	9	56,60	1,0	854	149
2	4	5,4	7,16	659	149
0	4	5,2	0,2	470	149
656	0	725,699	0,1	1404	149
305	4686	540,320	3098,4976	1385	149
3	9	7,5	4,10	317	149
0	1	2,0	1,2	311	149
2	67	26,22	257,294	237	149
124	165	180,127	106,150	239	149
206	143	445,209	113,166	822	149
4	336	9,12	152,292	253	149
25	195	24,13	62,198	235	149
39	5	56,21	0,3	288	149
32	27	48,19	9,13	256	149
27	10	46,18	5,6	232	149
83	4	85,50	1,2	1068	149
84	4	87,51	4,0	1132	149
0	57	4,6	49,72	227	149
9	43	63,18	4,73	589	149
0	3	14,0	8,6	248	149
0	90	14,0	78,107	265	149
2	36	6,4	10,21	386	149
2	115	6,15	47,238	272	149
84	0	15,141	0,2	366	149
6	186	6,8	43,291	287	149
50	263	129,53	187,261	1796	149
31	1	56,15	8,1	846	149
65	186	268,119	95,92	468	149
64	14207	268,119	7268,11243	458	149
23	4	111,65	12,4	290	149
99	0	374,150	1,0	701	149
44	15856	154,60	8729,12699	326	149
402	4	365,427	0,0	331	149
467	16055	338,435	9586,13095	351	149
921	14556	547,649	9148,11773	324	149
161	0	119,146	0,1	307	149
178	18439	172,157	12088,14766	474	149
39	369	60,25	161,353	241	149
1	17	17,0	47,48	324	149
8	93	7,7	24,102	373	149
11	324	44,20	155,359	570	149
39	5319	65,54	1705,4549	578	149
486	62	1337,537	74,61	2058	149
424	2	1178,479	0,4	1762	149
94	223	188,55	97,125	1626	149
4	3	6,5	1,1	258	149
14	162	40,9	198,177	318	149
28	173	76,25	125,121	1200	149
175	0	167,142	1,0	1285	149
10	147	46,6	112,119	299	149
7	54	10,15	60,119	287	149
0	7	16,4	1,5	460	149
0	4	4,0	0,3	234	149
42	3	7,108	5,7	281	149
25	59	171,41	185,142	356	149
9	0	17,0	2,0	508	149
0	18	6,0	18,2	394	149
151	6	183,189	2,1	1782	149
150	5	180,188	2,2	1768	149
8	1	20,2	0,0	252	149
17	3	26,12	0,0	802	149
27	764	20,14	108,499	255	149
51	353	50,49	193,272	358	149
84	0	163,160	0,4	1108	149
96	0	179,198	0,1	1286	149
20	1254	21,21	442,1010	285	149
11	0	12,16	0,3	828	149
50	428	55,29	199,554	288	149
15	642	33,19	282,771	356	149
9	2701	102,22	1764,5971	252	149
22	2108	103,56	996,4899	244	149
419	1563	1537,507	790,3780	1994	149
1222	38	1919,2332	14,76	2045	149
8	268	19,5	122,212	242	149
3	238	25,2	63,228	247	149
59	277	123,91	427,303	600	149
6	0	24,5	0,2	719	149
2	0	9,4	1,0	367	149
0	8	9,2	1,26	351	149
77	686	78,83	172,658	260	149
24	24	37,1	5,11	572	149
11	4	9,6	0,0	221	149
0	20	20,5	69,51	233	149
0	12	25,7	87,42	227	149
18	70	69,23	29,58	1423	149
0	2	10,0	6,27	240	149
8	96	7,9	64,140	224	149
3	169	10,8	64,275	225	149
22	109	70,28	183,191	1413	149
11	558	32,9	166,465	395	149
3	77	41,13	75,88	403	149
24	417	115,82	404,810	298	149
2	8	49,31	17,37	230	149
289	3	23,66	0,0	593	149
164	593	22,34	16,135	236	149
7	5	17,9	4,1	239	149
6	5	17,9	1,10	236	149
21	16	77,23	29,16	1154	149
7	19	34,37	41,25	326	149
18	17	47,23	28,30	353	149
78	3	115,53	1,4	852	149
62	4	73,32	2,8	535	149
3	33	8,2	21,32	283	149
