ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	41	62	83,40	63,73	372	149	0.377885820293
2	564	6	690,921	3,3	2403	149	0.0650726009194
8	0	50	2,0	37,57	1223	149	1
9	2	59	18,15	27,74	1432	149	0.000452895729745
11	42	0	106,347	28,66	620	149	4.78842865226e-06
13	68	574	171,88	226,435	2371	149	2.8518186701e-09
14	105	604	146,110	183,496	817	149	6.00732398215e-06
15	159	2	275,167	0,0	2462	149	0.0858905935305
16	64	498	141,61	171,416	1730	149	1.32138007092e-07
17	69	0	171,84	4,2	1192	149	0.0151836722324
18	22	162	21,18	58,133	469	149	0.18595585419
19	7	2	16,5	9,11	273	149	0.106702847832
20	35	0	29,43	0,2	989	149	0.923402808603
22	2	1	4,9	0,0	1356	149	0.00441373354168
25	17	556	9,28	313,697	262	149	0.616558647823
26	67	185	119,47	134,267	1121	149	0.503579946382
27	27	120	40,40	128,251	363	149	0.911158458195
29	2	0	3,3	0,2	319	149	0.3880998907
38	3	57	14,11	47,59	1432	149	0.0182836073959
39	0	44	3,2	60,32	1223	149	1
40	9	2	29,13	0,2	716	149	0.0456488607708
41	4	3	17,5	4,2	496	149	0.188552585109
42	155	0	72,210	2,2	554	149	0.180907504197
43	164	57	133,267	1,79	302	149	0.00603805829943
44	7	119	28,2	37,78	217	149	0.0234868769448
45	0	66	12,0	123,138	217	149	0.0545603706478
46	8	59	20,14	132,80	244	149	0.60667645961
47	0	14	7,4	39,19	241	149	0.00730543546617
48	14	10	15,12	7,14	477	149	0.829830551222
49	1	0	34,2	1,1	431	149	1
50	29	39	29,26	45,44	220	149	0.563678680812
51	12	28	12,8	6,26	336	149	0.401155710149
52	51	1	54,45	2,3	325	149	0.224575596638
53	61	17	69,57	12,33	384	149	0.69309474498
55	17	65	19,47	11,192	228	149	0.138268888076
57	18	11	31,11	6,14	897	149	0.784868462262
58	24	6	24,10	0,6	1071	149	0.362176179485
59	20	18	23,31	7,21	235	149	0.180412981782
60	56	253	28,33	26,89	371	149	0.00195076087628
61	33	80	98,42	33,66	2365	149	3.37189982681e-05
62	29	56	66,14	16,41	629	149	0.133631741251
65	134	5	201,119	2,0	605	149	0.00605801573985
66	163	675	264,133	191,330	723	149	2.62103901361e-07
67	60	696	61,39	300,410	323	149	0.0193934594874
68	4202	2145	8118,5083	1022,1101	4089	149	5.55111512313e-16
69	1	11	15,2	0,36	823	149	0.0368606732746
70	15	7	63,18	0,40	1632	149	0.273845362948
72	7	63	20,5	16,39	225	149	0.026647999553
73	36	0	43,75	1,0	239	149	1
74	43	84	265,129	145,166	641	149	0.00157059202545
75	26	64	252,96	153,181	394	149	0.0142254048581
77	6	1	21,5	0,0	2420	149	0.00482774816656
79	28	16	108,40	28,15	1531	149	0.0684865876036
80	2	15	12,3	17,32	236	149	0.212100608431
85	19	249	90,53	208,940	1560	149	0.023643758139
86	13	4	31,5	2,2	848	149	0.299395482458
87	4	59	6,0	24,37	264	149	0.873826341117
88	3	250	19,15	182,182	235	149	2.14886000931e-05
90	2	4	11,4	2,5	443	149	0.11016080343
91	1251	68	1782,1067	16,66	2924	149	0.101520298126
92	1269	1	1790,1088	0,0	2958	149	0.576524667935
93	1263	54	1783,1073	15,64	2927	149	0.217542086434
94	84	40	134,62	12,19	448	149	0.0104937305824
95	156	0	220,102	0,2	852	149	0.895350500237
96	362	72	319,317	13,35	467	149	0.00018709637076
97	38	8	31,8	1,3	395	149	0.301201810645
99	108	0	80,23	0,4	1013	149	0.0126682198362
100	68	8	48,15	8,3	600	149	0.416177404051
102	26	27	168,50	19,33	823	149	0.0140342313604
103	104	22	343,120	22,50	2437	149	0.609591036919
105	553	6	173,382	0,2	226	149	0.593164464384
106	744	50	233,502	11,32	267	149	0.49127326128
108	26	708	16,10	132,480	230	149	0.661385026583
109	245	13	143,160	7,4	230	149	0.304230632662
110	30	0	32,4	0,4	1153	149	0.00665232886355
111	30	1	35,5	0,2	1228	149	0.940528949607
112	11	1	19,14	0,0	577	149	0.277328361739
113	54	11	20,71	0,10	1139	149	0.131638323703
114	9	242	12,33	19,155	1091	149	9.87147643627e-07
119	3	5	4,3	0,22	269	149	0.559172894802
120	18	2	10,17	0,17	284	149	0.485281882758
121	32	4	19,43	0,8	343	149	0.767121770131
123	0	41	10,3	34,38	632	149	0.00769664355763
129	4	0	0,0	0,1	360	149	1
133	2	2	18,0	0,1	324	149	0.0509905383639
136	0	4	3,2	4,9	365	149	0.0205881368416
137	100	5	119,119	0,0	230	149	0.00484272387282
138	1	18	7,7	15,15	428	149	0.00433877314607
139	0	9	2,0	18,17	237	149	0.355217116
140	4	34	6,4	3,7	222	149	0.00397374343499
141	1	4	1,0	0,0	1692	149	1
144	142	3	175,79	4,1	632	149	0.860271199966
148	806	197	116,174	7,56	1221	149	0.342481400007
149	34	252	164,90	414,444	1799	149	0.000447232771144
150	6	177	46,27	112,178	278	149	8.119328887e-08
151	20	181	63,24	111,141	233	149	0.000939227467244
152	25	104	87,9	163,109	239	149	0.780569607825
153	62	59	168,62	33,59	380	149	0.0996545302874
154	141	0	246,146	1,6	470	149	0.0372299360327
155	146	32	8,30	0,8	537	149	0.449788510618
156	19	94	72,12	200,78	302	149	0.233668003931
158	1041	7	1625,1116	0,1	4146	149	5.88857834191e-05
161	37	19	76,38	6,14	615	149	0.0494300864724
162	17	1221	16,23	510,1383	278	149	0.805988397648
163	240	2	385,298	0,3	3295	149	0.497843745001
165	152	9	56,60	1,0	854	149	1
166	2	4	5,4	7,16	659	149	0.678986135416
167	0	4	5,2	0,2	470	149	0.000806302751385
168	656	0	725,699	0,1	1404	149	1
169	305	4686	540,320	3098,4976	1385	149	0.0308403918874
170	3	9	7,5	4,10	317	149	0.18077043142
173	0	1	2,0	1,2	311	149	0.499512445523
175	2	67	26,22	257,294	237	149	0.0347936399658
176	124	165	180,127	106,150	239	149	0.0701750553769
177	206	143	445,209	113,166	822	149	0.153454363728
178	4	336	9,12	152,292	253	149	0.0104113186139
179	25	195	24,13	62,198	235	149	0.543891032918
180	39	5	56,21	0,3	288	149	0.0525672572837
181	32	27	48,19	9,13	256	149	0.0717591927884
182	27	10	46,18	5,6	232	149	0.159291675055
184	83	4	85,50	1,2	1068	149	0.156265414811
185	84	4	87,51	4,0	1132	149	0.314881605237
