ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	75	0	83,99	0,1	313	149	1	1.0	1.0	1.0,0.979	0.01
1	26	0	24,17	1,0	252	149	1	1.0	1.0	0.934,1.0	0.033
2	36	16	35,41	0,8	252	149	0.00248302350229	0.061653893541672965	0.571	1.0,0.752	-0.305
3	83	0	151,93	1,0	269	149	1	1.0	1.0	0.988,1.0	0.006
4	178	1	383,160	0,1	401	149	0.605820613826	1.0	0.985	1.0,0.983	-0.007
5	105	1	204,84	1,2	278	149	0.674370598629	1.0	0.983	0.991,0.957	0.009
6	136	0	406,131	1,0	269	149	1	1.0	1.0	0.996,1.0	0.002
7	56	1	136,76	2,2	241	149	0.70148913683	1.0	0.972	0.977,0.959	0.004
8	71	0	90,70	2,0	252	149	0.703649099924	1.0	1.0	0.964,1.0	0.018
9	0	39	2,0	26,32	179	149	0.420252718293	1.0	0.0	0.06,0.0	-0.03
10	57	2	30,67	0,0	207	149	0.668180121966	1.0	0.954	1.0,1.0	-0.046
11	93	0	275,94	1,0	273	149	1	1.0	1.0	0.993,1.0	0.004
12	288	1	243,371	1,0	279	149	1	1.0	0.994	0.992,1.0	-0.002
13	248	6	320,357	4,2	303	149	0.0789674511235	0.5215651144676086	0.953	0.975,0.989	-0.029
14	287	0	303,322	2,0	250	149	1	1.0	1.0	0.989,1.0	0.006
15	194	0	140,275	0,3	312	149	1	1.0	1.0	1.0,0.978	0.011
16	293	0	372,359	1,0	418	149	1	1.0	1.0	0.993,1.0	0.004
17	258	0	313,289	0,1	340	149	1	1.0	1.0	1.0,0.992	0.004
18	117	0	142,125	0,1	294	149	1	1.0	1.0	1.0,0.984	0.008
19	207	0	287,243	1,1	228	149	1	1.0	1.0	0.995,0.994	0.006
20	45	0	35,97	0,1	319	149	1	1.0	1.0	1.0,0.978	0.011
21	51	0	38,97	0,1	309	149	1	1.0	1.0	1.0,0.979	0.01
22	71	0	80,114	2,0	215	149	1	1.0	1.0	0.965,1.0	0.018
23	144	0	128,206	4,0	258	149	0.545890734486	1.0	1.0	0.949,1.0	0.026
24	134	1	85,201	4,3	246	149	0.133226618561	0.7153385349666651	0.988	0.928,0.976	0.036
25	91	0	55,126	0,1	271	149	1	1.0	1.0	1.0,0.986	0.007
26	99	0	108,177	1,0	258	149	1	1.0	1.0	0.984,1.0	0.008
27	41	0	42,84	1,0	225	149	1	1.0	1.0	0.965,1.0	0.018
28	2512	0	1711,1881	4,0	215	149	1	1.0	1.0	0.997,1.0	0.002
29	1219	0	430,1307	3,0	212	149	1	1.0	1.0	0.99,1.0	0.005
30	1905	1	1013,1517	0,0	200	149	1	1.0	0.999	1.0,1.0	-0.001
31	1633	0	903,1308	0,2	185	149	1	1.0	1.0	1.0,0.998	0.001
32	1999	0	1156,1600	1,0	212	149	1	1.0	1.0	0.999,1.0	0.0
33	1837	23	857,1454	21,12	195	149	0.683873169875	1.0	0.984	0.969,0.989	0.005
38	1	1	0,0	0,2	185	149	1	1.0	0.446	NA,0.0	0.446
39	6	1	0,8	0,0	284	149	1	1.0	0.759	NA,1.0	-0.241
40	4	1	1,3	0,1	224	149	0.0460316318538	0.3729241326882977	0.727	1.0,0.666	-0.106
