IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
75	0	83,99	0,1	313	149
26	0	24,17	1,0	252	149
36	16	35,41	0,8	252	149
83	0	151,93	1,0	269	149
178	1	383,160	0,1	401	149
105	1	204,84	1,2	278	149
136	0	406,131	1,0	269	149
56	1	136,76	2,2	241	149
71	0	90,70	2,0	252	149
0	39	2,0	26,32	179	149
57	2	30,67	0,0	207	149
93	0	275,94	1,0	273	149
288	1	243,371	1,0	279	149
248	6	320,357	4,2	303	149
287	0	303,322	2,0	250	149
194	0	140,275	0,3	312	149
293	0	372,359	1,0	418	149
258	0	313,289	0,1	340	149
117	0	142,125	0,1	294	149
207	0	287,243	1,1	228	149
45	0	35,97	0,1	319	149
51	0	38,97	0,1	309	149
71	0	80,114	2,0	215	149
144	0	128,206	4,0	258	149
134	1	85,201	4,3	246	149
91	0	55,126	0,1	271	149
99	0	108,177	1,0	258	149
41	0	42,84	1,0	225	149
2512	0	1711,1881	4,0	215	149
1219	0	430,1307	3,0	212	149
1905	1	1013,1517	0,0	200	149
1633	0	903,1308	0,2	185	149
1999	0	1156,1600	1,0	212	149
1837	23	857,1454	21,12	195	149
1	1	0,0	0,2	185	149
6	1	0,8	0,0	284	149
4	1	1,3	0,1	224	149
1	1	0,2	0,1	293	149
3	0	0,6	1,0	209	149
5670	2	271,2104	0,0	209	149
5542	1	331,2252	0,2	365	149
1364	1	45,788	0,0	236	149
4830	1	111,2679	0,6	308	149
2653	1	101,1339	0,0	176	149
5923	0	440,2298	0,1	212	149
1	1	0,2	0,0	176	149
5730	4	510,2081	1,0	176	149
6149	16	637,2243	3,5	185	149
11950	9	1462,3932	2,5	176	149
3157	13	452,1129	4,3	290	149
3384	1	141,1537	0,0	182	149
35	38	38,31	17,40	355	149
113	0	126,103	0,1	273	149
47	66	52,53	53,72	690	149
8	84	2,4	65,73	284	149
0	10	3,4	16,16	284	149
12	1	24,11	0,0	325	149
141	1	99,103	2,4	294	149
70	0	50,46	1,0	294	149
0	1	1,0	2,4	209	149
7	62	2,1	35,30	209	149
686	0	1699,3234	1,0	369	149
592	1	2183,2182	4,1	337	149
1	301	4,2	813,1140	221	149
241	0	174,251	0,1	271	149
830	0	511,913	0,1	221	149
208	0	76,283	3,10	392	149
800	0	453,937	3,10	278	149
7	0	8,4	2,0	244	149
0	135	0,1	9,51	251	149
147	0	30,94	0,1	212	149
240	9	36,109	0,0	212	149
117	1	27,68	0,0	212	149
18	1	29,3	0,0	842	149
559	0	132,454	0,1	375	149
16	347	4,17	75,305	297	149
349	1	193,282	3,1	225	149
49	0	55,26	0,1	211	149
162	0	91,147	2,0	169	149
2133	4	2031,2975	0,2	251	149
31	0	31,19	0,3	453	149
37	139	33,11	78,250	658	149
34	0	32,13	0,3	658	149
158	2	168,294	2,0	288	149
454	2	389,829	2,0	233	149
587	0	602,954	1,0	261	149
163	2	109,208	0,0	235	149
3	1	13,7	0,2	253	149
26	0	8,44	1,0	431	149
121	1	92,100	1,1	321	149
67	0	52,54	1,1	247	149
397	2	160,354	6,5	270	149
711	24	170,570	2,10	270	149
1261	425	851,1136	90,319	1244	149
50	0	27,37	1,3	220	149
8	1	6,4	0,0	220	149
38	1	6,17	0,0	227	149
1	58	1,0	16,30	225	149
67	14	26,45	8,11	329	149
47	1	36,44	0,0	231	149
156	0	105,165	1,0	444	149
228	0	155,251	1,0	459	149
471	12	70,205	1,3	269	149
624	0	81,281	0,3	372	149
99	0	11,66	0,3	248	149
24	1	0,19	0,0	220	149
0	1	0,2	0,0	220	149
54	4	34,106	0,7	242	149
22	0	17,42	1,0	242	149
4	0	0,9	1,0	179	149
33	0	17,68	0,2	179	149
25	0	2,31	0,1	279	149
91	0	30,101	0,3	264	149
1	0	0,0	1,3	424	149
42	0	43,81	0,2	335	149
237	44	76,231	3,20	212	149
182	2	47,132	0,2	256	149
0	2	1,9	32,156	266	149
0	1	25,57	23,105	266	149
6	1	268,562	3,27	474	149
6	2	286,573	32,156	474	149
7	0	291,664	25,73	474	149
6	0	276,575	0,4	474	149
4	0	61,165	6,39	403	149
4	8	89,228	252,704	403	149
77	244	28,65	45,163	507	149
9	244	22,6	45,163	267	149
5866	0	1557,2648	1,0	413	149
3443	0	1007,1623	1,0	518	149
4513	0	1112,2018	2,1	268	149
5	146	2,9	16,226	330	149
6	2	7,4	2,0	285	149
608	2	129,513	1,1	227	149
114	0	18,118	0,2	227	149
1103	0	483,830	0,2	339	149
1602	0	602,1229	2,0	339	149
1371	3	547,1069	0,1	258	149
874	2	282,726	0,0	213	149
1210	0	424,834	4,2	261	149
246	1	179,186	2,0	203	149
532	15	341,336	18,12	235	149
1	285	1,0	144,195	255	149
781	0	316,473	0,1	312	149
481	0	244,342	0,1	210	149
655	0	314,462	4,0	270	149
293	2	120,208	0,0	272	149
575	0	303,390	3,4	251	149
260	0	124,165	2,0	242	149
784	3	584,581	24,2	214	149
12	8	14,15	7,2	203	149
27	344	19,36	176,191	203	149
19	344	15,10	176,191	222	149
