ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	71	53	179,58	134,31	298	278	0.683824625768	0.9755076664710348	0.555	0.555,0.636	-0.04
1	48	78	55,44	256,93	278	269	0.0163459936242	0.20702156136101843	0.373	0.172,0.314	0.13
2	113	86	158,144	57,133	298	298	0.400525097412	0.8410632439644697	0.568	0.735,0.52	-0.059
3	437	142	229,342	110,114	200	185	0.271580304283	0.7270123630319363	0.74	0.658,0.735	0.043
4	311	683	155,241	410,538	185	212	0.533514333815	0.9102987536696275	0.343	0.302,0.339	0.023
5	1497	1314	41,664	115,448	212	176	0.27936052031	0.7338292001340079	0.486	0.228,0.552	0.096
6	565	877	34,223	134,345	176	185	0.115168310452	0.523612920002971	0.404	0.211,0.405	0.096
7	0	141	1,0	99,103	209	294	1	1.0	0.0	0.014,0.0	-0.007
8	207	0	68,281	2,4	278	271	0.723184530572	0.9899916101685904	1.0	0.971,0.986	0.022
9	207	235	68,281	133,257	278	221	0.592784595135	0.9349275463006801	0.412	0.289,0.465	0.035
10	8	38	6,4	6,17	220	227	0.251614193908	0.7093577109211644	0.178	0.508,0.195	-0.174
12	0	22	0,1	6,6	227	204	1	1.0	0.0	0.0,0.13	-0.065
15	43	36	14,20	14,17	298	204	0.782145518952	1.0	0.45	0.406,0.446	0.024
16	31	28	7,13	18,28	234	231	0.0118849586272	0.17446006073012452	0.522	0.277,0.314	0.227
18	22	4	17,42	0,9	242	179	0.701883934369	0.9825268735807741	0.803	1.0,0.775	-0.084
19	22	25	17,41	3,29	242	279	0.0486985456962	0.35912147457800875	0.504	0.867,0.62	-0.24
20	1509	2051	409,694	526,963	298	268	0.917601392868	1.0	0.398	0.412,0.393	-0.004
21	114	907	18,118	441,662	227	298	0.344607418956	0.7966327708712935	0.142	0.051,0.19	0.021
22	172	3	107,139	17,1	251	242	0.0102747593195	0.1600138349309127	0.982	0.859,0.993	0.056
23	27	19	19,36	15,10	203	222	0.35079909066	0.8027375121754674	0.608	0.581,0.797	-0.081
24	10	174	22,3	82,164	295	298	0.202797410091	0.6558026555744227	0.055	0.213,0.018	-0.06
25	8	174	9,6	82,164	298	298	0.56347609797	0.9238407347794293	0.044	0.099,0.035	-0.023
26	17	103	5,8	66,111	284	298	0.0330260306947	0.29695891628999976	0.148	0.074,0.07	0.076
27	8	10	9,6	22,3	298	295	0.885947932103	1.0	0.442	0.288,0.664	-0.034
28	13	20	8,13	34,12	298	295	0.602688846963	0.9409323281044357	0.392	0.189,0.517	0.039
29	15	20	13,12	34,12	271	295	0.58563073161	0.9316630554496428	0.449	0.294,0.521	0.042
31	1504	1309	472,1726	461,1322	279	262	0.881342569968	1.0	0.519	0.49,0.551	-0.001
32	310	123	162,280	40,126	298	287	0.557872719577	0.9208685576231465	0.708	0.796,0.682	-0.031
33	185	182	128,239	35,132	218	275	0.000109215604536	0.009059147022806515	0.562	0.822,0.695	-0.196
34	76	121	55,68	108,109	298	253	0.634350238807	0.9545679495578496	0.348	0.302,0.346	0.024
35	97	0	133,254	3,0	293	230	1	1.0	1.0	0.972,1.0	0.014
36	0	40	0,1	0,7	298	294	1	1.0	0.0	NA,0.124	-0.124
37	123	40	32,128	0,7	245	294	3.3686560208e-08	2.761520554897354e-05	0.787	1.0,0.956	-0.191
38	123	0	32,128	0,1	245	298	1	1.0	1.0	1.0,0.994	0.003
39	62	119	57,100	174,192	287	298	0.371022950965	0.8189012132820157	0.351	0.254,0.351	0.048
40	85	73	99,131	130,123	246	275	0.267270891704	0.7238693795402013	0.566	0.46,0.544	0.064
41	4880	4640	554,2092	778,2121	246	219	0.117899181974	0.5275191373872995	0.484	0.388,0.468	0.056
42	41	78	29,18	65,49	258	298	0.373206537471	0.8206642536062799	0.378	0.34,0.298	0.059
43	10	35	7,0	31,30	298	298	0.0598115644646	0.3944910999984217	0.222	0.184,0.0	0.13
44	1	30	0,0	39,60	202	298	0.270268736644	0.7254701596346326	0.047	0.0,0.0	0.047
45	0	1	0,3	6,4	215	249	0.0804385238149	0.450938110623561	0.0	0.0,0.465	-0.233
46	1	0	1,2	0,2	212	260	0.515487749474	0.9045254127247101	1.0	1.0,0.551	0.224
50	6	39	0,0	3,10	209	221	0.000542338035229	0.027314449938684593	0.14	0.0,0.0	0.14
52	1	9	0,0	0,11	211	294	1	1.0	0.134	NA,0.0	0.134
53	1	94	0,0	6,27	211	221	1	1.0	0.011	0.0,0.0	0.011
55	0	94	0,1	6,27	294	221	1	1.0	0.0	0.0,0.027	-0.013
56	1	16	0,2	0,2	247	298	1	1.0	0.07	NA,0.547	-0.477
59	109	24	15,36	6,12	210	264	0.295495411616	0.750509073460799	0.851	0.759,0.79	0.077
60	1	1	0,0	1,0	185	264	1	1.0	0.588	0.0,NA	0.588
61	1	1	0,0	1,0	185	298	1	1.0	0.617	0.0,NA	0.617
62	1	1	0,0	1,0	185	298	1	1.0	0.617	0.0,NA	0.617
64	356	298	257,220	213,180	298	292	0.920438876819	1.0	0.539	0.542,0.545	-0.005
65	316	292	302,207	211,210	292	298	0.581211095426	0.9301616564052897	0.525	0.594,0.501	-0.022
