IncLevel1	IncLevel2	IncLevelDifference
0.555	0.555,0.636	-0.04
0.373	0.172,0.314	0.13
0.568	0.735,0.52	-0.059
0.74	0.658,0.735	0.043
0.343	0.302,0.339	0.023
0.486	0.228,0.552	0.096
0.404	0.211,0.405	0.096
0.0	0.014,0.0	-0.007
1.0	0.971,0.986	0.022
0.412	0.289,0.465	0.035
0.178	0.508,0.195	-0.174
0.0	0.0,0.13	-0.065
0.45	0.406,0.446	0.024
0.522	0.277,0.314	0.227
0.803	1.0,0.775	-0.084
0.504	0.867,0.62	-0.24
0.398	0.412,0.393	-0.004
0.142	0.051,0.19	0.021
0.982	0.859,0.993	0.056
0.608	0.581,0.797	-0.081
0.055	0.213,0.018	-0.06
0.044	0.099,0.035	-0.023
0.148	0.074,0.07	0.076
0.442	0.288,0.664	-0.034
0.392	0.189,0.517	0.039
0.449	0.294,0.521	0.042
0.519	0.49,0.551	-0.001
0.708	0.796,0.682	-0.031
0.562	0.822,0.695	-0.196
0.348	0.302,0.346	0.024
1.0	0.972,1.0	0.014
0.0	NA,0.124	-0.124
0.787	1.0,0.956	-0.191
1.0	1.0,0.994	0.003
0.351	0.254,0.351	0.048
0.566	0.46,0.544	0.064
0.484	0.388,0.468	0.056
0.378	0.34,0.298	0.059
0.222	0.184,0.0	0.13
0.047	0.0,0.0	0.047
0.0	0.0,0.465	-0.233
1.0	1.0,0.551	0.224
0.14	0.0,0.0	0.14
0.134	NA,0.0	0.134
0.011	0.0,0.0	0.011
0.0	0.0,0.027	-0.013
0.07	NA,0.547	-0.477
0.851	0.759,0.79	0.077
0.588	0.0,NA	0.588
0.617	0.0,NA	0.617
0.617	0.0,NA	0.617
0.539	0.542,0.545	-0.005
0.525	0.594,0.501	-0.022
0.0	0.0,0.333	-0.167
0.933	0.79,0.771	0.153
0.387	0.197,0.405	0.086
0.513	0.451,0.516	0.029
0.0	0.0,0.004	-0.002
0.59	0.652,0.436	0.046
0.515	0.429,0.465	0.068
0.338	0.426,0.383	-0.066
0.413	0.345,0.437	0.022
0.232	0.073,0.279	0.056
0.522	0.5,0.604	-0.03
0.413	0.597,0.42	-0.095
0.0	0.0,0.002	-0.001
0.573	0.522,0.556	0.034
0.099	0.068,0.142	-0.006
0.103	0.022,0.084	0.05
0.395	0.429,0.311	0.025
0.449	0.387,0.401	0.055
0.417	0.269,0.415	0.075
0.424	0.423,0.419	0.003
0.572	0.709,0.578	-0.072
0.396	0.388,0.375	0.015
0.39	0.403,0.381	-0.002
1.0	0.0,0.543	0.728
0.991	1.0,0.95	0.016
0.415	0.512,0.319	-0.001
0.562	0.662,0.537	-0.037
0.333	0.549,0.585	-0.234
0.577	0.381,0.352	0.21
0.385	0.164,0.329	0.139
0.384	0.633,0.201	-0.033
0.596	0.356,0.542	0.147
0.279	0.368,0.139	0.026
0.419	0.373,0.433	0.016
0.524	0.51,0.534	0.002
0.524	0.653,0.558	-0.082
0.434	0.526,0.322	0.01
0.37	0.29,0.261	0.095
0.526	0.71,0.593	-0.125
0.55	0.364,0.586	0.075
0.473	0.425,0.416	0.052
0.582	0.727,0.856	-0.21
0.298	0.306,0.234	0.028
1.0	0.931,1.0	0.034
0.738	0.827,0.667	-0.009
0.792	0.738,0.82	0.013
0.045	0.158,0.131	-0.1
0.263	0.281,0.354	-0.054
0.297	0.293,0.351	-0.025
0.602	0.852,0.754	-0.201
0.835	0.733,0.9	0.018
0.022	0.03,0.009	0.002
0.987	0.82,0.975	0.09
0.546	0.528,0.49	0.037
0.731	0.758,0.948	-0.122
0.028	0.042,0.0	0.007
0.0	0.051,0.022	-0.036
0.653	0.559,0.499	0.124
0.548	0.534,0.655	-0.046
0.253	0.183,0.307	0.008
0.04	0.102,0.055	-0.038
0.562	0.574,0.57	-0.01
0.516	0.521,0.484	0.014
0.995	0.978,1.0	0.006
0.997	1.0,1.0	-0.003
0.737	0.905,0.767	-0.099
0.008	0.0,0.0	0.008
0.462	0.315,0.38	0.114
0.363	1.0,0.406	-0.34
0.033	0.0,0.065	0.001
0.535	0.668,0.512	-0.055
0.0	0.118,0.0	-0.059
0.0	0.0,0.161	-0.081
0.708	0.724,0.624	0.034
0.751	0.719,0.58	0.102
1.0	0.951,1.0	0.024
1.0	0.883,1.0	0.058
1.0	1.0,0.896	0.052
1.0	1.0,0.974	0.013
0.238	0.0,0.5	-0.012
1.0	0.992,0.889	0.059
