ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	71	53	179,58	134,31	298	278	0.683824625768
1	48	78	55,44	256,93	278	269	0.0163459936242
2	113	86	158,144	57,133	298	298	0.400525097412
3	437	142	229,342	110,114	200	185	0.271580304283
4	311	683	155,241	410,538	185	212	0.533514333815
5	1497	1314	41,664	115,448	212	176	0.27936052031
6	565	877	34,223	134,345	176	185	0.115168310452
7	0	141	1,0	99,103	209	294	1
8	207	0	68,281	2,4	278	271	0.723184530572
9	207	235	68,281	133,257	278	221	0.592784595135
10	8	38	6,4	6,17	220	227	0.251614193908
12	0	22	0,1	6,6	227	204	1
15	43	36	14,20	14,17	298	204	0.782145518952
16	31	28	7,13	18,28	234	231	0.0118849586272
18	22	4	17,42	0,9	242	179	0.701883934369
19	22	25	17,41	3,29	242	279	0.0486985456962
20	1509	2051	409,694	526,963	298	268	0.917601392868
21	114	907	18,118	441,662	227	298	0.344607418956
22	172	3	107,139	17,1	251	242	0.0102747593195
23	27	19	19,36	15,10	203	222	0.35079909066
24	10	174	22,3	82,164	295	298	0.202797410091
25	8	174	9,6	82,164	298	298	0.56347609797
26	17	103	5,8	66,111	284	298	0.0330260306947
27	8	10	9,6	22,3	298	295	0.885947932103
28	13	20	8,13	34,12	298	295	0.602688846963
29	15	20	13,12	34,12	271	295	0.58563073161
31	1504	1309	472,1726	461,1322	279	262	0.881342569968
32	310	123	162,280	40,126	298	287	0.557872719577
33	185	182	128,239	35,132	218	275	0.000109215604536
34	76	121	55,68	108,109	298	253	0.634350238807
35	97	0	133,254	3,0	293	230	1
36	0	40	0,1	0,7	298	294	1
37	123	40	32,128	0,7	245	294	3.3686560208e-08
38	123	0	32,128	0,1	245	298	1
39	62	119	57,100	174,192	287	298	0.371022950965
40	85	73	99,131	130,123	246	275	0.267270891704
41	4880	4640	554,2092	778,2121	246	219	0.117899181974
42	41	78	29,18	65,49	258	298	0.373206537471
43	10	35	7,0	31,30	298	298	0.0598115644646
44	1	30	0,0	39,60	202	298	0.270268736644
45	0	1	0,3	6,4	215	249	0.0804385238149
46	1	0	1,2	0,2	212	260	0.515487749474
50	6	39	0,0	3,10	209	221	0.000542338035229
52	1	9	0,0	0,11	211	294	1
53	1	94	0,0	6,27	211	221	1
55	0	94	0,1	6,27	294	221	1
56	1	16	0,2	0,2	247	298	1
59	109	24	15,36	6,12	210	264	0.295495411616
60	1	1	0,0	1,0	185	264	1
61	1	1	0,0	1,0	185	298	1
62	1	1	0,0	1,0	185	298	1
64	356	298	257,220	213,180	298	292	0.920438876819
65	316	292	302,207	211,210	292	298	0.581211095426
69	0	2	0,1	1,2	216	216	1
71	64	5	52,28	15,9	275	298	0.00450898916443
72	148	246	25,150	107,232	233	245	0.20003291224
73	87	61	99,94	89,65	298	220	0.589154492582
75	0	228	0,1	314,240	262	259	1
76	161	99	284,158	134,181	277	245	0.552706896298
77	322	303	39,107	52,123	298	298	0.1770471321
78	96	186	87,101	116,161	233	231	0.162205430062
79	164	270	90,149	198,223	231	268	0.658179424542
80	7	20	1,9	11,20	230	198	0.729079861817
81	148	156	138,211	159,159	252	290	0.529902140621
82	51	75	63,56	44,80	211	218	0.228069753766
83	0	416	0,1	125,418	298	260	1
84	196	158	80,169	79,146	237	256	0.518470037626
85	55	592	18,89	291,634	219	259	0.466919562632
86	21	234	2,19	113,266	171	219	0.123822267964
87	130	235	23,38	36,99	225	265	0.491319055363
88	273	319	128,237	193,338	298	284	0.170109862096
89	114	148	74,102	187,134	287	267	0.170333683197
90	111	168	88,104	134,161	267	298	0.939927751518
91	188	107	224,167	70,93	298	227	0.187495751608
92	187	275	67,166	102,267	228	220	0.689983364859
93	248	415	74,198	117,344	220	235	0.982405590998
94	1	0	0,1	2,1	241	286	5.45124404964e-05
95	133	1	43,94	0,4	298	241	0.337565624194
96	37	72	16,17	21,50	216	298	0.870918839268
97	86	67	133,88	68,76	298	298	0.525711509222
98	3	6	39,24	32,17	241	241	0.151756634555
99	11	9	27,19	49,39	241	269	0.0816813024706
100	137	219	18,108	92,220	298	298	0.0218844986011
101	19	42	15,10	12,55	216	298	0.981676685234
102	5	3	10,16	16,12	298	264	0.398218976585
103	8	20	3,2	5,12	298	289	0.451099818263
105	1497	2123	1091,1001	1879,1345	291	298	0.582940251678
106	1213	1494	933,802	1215,948	215	291	0.953620542354
107	455	381	208,312	102,228	229	211	0.0736485178171
108	38	75	22,16	30,51	197	298	0.863720936576
115	55	93	7,11	17,31	298	296	0.142180158554
116	81	73	22,35	9,24	298	298	0.130349567276
117	66	54	4,17	7,12	298	298	0.725280448228
118	67	81	15,23	22,35	275	298	0.43559676229
119	18	11	22,21	7,3	219	186	0.0542670492914
120	12	41	17,8	56,38	186	270	0.819461610139
121	12	0	17,8	2,0	186	294	0.30867892816
122	48	12	34,37	5,13	298	210	0.956239157364
123	36	7	148,49	39,8	298	221	0.590412007139
124	1	20	24,4	120,25	260	244	0.0379929254334
125	8	21	50,14	120,24	260	244	0.621669182478
126	9	20	53,15	120,26	260	244	0.826976047415
127	48	24	107,61	14,15	298	225	0.00274866505093
128	48	8	91,53	28,5	298	252	0.575836855411
130	7	377	3,2	117,260	247	298	0.376967585256
131	131	2	20,104	5,3	262	298	0.0425783221152
132	115	85	210,240	167,222	298	265	0.443681024558
133	45	16	26,38	8,2	228	220	0.0648890482252
134	4	154	2,0	51,115	223	247	0.202500094398
135	0	112	2,2	36,85	258	247	0.847664579326
136	88	40	68,78	46,67	272	233	0.0376620199921
137	80	52	64,135	44,56	284	224	0.414916796035
138	32	111	24,52	126,138	224	263	0.939354793732
139	15	307	18,19	135,279	276	235	0.0629099420643
140	457	307	211,430	135,279	273	235	0.795587287224
141	751	705	351,607	323,648	298	298	0.666070517002
142	513	2	237,497	4,0	298	225	1
143	469	1	228,440	0,0	298	225	1
144	469	105	228,440	15,84	298	187	0.0218411206693
145	1	105	0,0	15,84	225	187	1
146	14	15	5,2	10,3	253	233	0.316299814574
147	10	18	4,2	0,3	234	240	0.0635669533122
148	8	347	0,11	220,231	203	298	0.736858228459
149	60	35	27,58	9,37	294	197	0.686666471506
150	0	9	2,0	12,20	298	240	0.874321963905
151	0	9	0,3	12,20	187	240	0.217575233508
152	27	9	39,41	12,20	297	240	0.662992113411
153	31	9	35,30	12,19	274	240	0.261929808261
154	27	0	39,41	2,0	297	298	0.509906994453
155	57	0	60,59	8,0	297	298	0.017041032184
156	27	0	39,41	0,3	297	187	0.491018605847
157	57	0	60,59	0,1	297	187	1
158	5	16	0,1	1,1	298	298	0.0182841336338
159	24	0	122,24	1,3	298	298	0.689452470728
161	6	43	16,41	98,64	223	251	0.073818563193
162	33	59	65,48	129,108	201	241	0.565442563404
163	96	54	221,141	116,111	241	249	0.589231989939
164	56	45	116,90	108,127	286	263	0.18603272769
165	137	139	17,58	29,86	219	221	0.063450955909
166	18	38	3,9	6,20	219	236	0.978073416931
167	79	27	2,14	4,1	277	298	0.865810473646
168	47	36	2,10	2,5	298	277	0.564199901629
169	137	130	215,170	190,106	298	298	0.248783224977
170	10	6	9,23	0,9	251	298	0.17294125704
171	10	7	9,23	0,6	251	225	0.0288249913937
172	12	45	57,11	52,26	292	285	0.0183260121276
173	12	48	34,10	115,29	270	292	0.550196481561
174	37	3	93,28	10,2	274	298	0.712939939218
175	22	3	82,18	10,2	270	298	0.833143446522
176	5	9	19,4	35,9	269	298	0.893956351992
177	5	9	19,4	31,13	269	298	0.91426185812
178	416	279	147,323	103,286	259	275	0.248257837392
179	307	440	143,226	163,350	264	281	0.733743843033
180	317	0	122,268	0,1	266	264	1
181	318	413	121,267	133,355	266	264	0.754505191145
182	9	54	14,15	43,50	179	298	0.12708076214
183	6	22	1,5	9,14	242	287	0.722265415384
184	163	101	77,46	48,50	250	298	0.302166333016
185	35	388	7,41	171,314	219	298	0.934158738626
187	18	2	2,1	0,0	270	260	0.225017146337
188	0	2	1,2	12,4	298	262	0.15773217294
189	192	116	420,178	206,106	298	284	0.485183885748
190	75	126	119,67	189,132	272	298	0.872874615874
191	52	17	50,37	19,15	276	298	0.622786097927
192	2	160	1,2	245,122	197	298	0.707288374352
193	38	12	40,39	23,18	284	239	0.193445758815
194	38	16	40,39	34,20	284	298	0.197943092027
195	93	46	126,70	50,56	276	248	0.681594773451
196	46	81	94,51	117,80	243	276	0.300859789238
197	7	87	6,3	114,80	243	276	0.275370092002
198	30	104	102,24	127,85	184	243	0.138832124455
199	28	93	42,23	121,81	204	243	0.824906968461
200	93	22	269,110	39,34	258	208	0.684707093324
201	61	31	134,57	72,27	196	243	0.958651173006
202	61	22	125,51	30,12	196	195	0.208498452296
203	54	24	78,42	42,18	243	195	0.719797975296
204	16	67	39,21	147,57	195	298	0.484537847625
205	78	72	109,47	140,52	298	298	0.226237756217
206	11	7	20,37	15,6	298	298	0.397537588515
207	35	19	207,42	111,51	298	269	0.348556147055
208	4	16	12,5	98,34	269	245	0.465648340424
209	2	2	0,0	0,3	180	244	1
210	15	24	3,3	23,14	241	276	0.00538452775101
211	0	1	0,2	3,0	262	298	0.0938044984791
215	7462	2966	4523,6901	1334,2495	272	298	0.122866750727
217	2	52	2,7	59,72	272	260	0.376922888192
218	42	1	104,76	1,1	276	247	0.385924522322
219	2419	3046	327,1153	492,1499	212	298	0.470142131197
220	4692	829	659,2307	119,461	298	212	0.559101851213
222	137	318	0,10	1,16	294	298	0.943242588225
223	7	6	2,2	6,5	298	298	0.0947052709111
224	3	3	16,9	6,0	298	251	0.0904687028006
225	4	11	3,5	12,47	234	298	0.205607302629
228	46	48	30,53	43,40	298	298	0.948575313342
229	27	33	33,43	30,36	249	262	0.296153858501
230	1073	246	752,841	156,216	298	204	0.942987459853
231	2	0	0,0	2,0	298	274	1
232	64	30	1,26	9,17	298	224	0.0486685882761
233	7	32	3,3	19,26	236	241	0.31049590877
234	74	136	130,85	328,123	275	291	0.802629431879
235	88	91	216,86	196,67	251	298	0.386504391885
236	58	146	178,62	277,126	260	251	0.0691942185269
237	13	6	29,19	16,11	298	254	0.688557861218
238	5	9	18,6	11,10	298	254	0.280637699723
239	134	9	362,140	11,10	260	254	0.337519809352
240	134	5	362,140	18,6	260	298	0.523073114791
241	98	50	139,94	121,57	246	260	0.113759788967
242	54	1	82,59	12,6	246	260	0.00426490990552
243	49	7	78,56	9,13	246	260	0.727699070994
244	82	74	77,67	74,66	245	254	0.749231865754
245	82	74	77,67	74,67	245	257	0.725638130947
246	7198	8148	327,815	318,1118	244	298	0.810402700647
247	5240	6871	249,633	278,904	276	244	0.90157315027
248	7068	6849	336,955	278,905	298	244	0.547009422601
249	7092	9892	336,952	411,1177	298	276	0.339448663694
251	9	612	3,5	453,675	298	294	0.568643225718
252	97	168	15,102	60,112	298	294	0.744404996402
255	9	1	8,20	0,9	196	235	0.255349015008
256	256	185	217,265	111,167	249	221	0.178556786587
257	331	4	167,343	3,3	298	253	0.88861515539
258	60	95	12,30	4,40	271	287	0.145573459282
259	60	16	12,30	0,2	271	298	0.00052011076497
260	90	44	9,28	12,30	287	237	0.00654279264182
261	26	223	0,1	0,11	298	214	1
262	221	417	3,7	2,23	298	214	0.665731928894
263	8	8	5,4	13,11	242	241	0.104311342048
264	10	0	4,4	10,1	242	191	0.000236419577051
265	10	0	7,12	11,1	241	191	0.00179501876175
267	4	0	0,0	0,3	242	242	1
268	272	0	18,93	0,3	298	242	0.554407894058
269	272	4	18,93	0,0	298	242	0.814010432089
276	1	13	20,11	12,51	161	298	0.0188510578581
277	50	78	54,67	230,135	237	236	0.0249740962138
279	3	1	2,1	2,1	223	298	0.320460519853
280	48	31	39,44	31,42	298	298	0.307982453861
281	47	31	43,44	31,42	275	298	0.430062501026
282	124	4	80,108	5,4	275	258	0.536384416511
283	126	141	134,252	320,342	298	267	0.0352855042904
284	1	212	0,0	95,219	244	298	1
286	28	35	9,60	9,23	181	208	0.0407412881712
288	121	139	160,157	224,151	199	223	0.937397517797
289	145	146	139,212	218,182	199	232	0.561110786944
290	126	147	176,171	213,183	199	232	0.901912390405
291	145	3	139,212	6,0	199	228	0.849556026516
292	147	237	139,212	311,297	199	199	0.666086188001
293	60	227	72,76	302,287	246	199	0.82381971409
294	9	14	0,7	4,2	220	212	0.7588730017
298	15	2	28,10	0,6	265	288	0.732910661088
299	33	30	9,36	21,13	298	208	0.981045276565
300	0	4	0,2	4,6	190	273	0.644807260162
301	29	107	37,37	27,106	210	298	0.0443884928151
302	27	28	38,35	12,42	238	210	0.318619818911
303	34	28	38,38	12,42	218	210	0.532058599697
304	0	37	3,0	11,49	228	218	0.513477119505
305	392	305	363,734	359,534	284	196	0.629312272375
306	3	648	1,4	780,1152	182	284	1
307	482	304	19,110	18,79	260	235	0.363391161355
308	300	355	7,82	12,101	298	260	0.680471679119
309	40	140	17,73	132,247	298	298	0.333987424886
310	4	10	1,4	19,27	237	262	0.0844023836758
311	23	75	4,7	17,20	200	197	0.822806746685
312	23	45	4,7	4,8	200	260	0.225927125803
314	4	11	1,8	2,1	185	209	0.0271473912351
315	4	8	2,0	1,1	185	209	0.366307991615
316	62	8	9,16	1,1	200	209	0.136383264862
319	62	4	9,16	2,0	200	185	0.228993487706
320	26	1	4,7	0,0	200	185	0.284859015066
322	5	996	0,2	216,435	298	209	1
325	0	323	0,1	216,304	250	271	1
326	413	106	306,352	44,82	271	217	0.111859437751
327	172	229	72,128	144,194	262	298	0.171451103419
328	443	329	169,296	158,253	279	272	0.256437698325
329	471	185	239,368	125,140	272	298	0.491706573495
330	126	116	39,96	32,87	274	298	0.820094448618
331	35	19	18,50	15,10	298	269	0.528050046135
332	17	35	38,22	8,45	272	298	0.0873034790167
333	31	29	44,31	14,45	194	272	0.549103729826
334	49	52	53,47	34,27	242	298	0.0469490957768
335	23	54	29,36	63,65	260	298	0.566290227565
345	15	0	13,31	0,9	298	298	0.00704757533979
346	2	2	9,8	0,1	234	298	1
347	4	2	11,9	0,1	298	298	0.0144145907032
348	9	21	10,6	17,15	298	276	0.79857019722
349	4	21	10,3	18,15	264	276	0.263245603364
350	31	3	34,38	23,12	242	276	0.00327732729665
351	1	672	2,3	275,809	298	221	1
352	582	672	167,692	275,809	228	221	0.31102358065
353	582	2	167,692	0,0	228	241	1
354	69	22	32,59	12,41	298	253	0.116527746666
355	72	70	49,61	39,48	214	260	0.404907243648
356	45	76	24,49	54,81	262	214	0.70824208572
357	93	2	74,89	2,4	260	225	0.461134024907
358	89	78	187,102	101,68	298	261	0.0717568157686
359	107	144	204,106	282,151	270	298	0.841481826113
360	56	2854	26,38	1021,2720	260	236	0.603759012561
361	0	1241	1,0	549,1222	238	298	1
362	26	72	0,39	14,80	298	298	0.463326986313
363	1	2861	0,0	1608,2685	164	197	1
364	77	51	58,136	59,67	251	232	0.878440749841
365	0	51	0,3	59,67	201	232	0.434461725277
366	124	72	468,242	138,98	244	212	0.0101178022777
367	97	173	289,162	548,239	284	271	0.795551089963
368	55	61	35,95	129,116	228	263	0.0849217660713
369	2	174	1,5	318,292	239	263	1
370	0	302	2,0	112,255	191	240	1
371	41	302	10,18	112,255	202	240	0.0327036369
372	0	1	0,2	0,2	247	280	1
373	0	41	2,0	10,18	191	202	0.809612037538
374	19	0	5,13	2,0	202	298	0.765059754963
