ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	35	62	77,37	63,73	298	149	0.274241215537	0.49365668871359997	0.22	0.379,0.202	-0.07
2	13	6	22,26	3,3	298	149	0.0393047488315	0.12859861599127237	0.52	0.786,0.812	-0.279
8	0	50	1,0	37,57	298	149	1	1.0	0.0	0.013,0.0	-0.006
9	0	59	7,3	27,74	298	149	0.0122905854897	0.058888704576548205	0.0	0.115,0.02	-0.068
11	21	0	66,209	28,66	298	149	2.48227753312e-05	0.000743938576676064	1.0	0.541,0.613	0.423
13	10	574	31,19	226,435	298	149	9.79739782969e-06	0.00039949389517797185	0.009	0.064,0.021	-0.034
14	43	604	56,45	183,496	298	149	0.00048862257733	0.006732940624720147	0.034	0.133,0.043	-0.054
15	32	2	64,41	0,0	298	149	0.132105202735	0.2960144243714355	0.889	1.0,1.0	-0.111
16	17	498	41,15	171,416	298	149	0.000287005704541	0.004563162315699612	0.017	0.107,0.018	-0.045
17	28	0	87,21	4,2	298	149	0.0316240564125	0.10980119729321967	1.0	0.916,0.84	0.122
18	14	162	14,13	58,133	298	149	0.178738146145	0.371225380455	0.041	0.108,0.047	-0.036
19	7	2	16,5	9,11	273	149	0.106702847832	0.2560212626638776	0.656	0.492,0.199	0.31
20	11	0	15,10	0,2	298	149	0.646266921804	0.8541838873854855	1.0	1.0,0.714	0.143
22	0	1	1,2	0,0	298	149	1.58367252076e-05	0.0005592713500959158	0.0	1.0,1.0	-1.0
25	17	556	9,28	313,697	262	149	0.616558647823	0.8306703832436642	0.017	0.016,0.022	-0.002
26	9	185	26,10	134,267	298	149	0.0832455654764	0.21516770998945303	0.024	0.088,0.018	-0.029
27	25	120	36,31	128,251	298	149	0.652415867769	0.8592794355981951	0.094	0.123,0.058	0.004
29	2	0	3,3	0,2	298	149	0.402928665708	0.6359016382974598	1.0	1.0,0.429	0.285
38	3	57	1,1	47,59	298	149	0.633236770025	0.843283981233026	0.026	0.011,0.008	0.017
39	0	44	1,2	60,32	298	149	0.70549620176	0.8944044486779695	0.0	0.008,0.03	-0.019
40	5	2	11,13	0,2	298	149	0.046019747778	0.14307176772890665	0.556	1.0,0.765	-0.327
41	0	3	13,5	4,2	298	149	0.000153538182502	0.002858098962475118	0.0	0.619,0.556	-0.588
42	22	0	38,38	2,2	298	149	0.0666348383486	0.18461475983903042	1.0	0.905,0.905	0.095
43	163	57	132,267	1,79	298	149	0.00579831746636	0.03575629104255334	0.588	0.985,0.628	-0.219
44	7	119	28,2	37,78	217	149	0.0234868769448	0.0898980462369931	0.039	0.342,0.017	-0.141
45	0	66	12,0	123,138	217	149	0.0545603706478	0.16094235318056752	0.0	0.063,0.0	-0.032
46	8	59	20,14	132,80	244	149	0.60667645961	0.8221611347280896	0.076	0.085,0.097	-0.015
47	0	14	7,4	39,19	241	149	0.00730543546617	0.04185544943711295	0.0	0.1,0.115	-0.108
48	11	10	15,12	7,14	298	149	0.75435861294	0.9321017369536919	0.355	0.517,0.3	-0.053
49	1	0	25,1	1,1	298	149	1	1.0	1.0	0.926,0.333	0.37
50	29	39	29,26	45,44	220	149	0.563678680812	0.7844782091666365	0.335	0.304,0.286	0.04
51	10	28	10,8	6,26	298	149	0.325771510783	0.5514765842501701	0.152	0.455,0.133	-0.142
52	43	1	53,41	2,3	298	149	0.261536143316	0.4791099153533325	0.956	0.93,0.872	0.055
53	47	17	63,46	12,33	298	149	0.898092168665	1.0	0.58	0.724,0.411	0.012
55	17	65	19,47	11,192	228	149	0.138268888076	0.3062763174898536	0.146	0.53,0.138	-0.188
57	5	11	15,2	6,14	298	149	0.643529885877	0.8513914201790174	0.185	0.556,0.067	-0.127
58	8	6	8,5	0,6	298	149	0.25225410419	0.4692771882417318	0.4	1.0,0.294	-0.247
59	20	18	23,31	7,21	235	149	0.180412981782	0.37385828996058534	0.413	0.676,0.483	-0.167
60	46	253	24,28	26,89	298	149	0.00219136693799	0.018764362037588658	0.083	0.316,0.136	-0.143
61	8	80	14,7	33,66	298	149	0.0915065935056	0.2302495029566324	0.048	0.175,0.05	-0.064
62	14	56	26,6	16,41	298	149	0.200895960935	0.4024633655897025	0.111	0.448,0.068	-0.147
65	94	5	132,62	2,0	298	149	0.00962347415085	0.049683982825318614	0.904	0.971,1.0	-0.082
66	105	675	155,59	191,330	298	149	0.00135147249173	0.013411798204353677	0.072	0.289,0.082	-0.114
67	58	696	58,39	300,410	298	149	0.0196596000151	0.07953272970127652	0.04	0.088,0.045	-0.027
68	566	2145	1611,590	1022,1101	298	149	8.78898660561e-06	0.0003736254305959315	0.117	0.441,0.211	-0.209
69	1	11	5,0	0,36	298	149	0.236754926426	0.4505108028563314	0.043	1.0,0.0	-0.457
70	2	7	4,2	0,40	298	149	0.566743593142	0.7865742520502249	0.125	1.0,0.024	-0.387
72	7	63	20,5	16,39	225	149	0.026647999553	0.09721735199067681	0.069	0.453,0.078	-0.197
73	36	0	43,75	1,0	239	149	1	1.0	1.0	0.964,1.0	0.018
74	22	84	131,49	145,166	298	149	0.0304056426574	0.10657977899909685	0.116	0.311,0.129	-0.104
75	25	64	228,84	153,181	298	149	0.0346021262031	0.11658524140606036	0.163	0.427,0.188	-0.144
77	2	1	4,1	0,0	298	149	0.0490555106103	0.1496380308387472	0.5	1.0,1.0	-0.5
79	7	16	26,7	28,15	298	149	0.271911829268	0.49032476071973286	0.179	0.317,0.189	-0.074
80	2	15	12,3	17,32	236	149	0.212100608431	0.418614108309323	0.078	0.308,0.056	-0.104
85	15	249	31,38	208,940	298	149	0.728462672045	0.9119476307931768	0.029	0.069,0.02	-0.016
86	9	4	6,0	2,2	298	149	0.228111335116	0.44034030010233227	0.529	0.6,0.0	0.229
87	4	59	6,0	24,37	264	149	0.873826341117	1.0	0.037	0.124,0.0	-0.025
88	3	250	19,15	182,182	235	149	2.14886000931e-05	0.0006814956029526	0.008	0.062,0.05	-0.048
90	2	4	11,4	2,5	298	149	0.106022340239	0.25542520393591883	0.2	0.733,0.286	-0.309
91	50	68	74,58	16,66	298	149	0.0532532822286	0.15801988795951902	0.269	0.698,0.305	-0.232
92	57	1	73,70	0,0	298	149	0.307646234244	0.5322936865224623	0.966	1.0,1.0	-0.034
93	62	54	75,64	15,64	298	149	0.201791368712	0.403582737424	0.365	0.714,0.333	-0.158
