ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	35	62	77,37	63,73	298	149	0.274241215537	0.49365668871359997
2	13	6	22,26	3,3	298	149	0.0393047488315	0.12859861599127237
8	0	50	1,0	37,57	298	149	1	1.0
9	0	59	7,3	27,74	298	149	0.0122905854897	0.058888704576548205
11	21	0	66,209	28,66	298	149	2.48227753312e-05	0.000743938576676064
13	10	574	31,19	226,435	298	149	9.79739782969e-06	0.00039949389517797185
14	43	604	56,45	183,496	298	149	0.00048862257733	0.006732940624720147
15	32	2	64,41	0,0	298	149	0.132105202735	0.2960144243714355
16	17	498	41,15	171,416	298	149	0.000287005704541	0.004563162315699612
17	28	0	87,21	4,2	298	149	0.0316240564125	0.10980119729321967
18	14	162	14,13	58,133	298	149	0.178738146145	0.371225380455
19	7	2	16,5	9,11	273	149	0.106702847832	0.2560212626638776
20	11	0	15,10	0,2	298	149	0.646266921804	0.8541838873854855
22	0	1	1,2	0,0	298	149	1.58367252076e-05	0.0005592713500959158
25	17	556	9,28	313,697	262	149	0.616558647823	0.8306703832436642
26	9	185	26,10	134,267	298	149	0.0832455654764	0.21516770998945303
27	25	120	36,31	128,251	298	149	0.652415867769	0.8592794355981951
29	2	0	3,3	0,2	298	149	0.402928665708	0.6359016382974598
38	3	57	1,1	47,59	298	149	0.633236770025	0.843283981233026
39	0	44	1,2	60,32	298	149	0.70549620176	0.8944044486779695
40	5	2	11,13	0,2	298	149	0.046019747778	0.14307176772890665
41	0	3	13,5	4,2	298	149	0.000153538182502	0.002858098962475118
42	22	0	38,38	2,2	298	149	0.0666348383486	0.18461475983903042
43	163	57	132,267	1,79	298	149	0.00579831746636	0.03575629104255334
44	7	119	28,2	37,78	217	149	0.0234868769448	0.0898980462369931
45	0	66	12,0	123,138	217	149	0.0545603706478	0.16094235318056752
46	8	59	20,14	132,80	244	149	0.60667645961	0.8221611347280896
47	0	14	7,4	39,19	241	149	0.00730543546617	0.04185544943711295
48	11	10	15,12	7,14	298	149	0.75435861294	0.9321017369536919
49	1	0	25,1	1,1	298	149	1	1.0
50	29	39	29,26	45,44	220	149	0.563678680812	0.7844782091666365
51	10	28	10,8	6,26	298	149	0.325771510783	0.5514765842501701
