IncLevel1	IncLevel2	IncLevelDifference
0.22	0.379,0.202	-0.07
0.52	0.786,0.812	-0.279
0.0	0.013,0.0	-0.006
0.0	0.115,0.02	-0.068
1.0	0.541,0.613	0.423
0.009	0.064,0.021	-0.034
0.034	0.133,0.043	-0.054
0.889	1.0,1.0	-0.111
0.017	0.107,0.018	-0.045
1.0	0.916,0.84	0.122
0.041	0.108,0.047	-0.036
0.656	0.492,0.199	0.31
1.0	1.0,0.714	0.143
0.0	1.0,1.0	-1.0
0.017	0.016,0.022	-0.002
0.024	0.088,0.018	-0.029
0.094	0.123,0.058	0.004
1.0	1.0,0.429	0.285
0.026	0.011,0.008	0.017
0.0	0.008,0.03	-0.019
0.556	1.0,0.765	-0.327
0.0	0.619,0.556	-0.588
1.0	0.905,0.905	0.095
0.588	0.985,0.628	-0.219
0.039	0.342,0.017	-0.141
0.0	0.063,0.0	-0.032
0.076	0.085,0.097	-0.015
0.0	0.1,0.115	-0.108
0.355	0.517,0.3	-0.053
1.0	0.926,0.333	0.37
0.335	0.304,0.286	0.04
0.152	0.455,0.133	-0.142
0.956	0.93,0.872	0.055
0.58	0.724,0.411	0.012
0.146	0.53,0.138	-0.188
0.185	0.556,0.067	-0.127
0.4	1.0,0.294	-0.247
0.413	0.676,0.483	-0.167
0.083	0.316,0.136	-0.143
0.048	0.175,0.05	-0.064
0.111	0.448,0.068	-0.147
0.904	0.971,1.0	-0.082
0.072	0.289,0.082	-0.114
0.04	0.088,0.045	-0.027
0.117	0.441,0.211	-0.209
0.043	1.0,0.0	-0.457
0.125	1.0,0.024	-0.387
0.069	0.453,0.078	-0.197
1.0	0.964,1.0	0.018
0.116	0.311,0.129	-0.104
0.163	0.427,0.188	-0.144
0.5	1.0,1.0	-0.5
0.179	0.317,0.189	-0.074
0.078	0.308,0.056	-0.104
0.029	0.069,0.02	-0.016
0.529	0.6,0.0	0.229
0.037	0.124,0.0	-0.025
0.008	0.062,0.05	-0.048
0.2	0.733,0.286	-0.309
0.269	0.698,0.305	-0.232
0.966	1.0,1.0	-0.034
0.365	0.714,0.333	-0.158
0.456	0.824,0.573	-0.242
1.0	1.0,0.925	0.037
0.706	0.92,0.815	-0.161
0.619	0.92,0.455	-0.069
1.0	1.0,0.579	0.211
0.724	0.692,0.647	0.054
0.129	0.627,0.175	-0.272
