IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
35	62	77,37	63,73	298	149
13	6	22,26	3,3	298	149
0	50	1,0	37,57	298	149
0	59	7,3	27,74	298	149
21	0	66,209	28,66	298	149
10	574	31,19	226,435	298	149
43	604	56,45	183,496	298	149
32	2	64,41	0,0	298	149
17	498	41,15	171,416	298	149
28	0	87,21	4,2	298	149
14	162	14,13	58,133	298	149
7	2	16,5	9,11	273	149
11	0	15,10	0,2	298	149
0	1	1,2	0,0	298	149
17	556	9,28	313,697	262	149
9	185	26,10	134,267	298	149
25	120	36,31	128,251	298	149
2	0	3,3	0,2	298	149
3	57	1,1	47,59	298	149
0	44	1,2	60,32	298	149
5	2	11,13	0,2	298	149
0	3	13,5	4,2	298	149
22	0	38,38	2,2	298	149
163	57	132,267	1,79	298	149
7	119	28,2	37,78	217	149
0	66	12,0	123,138	217	149
8	59	20,14	132,80	244	149
0	14	7,4	39,19	241	149
11	10	15,12	7,14	298	149
1	0	25,1	1,1	298	149
29	39	29,26	45,44	220	149
10	28	10,8	6,26	298	149
43	1	53,41	2,3	298	149
47	17	63,46	12,33	298	149
17	65	19,47	11,192	228	149
5	11	15,2	6,14	298	149
8	6	8,5	0,6	298	149
20	18	23,31	7,21	235	149
46	253	24,28	26,89	298	149
8	80	14,7	33,66	298	149
14	56	26,6	16,41	298	149
94	5	132,62	2,0	298	149
105	675	155,59	191,330	298	149
58	696	58,39	300,410	298	149
566	2145	1611,590	1022,1101	298	149
1	11	5,0	0,36	298	149
2	7	4,2	0,40	298	149
7	63	20,5	16,39	225	149
36	0	43,75	1,0	239	149
22	84	131,49	145,166	298	149
25	64	228,84	153,181	298	149
2	1	4,1	0,0	298	149
7	16	26,7	28,15	298	149
2	15	12,3	17,32	236	149
15	249	31,38	208,940	298	149
9	4	6,0	2,2	298	149
4	59	6,0	24,37	264	149
3	250	19,15	182,182	235	149
2	4	11,4	2,5	298	149
50	68	74,58	16,66	298	149
57	1	73,70	0,0	298	149
62	54	75,64	15,64	298	149
67	40	112,51	12,19	298	149
64	0	100,49	0,2	298	149
345	72	297,308	13,35	298	149
26	8	23,5	1,3	298	149
38	0	46,11	0,4	298	149
42	8	36,11	8,3	298	149
8	27	64,14	19,33	298	149
