ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	35	62	77,37	63,73	298	149	0.274241215537
2	13	6	22,26	3,3	298	149	0.0393047488315
8	0	50	1,0	37,57	298	149	1
9	0	59	7,3	27,74	298	149	0.0122905854897
11	21	0	66,209	28,66	298	149	2.48227753312e-05
13	10	574	31,19	226,435	298	149	9.79739782969e-06
14	43	604	56,45	183,496	298	149	0.00048862257733
15	32	2	64,41	0,0	298	149	0.132105202735
16	17	498	41,15	171,416	298	149	0.000287005704541
17	28	0	87,21	4,2	298	149	0.0316240564125
18	14	162	14,13	58,133	298	149	0.178738146145
19	7	2	16,5	9,11	273	149	0.106702847832
20	11	0	15,10	0,2	298	149	0.646266921804
22	0	1	1,2	0,0	298	149	1.58367252076e-05
25	17	556	9,28	313,697	262	149	0.616558647823
26	9	185	26,10	134,267	298	149	0.0832455654764
27	25	120	36,31	128,251	298	149	0.652415867769
29	2	0	3,3	0,2	298	149	0.402928665708
38	3	57	1,1	47,59	298	149	0.633236770025
39	0	44	1,2	60,32	298	149	0.70549620176
40	5	2	11,13	0,2	298	149	0.046019747778
41	0	3	13,5	4,2	298	149	0.000153538182502
42	22	0	38,38	2,2	298	149	0.0666348383486
43	163	57	132,267	1,79	298	149	0.00579831746636
44	7	119	28,2	37,78	217	149	0.0234868769448
45	0	66	12,0	123,138	217	149	0.0545603706478
46	8	59	20,14	132,80	244	149	0.60667645961
47	0	14	7,4	39,19	241	149	0.00730543546617
48	11	10	15,12	7,14	298	149	0.75435861294
49	1	0	25,1	1,1	298	149	1
50	29	39	29,26	45,44	220	149	0.563678680812
51	10	28	10,8	6,26	298	149	0.325771510783
52	43	1	53,41	2,3	298	149	0.261536143316
53	47	17	63,46	12,33	298	149	0.898092168665
55	17	65	19,47	11,192	228	149	0.138268888076
57	5	11	15,2	6,14	298	149	0.643529885877
58	8	6	8,5	0,6	298	149	0.25225410419
59	20	18	23,31	7,21	235	149	0.180412981782
60	46	253	24,28	26,89	298	149	0.00219136693799
61	8	80	14,7	33,66	298	149	0.0915065935056
62	14	56	26,6	16,41	298	149	0.200895960935
65	94	5	132,62	2,0	298	149	0.00962347415085
66	105	675	155,59	191,330	298	149	0.00135147249173
67	58	696	58,39	300,410	298	149	0.0196596000151
68	566	2145	1611,590	1022,1101	298	149	8.78898660561e-06
69	1	11	5,0	0,36	298	149	0.236754926426
70	2	7	4,2	0,40	298	149	0.566743593142
72	7	63	20,5	16,39	225	149	0.026647999553
73	36	0	43,75	1,0	239	149	1
74	22	84	131,49	145,166	298	149	0.0304056426574
75	25	64	228,84	153,181	298	149	0.0346021262031
77	2	1	4,1	0,0	298	149	0.0490555106103
79	7	16	26,7	28,15	298	149	0.271911829268
80	2	15	12,3	17,32	236	149	0.212100608431
85	15	249	31,38	208,940	298	149	0.728462672045
86	9	4	6,0	2,2	298	149	0.228111335116
87	4	59	6,0	24,37	264	149	0.873826341117
88	3	250	19,15	182,182	235	149	2.14886000931e-05
90	2	4	11,4	2,5	298	149	0.106022340239
91	50	68	74,58	16,66	298	149	0.0532532822286
92	57	1	73,70	0,0	298	149	0.307646234244
93	62	54	75,64	15,64	298	149	0.201791368712
94	67	40	112,51	12,19	298	149	0.00649382642638
95	64	0	100,49	0,2	298	149	0.729516555398
96	345	72	297,308	13,35	298	149	5.65376713885e-05
97	26	8	23,5	1,3	298	149	0.315499236998
99	38	0	46,11	0,4	298	149	0.032953396303
100	42	8	36,11	8,3	298	149	0.731574096507
102	8	27	64,14	19,33	298	149	0.0259367404722
103	4	22	29,8	22,50	298	149	0.0923540978597
105	553	6	173,382	0,2	226	149	0.593164464384
106	744	50	233,502	11,32	267	149	0.49127326128
108	26	708	16,10	132,480	230	149	0.661385026583
109	245	13	143,160	7,4	230	149	0.304230632662
110	14	0	6,0	0,4	298	149	0.00414874974221
111	11	1	8,1	0,2	298	149	0.873503881201
112	7	1	11,4	0,0	298	149	0.409169992214
113	48	11	14,47	0,10	298	149	0.277718175723
114	3	242	6,10	19,155	298	149	0.000815609983356
119	3	5	4,3	0,22	269	149	0.559172894802
120	18	2	10,17	0,17	284	149	0.485281882758
121	31	4	19,40	0,8	298	149	0.822089842614
123	0	41	6,1	34,38	298	149	0.043095400558
129	4	0	0,0	0,1	298	149	1
133	2	2	16,0	0,1	298	149	0.0495105963642
136	0	4	1,2	4,9	298	149	0.146139326668
137	100	5	119,119	0,0	230	149	0.00484272387282
138	1	18	7,5	15,15	298	149	0.00964861476491
139	0	9	2,0	18,17	237	149	0.355217116
140	4	34	6,4	3,7	222	149	0.00397374343499
141	1	4	1,0	0,0	298	149	1
144	40	3	54,14	4,1	298	149	0.899640650474
148	218	197	36,45	7,56	298	149	0.334157047767
149	22	252	40,31	414,444	298	149	0.92867096006
150	6	177	46,27	112,178	278	149	8.119328887e-08
151	20	181	63,24	111,141	233	149	0.000939227467244
152	25	104	87,9	163,109	239	149	0.780569607825
153	54	59	154,58	33,59	298	149	0.0749698388391
154	118	0	188,119	1,6	298	149	0.0617134574021
155	81	32	4,11	0,8	298	149	0.642923406289
156	19	94	72,12	200,78	298	149	0.235373535072
158	124	7	176,132	0,1	298	149	0.000264268103378
161	22	19	45,21	6,14	298	149	0.0652046796699
162	17	1221	16,23	510,1383	278	149	0.805988397648
163	44	2	68,45	0,3	298	149	0.521137718568
165	57	9	19,26	1,0	298	149	0.000279414145442
