ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	75	0	79,94	0,1	298	149	1	1.0
1	26	0	24,17	1,0	252	149	1	1.0
2	36	16	35,41	0,8	252	149	0.00248302350229	0.06516904012757063
3	83	0	151,93	1,0	269	149	1	1.0
4	123	1	249,110	0,1	298	149	0.555047741751	1.0
5	105	1	204,84	1,2	278	149	0.674370598629	1.0
6	136	0	406,131	1,0	269	149	1	1.0
7	56	1	136,76	2,2	241	149	0.70148913683	1.0
8	71	0	90,70	2,0	252	149	0.703649099924	1.0
9	0	39	2,0	26,32	179	149	0.420252718293	1.0
10	57	2	30,67	0,0	207	149	0.668180121966	1.0
11	93	0	275,94	1,0	273	149	1	1.0
12	288	1	243,371	1,0	279	149	1	1.0
13	244	6	319,355	4,2	298	149	0.0761121168371	0.5277448710665019
14	287	0	303,322	2,0	250	149	1	1.0
15	183	0	129,264	0,3	298	149	0.926950835547	1.0
16	210	0	231,272	1,0	298	149	1	1.0
17	203	0	254,232	0,1	298	149	1	1.0
18	117	0	142,125	0,1	294	149	1	1.0
19	207	0	287,243	1,1	228	149	1	1.0
20	43	0	32,90	0,1	298	149	1	1.0
21	49	0	35,93	0,1	298	149	1	1.0
22	71	0	80,114	2,0	215	149	1	1.0
23	144	0	128,206	4,0	258	149	0.545890734486	1.0
24	134	1	85,201	4,3	246	149	0.133226618561	0.7384778095517016
25	91	0	55,126	0,1	271	149	1	1.0
26	99	0	108,177	1,0	258	149	1	1.0
27	41	0	42,84	1,0	225	149	1	1.0
28	2512	0	1711,1881	4,0	215	149	1	1.0
29	1219	0	430,1307	3,0	212	149	1	1.0
30	1905	1	1013,1517	0,0	200	149	1	1.0
31	1633	0	903,1308	0,2	185	149	1	1.0
32	1999	0	1156,1600	1,0	212	149	1	1.0
33	1837	23	857,1454	21,12	195	149	0.683873169875	1.0
38	1	1	0,0	0,2	185	149	1	1.0
39	6	1	0,8	0,0	284	149	1	1.0
40	4	1	1,3	0,1	224	149	0.0460316318538	0.38748111257535345
41	1	1	0,2	0,1	293	149	1	1.0
43	3	0	0,6	1,0	209	149	1	1.0
45	5670	2	271,2104	0,0	209	149	1	1.0
46	3825	1	232,1591	0,2	298	149	1	1.0
47	1364	1	45,788	0,0	236	149	1	1.0
48	4665	1	109,2568	0,6	298	149	1	1.0
49	2653	1	101,1339	0,0	176	149	1	1.0
50	5923	0	440,2298	0,1	212	149	1	1.0
51	1	1	0,2	0,0	176	149	1	1.0
52	5730	4	510,2081	1,0	176	149	1	1.0
53	6149	16	637,2243	3,5	185	149	1	1.0
54	11950	9	1462,3932	2,5	176	149	1	1.0
55	3157	13	452,1129	4,3	290	149	1	1.0
56	3384	1	141,1537	0,0	182	149	1	1.0
57	33	38	32,24	17,40	298	149	0.683893608401	1.0
58	113	0	126,103	0,1	273	149	1	1.0
59	18	66	30,14	53,72	298	149	0.483299628509	1.0
61	8	84	2,4	65,73	284	149	0.10796936052	0.6508137841838513
62	0	10	3,4	16,16	284	149	0.023180956113	0.2521230630911181
63	12	1	22,11	0,0	298	149	0.463471943463	1.0
64	141	1	99,103	2,4	294	149	0.0828782588118	0.555634322382131
65	70	0	50,46	1,0	294	149	1	1.0
66	0	1	1,0	2,4	209	149	1	1.0
67	7	62	2,1	35,30	209	149	0.0721254658637	0.511901174546974
69	592	0	1535,2746	1,0	298	149	1	1.0
70	561	1	2032,2043	4,1	298	149	1	1.0
71	1	301	4,2	813,1140	221	149	1	1.0
76	241	0	174,250	0,1	271	149	1	1.0
77	830	0	511,912	0,1	221	149	1	1.0
78	208	0	70,283	3,10	298	149	0.00138683679588	0.044855798780638084
79	800	0	453,937	3,10	278	149	0.28556302181	1.0
84	7	0	8,4	2,0	244	149	0.718133361592	1.0
87	0	135	0,1	9,51	251	149	1	1.0
88	147	0	30,94	0,1	212	149	1	1.0
89	240	9	36,109	0,0	212	149	0.0026490219902	0.0680909906568606
90	117	1	27,68	0,0	212	149	1	1.0
93	347	0	75,306	0,1	298	149	1	1.0
94	16	347	4,17	75,305	297	149	0.719128780456	1.0
95	349	1	193,282	3,1	225	149	1	1.0
98	49	0	55,26	0,1	211	149	1	1.0
99	162	0	91,147	2,0	169	149	1	1.0
100	2133	4	2031,2975	0,2	251	149	1	1.0
101	13	0	17,12	0,3	298	149	0.123106618875	0.7063160180241334
102	6	139	3,2	78,250	298	149	0.276219427803	1.0
103	3	0	2,4	0,3	298	149	0.0303588755033	0.29972581926808284
104	158	2	168,294	2,0	288	149	0.672895158338	1.0
105	454	2	389,829	2,0	233	149	1	1.0
106	587	0	602,954	1,0	261	149	1	1.0
107	163	2	109,208	0,0	235	149	0.527975936552	1.0
108	3	1	13,7	0,2	253	149	0.402557248387	1.0
109	24	0	8,38	1,0	298	149	1	1.0
110	106	1	68,84	1,1	298	149	0.471556712608	1.0
111	67	0	52,54	1,1	247	149	0.372162304932	1.0
112	397	2	160,354	6,5	270	149	0.0340004426026	0.3212452216666124
113	711	24	170,570	2,10	270	149	0.0240908441302	0.2579293438430929
114	225	425	150,235	90,319	298	149	0.00513324493194	0.1025998659749663
115	50	0	27,37	1,3	220	149	0.0675077315557	0.49140894102295923
116	8	1	6,4	0,0	220	149	0.668315644063	1.0
