IncLevel1	IncLevel2	IncLevelDifference
1.0	1.0,0.979	0.01
1.0	0.934,1.0	0.033
0.571	1.0,0.752	-0.305
1.0	0.988,1.0	0.006
0.984	1.0,0.982	-0.007
0.983	0.991,0.957	0.009
1.0	0.996,1.0	0.002
0.972	0.977,0.959	0.004
1.0	0.964,1.0	0.018
0.0	0.06,0.0	-0.03
0.954	1.0,1.0	-0.046
1.0	0.993,1.0	0.004
0.994	0.992,1.0	-0.002
0.953	0.976,0.989	-0.029
1.0	0.989,1.0	0.006
1.0	1.0,0.978	0.011
1.0	0.991,1.0	0.004
1.0	1.0,0.991	0.004
1.0	1.0,0.984	0.008
1.0	0.995,0.994	0.006
1.0	1.0,0.978	0.011
1.0	1.0,0.979	0.01
1.0	0.965,1.0	0.018
1.0	0.949,1.0	0.026
0.988	0.928,0.976	0.036
1.0	1.0,0.986	0.007
1.0	0.984,1.0	0.008
1.0	0.965,1.0	0.018
1.0	0.997,1.0	0.002
1.0	0.99,1.0	0.005
0.999	1.0,1.0	-0.001
1.0	1.0,0.998	0.001
1.0	0.999,1.0	0.0
0.984	0.969,0.989	0.005
0.446	NA,0.0	0.446
0.759	NA,1.0	-0.241
0.727	1.0,0.666	-0.106
0.337	NA,0.504	-0.167
1.0	0.0,1.0	0.5
1.0	1.0,1.0	0.0
0.999	1.0,0.997	0.001
0.999	1.0,1.0	-0.001
1.0	1.0,0.995	0.002
1.0	1.0,1.0	0.0
1.0	1.0,0.999	0.0
0.458	NA,1.0	-0.542
0.999	0.998,1.0	0.0
0.997	0.994,0.997	0.001
0.999	0.998,0.999	0.001
0.992	0.983,0.995	0.003
1.0	1.0,1.0	0.0
0.303	0.485,0.231	-0.055
1.0	1.0,0.983	0.008
0.12	0.221,0.089	-0.035
0.048	0.016,0.028	0.026
0.0	0.09,0.116	-0.103
0.857	1.0,1.0	-0.143
0.986	0.962,0.929	0.04
1.0	0.962,1.0	0.019
0.0	0.263,0.0	-0.132
0.074	0.039,0.023	0.043
1.0	0.999,1.0	0.0
0.996	0.996,0.999	-0.002
0.002	0.003,0.001	0.0
1.0	1.0,0.993	0.004
1.0	1.0,0.998	0.001
1.0	0.921,0.934	0.073
1.0	0.988,0.98	0.016
1.0	0.71,1.0	0.145
0.0	0.0,0.012	-0.006
1.0	1.0,0.985	0.008
0.949	1.0,1.0	-0.051
0.988	1.0,1.0	-0.012
1.0	1.0,0.994	0.003
0.023	0.026,0.027	-0.003
0.996	0.977,0.995	0.01
1.0	1.0,0.948	0.026
1.0	0.976,1.0	0.012
0.997	1.0,0.999	-0.003
1.0	1.0,0.667	0.166
0.021	0.019,0.004	0.01
1.0	1.0,0.4	0.3
0.976	0.978,1.0	-0.013
0.993	0.992,1.0	-0.003
1.0	0.997,1.0	0.002
0.981	1.0,1.0	-0.019
0.639	1.0,0.673	-0.198
1.0	0.8,1.0	0.1
0.981	0.971,0.977	0.007
1.0	0.969,0.97	0.03
0.991	0.936,0.975	0.035
0.942	0.979,0.969	-0.032
0.209	0.455,0.269	-0.153
1.0	0.948,0.893	0.08
0.844	1.0,1.0	-0.156
0.961	1.0,1.0	-0.039
0.011	0.04,0.0	-0.009
0.705	0.61,0.662	0.069
0.968	1.0,1.0	-0.032
1.0	0.967,1.0	0.016
1.0	0.981,1.0	0.01
0.956	0.975,0.974	-0.018
1.0	1.0,0.975	0.012
1.0	1.0,0.93	0.035
0.942	NA,1.0	-0.058
0.0	NA,1.0	-1.0
0.893	1.0,0.903	-0.058
1.0	0.913,1.0	0.043
1.0	0.0,1.0	0.5
1.0	1.0,0.966	0.017
1.0	1.0,0.943	0.028
1.0	1.0,0.95	0.025
1.0	0.0,0.0	1.0
1.0	1.0,0.943	0.028
0.791	0.947,0.89	-0.127
0.981	1.0,0.975	-0.007
0.0	0.017,0.031	-0.024
0.0	0.378,0.233	-0.305
0.667	0.941,0.803	-0.205
0.5	0.638,0.425	-0.031
1.0	0.702,0.688	0.305
1.0	1.0,0.967	0.016
0.0	0.105,0.089	-0.097
0.02	0.217,0.024	-0.1
0.02	0.214,0.02	-0.097
1.0	0.998,1.0	0.001
1.0	0.995,1.0	0.002
1.0	0.997,0.999	0.002
0.003	0.0,0.013	-0.003
0.611	0.647,1.0	-0.213
0.995	0.988,0.997	0.003
1.0	1.0,0.975	0.012
1.0	1.0,0.994	0.003
1.0	0.993,1.0	0.004
0.996	1.0,0.998	-0.003
0.997	1.0,1.0	-0.003
1.0	0.984,0.996	0.01
0.994	0.985,1.0	0.002
0.957	0.923,0.947	0.022
0.002	0.004,0.0	0.0
1.0	1.0,0.996	0.002
1.0	1.0,0.996	0.002
1.0	0.977,1.0	0.012
0.988	1.0,1.0	-0.012
1.0	0.984,0.983	0.016
1.0	0.974,1.0	0.013
0.995	0.944,0.995	0.025
0.524	0.595,0.846	-0.196
0.054	0.073,0.122	-0.044
0.036	0.054,0.034	-0.008
0.357	0.446,0.23	0.019
0.996	0.992,0.997	0.002
1.0	1.0,0.997	0.002
0.988	1.0,0.992	-0.008
0.016	0.0,0.01	0.011
0.996	1.0,1.0	-0.004
0.957	0.955,1.0	-0.021
1.0	1.0,0.899	0.05
0.982	1.0,1.0	-0.018
1.0	0.944,1.0	0.028
0.946	0.932,0.953	0.003
1.0	0.0,1.0	0.5
0.503	0.787,0.275	-0.028
0.548	0.858,0.442	-0.102
0.119	0.518,0.103	-0.192
0.444	0.6,0.429	-0.07
0.08	0.2,0.109	-0.074
0.333	0.137,0.571	-0.021
0.099	0.309,0.111	-0.111
0.918	1.0,1.0	-0.082
0.208	0.0,0.0	0.208
0.976	0.951,0.95	0.026
1.0	0.959,1.0	0.02
1.0	1.0,0.98	0.01
0.127	0.087,0.112	0.027
1.0	0.223,1.0	0.388
0.989	0.967,1.0	0.005
0.971	1.0,0.984	-0.021
0.976	1.0,1.0	-0.024
0.067	0.048,0.125	-0.019
0.363	0.054,0.363	0.154
1.0	0.878,1.0	0.061
0.0	0.0,0.002	-0.001
1.0	1.0,0.998	0.001
1.0	NA,0.0	1.0
1.0	1.0,0.999	0.0
0.989	0.992,0.983	0.001
0.99	0.992,0.986	0.001
0.998	0.987,0.997	0.006
1.0	0.987,1.0	0.006
0.964	0.976,1.0	-0.024
1.0	1.0,0.985	0.008
1.0	1.0,0.993	0.004
0.996	1.0,1.0	-0.004
1.0	0.989,1.0	0.006
1.0	1.0,0.994	0.003
0.992	1.0,1.0	-0.008
1.0	0.99,1.0	0.005
1.0	1.0,0.52	0.24
1.0	0.996,1.0	0.002
1.0	1.0,0.994	0.003
0.996	0.994,0.996	0.001
0.978	1.0,1.0	-0.022
0.985	1.0,1.0	-0.015
0.996	0.937,0.968	0.043
1.0	1.0,0.991	0.004
1.0	0.555,0.814	0.316
0.922	0.936,0.943	-0.017
0.946	0.943,0.959	-0.005
1.0	0.99,1.0	0.005
1.0	0.979,1.0	0.01
0.96	1.0,1.0	-0.04
1.0	0.996,1.0	0.002
1.0	0.99,1.0	0.005
0.612	1.0,0.358	-0.067
1.0	NA,0.78	0.22
0.971	1.0,0.909	0.016
0.4	0.676,0.756	-0.316
0.577	0.766,0.823	-0.218
0.919	0.932,0.969	-0.031
0.83	0.737,0.952	-0.015
0.795	0.788,0.92	-0.059
0.888	0.904,0.981	-0.054
0.773	0.819,0.929	-0.101
0.809	0.738,0.943	-0.031
0.884	0.939,0.965	-0.068
0.918	1.0,1.0	-0.082
1.0	0.97,1.0	0.015
0.958	1.0,1.0	-0.042
0.942	1.0,1.0	-0.058
0.693	NA,0.542	0.151
0.0	NA,0.143	-0.143
0.893	1.0,0.963	-0.089
0.974	0.971,1.0	-0.012
0.99	1.0,1.0	-0.01
1.0	0.965,1.0	0.018
0.973	1.0,1.0	-0.027
1.0	1.0,0.992	0.004
1.0	1.0,0.994	0.003
1.0	0.989,0.993	0.009
1.0	0.925,1.0	0.037
1.0	0.911,1.0	0.044
1.0	1.0,0.694	0.153
0.984	1.0,1.0	-0.016
0.868	0.963,0.967	-0.097
1.0	1.0,0.877	0.061
0.995	0.992,0.987	0.005
0.996	0.982,0.994	0.008
0.997	0.989,0.994	0.005
0.999	1.0,1.0	-0.001
1.0	0.978,1.0	0.011
0.985	1.0,1.0	-0.015
0.886	0.833,1.0	-0.03
0.944	1.0,1.0	-0.056
0.656	0.718,1.0	-0.203
0.5	0.333,0.667	0.0
0.0	0.0,1.0	-0.5
0.374	0.545,1.0	-0.398
0.136	0.0,0.0	0.136
0.007	0.003,0.003	0.004
0.99	1.0,0.96	0.01
1.0	0.0,0.667	0.666
0.5	0.0,0.167	0.416
0.0	1.0,0.0	-0.5
