ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	0	3	2,0,0,0	78,0,0,0	199	149
7	6	4	4,1,3,0	0,2,0,0	354	149
9	0	2	13,0,0,0	0,0,0,0	273	149
10	2	42	0,0,0,0	0,3,0,0	332	149
13	13	1	100,401,222,183	7,228,53,80	874	149
14	0	1	9,10,6,10	7,228,53,80	199	149
15	0	72	16,0,2,1	207,18,6,6	254	149
16	16	2	14,4,13,1	0,0,0,0	982	149
17	13	610	26,12,14,4	530,341,166,154	1041	149
18	11	0	5,8,2,7	1,0,0,0	665	149
19	2	184	0,4,2,1	96,118,52,37	153	149
20	8	4	0,2,1,0	0,1,0,0	161	149
21	38	9	28,3,4,2	16,7,2,4	166	149
22	32	2	63,123,103,94	8,31,13,4	158	149
23	11	2	12,9,12,12	8,31,13,4	201	149
24	7	28	6,3,9,9	57,117,100,91	192	149
29	0	2	0,0,0,4	0,0,0,0	159	149
38	5	1	6,0,0,4	0,0,0,0	222	149
39	6	1	6,0,0,4	0,0,0,0	239	149
40	37	1	8,0,9,4	0,0,0,0	418	149
57	0	10	4,0,0,0	17,4,0,1	204	149
59	2	3	1,0,0,0	0,0,0,0	179	149
67	0	696	4,0,0,2	403,333,124,85	220	149
75	17	50	9,4,2,8	1,3,18,3	381	149
76	22	2	17,10,2,6	0,2,0,0	153	149
79	7	35	8,4,8,7	50,8,6,10	316	149
80	7	35	8,2,4,7	50,8,6,10	317	149
83	17	0	21,6,2,0	1,0,0,0	230	149
85	1	0	1,0,0,0	13,0,0,0	196	149
87	2300	4	1441,420,959,1070	0,0,0,0	2962	149
88	15	4	27,21,11,9	0,0,1,0	204	149
89	9	49	3,5,2,4	9,19,12,27	154	149
90	5	6	4,3,3,0	4,1,7,6	154	149
95	26	1	30,14,3,4	0,0,0,0	1248	149
112	0	14	1,0,0,0	20,10,0,8	160	149
113	16	0	2,5,0,1	0,0,0,2	205	149
120	8	0	66,5,0,2	2,0,0,0	799	149
122	1	3	5,0,0,2	2,0,0,0	184	149
123	6	2	10,0,0,0	33,7,0,4	184	149
131	0	2	4,0,0,0	2,0,0,0	210	149
142	0	3	1,0,1,1	1,4,0,0	365	149
144	45	0	12,32,17,27	2,0,0,0	243	149
145	52	1	10,32,15,27	0,0,0,0	243	149
149	12	4	10,0,0,0	5,0,0,0	373	149
150	0	1	3,0,0,0	0,0,0,0	153	149
151	3	0	7,0,0,0	2,0,0,2	201	149
165	164	1	1587,327,20,25	2,2,0,0	159	149
166	143	1	165,20,10,23	2,2,0,0	327	149
167	143	164	147,20,10,23	1569,327,20,25	317	149
170	0	11	20,0,0,0	718,1,1,6	173	149
176	159	0	456,47,32,27	2,0,0,0	1563	149
184	581	19	721,186,280,316	0,2,2,4	2099	149
185	76	0	96,5,14,21	5,0,0,0	1152	149
186	0	5	4,0,0,0	196,10,1,0	232	149
196	44	25939	38,2,2,1	8757,1489,700,3911	183	149
198	34	0	101,49,12,30	21,0,0,0	284	149
199	3	0	2,5,0,4	0,0,2,0	161	149
201	1	20	10,2,6,2	17,5,2,6	583	149
207	0	4	2,1,0,0	49,4,0,0	161	149
214	2	0	1,0,0,0	9,0,0,0	431	149
219	3	0	2,0,0,2	0,2,0,0	341	149
220	10	0	14,3,6,2	0,1,0,0	911	149
221	12	99	14,3,6,2	33,32,18,8	911	149
225	0	23	2,0,0,0	11,0,0,0	159	149
226	12	0	74,8,0,2	2,0,0,0	426	149
227	7	0	84,4,1,0	2,1,0,0	212	149
232	0	56	1,4,0,0	68,32,15,16	196	149
233	5	0	344,18,0,1	3,0,0,0	200	149
