ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
5	0	3	2,0,0,0	78,0,0,0	199	149	1
7	6	4	4,1,3,0	0,2,0,0	354	149	1
9	0	2	13,0,0,0	0,0,0,0	273	149	1
10	2	42	0,0,0,0	0,3,0,0	332	149	1
13	13	1	100,401,222,183	7,228,53,80	874	149	0.141474033622
14	0	1	9,10,6,10	7,228,53,80	199	149	0.0359910986023
15	0	72	16,0,2,1	207,18,6,6	254	149	0.0123275691831
16	16	2	14,4,13,1	0,0,0,0	982	149	0.00321125367634
17	13	610	26,12,14,4	530,341,166,154	1041	149	1
18	11	0	5,8,2,7	1,0,0,0	665	149	1
19	2	184	0,4,2,1	96,118,52,37	153	149	0.598918304177
20	8	4	0,2,1,0	0,1,0,0	161	149	1
21	38	9	28,3,4,2	16,7,2,4	166	149	0.00869699299079
22	32	2	63,123,103,94	8,31,13,4	158	149	0.123741426502
23	11	2	12,9,12,12	8,31,13,4	201	149	0.0127085030766
24	7	28	6,3,9,9	57,117,100,91	192	149	0.0270980178837
29	0	2	0,0,0,4	0,0,0,0	159	149	1
38	5	1	6,0,0,4	0,0,0,0	222	149	1
39	6	1	6,0,0,4	0,0,0,0	239	149	1
40	37	1	8,0,9,4	0,0,0,0	418	149	1
57	0	10	4,0,0,0	17,4,0,1	204	149	1
59	2	3	1,0,0,0	0,0,0,0	179	149	1
67	0	696	4,0,0,2	403,333,124,85	220	149	1
75	17	50	9,4,2,8	1,3,18,3	381	149	0.0614296174721
76	22	2	17,10,2,6	0,2,0,0	153	149	0.138791665291
79	7	35	8,4,8,7	50,8,6,10	316	149	0.139851475292
80	7	35	8,2,4,7	50,8,6,10	317	149	0.50186961155
83	17	0	21,6,2,0	1,0,0,0	230	149	1
85	1	0	1,0,0,0	13,0,0,0	196	149	1
87	2300	4	1441,420,959,1070	0,0,0,0	2962	149	0.17830186912
88	15	4	27,21,11,9	0,0,1,0	204	149	0.000141698846673
89	9	49	3,5,2,4	9,19,12,27	154	149	0.911747419847
90	5	6	4,3,3,0	4,1,7,6	154	149	0.433324966025
95	26	1	30,14,3,4	0,0,0,0	1248	149	0.351958948217
112	0	14	1,0,0,0	20,10,0,8	160	149	1
113	16	0	2,5,0,1	0,0,0,2	205	149	1
120	8	0	66,5,0,2	2,0,0,0	799	149	1
122	1	3	5,0,0,2	2,0,0,0	184	149	1
123	6	2	10,0,0,0	33,7,0,4	184	149	1
131	0	2	4,0,0,0	2,0,0,0	210	149	1
142	0	3	1,0,1,1	1,4,0,0	365	149	1
144	45	0	12,32,17,27	2,0,0,0	243	149	1
145	52	1	10,32,15,27	0,0,0,0	243	149	0.326407642376
149	12	4	10,0,0,0	5,0,0,0	373	149	1
