ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
8	92	32	14,23,63,24	3,3,2,3	203	222	2.66283698537e-05	0.0016239555136129719
9	18	11	22,4,13,3	10,9,5,8	1104	295	0.413676875603	0.9045369556726905
10	4	11	8,0,0,2	10,9,5,8	271	295	0.408453452456	0.8982241996620011
11	3	2	10,4,6,2	7,3,6,4	187	238	0.651054564164	1.0
12	0	4	0,1,0,0	0,0,0,0	314	294	1	1.0
13	46	4	24,28,7,16	0,0,0,0	245	294	0.0271324831108	0.18472272306566667
14	46	0	24,28,7,16	0,1,0,0	245	314	1	1.0
20	22	55	0,0,1,0	2,12,11,11	209	221	7.11747571991e-09	1.926166866700644e-06
21	3	2	0,0,1,0	0,0,0,6	211	294	1	1.0
22	3	9	0,0,1,0	4,0,0,0	211	294	1	1.0
23	2	7	0,0,1,0	1,0,0,0	211	294	1	1.0
24	2	120	0,0,1,0	6,19,25,34	211	221	0.686523301019	1.0
25	2	9	0,0,0,6	4,0,0,0	294	294	1	1.0
26	7	120	1,0,0,0	6,19,25,34	294	221	0.00981519496653	0.10266490750255604
29	120	5	14,19,25,26	8,0,0,4	210	337	0.114624270331	0.45715452812652857
30	111	18	15,18,23,12	5,0,0,8	210	264	0.751396728789	1.0
31	3	0	0,0,0,1	2,0,0,0	185	264	1	1.0
32	3	5	0,0,0,1	8,0,0,4	185	337	1	1.0
33	3	6	0,0,0,1	8,0,0,4	185	354	1	1.0
34	3	34	0,0,0,0	8,5,2,23	185	264	0.0287423463555	0.1908809198149003
35	165	154	47,85,72,110	68,40,66,65	277	245	0.441055685137	0.9310748690105605
36	223	409	66,67,61,92	128,126,214,152	292	328	0.36830457164	0.8626788856442402
37	3	0	2,0,0,0	2,0,0,0	279	222	1	1.0
43	74	17	49,29,39,42	27,5,1,2	275	298	0.356637395026	0.846158860527441
44	0	35	7,0,0,0	102,21,2,2	233	245	0.263637705871	0.7312948535691416
45	0	10	3,0,0,0	25,1,2,2	326	220	1	1.0
46	2	17	0,3,0,0	32,0,2,6	262	259	0.800290737537	1.0
48	1	8	2,0,2,0	3,0,0,4	241	286	1	1.0
49	5	132	18,0,6,0	32,26,45,34	216	301	0.07019922952	0.3377362931351111
50	2	5	7,2,0,1	6,4,0,0	337	289	1	1.0
60	0	6	10,0,0,2	14,1,1,0	313	428	0.0262655955534	0.18284570537977812
61	16	0	11,0,0,0	6,0,0,0	305	313	1	1.0
62	10	8	5,3,2,0	14,0,0,2	275	305	0.469887143669	0.9512187863162915
63	0	10	9,0,0,0	2,0,2,0	321	210	1	1.0
65	1	2	1,0,0,0	36,2,3,0	223	247	1	1.0
66	0	2	1,0,0,0	29,2,3,0	258	247	1	1.0
69	0	239	2,0,0,0	249,101,107,126	203	374	1	1.0
70	4	69	14,5,0,2	19,35,52,22	246	197	0.111069942425	0.4492217193795065
71	8	68	18,10,12,4	19,39,49,22	239	197	0.0174335994774	0.14217401020715065
72	77	69	15,26,23,44	23,36,56,28	294	197	0.153150823351	0.5408997268432545
73	56	0	24,28,37,26	0,0,2,0	297	508	1	1.0
74	35	0	18,14,27,16	0,0,0,2	297	187	1	1.0
75	56	0	24,28,37,26	0,0,0,2	297	187	1	1.0
76	11	2	3,4,0,0	4,0,0,0	301	330	1	1.0
79	20	103	16,17,9,31	26,31,27,29	201	241	0.000479786455664	0.013886039445636733
