ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	11	19	30,0,2,5	39,9,14,12	372	149	0.424482600586	0.9726443768206566	0.188	0.236,0.0,0.054,0.143	0.08
9	0	19	1,0,0,0	18,2,0,0	1432	149	1	1.0	0.0	0.006,0.0,NA,NA	-0.003
11	13	0	78,294,185,134	3,5,0,2	620	149	0.115963509016	0.4217465519458786	1.0	0.862,0.934,1.0,0.942	0.065
14	0	7	5,0,0,0	24,2,2,0	817	149	1	1.0	0.0	0.037,0.0,0.0,NA	-0.012
15	2	0	11,0,0,0	20,4,2,2	1730	149	0.0036367930021	0.033990924988185595	1.0	0.045,0.0,0.0,0.0	0.989
16	19	236	8,3,15,28	55,106,147,91	469	149	0.104813745001	0.3938730568902444	0.025	0.044,0.009,0.031,0.089	-0.018
17	5	0	27,2,4,17	0,1,0,0	273	149	1	1.0	1.0	1.0,0.522,1.0,1.0	0.119
19	2	2	2,0,0,0	0,0,0,0	876	149	1	1.0	0.145	1.0,NA,NA,NA	-0.855
21	6	2	1,0,0,0	0,0,0,0	600	149	1	1.0	0.427	1.0,NA,NA,NA	-0.573
23	17	583	10,1,9,17	346,282,248,216	262	149	0.791013079213	1.0	0.016	0.016,0.002,0.02,0.043	-0.004
24	690	86	53,138,129,65	26,18,4,5	1121	149	0.936309438972	1.0	0.516	0.213,0.505,0.811,0.633	-0.024
25	148	62	13,43,33,9	25,9,0,0	363	149	0.0754479653799	0.31408039240782326	0.495	0.176,0.662,1.0,1.0	-0.215
36	1	18	0,0,0,0	4,9,0,7	1432	149	1	1.0	0.006	0.0,0.0,NA,0.0	0.006
56	5	0	11,2,0,0	14,0,0,0	371	149	1	1.0	1.0	0.24,1.0,NA,NA	0.38
57	8	2	24,1,1,2	21,2,0,0	2365	149	0.153387198834	0.5044218572819149	0.201	0.067,0.031,1.0,1.0	-0.323
62	14	4	39,2,4,4	43,2,0,0	723	149	0.983522991543	1.0	0.419	0.157,0.171,1.0,1.0	-0.163
64	7377	267	4229,1541,3079,4213	210,152,52,47	4089	149	0.671779300947	1.0	0.502	0.423,0.27,0.683,0.766	-0.034
68	1	0	0,0,0,0	9,0,0,0	225	149	1	1.0	1.0	0.0,NA,NA,NA	1.0
70	0	4	2,0,1,0	2,0,0,3	641	149	1	1.0	0.0	0.189,NA,1.0,0.0	-0.396
71	0	3	7,0,2,0	1,1,0,0	394	149	1	1.0	0.0	0.726,0.0,1.0,NA	-0.575
75	11	0	17,2,0,1	4,0,0,0	1531	149	1	1.0	1.0	0.293,1.0,NA,1.0	0.236
77	561	0	218,179,133,124	0,2,0,0	559	149	1	1.0	1.0	1.0,0.96,1.0,1.0	0.01
81	6	2	6,2,2,0	15,0,0,0	1560	149	1	1.0	0.223	0.037,1.0,1.0,NA	-0.456
87	2253	4	1378,405,938,1061	14,2,0,0	2924	149	0.189527235672	0.5855970410629974	0.966	0.834,0.912,1.0,1.0	0.029
88	2254	2	1379,405,938,1061	15,0,0,0	2927	149	0.0401185104186	0.20387710850154037	0.983	0.824,1.0,1.0,1.0	0.027
89	35	0	29,7,6,5	1,0,0,0	448	149	1	1.0	1.0	0.906,1.0,1.0,1.0	0.023
90	13	0	41,6,2,0	2,0,0,0	467	149	1	1.0	1.0	0.867,1.0,1.0,NA	0.044
91	7	0	15,4,0,0	3,6,0,0	395	149	1	1.0	1.0	0.654,0.201,NA,NA	0.573
94	13	0	7,7,3,2	2,0,0,0	600	149	1	1.0	1.0	0.465,1.0,1.0,1.0	0.134
96	22	2	41,4,2,14	17,0,0,0	823	149	0.45459676923	1.0	0.666	0.304,1.0,1.0,1.0	-0.16
97	163	0	112,21,57,75	20,0,0,0	2437	149	0.0495642721028	0.23532450710895556	1.0	0.255,1.0,1.0,1.0	0.186
100	7	0	77,6,4,15	5,0,0,0	267	149	0.370030180231	0.9002998832149538	1.0	0.896,1.0,1.0,1.0	0.026
103	159	0	76,43,36,55	2,0,0,1	230	149	1	1.0	1.0	0.961,1.0,1.0,0.973	0.017
141	171	0	27,89,17,16	11,0,0,0	1221	149	0.0637300587019	0.2825582704691383	1.0	0.23,1.0,1.0,1.0	0.193
142	18	94	5,4,2,3	31,16,23,55	1799	149	0.215940522938	0.6382731783439524	0.016	0.013,0.02,0.007,0.004	0.005
144	0	2	2,0,0,0	9,0,0,0	233	149	1	1.0	0.0	0.124,NA,NA,NA	-0.124
146	2	0	28,2,0,0	15,0,0,0	380	149	1	1.0	1.0	0.423,1.0,NA,NA	0.288
148	136	6	30,21,70,20	4,7,8,13	537	149	0.000515432336259	0.007559674265132	0.863	0.675,0.454,0.708,0.299	0.329
154	0	31	10,0,0,0	169,23,13,6	278	149	0.391746011393	0.9314219497235048	0.0	0.031,0.0,0.0,0.0	-0.008
155	216	3	115,199,293,522	0,4,3,0	3295	149	0.302416031318	0.7880045913503507	0.765	1.0,0.692,0.815,1.0	-0.112
157	216	0	18,16,35,24	0,0,1,0	854	149	1	1.0	1.0	1.0,1.0,0.859,1.0	0.035
158	0	2	0,0,2,2	2,0,0,0	659	149	1	1.0	0.0	0.0,NA,1.0,1.0	-0.667
161	23	2	98,15,14,11	271,2,2,1	1385	149	0.018931314813	0.12186157461108887	0.553	0.037,0.447,0.43,0.542	0.189
169	30	0	97,16,23,14	18,0,0,1	822	149	0.00710058107586	0.055714717425935346	1.0	0.494,1.0,1.0,0.717	0.197
176	110	2	28,10,8,28	0,0,0,0	1068	149	0.170861002878	0.5448741706458055	0.885	1.0,1.0,1.0,1.0	-0.115
177	110	2	28,10,8,28	0,0,0,0	1132	149	0.155759155701	0.5092476471876316	0.879	1.0,1.0,1.0,1.0	-0.121
196	7	4	26,6,4,5	33,2,0,0	1796	149	0.629309684829	1.0	0.127	0.061,0.199,1.0,1.0	-0.438
199	173	1	240,27,12,23	2,2,0,0	468	149	0.60975450524	1.0	0.982	0.974,0.811,1.0,1.0	0.036
200	173	164	222,27,12,23	1569,327,20,25	458	149	5.16808817963e-13	1.1227671570246174e-10	0.255	0.044,0.026,0.163,0.23	0.139
203	6	1024	22,0,0,3	2926,949,169,210	326	149	1	1.0	0.003	0.003,0.0,0.0,0.006	0.001
206	363	11	185,62,22,82	718,1,1,6	351	149	0.0329739785662	0.17562839194328883	0.933	0.099,0.963,0.903,0.853	0.229
207	8	52	108,9,1,6	1954,116,7,13	324	149	0.132448844064	0.4571918390928143	0.066	0.025,0.034,0.062,0.175	-0.008
209	97	77	163,40,4,16	3306,344,24,24	474	149	0	0.0	0.284	0.015,0.035,0.05,0.173	0.216
210	1	0	6,0,0,0	96,10,0,0	241	149	1	1.0	1.0	0.037,0.0,NA,NA	0.982
217	2	0	4,0,0,0	208,3,1,2	578	149	0.000299270491138	0.0050254310492545305	1.0	0.005,0.0,0.0,0.0	0.999
218	515	42	691,156,245,294	23,22,17,23	2058	149	0.608524042245	1.0	0.47	0.685,0.339,0.511,0.481	-0.034
219	429	2	570,126,178,244	0,0,0,0	1762	149	0.533914261801	1.0	0.948	1.0,1.0,1.0,1.0	-0.052
221	2	16	26,2,0,2	62,13,10,2	1626	149	0.10154299584	0.38407339884639824	0.011	0.037,0.014,0.0,0.084	-0.023
222	1	1	4,0,0,0	0,0,0,0	258	149	1	1.0	0.366	1.0,NA,NA,NA	-0.634
224	6	0	9,2,0,1	51,3,0,0	1200	149	1	1.0	1.0	0.021,0.076,NA,1.0	0.634
237	109	2	43,27,56,39	0,2,0,0	1782	149	0.0289950404187	0.16151724438365578	0.82	1.0,0.53,1.0,1.0	-0.063
