IncLevel1	IncLevel2	IncLevelDifference
0.855	1.0,1.0,1.0,1.0	-0.145
1.0	0.542,1.0,1.0,NA	0.153
0.412	0.627,0.0,1.0,NA	-0.13
0.302	0.038,0.0,0.0,NA	0.289
0.0	0.208,0.0,NA,NA	-0.104
0.092	0.0,0.0,1.0,0.0	-0.158
1.0	0.1,NA,NA,NA	0.9
1.0	1.0,NA,1.0,0.0	0.333
1.0	1.0,0.935,1.0,1.0	0.016
1.0	0.972,1.0,1.0,1.0	0.007
0.55	0.507,0.343,0.775,0.735	-0.04
0.844	1.0,1.0,1.0,1.0	-0.156
0.716	1.0,1.0,NA,1.0	-0.284
0.802	1.0,1.0,1.0,1.0	-0.198
1.0	0.969,1.0,1.0,1.0	0.008
0.906	0.953,0.972,0.849,1.0	-0.037
0.0	0.0,0.018,0.143,0.087	-0.062
0.739	0.366,0.193,0.154,0.193	0.512
1.0	0.776,0.666,0.443,0.654	0.365
1.0	1.0,0.906,0.91,1.0	0.046
0.0	0.559,0.151,0.205,0.191	-0.277
0.227	0.065,0.0,NA,1.0	-0.128
0.358	0.068,0.0,NA,1.0	0.002
1.0	1.0,0.982,1.0,1.0	0.004
0.969	0.946,0.923,0.924,0.897	0.046
0.0	0.014,0.006,0.0,0.0	-0.005
0.991	0.993,1.0,1.0,0.989	-0.004
0.992	0.979,1.0,1.0,1.0	-0.003
0.991	0.985,0.953,0.982,0.996	0.012
1.0	1.0,1.0,0.991,0.972	0.009
1.0	1.0,1.0,0.989,1.0	0.003
0.83	0.898,0.837,0.924,1.0	-0.085
0.19	0.118,0.123,0.272,0.159	0.022
0.069	0.025,0.017,0.011,0.021	0.051
0.396	0.365,0.118,0.0,0.453	0.162
1.0	1.0,1.0,1.0,0.971	0.007
0.993	1.0,1.0,1.0,1.0	-0.007
1.0	1.0,1.0,0.995,0.997	0.002
1.0	0.978,0.985,0.985,1.0	0.013
0.0	0.052,0.0,0.0,0.0	-0.013
1.0	0.986,0.955,1.0,1.0	0.015
0.927	1.0,1.0,1.0,1.0	-0.073
1.0	0.918,1.0,1.0,1.0	0.02
0.188	0.315,0.336,0.153,0.183	-0.059
0.092	0.213,0.057,0.111,0.022	-0.009
0.084	0.286,0.0,0.0,0.058	-0.002
1.0	0.834,0.61,1.0,1.0	0.139
1.0	1.0,0.705,1.0,0.705	0.147
0.0	0.279,0.0,0.133,0.0	-0.103
0.8	1.0,NA,NA,1.0	-0.2
0.817	1.0,NA,NA,1.0	-0.183
0.334	1.0,NA,NA,NA	-0.666
1.0	0.892,1.0,1.0,1.0	0.027
0.0	0.0,0.0,0.004,0.0	-0.001
0.003	0.0,0.0,0.0,0.0	0.003
1.0	0.99,1.0,1.0,1.0	0.002
0.999	0.998,1.0,1.0,1.0	-0.001
0.976	1.0,1.0,1.0,1.0	-0.024
0.991	1.0,1.0,1.0,1.0	-0.009
0.993	0.982,1.0,1.0,1.0	-0.003
0.0	0.021,0.0,0.0,0.0	-0.005
1.0	0.99,1.0,1.0,1.0	0.002
1.0	0.99,1.0,1.0,1.0	0.002
0.996	0.982,1.0,0.979,0.936	0.022
0.991	1.0,0.96,0.962,0.976	0.017
1.0	0.887,0.918,1.0,1.0	0.049
0.984	1.0,0.922,1.0,0.912	0.025
0.0	0.271,NA,NA,NA	-0.271
0.463	0.873,0.938,1.0,0.554	-0.378
0.672	0.923,0.933,1.0,0.653	-0.205
1.0	0.951,0.916,1.0,1.0	0.033
1.0	0.948,1.0,1.0,1.0	0.013
1.0	0.972,1.0,1.0,1.0	0.007
1.0	0.939,1.0,1.0,1.0	0.015
1.0	1.0,0.0,1.0,1.0	0.25
0.503	0.0,NA,NA,NA	0.503
0.0	0.0,1.0,NA,NA	-0.5
0.933	0.936,1.0,1.0,1.0	-0.051
