ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
8	92	32	14,23,63,24	3,3,2,3	203	222	2.66283698537e-05	0.0017769998815702465	0.759	0.836,0.893,0.972,0.897	-0.14
9	2	11	4,0,0,0	10,9,3,6	298	295	0.170702560073	0.5905418451436822	0.153	0.284,0.0,0.0,0.0	0.082
10	4	11	4,0,0,0	10,9,3,6	271	295	0.0102941604641	0.1050743479877462	0.284	0.303,0.0,0.0,0.0	0.208
11	3	2	10,4,6,2	7,3,6,4	187	238	0.651054564164	1.0	0.656	0.645,0.629,0.56,0.389	0.1
12	0	4	0,1,0,0	0,0,0,0	298	294	1	1.0	0.0	NA,1.0,NA,NA	-1.0
13	42	4	24,26,7,16	0,0,0,0	245	294	0.0210741417103	0.16384633671464313	0.926	1.0,1.0,1.0,1.0	-0.074
14	42	0	24,26,7,16	0,1,0,0	245	298	1	1.0	1.0	1.0,0.969,1.0,1.0	0.008
20	22	53	0,0,1,0	2,12,11,11	209	221	5.40832134632e-09	2.1654918670665278e-06	0.305	0.0,0.0,0.088,0.0	0.283
21	3	2	0,0,1,0	0,0,0,6	211	294	1	1.0	0.676	NA,NA,1.0,0.0	0.176
22	3	5	0,0,1,0	3,0,0,0	211	294	1	1.0	0.455	0.0,NA,1.0,NA	-0.045
23	2	3	0,0,1,0	0,0,0,0	211	294	1	1.0	0.482	NA,NA,1.0,NA	-0.518
24	2	118	0,0,1,0	6,19,25,34	211	221	0.681013610367	1.0	0.017	0.0,0.0,0.04,0.0	0.007
25	2	5	0,0,0,6	3,0,0,0	294	294	1	1.0	0.286	0.0,NA,NA,1.0	-0.214
26	3	118	0,0,0,0	6,19,25,34	294	221	0.699009150701	1.0	0.019	0.0,0.0,0.0,0.0	0.019
30	111	10	15,18,23,11	5,0,0,2	210	264	0.407180094354	0.9092856094776441	0.933	0.79,1.0,1.0,0.874	0.017
34	3	26	0,0,0,0	8,5,2,17	185	264	0.0135690455347	0.12261140733192702	0.141	0.0,0.0,0.0,0.0	0.141
35	138	146	39,83,56,94	68,40,66,61	277	245	0.512010132478	0.9985098915573671	0.455	0.337,0.647,0.429,0.577	-0.042
36	149	271	45,50,46,54	83,106,133,122	292	298	0.194791749772	0.627485055126938	0.359	0.356,0.325,0.261,0.311	0.046
37	1	0	2,0,0,0	2,0,0,0	279	222	1	1.0	1.0	0.443,NA,NA,NA	0.557
43	64	15	47,29,34,41	25,5,1,1	275	298	0.301775775849	0.7936836300722285	0.822	0.671,0.863,0.974,0.978	-0.049
44	0	32	3,0,0,0	100,21,2,2	233	245	1	1.0	0.0	0.031,0.0,0.0,0.0	-0.008
45	0	10	1,0,0,0	25,1,2,2	298	220	1	1.0	0.0	0.029,0.0,0.0,0.0	-0.007
46	2	17	0,3,0,0	29,0,2,6	262	259	0.800853003757	1.0	0.104	0.0,1.0,0.0,0.0	-0.146
48	1	3	2,0,2,0	1,0,0,2	241	286	1	1.0	0.283	0.704,NA,1.0,0.0	-0.285
49	5	113	18,0,6,0	24,26,41,20	216	298	0.102579425036	0.44069529811603436	0.058	0.509,0.0,0.168,0.0	-0.111
50	0	2	6,2,0,0	4,4,0,0	298	289	1	1.0	0.0	0.593,0.327,NA,NA	-0.46
60	0	6	6,0,0,2	12,1,1,0	298	298	0.0611011379314	0.32795481469313564	0.0	0.333,0.0,0.0,1.0	-0.333
61	8	0	3,0,0,0	2,0,0,0	298	298	1	1.0	1.0	0.6,NA,NA,NA	0.4
62	10	0	3,3,0,0	6,0,0,2	275	298	1	1.0	1.0	0.351,1.0,NA,0.0	0.55
63	0	10	9,0,0,0	2,0,2,0	298	210	1	1.0	0.0	0.76,NA,0.0,NA	-0.38
65	1	2	1,0,0,0	36,2,3,0	223	247	1	1.0	0.356	0.03,0.0,0.0,NA	0.346
66	0	2	1,0,0,0	29,2,3,0	258	247	1	1.0	0.0	0.032,0.0,0.0,NA	-0.011
69	0	134	2,0,0,0	179,79,60,91	203	298	1	1.0	0.0	0.016,0.0,0.0,0.0	-0.004
70	2	69	12,5,0,2	19,35,52,22	246	197	0.0165263040736	0.14019347777689492	0.023	0.336,0.103,0.0,0.068	-0.104
71	8	68	16,10,12,4	19,39,49,22	239	197	0.0200468292514	0.15800689827284567	0.088	0.41,0.174,0.168,0.13	-0.133
72	49	69	9,25,13,30	23,36,56,28	294	197	0.303874737979	0.7968005572154001	0.322	0.208,0.318,0.135,0.418	0.052
73	37	0	16,27,29,20	0,0,2,0	297	298	1	1.0	1.0	1.0,1.0,0.936,1.0	0.016
74	16	0	10,13,19,10	0,0,0,2	297	187	1	1.0	1.0	1.0,1.0,1.0,0.759	0.06
75	37	0	16,27,29,20	0,0,0,2	297	187	1	1.0	1.0	1.0,1.0,1.0,0.863	0.034
76	7	2	1,0,0,0	2,0,0,0	298	298	1	1.0	0.778	0.333,NA,NA,NA	0.445
79	20	97	16,17,9,31	26,31,27,29	201	241	0.000969834792138	0.02339288257662983	0.198	0.425,0.397,0.286,0.562	-0.22
80	76	52	17,21,26,21	21,28,29,39	241	249	0.00649347524302	0.08074495302190088	0.602	0.455,0.437,0.481,0.357	0.169
81	14	3	0,0,0,0	2,0,0,0	277	298	1	1.0	0.834	0.0,NA,NA,NA	0.834
83	39	63	32,12,2,6	69,27,9,8	233	298	0.319992572499	0.8171238904885177	0.442	0.372,0.362,0.221,0.49	0.081
