ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
8	92	32	14,23,63,24	3,3,2,3	203	222	2.66283698537e-05	0.0017769998815702465
9	2	11	4,0,0,0	10,9,3,6	298	295	0.170702560073	0.5905418451436822
10	4	11	4,0,0,0	10,9,3,6	271	295	0.0102941604641	0.1050743479877462
11	3	2	10,4,6,2	7,3,6,4	187	238	0.651054564164	1.0
12	0	4	0,1,0,0	0,0,0,0	298	294	1	1.0
13	42	4	24,26,7,16	0,0,0,0	245	294	0.0210741417103	0.16384633671464313
14	42	0	24,26,7,16	0,1,0,0	245	298	1	1.0
20	22	53	0,0,1,0	2,12,11,11	209	221	5.40832134632e-09	2.1654918670665278e-06
21	3	2	0,0,1,0	0,0,0,6	211	294	1	1.0
22	3	5	0,0,1,0	3,0,0,0	211	294	1	1.0
23	2	3	0,0,1,0	0,0,0,0	211	294	1	1.0
24	2	118	0,0,1,0	6,19,25,34	211	221	0.681013610367	1.0
25	2	5	0,0,0,6	3,0,0,0	294	294	1	1.0
26	3	118	0,0,0,0	6,19,25,34	294	221	0.699009150701	1.0
30	111	10	15,18,23,11	5,0,0,2	210	264	0.407180094354	0.9092856094776441
34	3	26	0,0,0,0	8,5,2,17	185	264	0.0135690455347	0.12261140733192702
35	138	146	39,83,56,94	68,40,66,61	277	245	0.512010132478	0.9985098915573671
36	149	271	45,50,46,54	83,106,133,122	292	298	0.194791749772	0.627485055126938
37	1	0	2,0,0,0	2,0,0,0	279	222	1	1.0
43	64	15	47,29,34,41	25,5,1,1	275	298	0.301775775849	0.7936836300722285
44	0	32	3,0,0,0	100,21,2,2	233	245	1	1.0
45	0	10	1,0,0,0	25,1,2,2	298	220	1	1.0
46	2	17	0,3,0,0	29,0,2,6	262	259	0.800853003757	1.0
48	1	3	2,0,2,0	1,0,0,2	241	286	1	1.0
49	5	113	18,0,6,0	24,26,41,20	216	298	0.102579425036	0.44069529811603436
50	0	2	6,2,0,0	4,4,0,0	298	289	1	1.0
60	0	6	6,0,0,2	12,1,1,0	298	298	0.0611011379314	0.32795481469313564
61	8	0	3,0,0,0	2,0,0,0	298	298	1	1.0
62	10	0	3,3,0,0	6,0,0,2	275	298	1	1.0
63	0	10	9,0,0,0	2,0,2,0	298	210	1	1.0
65	1	2	1,0,0,0	36,2,3,0	223	247	1	1.0
66	0	2	1,0,0,0	29,2,3,0	258	247	1	1.0
69	0	134	2,0,0,0	179,79,60,91	203	298	1	1.0
70	2	69	12,5,0,2	19,35,52,22	246	197	0.0165263040736	0.14019347777689492
71	8	68	16,10,12,4	19,39,49,22	239	197	0.0200468292514	0.15800689827284567
72	49	69	9,25,13,30	23,36,56,28	294	197	0.303874737979	0.7968005572154001
73	37	0	16,27,29,20	0,0,2,0	297	298	1	1.0
74	16	0	10,13,19,10	0,0,0,2	297	187	1	1.0
75	37	0	16,27,29,20	0,0,0,2	297	187	1	1.0
76	7	2	1,0,0,0	2,0,0,0	298	298	1	1.0
79	20	97	16,17,9,31	26,31,27,29	201	241	0.000969834792138	0.02339288257662983
80	76	52	17,21,26,21	21,28,29,39	241	249	0.00649347524302	0.08074495302190088
81	14	3	0,0,0,0	2,0,0,0	277	298	1	1.0
83	39	63	32,12,2,6	69,27,9,8	233	298	0.319992572499	0.8171238904885177
84	7	11	43,3,6,7	42,0,2,2	298	298	0.0387496210131	0.24482503398097227
86	0	14	0,2,0,0	31,0,0,0	219	298	1	1.0
94	2	4	0,3,1,0	0,0,2,1	221	215	1	1.0
104	0	8	3,0,1,0	12,3,11,0	298	254	1	1.0
105	34	8	57,11,14,14	9,3,5,0	260	254	0.474619117961	0.9692113641327404
106	0	3	30,0,0,0	17,0,0,0	245	257	1	1.0
107	6116	8264	134,0,0,0	230,1,2,0	244	298	1	1.0
108	4919	6440	183,0,0,0	216,3,0,0	276	244	1	1.0
109	4664	7874	216,1,0,0	201,2,0,0	298	276	1	1.0
113	2	18	1,0,0,0	6,2,0,3	298	214	1	1.0
125	2	2	0,1,0,0	0,1,0,0	223	298	1	1.0
126	12	15	4,6,6,4	4,12,5,0	298	298	0.443427166406	0.9482326901304461
127	12	15	4,7,6,4	4,12,5,0	275	298	0.390331354915	0.8938203604489613
128	111	2	37,38,24,12	0,0,0,0	275	258	0.52845866389	1.0
129	1	2	25,0,2,0	28,8,5,0	181	208	1	1.0
130	66	16	12,11,5,11	6,3,0,1	246	199	0.53162408545	1.0
135	1	12	2,0,2,3	2,2,2,0	298	208	0.0536943373816	0.304090702794804
137	0	2	5,10,0,0	4,0,0,0	238	210	1	1.0
140	0	6	0,0,0,2	0,1,4,3	203	209	1	1.0
141	4	6	0,0,0,0	0,1,4,3	185	209	1	1.0
