IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
20	2	8,5,12,7	0,0,0,0	252	149
3	0	2,2,5,0	1,0,0,0	252	149
5	3	1,0,2,0	1,4,0,0	298	149
1	7	0,0,2,0	9,4,0,4	209	149
2	0	6,0,1,0	0,0,0,1	267	149
105	0	57,20,42,52	0,1,0,0	298	149
56	0	113,55,6,12	2,0,0,0	270	149
88	48	96,28,43,77	70,42,6,10	298	149
15	2	4,4,6,12	0,0,0,0	234	149
13	2	4,2,0,2	0,0,0,0	298	149
23	2	10,3,1,16	0,0,0,0	298	149
69	0	51,70,32,13	1,0,0,0	264	149
164	12	143,98,88,56	5,2,11,0	212	149
0	1	0,7,6,1	6,250,64,88	266	149
2	1	0,83,23,19	6,250,64,88	298	149
2	0	0,90,24,18	1,31,15,11	298	149
2	0	0,78,18,18	0,6,1,0	298	149
0	1	6,69,27,33	7,228,53,80	298	149
0	8	2,0,0,0	38,5,0,0	298	149
0	8	2,0,0,0	38,5,0,0	267	149
561	0	120,150,308,258	0,2,0,0	203	149
633	13	192,185,441,317	7,10,23,23	235	149
0	254	2,1,0,0	85,90,100,96	255	149
778	4	245,301,385,282	1,0,0,2	298	149
861	5	195,278,363,344	3,0,0,0	210	149
860	5	216,308,531,379	2,9,6,1	251	149
1014	0	299,295,656,499	0,0,4,10	214	149
749	0	177,266,395,313	0,0,3,0	298	149
73	11	12,14,33,25	1,2,2,0	203	149
92	288	14,23,63,24	77,120,124,93	203	149
32	288	3,3,2,3	77,120,124,93	222	149
45	46	6,3,0,21	7,15,32,17	222	149
334	0	113,150,83,88	0,0,0,2	298	149
843	3	173,253,409,270	0,0,0,0	298	149
1024	0	238,341,816,574	0,0,2,1	289	149
330	0	149,111,218,212	2,1,2,0	251	149
0	71	6,0,0,0	81,22,10,14	201	149
226	0	262,83,111,156	2,2,0,0	293	149
20	1	19,15,8,2	0,0,0,0	298	149
54	0	37,17,21,28	2,0,0,0	298	149
11	24	10,9,3,6	11,9,14,18	295	149
2	24	4,0,0,0	11,9,14,18	298	149
4	24	4,0,0,0	11,9,14,18	271	149
15	0	32,5,7,6	4,2,0,0	238	149
16	0	32,6,7,6	0,2,0,2	187	149
0	46	12,0,4,0	19,8,16,5	243	149
14	0	38,7,1,8	3,0,0,0	289	149
0	610	0,0,1,0	530,341,166,154	201	149
3	610	0,0,0,0	530,341,166,154	245	149
582	0	494,310,157,151	3,0,0,0	262	149
1523	1	743,723,517,445	1,0,0,0	279	149
267	4	161,136,127,127	0,0,0,0	280	149
156	1	208,128,61,111	0,0,0,0	298	149
235	1	193,161,66,46	2,0,0,0	298	149
98	0	183,45,16,19	1,0,0,0	298	149
137	0	200,64,18,19	1,0,0,0	298	149
441	1	97,90,84,79	1,0,1,3	298	149
165	1	79,35,73,59	0,1,2,1	216	149
134	0	111,38,44,59	8,2,0,0	265	149
200	2	80,60,49,35	0,3,0,2	253	149
1	4	14,26,6,8	2,3,0,9	298	149
13	4	44,76,33,30	2,3,0,9	273	149
14	0	71,79,33,30	2,4,0,0	273	149
17	0	54,88,41,32	2,0,0,0	221	149
47	0	107,173,121,120	2,0,0,0	230	149
22	0	56,66,34,39	2,0,0,0	273	149
