ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	69	360	41	160	176	203
11	1419	1463	2489	1900	279	262
12	29	1	145	0	293	230
14	135	26	372	0	245	294
16	85	52	300	129	298	217
17	9449	7917	3051	1360	246	219
31	38	2	58	0	210	264
39	2	0	7	9	216	216
41	329	290	333	356	233	245
42	55	28	109	76	298	220
43	4	149	0	294	262	259
44	34	44	0	23	230	198
46	268	557	769	965	228	220
47	279	686	759	1339	228	235
48	340	676	1202	1349	220	235
50	63	1	167	0	298	241
51	6	33	0	130	216	298
52	8	17	41	50	298	289
54	2	53	80	240	197	298
55	0	86	5	296	298	220
62	10	22	21	14	298	296
64	9	10	0	21	298	298
66	0	55	7	23	298	298
67	31	55	42	23	258	298
68	78	142	176	344	298	298
69	7	142	0	344	298	298
70	87	9	125	0	228	220
71	5	40	12	97	223	247
74	50	5	208	77	234	240
75	4	13	3	109	203	298
76	82	81	231	25	239	294
77	95	81	216	25	244	294
86	12	0	61	1	270	298
87	2	5	9	8	269	298
88	8	51	243	273	264	281
89	101	307	90	223	219	298
92	25	2	87	98	298	284
93	22	6	92	120	272	298
100	23936	15985	28600	13664	272	298
102	2465	1150	765	252	298	212
105	3	0	0	6	298	251
106	80	137	135	481	210	298
107	6	24295	9	32717	222	215
108	17	83	20	47	234	298
109	311	250	492	235	298	211
112	2	2	116	114	298	298
113	0	26	51	20	298	274
114	9	181	20	2536	242	252
115	1	5	0	10	298	254
121	88	163	16	30	271	287
122	88	13	16	0	271	298
123	55	76	15	21	287	237
128	294	8	135	0	298	242
135	145	183	310	595	237	236
136	2	0	31	39	223	298
137	244	22	614	177	298	298
138	249	22	632	177	275	298
139	680	4	1507	0	275	258
140	1420	2328	2972	2070	298	278
141	41	71	108	39	181	208
142	201	212	743	713	199	232
143	400	248	1331	877	199	199
144	130	256	280	872	246	199
150	46	67	61	85	210	298
151	83	46	155	18	238	210
152	83	46	142	18	218	210
154	379	947	43	142	298	298
155	22	934	121	127	298	298
156	12	31	12	105	237	262
157	233	580	469	716	209	298
158	1	10	306	301	200	197
159	1	0	306	145	200	260
161	0	1	28	117	203	209
162	0	1	148	117	185	209
163	0	2	23	66	185	209
164	1	2	586	66	200	209
170	1	0	586	23	200	185
171	2	0	364	7	200	185
172	1	0	329	55	200	185
174	202	37621	0	107	298	209
175	19	1006	0	38	298	182
176	1322	1019	49	38	214	182
177	426	1006	77	38	214	182
179	8	73	23	25	210	298
180	88	46	356	291	272	298
181	19	35	6	0	253	246
191	2	1611	0	1168	298	221
192	3048	1611	3157	1168	228	221
193	3048	6	3157	6	228	241
194	33	41	116	57	298	253
195	8	2151	0	1884	238	298
196	27	33	82	87	298	298
197	0	19	18	162	239	263
198	33	15	27	36	202	298
199	33	4	27	64	202	291
200	12	0	0	6	247	280
201	4	45	13	146	191	202
202	29	4	27	13	202	298
203	29	4	27	13	202	291
204	191	441	371	472	202	240
205	4	262	7	320	191	202
207	11	3	17	69	298	298
210	20	24	5	56	274	185
212	24	54	131	205	272	298
213	131	15	890	390	288	288
215	0	1	4	24	248	212
216	0	2	4	28	248	298
217	166	327	96	307	298	298
218	2	1431	0	1312	199	298
219	12	377	13	254	266	298
220	12	492	13	323	266	298
221	12	351	13	228	266	289
222	380	712	187	122	256	298
223	1575	1633	26	46	298	265
225	16	34	83	125	200	232
231	5	9	34	16	236	298
232	26	13	35	27	280	261
233	8	13	0	27	276	261
235	326	311	138	69	242	224
237	482	1153	1	1	298	268
238	502	1153	0	1	298	268
240	1088	1834	0	1	256	218
241	107	431	294	277	240	298
244	71	229	82	90	265	298
246	0	3	8	27	259	247
247	0	3	12	23	191	298
251	261	3	366	20	245	230
252	20	20	49	14	175	245
259	17	0	223	17	236	298
260	17	15	223	483	236	298
261	0	15	17	483	298	298
262	0	38	26	1009	298	298
266	6	86	0	75	263	298
267	6	86	0	75	267	298
270	6	79	0	72	263	298
271	6	79	0	72	267	298
273	6	62	0	26	263	295
274	6	62	0	26	267	295
277	333	222	2632	1477	298	298
278	149	197	983	868	245	298
279	636	707	1721	1283	245	225
280	31	1035	67	2414	260	279
281	31	313	67	815	260	298
286	30	87	185	364	292	278
289	11	8	55	67	240	291
293	2819	91	1363	39	235	298
302	6	32	62	31	298	298
303	172	426	601	760	285	295
306	115	103	248	81	279	235
308	9	0	53	8	180	298
310	165	175	664	674	263	272
311	61	82	137	66	262	234
312	40	162	36	117	298	298
313	301	275	910	638	298	298
314	0	2	36	27	195	230
315	2	10	147	24	273	195
316	14	14	103	43	232	232
328	59	102	211	226	218	298
338	10	22	4	56	248	246
342	42	85	139	218	225	289
350	0	7	12	31	203	203
358	40	16	168	31	298	257
