IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	185	11	1153	197	149
7	78	39	385	298	149
192	979	47	148	152	149
4	194	23	868	192	149
10	204	26	620	204	149
29	489	18	1553	298	149
178	956	135	592	298	149
3	67	5	16	298	149
3	5	17	0	198	149
4	6	66	18	198	149
29	1925	11	1753	166	149
71	9	41	32	215	149
6	13	28	59	298	149
53	3	31	0	193	149
40	181	26	201	152	149
5	4	24	97	152	149
16	125	38	177	152	149
46	582	0	325	152	149
7	759	0	199	170	149
963	17	195	0	153	149
2	2	7	0	152	149
0	2	16	59	200	149
20	102	20	361	298	149
22	4	14	23	182	149
493	0	364	25	298	149
23	2	90	25	235	149
28	10	148	0	298	149
36	0	192	7	298	149
16	146	52	318	266	149
15	0	185	4	154	149
10	0	133	36	154	149
4	21	2	104	167	149
9	0	0	22	271	149
21	0	0	22	244	149
11	51	0	52	232	149
17	0	0	12	214	149
4	5	0	19	193	149
6	13	32	89	152	149
17	131	67	1266	152	149
30	43	165	211	152	149
353	0	827	8	161	149
48	0	134	11	182	149
7	12	5	26	152	149
56	64	37	7	257	149
16	4	18	0	190	149
36	9	17	18	152	149
2	127	5	120	171	149
16	196	18	244	152	149
7	0	30	11	153	149
0	2	10	15	298	149
13	737	0	104	170	149
108	4	181	0	298	149
4	26	0	46	197	149
3	11	14	69	188	149
6	1	0	37	152	149
96	168	163	190	298	149
1	4	0	15	197	149
8	290	0	215	298	149
596	9	567	5	239	149
28	19	150	33	298	149
0	14	19	94	256	149
20	2	39	20	184	149
164	53	155	74	152	149
489	370	387	262	152	149
366	2428	26	501	197	149
130	17	13	15	197	149
5	3	245	181	198	149
40	33	226	76	152	149
13	100	38	320	152	149
100	33	189	207	152	149
26	0	547	4	280	149
18	0	687	102	152	149
2	0	110	102	186	149
1	17	57	634	183	149
26	11	266	704	298	149
4	0	191	17	298	149
1151	15974	1155	13655	298	149
15	55	0	209	172	149
5	256	17	200	177	149
330	0	401	8	167	149
258	0	472	12	186	149
1	2	24	29	173	149
5	10	62	115	226	149
25	12	43	34	152	149
5	22	15	19	197	149
2	0	5274	102	176	149
997	6	802	0	154	149
1931	12	1104	26	219	149
2559	27	1379	16	257	149
640	27	301	16	187	149
486	1996	164	781	197	149
85	5	217	5	152	149
7	14	16	38	298	149
12	387	52	530	298	149
22	387	45	530	298	149
388	0	648	6	298	149
396	5	611	17	154	149
28032	0	39729	13	298	149
58	41374	72	60342	254	149
41441	0	60421	9	298	149
41175	17	58388	16	154	149
6	103	28	123	166	149
8	80	0	60	177	149
