ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	30	60	94	101	372	149
2	12240	86	2534	29	2403	149
13	58	141	313	359	2371	149
14	184	169	438	238	817	149
15	73	197	396	326	1730	149
17	17	20	20	28	273	149
24	51	158	31	274	1121	149
25	87	62	85	161	363	149
37	1	29	0	48	1223	149
40	124	44	616	86	302	149
41	18	253	7	272	217	149
42	11	313	23	191	217	149
45	28	5	54	67	477	149
46	50	215	114	126	220	149
47	23	98	137	97	336	149
48	271	0	393	9	325	149
49	297	2	501	7	384	149
50	829	0	1489	11	1408	149
51	109	333	270	365	228	149
54	34	11	87	0	1071	149
56	301	320	200	220	371	149
57	0	20	69	38	2365	149
58	20	64	68	43	629	149
62	270	178	546	279	723	149
63	4	98	10	300	323	149
64	1272	73	10379	340	4089	149
65	0	18	22	0	823	149
66	12	3	78	20	1632	149
68	2	33	30	165	225	149
70	86	28	445	89	641	149
71	267	103	1036	337	394	149
73	1	2	7	0	2420	149
75	12	1	92	156	1531	149
76	26	82	48	82	236	149
79	0	2	13	13	347	149
81	8	259	56	1571	1560	149
83	2	99	0	150	264	149
84	9	262	2	225	235	149
85	0	2	6	0	785	149
86	4	10	12	16	443	149
87	476	30	2652	148	2924	149
88	476	43	2669	211	2927	149
89	296	70	427	68	448	149
90	463	69	678	22	467	149
91	1	2	31	0	395	149
96	69	19	146	23	823	149
97	72	28	115	53	2437	149
100	66	4	67	0	267	149
102	5	412	18	453	230	149
105	29	16	80	0	1228	149
112	25	80	4	41	269	149
113	101	56	28	28	284	149
114	168	79	39	22	343	149
115	79	36	122	58	850	149
116	8	28	0	111	632	149
120	4	2	30	6	261	149
122	5	3	2	41	360	149
128	18	0	18	13	424	149
129	6	31	2	42	365	149
131	4	0	12	69	428	149
137	289	6	402	0	632	149
139	1	10	14	79	348	149
141	328	28	0	1	1221	149
142	4	41	80	128	1799	149
143	58	215	189	259	278	149
144	33	249	133	264	233	149
145	16	397	88	381	239	149
146	314	268	434	227	380	149
147	642	9	774	5	470	149
149	7	71	7	124	302	149
153	13	29	221	63	615	149
154	45	1833	34	1501	278	149
157	49	0	222	38	854	149
158	2	18	0	4	659	149
160	2397	2	3775	0	1404	149
161	1159	19789	1814	26836	1385	149
162	28	24	31	52	317	149
167	4	48	93	499	237	149
168	247	846	383	687	239	149
169	1259	1004	1699	634	822	149
170	15	348	19	435	253	149
171	77	464	57	377	235	149
173	1	2	48	29	256	149
177	93	0	110	16	1132	149
181	3	0	778	7	539	149
185	10	83	8	176	227	149
186	20	118	172	120	589	149
189	42	166	155	644	265	149
191	7	14	28	38	386	149
192	0	537	1	357	272	149
195	8	651	20	381	287	149
196	125	387	294	530	1796	149
197	34	10	57	0	846	149
199	251	478	360	659	468	149
200	251	41374	360	60342	458	149
201	109	14	179	15	290	149
203	328	0	452	9	701	149
204	140	39985	182	57053	326	149
205	1330	17	1517	16	331	149
207	581	44545	676	51538	351	149
208	1022	29768	1129	28903	324	149
209	243	4	371	0	709	149
211	184	33443	292	31258	474	149
212	130	448	188	458	241	149
215	78	693	8	154	373	149
216	34	143	72	433	570	149
219	213	12066	248	8628	578	149
220	55	3	771	70	2058	149
221	52	7	686	5	1762	149
223	6	211	0	57	1626	149
224	4	2	28	0	258	149
225	58	145	103	253	318	149
226	26	72	88	129	1200	149
227	76	0	213	3	1285	149
228	0	12	24	149	299	149
229	39	316	16	182	287	149
231	3	2	12	0	234	149
233	71	5	149	19	281	149
234	12	77	212	334	356	149
238	143	5	1816	23	1808	149
239	141	4	1714	7	1782	149
240	141	4	1708	31	1768	149
242	17	161	13	130	255	149
243	47	612	99	705	358	149
245	335	6	737	0	1224	149
246	15	1349	60	1900	285	149
248	28	6	31	0	828	149
249	122	620	263	696	288	149
250	24	984	44	826	356	149
253	100	14883	210	14721	252	149
254	215	16748	248	19284	244	149
255	1216	14525	1756	19619	1994	149
256	11459	530	15443	510	2045	149
257	5	105	3	145	242	149
260	121	325	352	1210	600	149
