IncLevel1	IncLevel2	IncLevelDifference
0.181	0.228	-0.047
0.477	0.552	-0.075
0.958	1.0	-0.042
0.862	1.0	-0.138
0.556	0.688	-0.132
0.515	0.666	-0.151
0.96	1.0	-0.04
1.0	0.438	0.562
0.544	0.496	0.048
0.591	0.556	0.035
0.026	0.0	0.026
0.399	0.0	0.399
0.317	0.435	-0.118
0.295	0.369	-0.074
0.349	0.488	-0.139
0.981	1.0	-0.019
0.202	0.0	0.202
0.431	0.413	0.018
0.055	0.337	-0.282
0.017	0.161	-0.144
0.335	0.669	-0.334
0.572	0.0	0.572
0.878	1.0	-0.122
0.0	0.171	-0.171
0.37	0.611	-0.241
0.337	0.361	-0.024
0.051	0.0	0.051
0.903	1.0	-0.097
0.122	0.121	0.001
0.911	0.735	0.176
0.29	0.037	0.253
0.555	0.919	-0.364
0.586	0.912	-0.326
0.875	0.78	0.095
0.208	0.133	0.075
0.143	0.487	-0.344
0.251	0.265	-0.014
0.917	0.552	0.365
0.812	0.39	0.422
0.613	0.687	-0.074
0.615	0.69	-0.075
1.0	0.343	0.657
0.37	0.257	0.113
0.0	0.0	0.0
0.213	0.305	-0.092
0.477	0.618	-0.141
0.743	0.496	0.247
0.116	0.713	-0.597
0.049	0.008	0.041
0.1	0.308	-0.208
0.364	0.361	0.003
0.883	1.0	-0.117
0.374	0.371	0.003
0.97	1.0	-0.03
0.441	0.342	0.099
1.0	0.285	0.715
0.283	0.353	-0.07
0.603	0.659	-0.056
0.994	1.0	-0.006
0.275	0.468	-0.193
0.399	0.761	-0.362
0.525	0.549	-0.024
0.617	0.603	0.014
0.291	0.206	0.085
0.471	0.485	-0.014
0.614	0.884	-0.27
0.635	0.884	-0.249
0.221	0.248	-0.027
0.03	0.481	-0.451
0.3	0.112	0.188
0.471	0.61	-0.139
0.09	0.5	-0.41
1.0	0.733	0.267
0.0	0.198	-0.198
0.0	0.588	-0.588
0.0	0.282	-0.282
0.343	0.903	-0.56
1.0	0.959	0.041
1.0	0.98	0.02
1.0	0.847	0.153
0.004	0.108	-0.104
0.036	0.162	-0.126
0.525	0.523	0.002
0.265	0.633	-0.368
0.123	0.324	-0.201
0.649	0.538	0.111
0.345	1.0	-0.655
0.003	0.0	0.003
0.647	0.724	-0.077
0.998	0.998	0.0
0.395	0.635	-0.24
0.004	0.0	0.004
0.379	0.412	-0.033
0.0	0.109	-0.109
0.462	0.314	0.148
0.922	0.378	0.544
1.0	0.0	1.0
0.086	0.086	0.0
0.48	0.379	0.101
0.913	0.749	0.164
0.34	0.483	-0.143
0.016	0.023	-0.007
0.76	0.417	0.343
0.36	0.057	0.303
0.254	0.32	-0.066
0.897	0.695	0.202
0.0	0.125	-0.125
0.0	0.098	-0.098
0.418	0.319	0.099
0.002	0.0	0.002
0.037	0.056	-0.019
0.027	0.043	-0.016
0.036	0.058	-0.022
0.372	0.578	-0.206
0.462	0.334	0.128
0.353	0.435	-0.082
0.369	0.732	-0.363
0.651	0.547	0.104
0.368	0.0	0.368
0.492	0.649	-0.157
0.462	0.373	0.089
0.464	0.0	0.464
0.336	0.0	0.336
0.236	0.528	-0.292
0.261	0.445	-0.184
0.0	0.22	-0.22
0.0	0.464	-0.464
0.988	0.945	0.043
0.583	0.831	-0.248
1.0	0.943	0.057
0.495	0.377	0.118
0.0	0.035	-0.035
0.0	0.028	-0.028
0.075	0.0	0.075
0.074	0.0	0.074
0.079	0.0	0.079
0.078	0.0	0.078
0.098	0.0	0.098
0.097	0.0	0.097
0.519	0.556	-0.037
0.474	0.547	-0.073
0.452	0.552	-0.1
0.031	0.029	0.002
0.104	0.088	0.016
0.247	0.326	-0.079
0.625	0.499	0.126
0.962	0.972	-0.01
0.134	0.532	-0.398
0.295	0.45	-0.155
0.485	0.721	-0.236
1.0	0.917	0.083
0.494	0.505	-0.011
0.399	0.65	-0.251
0.22	0.262	-0.042
0.49	0.575	-0.085
0.0	0.611	-0.611
0.125	0.814	-0.689
0.5	0.705	-0.205
0.423	0.562	-0.139
0.311	0.066	0.245
0.388	0.45	-0.062
0.0	0.279	-0.279
0.69	0.837	-0.147
0.279	0.482	-0.203
0.322	0.458	-0.136
0.309	0.614	-0.305
0.596	0.67	-0.074
0.495	0.574	-0.079
0.47	0.539	-0.069
0.0	1.0	-1.0
0.166	0.29	-0.124
0.347	0.4	-0.053
0.178	0.0	0.178
0.085	0.0	0.085
1.0	0.668	0.332
0.17	0.318	-0.148
0.403	0.63	-0.227
0.043	0.127	-0.084
0.636	0.523	0.113
0.331	0.533	-0.202
0.999	0.999	0.0
0.0	0.048	-0.048
0.018	0.146	-0.128
0.41	0.421	-0.011
0.518	0.884	-0.366
0.288	0.555	-0.267
0.285	0.537	-0.252
0.965	0.427	0.538
0.0	0.482	-0.482
0.311	0.55	-0.239
0.426	0.482	-0.056
0.392	0.323	0.069
0.49	0.161	0.329
0.281	0.584	-0.303
0.55	0.793	-0.243
0.6	0.656	-0.056
0.0	0.485	-0.485
0.475	0.43	0.045
0.851	0.952	-0.101
0.049	0.0	0.049
1.0	0.873	0.127
0.424	0.509	-0.085
0.327	0.275	0.052
0.374	0.393	-0.019
0.439	0.431	0.008
0.047	0.0	0.047
0.408	0.537	-0.129
0.933	1.0	-0.067
0.252	0.044	0.208
0.324	0.374	-0.05
0.207	0.189	0.018
0.563	1.0	-0.437
0.163	0.335	-0.172
0.435	0.543	-0.108
0.572	0.585	-0.013
0.229	0.402	-0.173
0.251	0.597	-0.346
0.493	0.648	-0.155
0.0	0.312	-0.312
0.533	0.481	0.052
0.36	0.399	-0.039
0.226	0.158	0.068
0.473	0.619	-0.146
0.007	0.308	-0.301
0.393	1.0	-0.607
0.731	1.0	-0.269
0.491	0.596	-0.105
0.0	0.842	-0.842
0.221	0.257	-0.036
0.38	0.663	-0.283
0.0	0.413	-0.413
0.789	0.888	-0.099
0.814	0.855	-0.041
0.24	0.377	-0.137
0.53	0.671	-0.141
0.331	0.44	-0.109
0.172	0.487	-0.315
0.246	0.419	-0.173
0.351	0.419	-0.068
0.749	0.794	-0.045
0.27	0.347	-0.077
0.212	0.351	-0.139
0.649	0.635	0.014
0.966	0.362	0.604
0.754	0.473	0.281
0.562	0.558	0.004
0.595	0.588	0.007
0.147	0.277	-0.13
0.28	0.657	-0.377
0.069	0.218	-0.149
0.858	0.698	0.16
0.855	0.706	0.149
0.398	0.391	0.007
0.073	0.034	0.039
0.327	0.436	-0.109
0.386	0.373	0.013
0.234	0.123	0.111
0.444	0.515	-0.071
0.234	0.082	0.152
0.323	0.154	0.169
0.355	0.159	0.196
0.995	0.941	0.054
0.99	1.0	-0.01
0.038	0.227	-0.189
0.178	0.338	-0.16
0.682	0.36	0.322
0.153	0.009	0.144
0.797	1.0	-0.203
0.744	0.173	0.571
0.756	0.166	0.59
0.555	0.286	0.269
0.657	1.0	-0.343
0.622	1.0	-0.378
0.287	0.555	-0.268
0.343	0.449	-0.106
0.817	0.807	0.01
0.261	0.469	-0.208
1.0	0.273	0.727
1.0	0.213	0.787
0.557	0.64	-0.083
1.0	0.298	0.702
0.062	0.236	-0.174
0.611	0.635	-0.024
0.236	0.763	-0.527
0.801	0.891	-0.09
0.34	0.068	0.272
0.356	0.073	0.283
0.499	0.483	0.016
0.586	0.581	0.005
0.123	0.116	0.007
0.069	0.319	-0.25
0.0	0.603	-0.603
0.566	0.202	0.364
0.285	0.827	-0.542
0.147	0.194	-0.047
1.0	0.97	0.03
0.542	0.635	-0.093
0.291	0.409	-0.118
0.335	0.365	-0.03
0.302	0.314	-0.012
0.603	0.431	0.172
0.775	0.449	0.326
0.211	0.406	-0.195
0.423	0.486	-0.063
0.322	0.434	-0.112
0.0	0.485	-0.485
0.569	0.249	0.32
0.603	0.455	0.148
0.0	1.0	-1.0
0.858	1.0	-0.142
0.455	0.453	0.002
0.982	0.944	0.038
1.0	0.948	0.052
0.495	0.366	0.129
0.472	0.408	0.064
0.456	0.477	-0.021
0.383	0.357	0.026
0.671	0.731	-0.06
0.122	0.186	-0.064
0.169	0.295	-0.126
1.0	0.845	0.155
0.456	0.591	-0.135
0.0	0.325	-0.325
0.0	0.637	-0.637
0.493	0.807	-0.314
0.667	0.607	0.06
0.675	0.623	0.052
0.054	0.0	0.054
0.538	0.851	-0.313
0.529	0.413	0.116
0.221	0.039	0.182
0.088	0.0	0.088
0.098	0.0	0.098
0.137	0.0	0.137
0.483	0.594	-0.111
0.477	0.631	-0.154
0.63	0.696	-0.066
0.701	0.913	-0.212
0.319	0.508	-0.189
0.153	0.283	-0.13
0.469	0.0	0.469
0.514	0.434	0.08
0.296	0.633	-0.337
0.783	0.831	-0.048
0.637	0.617	0.02
0.501	0.0	0.501
0.03	0.0	0.03
0.002	0.0	0.002
0.382	0.594	-0.212
0.637	0.475	0.162
0.544	0.285	0.259
0.656	0.595	0.061
0.065	0.147	-0.082
0.504	0.0	0.504
0.033	0.0	0.033
0.132	0.058	0.074
0.0	0.915	-0.915
0.306	0.41	-0.104
0.637	0.65	-0.013
0.689	0.326	0.363
0.453	0.626	-0.173
0.612	1.0	-0.388
0.644	0.771	-0.127
0.181	0.178	0.003
0.393	0.476	-0.083
0.062	0.529	-0.467
0.006	0.001	0.005
1.0	0.773	0.227
1.0	0.816	0.184
1.0	0.289	0.711
1.0	0.97	0.03
1.0	0.694	0.306
1.0	0.746	0.254
1.0	0.307	0.693
1.0	0.972	0.028
1.0	0.267	0.733
1.0	0.967	0.033
1.0	0.968	0.032
1.0	0.975	0.025
1.0	0.987	0.013
0.985	0.988	-0.003
0.514	1.0	-0.486
0.038	0.135	-0.097
0.374	1.0	-0.626
0.367	0.525	-0.158
0.784	0.956	-0.172
0.0	0.333	-0.333
0.04	0.349	-0.309
0.323	0.305	0.018
0.0	0.013	-0.013
0.652	0.599	0.053
0.389	0.554	-0.165
0.77	0.614	0.156
0.0	0.014	-0.014
0.403	0.466	-0.063
0.453	0.317	0.136
0.493	0.198	0.295
0.517	0.619	-0.102
0.198	0.712	-0.514
0.496	0.799	-0.303
0.662	0.672	-0.01
0.558	0.498	0.06
0.268	0.572	-0.304
0.379	0.428	-0.049
0.335	0.0	0.335
0.697	0.744	-0.047
1.0	0.875	0.125
0.93	0.752	0.178
0.872	0.785	0.087
0.514	0.55	-0.036
0.0	0.947	-0.947
0.097	0.0	0.097
0.178	0.0	0.178
0.318	0.505	-0.187
0.277	0.483	-0.206
0.504	0.025	0.479
1.0	0.052	0.948
1.0	0.084	0.916
0.702	0.61	0.092
0.509	0.425	0.084
0.0	0.01	-0.01
0.023	0.111	-0.088
0.0	0.055	-0.055
1.0	0.981	0.019
0.426	0.604	-0.178
0.236	0.689	-0.453
0.354	0.159	0.195
0.187	0.444	-0.257
0.186	0.443	-0.257
0.0	0.0	0.0
0.297	0.105	0.192
0.537	0.347	0.19
0.012	0.007	0.005
0.336	0.411	-0.075
0.645	0.34	0.305
0.785	0.558	0.227
0.871	0.776	0.095
0.716	0.654	0.062
