ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	30	60	94	101	372	149	0.0316420880579
2	12240	86	2534	29	2403	149	0.076247926352
13	58	141	313	359	2371	149	0.000568001070904
14	184	169	438	238	817	149	0.00658256179054
15	73	197	396	326	1730	149	8.27670953996e-09
17	17	20	20	28	273	149	0.709579265378
24	51	158	31	274	1121	149	0.000212364838476
25	87	62	85	161	363	149	0.00012149087841
37	1	29	0	48	1223	149	1
40	124	44	616	86	302	149	0.00030016365256
41	18	253	7	272	217	149	0.0203458066868
42	11	313	23	191	217	149	0.0014523094085
45	28	5	54	67	477	149	4.60194580514e-05
46	50	215	114	126	220	149	1.95850720086e-08
47	23	98	137	97	336	149	2.21947682455e-10
48	271	0	393	9	325	149	0.00704351953769
49	297	2	501	7	384	149	0.231458455954
50	829	0	1489	11	1408	149	0.00199355777117
51	109	333	270	365	228	149	2.75435909519e-05
54	34	11	87	0	1071	149	2.27784107132e-08
56	301	320	200	220	371	149	0.853157734918
57	0	20	69	38	2365	149	3.33127723184e-08
58	20	64	68	43	629	149	1.20436278372e-06
62	270	178	546	279	723	149	0.168478901973
63	4	98	10	300	323	149	0.804293226619
64	1272	73	10379	340	4089	149	0.00409956611736
65	0	18	22	0	823	149	3.66373598126e-15
66	12	3	78	20	1632	149	0.94214129541
68	2	33	30	165	225	149	0.0401993176373
70	86	28	445	89	641	149	0.0874676341777
71	267	103	1036	337	394	149	0.379092547922
73	1	2	7	0	2420	149	4.35983699831e-06
75	12	1	92	156	1531	149	0.000257601419778
76	26	82	48	82	236	149	0.050149584006
79	0	2	13	13	347	149	0.00348146963731
81	8	259	56	1571	1560	149	1
83	2	99	0	150	264	149	0.88255451021
84	9	262	2	225	235	149	0.127534151351
85	0	2	6	0	785	149	2.64482331458e-06
86	4	10	12	16	443	149	0.306010143152
87	476	30	2652	148	2924	149	0.620813916426
88	476	43	2669	211	2927	149	0.538419608846
89	296	70	427	68	448	149	0.089964684922
90	463	69	678	22	467	149	2.00427845432e-08
91	1	2	31	0	395	149	9.32924463573e-05
96	69	19	146	23	823	149	0.124734549888
97	72	28	115	53	2437	149	0.621420816359
100	66	4	67	0	267	149	0.0172310645408
102	5	412	18	453	230	149	0.0182587640935
105	29	16	80	0	1228	149	7.17259585059e-11
112	25	80	4	41	269	149	0.0164544094586
113	101	56	28	28	284	149	0.079351200118
114	168	79	39	22	343	149	0.565424501596
115	79	36	122	58	850	149	0.902388727189
116	8	28	0	111	632	149	0.000817792323276
120	4	2	30	6	261	149	0.38943943042
122	5	3	2	41	360	149	0.000314598214116
128	18	0	18	13	424	149	4.88073743488e-06
129	6	31	2	42	365	149	0.0579483780106
131	4	0	12	69	428	149	1.81761207699e-05
137	289	6	402	0	632	149	0.00328315595109
139	1	10	14	79	348	149	0.258765572421
141	328	28	0	1	1221	149	0.00075905742182
142	4	41	80	128	1799	149	3.46276665868e-05
143	58	215	189	259	278	149	6.51647969019e-06
144	33	249	133	264	233	149	4.52539449247e-08
145	16	397	88	381	239	149	6.92860102625e-10
146	314	268	434	227	380	149	0.00742677790645
147	642	9	774	5	470	149	0.15292577928
149	7	71	7	124	302	149	0.369032878257
153	13	29	221	63	615	149	1.50898189499e-08
154	45	1833	34	1501	278	149	0.771200772263
157	49	0	222	38	854	149	9.20161573392e-06
158	2	18	0	4	659	149	0.523739228815
160	2397	2	3775	0	1404	149	1
161	1159	19789	1814	26836	1385	149	1
162	28	24	31	52	317	149	0.0811526148534
167	4	48	93	499	237	149	0.0546947989638
168	247	846	383	687	239	149	0.000151934597435
169	1259	1004	1699	634	822	149	9.24215731946e-07
170	15	348	19	435	253	149	0.962815251785
171	77	464	57	377	235	149	0.683177855128
173	1	2	48	29	256	149	0.181180775314
177	93	0	110	16	1132	149	1.07646825764e-06
181	3	0	778	7	539	149	0.157878461144
185	10	83	8	176	227	149	0.0629083248866
186	20	118	172	120	589	149	1.38777878078e-14
189	42	166	155	644	265	149	0.895960357176
191	7	14	28	38	386	149	0.381308191808
192	0	537	1	357	272	149	1
195	8	651	20	381	287	149	0.00258616059733
196	125	387	294	530	1796	149	0.00405202004969
197	34	10	57	0	846	149	1.04927304867e-06
199	251	478	360	659	468	149	0.818278528503
200	251	41374	360	60342	458	149	1
201	109	14	179	15	290	149	0.314478093061
203	328	0	452	9	701	149	0.00139391168289
204	140	39985	182	57053	326	149	1
205	1330	17	1517	16	331	149	0.620087236002
207	581	44545	676	51538	351	149	1
208	1022	29768	1129	28903	324	149	0.406217227906
209	243	4	371	0	709	149	0.0191813824201
211	184	33443	292	31258	474	149	1
212	130	448	188	458	241	149	0.0715755132399
215	78	693	8	154	373	149	0.0243223958206
216	34	143	72	433	570	149	0.217331444601
219	213	12066	248	8628	578	149	1
220	55	3	771	70	2058	149	0.370609040131
221	52	7	686	5	1762	149	6.52984541516e-06
223	6	211	0	57	1626	149	1
224	4	2	28	0	258	149	0.00386824611126
225	58	145	103	253	318	149	0.92092491721
226	26	72	88	129	1200	149	0.0264383177578
227	76	0	213	3	1285	149	0.0498267455039
228	0	12	24	149	299	149	0.0111022405115
229	39	316	16	182	287	149	0.276861264054
231	3	2	12	0	234	149	0.0040986784453
233	71	5	149	19	281	149	0.188585482757
234	12	77	212	334	356	149	6.10688553149e-06
238	143	5	1816	23	1808	149	0.124006375091
239	141	4	1714	7	1782	149	0.0197270608488
240	141	4	1708	31	1768	149	0.648819120891
242	17	161	13	130	255	149	0.876823284035
243	47	612	99	705	358	149	0.00827014855033
245	335	6	737	0	1224	149	0.000472887795932
246	15	1349	60	1900	285	149	0.0180046840901
248	28	6	31	0	828	149	0.00012447251249
249	122	620	263	696	288	149	0.000439031016973
250	24	984	44	826	356	149	0.00682518896633
253	100	14883	210	14721	252	149	1
254	215	16748	248	19284	244	149	1
255	1216	14525	1756	19619	1994	149	1
256	11459	530	15443	510	2045	149	0.02975301442
257	5	105	3	145	242	149	0.243671410885
260	121	325	352	1210	600	149	0.202860985639
263	3	0	52	21	351	149	0.00354315215618
264	64	187	61	340	260	149	0.0087714088667
265	59	164	34	11	572	149	1.78649401938e-08
266	165	40	11	0	221	149	0.00138985437523
269	3	69	0	18	222	149	0.32982088658
270	35	132	231	93	1423	149	0
271	0	2	81	1787	240	149	0.153372769297
272	60	235	80	246	224	149	0.307315826031
273	2	193	39	499	225	149	0.000167524827542
274	4	49	358	1063	1413	149	0.000787313866372
278	69	1211	138	1678	395	149	0.0740155534886
281	17	147	40	229	403	149	0.190635310824
282	174	1839	384	5532	298	149	0.0754157461444
283	0	7	35	46	230	149	0.000290729213861
285	141	653	0	1	236	149	0.0244239361162
286	25	4	0	5	239	149	1.71035114882e-06
287	25	4	0	8	236	149	4.24112570618e-08
288	96	101	31	123	1154	149	1.24564219883e-06
289	38	149	80	109	326	149	7.53957679364e-05
290	96	53	135	122	353	149	0.0522946345843
291	215	4	463	4	852	149	0.349664433084
292	136	39	330	34	535	149	0.000420541204459
293	0	11	4	69	283	149	0.24728987383
294	28	7	99	0	402	149	2.51440082799e-06
296	82	693	24	1170	285	149	1.20017329408e-11
297	146	8	55	12	459	149	0.00485784298299
