ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
4	180	0	240	35	303	149	1.74172054557e-09	5.4634155516333925e-08
5	623	6	262	0	319	149	0.278065910671	0.4026578319686457
6	680	6	291	0	309	149	0.431991033499	0.5801585646034164
7	241	15	96	0	215	149	0.000951955196818	0.0036584843264001157
8	103	8	131	1	246	149	0.00186622982696	0.0062881479552756026
9	243	2	1697	77	195	149	0.000624200417451	0.0025839873112334715
21	954	0	341	15	212	149	2.53987721088e-06	2.6178277225563268e-05
22	961	6	359	0	185	149	1	1.0
23	1133	5	331	0	176	149	1	1.0
24	1471	0	520	24	203	149	3.83937748261e-09	1.0804813842495153e-07
25	898	6	288	0	290	149	0.772603656572	0.9192404444139107
27	75	46	98	31	355	149	0.0310898002941	0.06220737323036286
28	65	14	91	74	690	149	0.000115110780082	0.0006442980825984315
30	9	5	6	7	284	149	0.31557370561	0.44716298198472143
31	5	24	6	70	284	149	0.252679938197	0.3726618893631773
34	2	33	0	39	209	149	0.875479716755	1.0
36	233	1	1610	19	337	149	0.100149942459	0.16872932347341937
39	72	70	206	433	258	149	0.00115958058565	0.004295170807640124
42	215	1	1026	6	392	149	0.536356977837	0.6916534240457535
43	490	1	2215	6	278	149	1	1.0
51	4	70	0	144	297	149	0.300469398787	0.4290886872225431
54	6198	7	24943	104	251	149	1	1.0
56	7	108	49	337	658	149	0.0301531744238	0.06072761064576561
60	689	8	1843	0	235	149	0.302367109123	0.4312542677226671
62	551	1	373	0	270	149	1	1.0
63	1286	84	584	8	270	149	2.73701851095e-06	2.7871292294830105e-05
64	473	756	932	318	1244	149	0	0.0
87	16	5	30	0	214	149	0.000375379100099	0.0017095762970552137
91	25	1	304	7	372	149	0.48723938215	0.6411344166175961
92	16	1	53	7	248	149	0.272009742383	0.3954825695257739
97	0	18	16	62	348	149	0.00175558892111	0.005989805961558849
107	144	21	263	0	212	149	1.10968312317e-09	3.6857235160325936e-08
111	0	4	8	0	266	149	1.31618785648e-07	2.153771186615265e-06
112	0	2	8	0	266	149	1.29047344366e-06	1.4878358402937464e-05
118	46	120	299	211	507	149	2.0643243559e-08	4.497046603300139e-07
119	9	120	28	211	267	149	0.128051755157	0.20850670908056912
120	0	64	8	332	330	149	0.838228256423	0.9786179814808987
121	4	5	12	11	285	149	0.637355675098	0.7940287781630595
122	113	2	354	15	227	149	0.100435851372	0.1691303342676456
125	1	0	36	1	235	149	0.282110111969	0.40759496711904813
130	1	9	26	81	222	149	0.0956340835245	0.16215249351637695
132	87	0	68	4	310	149	0.0114710133216	0.027175208865067146
134	13	2	0	21	1104	149	1.48114169818e-08	3.445320935909153e-07
135	3	2	9	21	271	149	0.283241977704	0.4088678984690371
137	30	0	119	22	238	149	0.000217354980824	0.0010932754328605231
138	27	5	145	0	245	149	8.78785242147e-05	0.0005169999463169649
139	0	13	30	84	243	149	0.000595748477576	0.002488536634462061
146	318	8	786	0	289	149	0.00279713704206	0.00869504636325267
148	4	1930	0	2411	201	149	1	1.0
149	1149	2	2158	0	1154	149	0.634016762413	0.7912514259301462
150	6	1930	0	2411	245	149	1	1.0
152	3046	2	4517	0	262	149	1	1.0
153	1463	11	1900	0	262	149	0.665400098797	0.8208460527190143
154	1419	11	2489	0	279	149	0.482255664058	0.6359182609020143
155	3003	1	5118	12	279	149	1	1.0
156	221	25	319	0	287	149	4.57457849379e-10	1.718792426629502e-08
158	165	11	790	28	307	149	0.16399055108	0.2581815577961575
164	74	11	285	35	265	149	0.726321582923	0.8772073785319329
167	0	43	1	0	400	149	0.0016696796755	0.0057503952549196324
171	24	4	187	39	346	149	0.567907389754	0.7233156326648044
172	17	0	97	2	346	149	0.272130097388	0.39560327184942773
173	14	0	104	2	273	149	0.433534868004	0.5820106042364754
174	22	5	155	0	273	149	2.76321273878e-05	0.00019472938274958277
176	14	0	5	7	221	149	6.48979635731e-06	5.717101901562538e-05
177	32	0	66	7	230	149	0.00334139862984	0.01005503810919333
178	12	2	5	9	230	149	0.00259878531318	0.008201170449977271
179	14	0	52	7	273	149	0.00458070162039	0.012963361116143761
180	18	2	106	9	239	149	0.687902156974	0.8413074743715608
181	39	1	160	0	239	149	0.287165581914	0.4135176574027979
189	57	0	24	4	365	149	0.000957775163499	0.0036788496446814047
190	26	0	0	24	294	149	0	0.0
192	135	0	372	24	245	149	9.26839462154e-05	0.0005400337393075057
194	131	7	469	0	217	149	0.000586749395082	0.0024548482588712065
195	166	0	760	5	317	149	0.775633401396	0.921852426859555
196	79	3	101	7	347	149	0.325777974918	0.45922757464500474
197	2	0	37	17	269	149	0.00463719007242	0.013090008635227418
200	31	14	43	0	326	149	3.74212385523e-07	5.244665781493316e-06
203	21834	92	6211	12	246	149	1	1.0
204	9449	14	3051	31	246	149	0.0511837877663	0.09511010580109289
205	7917	14	1360	31	219	149	4.20502404408e-06	3.994113156346897e-05
206	20547	3	4618	0	219	149	1	1.0
214	3	0	0	11	186	149	4.78516690494e-07	6.388848381310149e-06
259	138	15	145	15	212	149	0.906150042907	1.0
260	34	0	30	15	212	149	1.15443180049e-06	1.352325278285439e-05
261	15	40	55	342	281	149	0.0377983399311	0.07338368961770125
262	1	41	15	472	267	149	0.421465353336	0.5682916965222178
280	15	3	28	0	198	149	0.00876116467895	0.021857527750368432
282	51	25	17	58	825	149	1.95589722862e-07	3.0099795331653173e-06
286	38	35	58	0	210	149	5.72875080707e-13	4.975326161992638e-11
296	4	32	18	28	264	149	0.00246263537965	0.007856926577862564
300	4	6	0	12	198	149	0.00148181770204	0.005218412861783925
302	117	1	467	0	292	149	0.529693481038	0.6863756643232308
304	9	57	28	252	245	149	0.568831442498	0.7241878701096497
305	106	7	301	0	273	149	0.000164234957886	0.0008696409276767182
320	2	0	10	9	211	149	0.00205883522081	0.00681699643190386
334	1	2	12	22	1300	149	0.582034222771	0.7381141361304765
353	444	22	274	6	202	149	0.0525109508941	0.0972182037739711
358	872	14	451	8	252	149	0.895227737913	1.0
359	168	15	473	20	386	149	0.0613497984792	0.11082829847279435
360	80	6	72	5	260	149	0.861904395074	1.0
361	298	0	780	21	283	149	0.000741338868986	0.002982101741207731
362	14	81	14	135	204	149	0.245765191902	0.3648087826838948
364	82	15	192	28	227	149	0.589523462611	0.7458263699217731
365	11	11	0	18	275	149	8.59765612005e-06	7.276075512778737e-05
367	320	91	202	73	230	149	0.299150513156	0.4275221556709466
368	4	12	102	6	244	149	4.85690265783e-10	1.7962063564062046e-08
369	0	3	33	97	210	149	0.00781273249303	0.019947845922419192
370	10	3	107	97	296	149	0.0819450481361	0.14194029058787763
372	38	11	67	34	234	149	0.158173123301	0.25008182167212495
373	49	0	78	1	239	149	0.434703352624	0.5830990470600825
374	49	5	148	11	209	149	0.784608167203	0.9297451026784528
375	24	0	79	4	501	149	0.0151696321083	0.03412885380687815
376	21	2	80	0	326	149	0.0466258403254	0.0877874884349668
377	28	2	23	0	179	149	0.138491403179	0.2230747434452865
379	63	1	161	0	360	149	0.294307658459	0.42196709001384763
380	468	0	816	3	260	149	1	1.0
381	5	12	12	0	200	149	4.47536831372e-07	6.024413421764551e-06
383	44	482	20	509	296	149	0.00481526691988	0.013489615372391886
385	807	0	888	9	245	149	0.361342670938	0.4999925480507033
395	0	20	9	125	309	149	0.0688134395504	0.12196600849050905
399	67	0	77	1	490	149	0.285657048595	0.4116810743183246
400	101	0	201	6	326	149	0.0213401431854	0.04537472110808208
402	95	0	147	6	264	149	0.0141929020722	0.03231218175891601
403	26	152	20	71	297	149	0.185772665612	0.2873719656167525
404	108	231	10	82	330	149	5.73808671206e-05	0.0003592194845354903
405	295	748	67	139	275	149	0.382731943962	0.5242371291124518
406	25	0	0	40	305	149	0	0.0
408	0	2	40	7	233	149	0.000255352781389	0.0012459545913917334
409	0	2	4	0	249	149	6.14739090243e-06	5.466611859563328e-05
413	4	80	0	90	284	149	0.365480505075	0.5046522045379765
417	4	15	12	27	271	149	0.372669735039	0.5126416329251184
418	0	21	12	62	305	149	0.00351004913217	0.010467415023897336
419	2	21	12	62	314	149	0.203737234966	0.3110739783964627
420	2	21	23	62	339	149	0.0184252640298	0.040111955008782806
424	56	0	37	11	242	149	3.5858566525e-06	3.4985215618382826e-05
425	52	0	37	2	242	149	0.156713285319	0.24797724232339674
426	9	0	18	4	368	149	0.00153570659822	0.0053666158513984204
427	42	0	13	2	230	149	0.035595416725	0.06973950405135679
428	80	19	34	0	198	149	5.49669429077e-05	0.0003467712078467016
429	211	1	36	0	290	149	1	1.0
434	6	2	6	3	271	149	0.668042855134	0.8235788087232878
435	197	1	423	26	218	149	0.000114516467909	0.0006421588969197193
439	0	64	14	240	214	149	0.0136605089838	0.03131204390218559
440	51	2	306	20	236	149	0.266809345196	0.3894095052436423
441	29	2	188	20	287	149	0.352730486111	0.490273627914089
443	753	0	641	5	348	149	0.569360489959	0.7246437322955658
444	236	5	802	0	292	149	0.0555138504886	0.10189640586435016
445	6	136	8	499	265	149	0.179959580506	0.27962483285691786
448	16	17	16	17	244	149	1	1.0
449	34	17	17	17	277	149	0.129069190377	0.2099244157862466
451	2673	1	3354	11	265	149	1	1.0
452	2144	6	1942	0	290	149	1	1.0
455	3	0	226	18	241	149	0.0254098596549	0.05256348457116223
456	2	129	0	222	249	149	1	1.0
457	355	4	422	1	259	149	0.668268651986	0.8237134134618036
458	9	538	20	272	347	149	0.000921256883172	0.0035618235014227063
460	286	711	707	1095	381	149	0.00399708952973	0.011601468870635314
461	29	711	78	1095	755	149	0.0976847822257	0.1651406637530761
462	10	711	15	1095	398	149	1	1.0
463	4	711	12	1095	325	149	1	1.0
465	764	6	450	0	219	149	0.759867998024	0.9077842653458849
466	46	7	28	29	171	149	2.33744729768e-05	0.00016969114657463817
467	519	0	386	25	241	149	9.01893559835e-09	2.2537767012339016e-07
468	450	7	517	0	267	149	0.0763636845053	0.13354979271699366
469	6	227	0	288	283	149	0.859215139437	0.9981898779736503
