ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
4	180	0	240	35	303	149	1.74172054557e-09
5	623	6	262	0	319	149	0.278065910671
6	680	6	291	0	309	149	0.431991033499
7	241	15	96	0	215	149	0.000951955196818
8	103	8	131	1	246	149	0.00186622982696
9	243	2	1697	77	195	149	0.000624200417451
21	954	0	341	15	212	149	2.53987721088e-06
22	961	6	359	0	185	149	1
23	1133	5	331	0	176	149	1
24	1471	0	520	24	203	149	3.83937748261e-09
25	898	6	288	0	290	149	0.772603656572
27	75	46	98	31	355	149	0.0310898002941
28	65	14	91	74	690	149	0.000115110780082
30	9	5	6	7	284	149	0.31557370561
31	5	24	6	70	284	149	0.252679938197
34	2	33	0	39	209	149	0.875479716755
36	233	1	1610	19	337	149	0.100149942459
39	72	70	206	433	258	149	0.00115958058565
42	215	1	1026	6	392	149	0.536356977837
43	490	1	2215	6	278	149	1
51	4	70	0	144	297	149	0.300469398787
54	6198	7	24943	104	251	149	1
56	7	108	49	337	658	149	0.0301531744238
60	689	8	1843	0	235	149	0.302367109123
62	551	1	373	0	270	149	1
63	1286	84	584	8	270	149	2.73701851095e-06
64	473	756	932	318	1244	149	0
87	16	5	30	0	214	149	0.000375379100099
91	25	1	304	7	372	149	0.48723938215
92	16	1	53	7	248	149	0.272009742383
97	0	18	16	62	348	149	0.00175558892111
107	144	21	263	0	212	149	1.10968312317e-09
111	0	4	8	0	266	149	1.31618785648e-07
112	0	2	8	0	266	149	1.29047344366e-06
118	46	120	299	211	507	149	2.0643243559e-08
119	9	120	28	211	267	149	0.128051755157
120	0	64	8	332	330	149	0.838228256423
121	4	5	12	11	285	149	0.637355675098
122	113	2	354	15	227	149	0.100435851372
125	1	0	36	1	235	149	0.282110111969
130	1	9	26	81	222	149	0.0956340835245
132	87	0	68	4	310	149	0.0114710133216
134	13	2	0	21	1104	149	1.48114169818e-08
135	3	2	9	21	271	149	0.283241977704
137	30	0	119	22	238	149	0.000217354980824
138	27	5	145	0	245	149	8.78785242147e-05
139	0	13	30	84	243	149	0.000595748477576
146	318	8	786	0	289	149	0.00279713704206
148	4	1930	0	2411	201	149	1
149	1149	2	2158	0	1154	149	0.634016762413
150	6	1930	0	2411	245	149	1
152	3046	2	4517	0	262	149	1
153	1463	11	1900	0	262	149	0.665400098797
154	1419	11	2489	0	279	149	0.482255664058
155	3003	1	5118	12	279	149	1
156	221	25	319	0	287	149	4.57457849379e-10
158	165	11	790	28	307	149	0.16399055108
164	74	11	285	35	265	149	0.726321582923
167	0	43	1	0	400	149	0.0016696796755
171	24	4	187	39	346	149	0.567907389754
172	17	0	97	2	346	149	0.272130097388
173	14	0	104	2	273	149	0.433534868004
174	22	5	155	0	273	149	2.76321273878e-05
176	14	0	5	7	221	149	6.48979635731e-06
177	32	0	66	7	230	149	0.00334139862984
178	12	2	5	9	230	149	0.00259878531318
179	14	0	52	7	273	149	0.00458070162039
180	18	2	106	9	239	149	0.687902156974
181	39	1	160	0	239	149	0.287165581914
189	57	0	24	4	365	149	0.000957775163499
190	26	0	0	24	294	149	0
192	135	0	372	24	245	149	9.26839462154e-05
194	131	7	469	0	217	149	0.000586749395082
195	166	0	760	5	317	149	0.775633401396
196	79	3	101	7	347	149	0.325777974918
197	2	0	37	17	269	149	0.00463719007242
200	31	14	43	0	326	149	3.74212385523e-07
203	21834	92	6211	12	246	149	1
204	9449	14	3051	31	246	149	0.0511837877663
205	7917	14	1360	31	219	149	4.20502404408e-06
206	20547	3	4618	0	219	149	1
214	3	0	0	11	186	149	4.78516690494e-07
259	138	15	145	15	212	149	0.906150042907
260	34	0	30	15	212	149	1.15443180049e-06
261	15	40	55	342	281	149	0.0377983399311
262	1	41	15	472	267	149	0.421465353336
280	15	3	28	0	198	149	0.00876116467895
282	51	25	17	58	825	149	1.95589722862e-07
286	38	35	58	0	210	149	5.72875080707e-13
296	4	32	18	28	264	149	0.00246263537965
300	4	6	0	12	198	149	0.00148181770204
302	117	1	467	0	292	149	0.529693481038
304	9	57	28	252	245	149	0.568831442498
305	106	7	301	0	273	149	0.000164234957886
320	2	0	10	9	211	149	0.00205883522081
334	1	2	12	22	1300	149	0.582034222771
353	444	22	274	6	202	149	0.0525109508941
358	872	14	451	8	252	149	0.895227737913
359	168	15	473	20	386	149	0.0613497984792
360	80	6	72	5	260	149	0.861904395074
361	298	0	780	21	283	149	0.000741338868986
362	14	81	14	135	204	149	0.245765191902
364	82	15	192	28	227	149	0.589523462611
365	11	11	0	18	275	149	8.59765612005e-06
367	320	91	202	73	230	149	0.299150513156
368	4	12	102	6	244	149	4.85690265783e-10
369	0	3	33	97	210	149	0.00781273249303
370	10	3	107	97	296	149	0.0819450481361
372	38	11	67	34	234	149	0.158173123301
373	49	0	78	1	239	149	0.434703352624
374	49	5	148	11	209	149	0.784608167203
375	24	0	79	4	501	149	0.0151696321083
376	21	2	80	0	326	149	0.0466258403254
377	28	2	23	0	179	149	0.138491403179
379	63	1	161	0	360	149	0.294307658459
380	468	0	816	3	260	149	1
381	5	12	12	0	200	149	4.47536831372e-07
383	44	482	20	509	296	149	0.00481526691988
385	807	0	888	9	245	149	0.361342670938
395	0	20	9	125	309	149	0.0688134395504
399	67	0	77	1	490	149	0.285657048595
400	101	0	201	6	326	149	0.0213401431854
402	95	0	147	6	264	149	0.0141929020722
403	26	152	20	71	297	149	0.185772665612
404	108	231	10	82	330	149	5.73808671206e-05
405	295	748	67	139	275	149	0.382731943962
406	25	0	0	40	305	149	0
408	0	2	40	7	233	149	0.000255352781389
409	0	2	4	0	249	149	6.14739090243e-06
413	4	80	0	90	284	149	0.365480505075
417	4	15	12	27	271	149	0.372669735039
418	0	21	12	62	305	149	0.00351004913217
419	2	21	12	62	314	149	0.203737234966
420	2	21	23	62	339	149	0.0184252640298
424	56	0	37	11	242	149	3.5858566525e-06
425	52	0	37	2	242	149	0.156713285319
426	9	0	18	4	368	149	0.00153570659822
427	42	0	13	2	230	149	0.035595416725
428	80	19	34	0	198	149	5.49669429077e-05
429	211	1	36	0	290	149	1
434	6	2	6	3	271	149	0.668042855134
435	197	1	423	26	218	149	0.000114516467909
439	0	64	14	240	214	149	0.0136605089838
440	51	2	306	20	236	149	0.266809345196
441	29	2	188	20	287	149	0.352730486111
443	753	0	641	5	348	149	0.569360489959
444	236	5	802	0	292	149	0.0555138504886
445	6	136	8	499	265	149	0.179959580506
448	16	17	16	17	244	149	1
449	34	17	17	17	277	149	0.129069190377
451	2673	1	3354	11	265	149	1
452	2144	6	1942	0	290	149	1
455	3	0	226	18	241	149	0.0254098596549
456	2	129	0	222	249	149	1
457	355	4	422	1	259	149	0.668268651986
458	9	538	20	272	347	149	0.000921256883172
460	286	711	707	1095	381	149	0.00399708952973
461	29	711	78	1095	755	149	0.0976847822257
462	10	711	15	1095	398	149	1
463	4	711	12	1095	325	149	1
465	764	6	450	0	219	149	0.759867998024
466	46	7	28	29	171	149	2.33744729768e-05
467	519	0	386	25	241	149	9.01893559835e-09
468	450	7	517	0	267	149	0.0763636845053
469	6	227	0	288	283	149	0.859215139437
470	2	227	12	288	261	149	0.0499528406136
473	17	92	15	117	315	149	0.36970036917
475	1325	0	949	5	271	149	1
477	285	3	437	0	277	149	0.724088690441
478	10	10	19	39	402	149	0.229498053142
479	6	39	41	90	402	149	0.0107156229015
485	2	12	30	86	268	149	0.164355663909
487	12	0	48	26	325	149	7.64214109732e-05
488	18	0	68	26	283	149	5.65154559065e-05
493	963	9	3300	39	228	149	0.445227404296
494	268	10	769	0	228	149	0.000227970691826
495	557	10	965	0	220	149	0.0347799912194
496	1269	0	3496	10	220	149	1
497	340	11	1202	0	220	149	0.000415401944939
498	676	11	1349	0	235	149	0.0305921299523
499	1611	2	3677	17	235	149	1
500	3	17	65	1	265	149	7.77156117238e-16
503	0	33	4	130	286	149	0.748292073535
507	33	0	130	5	301	149	0.0358889016834
508	33	4	130	0	301	149	0.000995063030383
509	30	1	37	0	301	149	0.24502518204
510	6	0	0	5	216	149	1.35522997269e-07
515	7	4	89	0	210	149	3.17166315736e-05
