ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0	185	11	1153	197	149	1	1.0
2	7	78	39	385	298	149	0.65043504163	0.7800188120127659
5	192	979	47	148	152	149	0.0468506899482	0.08771872061052113
7	4	194	23	868	192	149	0.480843105817	0.6183286160728236
13	10	204	26	620	204	149	0.877287238587	0.9737663978177953
14	29	489	18	1553	298	149	6.21534444988e-05	0.00040260589421610746
17	178	956	135	592	298	149	0.291570839234	0.4093877199209188
19	3	67	5	16	298	149	0.0175143641713	0.03910471551807304
20	3	5	17	0	198	149	8.89997406517e-06	8.271067974911734e-05
21	4	6	66	18	198	149	0.0139557867863	0.032302994481355735
22	29	1925	11	1753	166	149	0.304940746159	0.4255443210064502
27	71	9	41	32	215	149	8.87208270917e-06	8.262840978068197e-05
41	6	13	28	59	298	149	0.897124491659	0.9870233285432396
43	53	3	31	0	193	149	0.0823842509244	0.1425628584576938
44	40	181	26	201	152	149	0.0746208148526	0.13037614189222382
47	5	4	24	97	152	149	0.0354623647135	0.06954661674495707
48	16	125	38	177	152	149	0.114871000696	0.18984773153870524
49	46	582	0	325	152	149	2.93845165977e-08	6.408482514272261e-07
50	7	759	0	199	170	149	1	1.0
51	963	17	195	0	153	149	0.124482465348	0.20333229191205118
57	2	2	7	0	152	149	0.00564403422685	0.015631849741243778
58	0	2	16	59	200	149	0.0134936322314	0.03138390347496035
61	20	102	20	361	298	149	0.00080033419421	0.0032401589579024253
62	22	4	14	23	182	149	0.000103120010918	0.0006130696539508493
65	493	0	364	25	298	149	2.93150359543e-09	9.35494529718103e-08
68	23	2	90	25	235	149	0.0466483194429	0.08737751678126283
69	28	10	148	0	298	149	5.93159921181e-09	1.7162093719503601e-07
71	36	0	192	7	298	149	0.024745438284	0.051731792944393055
72	16	146	52	318	266	149	0.184853415257	0.282885691895409
75	15	0	185	4	154	149	0.395872348158	0.5263743844993014
76	10	0	133	36	154	149	0.00169577484791	0.006032510524532295
