IncLevel1	IncLevel2	IncLevelDifference
0.0	0.007	-0.007
0.043	0.048	-0.005
0.161	0.237	-0.076
0.016	0.02	-0.004
0.035	0.03	0.005
0.029	0.006	0.023
0.085	0.102	-0.017
0.022	0.135	-0.113
0.311	1.0	-0.689
0.334	0.734	-0.4
0.013	0.006	0.007
0.845	0.47	0.375
0.188	0.192	-0.004
0.932	1.0	-0.068
0.178	0.113	0.065
0.551	0.195	0.356
0.111	0.174	-0.063
0.072	0.0	0.072
0.008	0.0	0.008
0.982	1.0	-0.018
0.495	1.0	-0.505
0.0	0.168	-0.168
0.089	0.027	0.062
0.818	0.333	0.485
1.0	0.879	0.121
0.879	0.695	0.184
0.583	1.0	-0.417
1.0	0.932	0.068
0.058	0.084	-0.026
1.0	0.978	0.022
1.0	0.781	0.219
0.145	0.017	0.128
1.0	0.0	1.0
1.0	0.0	1.0
0.122	0.0	0.122
1.0	0.0	1.0
0.382	0.0	0.382
0.311	0.261	0.05
0.113	0.049	0.064
0.406	0.434	-0.028
1.0	0.99	0.01
1.0	0.909	0.091
0.364	0.159	0.205
0.337	0.754	-0.417
0.758	1.0	-0.242
0.797	0.481	0.316
0.014	0.035	-0.021
0.074	0.067	0.007
1.0	0.726	0.274
0.0	0.25	-0.25
0.015	0.0	0.015
0.931	1.0	-0.069
0.104	0.0	0.104
0.178	0.139	0.039
0.855	0.0	0.855
0.222	0.3	-0.078
0.159	0.0	0.159
0.014	0.0	0.014
0.976	0.986	-0.01
0.424	0.694	-0.27
0.0	0.105	-0.105
0.89	0.612	0.278
0.752	0.672	0.08
0.564	0.591	-0.027
0.102	0.038	0.064
0.853	0.396	0.457
0.556	0.505	0.051
0.543	0.745	-0.202
0.113	0.104	0.009
0.748	0.472	0.276
1.0	0.986	0.014
1.0	0.868	0.132
1.0	0.463	0.537
0.046	0.068	-0.022
0.542	0.159	0.383
1.0	0.849	0.151
0.035	0.041	-0.006
0.191	0.0	0.191
0.016	0.067	-0.051
1.0	0.978	0.022
1.0	0.969	0.031
0.301	0.416	-0.115
0.248	0.262	-0.014
0.671	0.554	0.117
0.147	0.374	-0.227
1.0	0.978	0.022
0.994	1.0	-0.006
0.991	0.967	0.024
0.982	0.98	0.002
0.95	0.937	0.013
0.156	0.137	0.019
0.943	0.977	-0.034
0.2	0.174	0.026
0.015	0.047	-0.032
0.028	0.041	-0.013
1.0	0.982	0.018
0.987	0.972	0.015
1.0	0.999	0.001
0.001	0.001	0.0
1.0	1.0	0.0
1.0	1.0	0.0
0.05	0.17	-0.12
0.078	0.0	0.078
0.557	0.388	0.169
0.226	0.126	0.1
0.988	1.0	-0.012
0.968	1.0	-0.032
0.057	0.062	-0.005
0.98	0.961	0.019
0.998	0.997	0.001
0.991	0.954	0.037
0.003	0.0	0.003
0.007	0.012	-0.005
