ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	69	360	41	160	176	203	0.280714508241	0.38106041842669686	0.181	0.228	-0.047
11	1419	1463	2489	1900	279	262	0.0443943372333	0.07981858577904967	0.477	0.552	-0.075
12	29	1	145	0	293	230	0.281163299093	0.3811768418949645	0.958	1.0	-0.042
14	135	26	372	0	245	294	8.99169627644e-13	4.720640545131e-11	0.862	1.0	-0.138
16	85	52	300	129	298	217	0.16058326245	0.23927526582042555	0.543	0.629	-0.086
17	9449	7917	3051	1360	246	219	1.5285621909e-05	9.668616267740964e-05	0.515	0.666	-0.151
31	38	2	58	0	210	264	0.928715016343	0.9752745837628499	0.96	1.0	-0.04
39	2	0	7	9	216	216	0.00144270030639	0.0044751412753604135	1.0	0.438	0.562
41	329	290	333	356	233	245	0.282644596718	0.38228178947211844	0.544	0.496	0.048
42	55	28	109	76	298	220	0.297506881698	0.39819276709101337	0.592	0.514	0.078
43	4	149	0	294	262	259	0.346544420153	0.45033618955525995	0.026	0.0	0.026
44	34	44	0	23	230	198	2.81574102368e-07	3.417951531634682e-06	0.399	0.0	0.399
46	268	557	769	965	228	220	0.00242566030359	0.006968381173103967	0.317	0.435	-0.118
47	279	686	759	1339	228	235	0.0429926590224	0.0776307686560963	0.295	0.369	-0.074
48	340	676	1202	1349	220	235	0.000378372296275	0.0014316789588783784	0.349	0.488	-0.139
50	63	1	167	0	298	241	0.451833391536	0.5584995726134196	0.981	1.0	-0.019
51	6	33	0	130	216	298	5.46975162655e-05	0.00027479613434820574	0.201	0.0	0.201
52	8	17	41	50	298	289	0.217205065521	0.30840517044462473	0.313	0.443	-0.13
54	2	53	80	240	197	298	2.497933058e-05	0.00014571276171666665	0.054	0.335	-0.281
55	0	86	5	296	298	220	0.728262059167	0.8080111447795563	0.0	0.012	-0.012
62	10	22	21	14	298	296	0.0180165528706	0.037423106852878335	0.311	0.598	-0.287
64	9	10	0	21	298	298	5.41000742416e-06	4.101449671745848e-05	0.474	0.0	0.474
66	0	55	7	23	298	298	5.40599301507e-05	0.0002735562730517349	0.0	0.233	-0.233
67	31	55	42	23	258	298	0.00104721308655	0.003425463367219626	0.394	0.678	-0.284
68	78	142	176	344	298	298	0.759510606452	0.8346270400571427	0.355	0.338	0.017
69	7	142	0	344	298	298	0.00592740060933	0.014941081674208632	0.047	0.0	0.047
70	87	9	125	0	228	220	0.000240865706574	0.000968999968975862	0.903	1.0	-0.097
71	5	40	12	97	223	247	0.965044620901	1.0	0.122	0.121	0.001
74	50	5	208	77	234	240	0.00174888213059	0.0052996428199696965	0.911	0.735	0.176
75	4	13	3	109	203	298	0.00785839283955	0.018731696893365492	0.311	0.039	0.272
76	82	81	231	25	239	294	2.99760216649e-15	3.1474822748145003e-13	0.555	0.919	-0.364
77	95	81	216	25	244	294	8.28115354068e-13	4.459082675750769e-11	0.586	0.912	-0.326
86	12	0	61	1	270	298	0.634291508148	0.7270808772438865	1.0	0.985	0.015
87	2	5	9	8	269	298	0.188159960619	0.274399942569375	0.307	0.555	-0.248
88	8	51	243	273	264	281	1.1082614757e-06	1.0824879530093023e-05	0.143	0.487	-0.344
89	101	307	90	223	219	298	0.355970962087	0.46059089364306843	0.309	0.354	-0.045
92	25	2	87	98	298	284	1.16586506682e-06	1.1282565162774193e-05	0.923	0.458	0.465
93	22	6	92	120	272	298	0.000426763252764	0.0015939893594760213	0.801	0.457	0.344
100	23936	15985	28600	13664	272	298	0.018639052585	0.038299423119863014	0.621	0.696	-0.075
102	2465	1150	765	252	298	212	0.0319498956753	0.06028282202886792	0.604	0.684	-0.08
105	3	0	0	6	298	251	8.44537857314e-07	8.631474182161165e-06	1.0	0.0	1.0
106	80	137	135	481	210	298	0.00101307251974	0.0033397995156263737	0.453	0.285	0.168
107	6	24295	9	32717	222	215	1	1.0	0.0	0.0	0.0
108	17	83	20	47	234	298	0.0660234586561	0.11217577927007283	0.207	0.351	-0.144
109	311	250	492	235	298	211	0.00436476924286	0.011471859086365456	0.468	0.597	-0.129
112	2	2	116	114	298	298	0.976042952009	1.0	0.5	0.504	-0.004
113	0	26	51	20	298	274	3.9901415505e-13	2.3275825711250002e-11	0.0	0.701	-0.701
114	9	181	20	2536	242	252	0.00103667403529	0.003401586678295313	0.049	0.008	0.041
115	1	5	0	10	298	254	0.237200428517	0.3323021346802535	0.146	0.0	0.146
121	88	163	16	30	271	287	0.940243500138	0.9843027668443668	0.364	0.361	0.003
122	88	13	16	0	271	298	0.00526239031181	0.013526339846757652	0.882	1.0	-0.118
123	55	76	15	21	287	237	0.949203707669	0.9912122258104923	0.374	0.371	0.003
128	294	8	135	0	298	242	0.0448468882981	0.0805632723917964	0.968	1.0	-0.032
135	145	183	310	595	237	236	0.0303235152951	0.0576919523001991	0.441	0.342	0.099
136	2	0	31	39	223	298	0.00190077797845	0.005669934310717329	1.0	0.515	0.485
137	244	22	614	177	298	298	5.56800353502e-06	4.176002651265e-05	0.917	0.776	0.141
138	249	22	632	177	275	298	6.35456179376e-06	4.715399210917315e-05	0.925	0.795	0.13
139	680	4	1507	0	275	258	1	1.0	0.994	1.0	-0.006
140	1420	2328	2972	2070	298	278	7.54481332965e-09	1.377748521066522e-07	0.363	0.573	-0.21
141	41	71	108	39	181	208	1.16933553618e-07	1.6049703437764706e-06	0.399	0.761	-0.362
142	201	212	743	713	199	232	0.602493037553	0.6986390827505797	0.525	0.549	-0.024
143	400	248	1331	877	199	199	0.714974464593	0.7973692913676579	0.617	0.603	0.014
144	130	256	280	872	246	199	0.0171540900508	0.035880068831354583	0.291	0.206	0.085
150	46	67	61	85	210	298	0.878878490905	0.9340307848686741	0.493	0.505	-0.012
151	83	46	155	18	238	210	1.34382391093e-06	1.2711847806094594e-05	0.614	0.884	-0.27
152	83	46	142	18	218	210	5.47141820983e-06	4.118361295721505e-05	0.635	0.884	-0.249
154	379	947	43	142	298	298	0.20579637331	0.2954014927894737	0.286	0.232	0.054
155	22	934	121	127	298	298	0	0.0	0.023	0.488	-0.465
156	12	31	12	105	237	262	0.0125413183869	0.027491407737463468	0.3	0.112	0.188
157	233	580	469	716	209	298	0.00433360641083	0.011418536339702632	0.364	0.483	-0.119
158	1	10	306	301	200	197	0.00121674417935	0.0038755686477454547	0.09	0.5	-0.41
159	1	0	306	145	200	260	0.0096285602771	0.02213645974128118	1.0	0.733	0.267
161	0	1	28	117	203	209	0.0148240066855	0.03170103262683299	0.0	0.198	-0.198
162	0	1	148	117	185	209	0.00463226457067	0.012099198505481341	0.0	0.588	-0.588
163	0	2	23	66	185	209	0.00741514274911	0.017898620428886205	0.0	0.282	-0.282
164	1	2	586	66	200	209	0.0552606775773	0.09686763181329716	0.343	0.903	-0.56
170	1	0	586	23	200	185	0.0984522462018	0.15782421146853434	1.0	0.959	0.041
171	2	0	364	7	200	185	0.356623959728	0.4608678864177231	1.0	0.98	0.02
172	1	0	329	55	200	185	0.0200141033615	0.04068694778233301	1.0	0.847	0.153
174	202	37621	0	107	298	209	1	1.0	0.004	0.0	0.004
175	19	1006	0	38	298	182	0.807875773395	0.8754071847933437	0.011	0.0	0.011
176	1322	1019	49	38	214	182	0.989639121072	1.0	0.525	0.523	0.002
177	426	1006	77	38	214	182	1.45886858149e-10	4.314963410040845e-09	0.265	0.633	-0.368
179	8	73	23	25	210	298	2.47590922353e-06	2.1135810444768292e-05	0.135	0.566	-0.431
180	88	46	356	291	272	298	0.0598726157682	0.10339463586894825	0.677	0.573	0.104
181	19	35	6	0	253	246	2.52590103097e-05	0.00014653017030488952	0.345	1.0	-0.655
191	2	1611	0	1168	298	221	1	1.0	0.001	0.0	0.001
192	3048	1611	3157	1168	228	221	0.0165391516696	0.03473221850616	0.647	0.724	-0.077
193	3048	6	3157	6	228	241	1	1.0	0.998	0.998	0.0
194	33	41	116	57	298	253	0.00303042045642	0.008400786821240106	0.406	0.633	-0.227
195	8	2151	0	1884	238	298	1	1.0	0.005	0.0	0.005
196	27	33	82	87	298	298	0.656238321366	0.7478056562684381	0.45	0.485	-0.035
197	0	19	18	162	239	263	0.00607813138225	0.015213439693355186	0.0	0.109	-0.109
198	33	15	27	36	202	298	0.00819792145706	0.019423780218263513	0.764	0.525	0.239
199	33	4	27	64	202	291	3.85730447583e-10	1.0253594176256963e-08	0.922	0.378	0.544
200	12	0	0	6	247	280	3.63939633985e-09	7.42012845988835e-08	1.0	0.0	1.0
201	4	45	13	146	191	202	0.95246347713	0.993134708030288	0.086	0.086	0.0
202	29	4	27	13	202	298	0.0291261744664	0.05590947566676417	0.914	0.754	0.16
203	29	4	27	13	202	291	0.029097674342	0.05590947566676417	0.913	0.749	0.164
204	191	441	371	472	202	240	0.00087150647994	0.0029189212246794258	0.34	0.483	-0.143
205	4	262	7	320	191	202	0.500530965191	0.6054810062794355	0.016	0.023	-0.007
207	11	3	17	69	298	298	1.65767672282e-05	0.00010268793858176991	0.786	0.198	0.588
210	20	24	5	56	274	185	1.02798517205e-05	7.10121335955592e-05	0.36	0.057	0.303
212	24	54	131	205	272	298	0.210411420551	0.30058774364428575	0.327	0.412	-0.085
213	131	15	890	390	288	288	1.44189983364e-06	1.3280656362473683e-05	0.897	0.695	0.202
215	0	1	4	24	248	212	0.0299096496045	0.05704837799223433	0.0	0.125	-0.125
216	0	2	4	28	248	298	0.0202163571826	0.04105836565131528	0.0	0.147	-0.147
217	166	327	96	307	298	298	0.0180923866141	0.03750642832143139	0.337	0.238	0.099
218	2	1431	0	1312	199	298	1	1.0	0.002	0.0	0.002
219	12	377	13	254	266	298	0.28442248821	0.3838606846021851	0.034	0.054	-0.02
220	12	492	13	323	266	298	0.256552950225	0.353749964197308	0.027	0.043	-0.016
221	12	351	13	228	266	289	0.249377990807	0.3468170733077483	0.036	0.058	-0.022
222	380	712	187	122	256	298	4.22839729897e-08	6.676416787847368e-07	0.383	0.641	-0.258
223	1575	1633	26	46	298	265	0.0521405631351	0.09193550174954661	0.462	0.334	0.128
225	16	34	83	125	200	232	0.311433158669	0.41393014759803803	0.353	0.435	-0.082
231	5	9	34	16	236	298	0.0312468572997	0.05913614752603961	0.412	0.729	-0.317
232	26	13	35	27	280	261	0.307630220628	0.4095139425268061	0.651	0.547	0.104
233	8	13	0	27	276	261	1.63124336023e-05	0.00010143642542778105	0.368	0.0	0.368
235	326	311	138	69	242	224	0.00281113327048	0.007871173157344	0.492	0.649	-0.157
237	482	1153	1	1	298	268	0.769943118254	0.8434431655364631	0.273	0.473	-0.2
238	502	1153	0	1	298	268	0.00952951748979	0.02201538694010891	0.281	0.0	0.281
240	1088	1834	0	1	256	218	0.00759674057188	0.01825303798735469	0.336	0.0	0.336
241	107	431	294	277	240	298	6.48370246381e-14	5.2368366053850005e-12	0.236	0.569	-0.333
244	71	229	82	90	265	298	1.19880762713e-05	8.043118265089457e-05	0.259	0.506	-0.247
246	0	3	8	27	259	247	0.00794805396295	0.018923938007023806	0.0	0.22	-0.22
247	0	3	12	23	191	298	0.00278714085865	0.007814413622383177	0.0	0.449	-0.449
251	261	3	366	20	245	230	0.00207310731443	0.006114501910537922	0.988	0.945	0.043
252	20	20	49	14	175	245	0.00511449801363	0.013162311064488971	0.583	0.831	-0.248
259	17	0	223	17	236	298	0.0257956896832	0.050721861736629216	1.0	0.943	0.057
260	17	15	223	483	236	298	0.021580712609	0.04336282429520077	0.589	0.368	0.221
261	0	15	17	483	298	298	0.0884174112482	0.14341940043113513	0.0	0.034	-0.034
262	0	38	26	1009	298	298	0.101651426632	0.16245661790502283	0.0	0.025	-0.025
266	6	86	0	75	263	298	0.0089359948176	0.02094373785375	0.073	0.0	0.073
267	6	86	0	75	267	298	0.00920102539129	0.021397733468116277	0.072	0.0	0.072
270	6	79	0	72	263	298	0.00723555058162	0.017571584016678986	0.079	0.0	0.079
271	6	79	0	72	267	298	0.00745138488732	0.01796545150788978	0.078	0.0	0.078
273	6	62	0	26	263	295	0.00930638497684	0.021571091005920532	0.098	0.0	0.098
274	6	62	0	26	267	295	0.00961688980161	0.02213645974128118	0.097	0.0	0.097
277	333	222	2632	1477	298	298	0.313144831403	0.41541639036405553	0.6	0.641	-0.041
278	149	197	983	868	245	298	0.028317767947	0.05470773936402944	0.479	0.579	-0.1
279	636	707	1721	1283	245	225	0.0104485516714	0.023618900441270185	0.452	0.552	-0.1
280	31	1035	67	2414	260	279	0.836691937739	0.9000092960846469	0.031	0.029	0.002
281	31	313	67	815	260	298	0.531891173162	0.6317711898417421	0.102	0.086	0.016
286	30	87	185	364	292	278	0.130087370281	0.2001344158169231	0.247	0.326	-0.079
289	11	8	55	67	240	291	0.281718994447	0.38168379892819354	0.625	0.499	0.126
293	2819	91	1363	39	235	298	0.586706691214	0.6837314381517202	0.975	0.978	-0.003
302	6	32	62	31	298	298	1.15883464491e-07	1.6010215488888158e-06	0.158	0.667	-0.509
303	172	426	601	760	285	295	0.000126626063286	0.0005681938737192307	0.295	0.45	-0.155
306	115	103	248	81	279	235	1.36068311507e-05	8.957475052184954e-05	0.485	0.721	-0.236
308	9	0	53	8	180	298	0.0188161523052	0.038587812344648434	1.0	0.916	0.084
310	165	175	664	674	263	272	0.814988154722	0.8808415465343283	0.494	0.505	-0.011
311	61	82	137	66	262	234	9.26933944975e-05	0.0004403984806442308	0.399	0.65	-0.251
312	40	162	36	117	298	298	0.462197528783	0.5686085591355009	0.198	0.235	-0.037
313	301	275	910	638	298	298	0.124542082469	0.19287490647853983	0.523	0.588	-0.065
314	0	2	36	27	195	230	0.00179253362947	0.0054007469467532284	0.0	0.611	-0.611
315	2	10	147	24	273	195	2.49007538367e-07	3.075975473945294e-06	0.125	0.814	-0.689
316	14	14	103	43	232	232	0.0521183690643	0.09193550174954661	0.5	0.705	-0.205
328	59	102	211	226	218	298	0.0410965529185	0.07491559125768228	0.442	0.561	-0.119
338	10	22	4	56	248	246	0.00230105435497	0.006637656793182692	0.311	0.066	0.245
342	42	85	139	218	225	289	0.314216459254	0.4163120280336909	0.388	0.45	-0.062
350	0	7	12	31	203	203	0.00183266532049	0.005497995961469999	0.0	0.279	-0.279
358	40	16	168	31	298	257	0.0537162010457	0.09455492220953059	0.683	0.824	-0.141
361	69	200	102	123	219	246	0.000216121694967	0.0008829874697095331	0.279	0.482	-0.203
362	106	264	157	220	246	291	0.00586614138282	0.014842044462556625	0.322	0.458	-0.136
363	27	70	231	168	298	277	3.54058310603e-06	2.8930834718533076e-05	0.264	0.561	-0.297
366	55	54	263	188	277	298	0.219003499643	0.3103288456479757	0.523	0.601	-0.078
367	55	54	263	188	277	267	0.216725287939	0.30814021981848344	0.495	0.574	-0.079
368	55	56	263	203	277	250	0.274583858172	0.37394688856108943	0.47	0.539	-0.069
370	0	12	20	0	239	218	2.47357689886e-13	1.623284839876875e-11	0.0	1.0	-1.0
378	1	7	59	202	182	254	0.254597799696	0.3517652122466447	0.166	0.29	-0.124
379	1983	3981	2093	3351	254	271	0.123671715833	0.19166834188140222	0.347	0.4	-0.053
385	2	0	119	52	288	253	0.005812144069	0.014723163504101328	1.0	0.668	0.332
386	34	800	34	476	298	273	0.0746331968821	0.12467171374662162	0.037	0.061	-0.024
387	431	800	619	476	298	273	9.01592309699e-08	1.333340739695704e-06	0.33	0.544	-0.214
388	19	800	2	476	298	273	0.0258415323852	0.05073247243923364	0.021	0.004	0.017
389	28	16	53	73	298	298	0.0190929547404	0.03911727312667317	0.636	0.421	0.215
390	51	108	121	111	271	284	0.000940465672196	0.003120028296384834	0.331	0.533	-0.202
392	0	5	4	69	298	271	0.131606646363	0.20202774660986844	0.0	0.05	-0.05
393	2	90	34	278	298	244	0.00132830441736	0.004169565435659193	0.018	0.091	-0.073
394	21	86	139	467	244	298	0.449314934038	0.5563451423819575	0.23	0.267	-0.037
395	21	15	139	14	244	187	2.45750593018e-05	0.0001437538287849025	0.518	0.884	-0.366
398	44	137	138	139	213	268	5.12095739513e-06	3.924821361231022e-05	0.288	0.555	-0.267
399	14193	39019	36	29	298	298	2.18263345849e-05	0.00013027131647607955	0.267	0.554	-0.287
400	19	0	59	164	298	298	1.85473858494e-12	8.655446729719999e-11	1.0	0.265	0.735
401	0	1	67	76	218	230	0.00545801409449	0.01392688894098299	0.0	0.482	-0.482
402	54	100	755	515	206	172	7.77007139219e-06	5.626603421930689e-05	0.311	0.55	-0.239
403	88	115	825	862	212	206	0.272796533476	0.37296401061171874	0.426	0.482	-0.056
404	66	107	551	1205	203	212	0.178026047363	0.2619864747458304	0.392	0.323	0.069
409	31	28	18	108	290	298	4.80247080326e-07	5.22548636624145e-06	0.532	0.146	0.386
410	19	45	28	29	298	290	0.0365674322568	0.06759824624936621	0.291	0.484	-0.193
