IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
25	60	73	101	298	149
399	86	197	29	298	149
7	141	26	359	298	149
89	169	127	238	298	149
19	197	51	326	298	149
17	20	20	28	273	149
29	158	27	274	298	149
65	62	79	161	298	149
1	29	0	48	298	149
124	44	616	86	298	149
18	253	7	272	217	149
11	313	23	191	217	149
14	5	23	67	298	149
50	215	114	126	220	149
23	98	127	97	298	149
234	0	379	9	298	149
216	2	391	7	298	149
239	0	399	11	298	149
109	333	270	365	228	149
0	11	33	0	298	149
233	320	116	220	298	149
11	64	28	43	298	149
126	178	175	279	298	149
4	98	10	300	298	149
246	73	1304	340	298	149
0	18	22	0	298	149
3	3	25	20	298	149
2	33	30	165	225	149
47	28	199	89	298	149
190	103	746	337	298	149
0	2	7	0	298	149
6	1	13	156	298	149
26	82	48	82	236	149
0	2	13	13	298	149
6	259	47	1571	298	149
2	99	0	150	264	149
9	262	2	225	235	149
0	2	6	0	298	149
4	10	12	16	298	149
61	30	314	148	298	149
61	43	319	211	298	149
201	70	310	68	298	149
407	69	616	22	298	149
1	2	31	0	298	149
33	19	38	23	298	149
9	28	0	53	298	149
66	4	67	0	267	149
5	412	18	453	230	149
25	16	17	0	298	149
25	80	4	41	269	149
101	56	28	28	284	149
138	79	39	22	298	149
24	36	63	58	298	149
4	28	0	111	298	149
4	2	30	6	261	149
2	3	1	41	298	149
15	0	16	13	298	149
3	31	2	42	298	149
4	0	12	69	298	149
130	6	158	0	298	149
1	10	14	79	298	149
77	28	0	1	298	149
0	41	7	128	298	149
58	215	189	259	278	149
33	249	133	264	233	149
16	397	88	381	239	149
245	268	333	227	298	149
479	9	557	5	298	149
7	71	7	124	298	149
6	29	150	63	298	149
45	1833	34	1501	278	149
21	0	98	38	298	149
1	18	0	4	298	149
1871	2	2635	0	298	149
637	19789	680	26836	298	149
23	24	31	52	298	149
4	48	93	499	237	149
247	846	383	687	239	149
508	1004	775	634	298	149
15	348	19	435	253	149
77	464	57	377	235	149
1	2	48	29	256	149
23	0	4	16	298	149
3	0	566	7	298	149
10	83	8	176	227	149
2	118	90	120	298	149
42	166	155	644	265	149
7	14	22	38	298	149
0	537	1	357	272	149
8	651	20	381	287	149
36	387	45	530	298	149
200	478	267	659	298	149
201	41374	267	60342	298	149
109	14	179	15	290	149
190	0	260	9	298	149
121	39985	151	57053	298	149
1311	17	1486	16	298	149
563	44545	672	51538	298	149
1022	29768	1129	28903	298	149
187	4	314	0	298	149
157	33443	263	31258	298	149
130	448	188	458	241	149
57	693	0	154	298	149
21	143	31	433	298	149
121	12066	181	8628	298	149
7	3	68	70	298	149
6	7	57	5	298	149
6	211	0	57	298	149
4	2	28	0	258	149
58	145	103	253	298	149
5	72	37	129	298	149
55	0	147	3	298	149
0	12	24	149	298	149
39	316	16	182	287	149
3	2	12	0	234	149
71	5	149	19	281	149
12	77	212	334	298	149
10	5	255	23	298	149
8	4	196	7	298	149
8	4	190	31	298	149
17	161	13	130	255	149
47	612	99	705	298	149
13	6	95	0	298	149
15	1349	60	1900	285	149
122	620	263	696	288	149
16	984	44	826	298	149
100	14883	210	14721	252	149
215	16748	248	19284	244	149
506	14525	487	19619	298	149
10716	530	14163	510	298	149
5	105	3	145	242	149
73	325	190	1210	298	149
3	0	29	21	298	149
64	187	61	340	260	149
24	164	26	11	298	149
165	40	11	0	221	149
3	69	0	18	222	149
11	132	68	93	298	149
0	2	81	1787	240	149
60	235	80	246	224	149
2	193	39	499	225	149
4	49	55	1063	298	149
45	1211	132	1678	298	149
12	147	27	229	298	149
174	1839	384	5532	298	149
0	7	35	46	230	149
141	653	0	1	236	149
25	4	0	5	239	149
25	4	0	8	236	149
29	101	5	123	298	149
38	149	58	109	298	149
85	53	113	122	298	149
78	4	153	4	298	149
104	39	229	34	298	149
0	11	4	69	283	149
18	7	57	0	298	149
82	693	24	1170	285	149
95	8	55	12	298	149
128	859	82	1224	238	149
0	3	27	347	259	149
3	4	140	153	298	149
2	9	157	231	267	149
2	4	157	426	275	149
63	679	15	165	246	149
84	156	15	38	249	149
184	5075	6	163	298	149
594	2831	7	49	294	149
12	66	0	42	239	149
0	2	6	0	298	149
8	37	19	35	263	149
142	307	125	345	234	149
36	1095	69	1098	237	149
5	13	33	31	298	149
52	426	30	351	263	149
0	498	39	259	232	149
18	170	53	177	219	149
20	95	74	105	298	149
0	28	35	101	223	149
11	25	56	59	229	149
1	21	14	142	223	149
35	190	53	99	252	149
31	18	56	0	298	149
4	60	9	118	297	149
102	49	413	187	298	149
0	288	7	473	259	149
505	513	397	374	298	149
694	217	489	185	298	149
55	12	76	0	298	149
56	493	80	221	298	149
151	9939	72	13184	233	149
3440	0	2521	11	279	149
30	27	24	82	248	149
0	64	7	72	253	149
4	7	51	0	298	149
29	0	86	1	298	149
9886	0	18302	14	266	149
0	18	23	12	258	149
16	11	15	15	245	149
0	204	22	133	289	149
87	65	430	318	298	149
59	20	182	73	269	149
11	0	34	13	298	149
939	26	761	110	298	149
6	10	35	0	298	149
6	26	35	34	298	149
3	374	14	560	244	149
13	367	80	4250	298	149
199	434	44	7	298	149
5	32	2	70	298	149
42	349	77	272	229	149
22	398	0	189	298	149
16	136	0	238	236	149
5	0	26	12	298	149
11	146	41	140	246	149
47	152	34	81	298	149
1	110	0	132	242	149
5	0	0	50	245	149
109	71	190	92	238	149
118	0	225	8	249	149
2	40	0	29	217	149
43	71	33	103	298	149
4	429	0	127	298	149
0	4	13	122	238	149
25	122	101	428	298	149
