ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
4	179	0	223	35	298	149	7.61001039962e-10	2.791324876490706e-08
5	565	6	255	0	298	149	0.256843515088	0.37738147003152617
6	649	6	284	0	298	149	0.424156737139	0.5718334777822427
7	241	15	96	0	215	149	0.000951955196818	0.0036642495354487804
8	103	8	131	1	246	149	0.00186622982696	0.006273241530713032
9	243	2	1697	77	195	149	0.000624200417451	0.0025965334105288083
21	954	0	341	15	212	149	2.53987721088e-06	2.6597481211863122e-05
22	961	6	359	0	185	149	1	1.0
23	1133	5	331	0	176	149	1	1.0
24	1471	0	520	24	203	149	3.83937748261e-09	1.0989952893592492e-07
25	898	6	288	0	290	149	0.772603656572	0.9201113659598534
27	51	46	73	31	298	149	0.0191627788249	0.04152336139347842
28	19	14	18	74	298	149	0.000163324959461	0.0008694442486179717
30	9	5	6	7	284	149	0.31557370561	0.44680941962571835
31	5	24	6	70	284	149	0.252679938197	0.3722569872179305
34	2	33	0	39	209	149	0.875479716755	1.0
36	199	1	1440	19	298	149	0.108456168429	0.18051928636435596
39	72	70	206	433	258	149	0.00115958058565	0.004300491778276772
42	215	1	1026	6	298	149	0.753664167708	0.9024113826889643
43	490	1	2215	6	278	149	1	1.0
51	4	70	0	144	297	149	0.300469398787	0.4287041528717238
54	6198	7	24943	104	251	149	1	1.0
56	1	108	0	337	298	149	1	1.0
60	689	8	1843	0	235	149	0.302367109123	0.430855881912981
62	551	1	373	0	270	149	1	1.0
63	1286	84	584	8	270	149	2.73701851095e-06	2.8290260160063745e-05
64	157	756	233	318	298	149	1.38331568422e-11	8.532093523742643e-10
87	16	5	30	0	214	149	0.000375379100099	0.001716539380064359
91	24	1	233	7	298	149	0.593724408595	0.7504479533863613
92	16	1	53	7	248	149	0.272009742383	0.3951166959518674
97	0	18	16	62	298	149	0.00141859095747	0.005047017854525026
107	144	21	263	0	212	149	1.10968312317e-09	3.776002420700183e-08
111	0	4	8	0	266	149	1.31618785648e-07	2.2050668664261534e-06
112	0	2	8	0	266	149	1.29047344366e-06	1.5203963414673019e-05
118	15	120	53	211	298	149	0.0282060974913	0.057460254045974754
119	9	120	28	211	267	149	0.128051755157	0.20821519700041957
120	0	64	8	332	298	149	0.816202253222	0.9597149217459704
121	4	5	12	11	285	149	0.637355675098	0.7949433948527037
122	113	2	354	15	227	149	0.100435851372	0.16900232086987074
125	1	0	36	1	235	149	0.282110111969	0.4070493601925472
130	1	9	26	81	222	149	0.0956340835245	0.16212030649993767
132	81	0	68	4	298	149	0.0131015078795	0.03032000550471893
134	3	2	0	21	298	149	0.00111722758526	0.004183093853103566
135	3	2	9	21	271	149	0.283241977704	0.4083413388478397
137	30	0	119	22	238	149	0.000217354980824	0.0010967773612360788
138	27	5	145	0	245	149	8.78785242147e-05	0.0005201926694731341
139	0	13	30	84	243	149	0.000595748477576	0.002499678762475382
146	318	8	786	0	289	149	0.00279713704206	0.00867782455982806
148	4	1930	0	2411	201	149	1	1.0
149	1122	2	2121	0	298	149	1	1.0
150	6	1930	0	2411	245	149	1	1.0
152	3046	2	4517	0	262	149	1	1.0
153	1463	11	1900	0	262	149	0.665400098797	0.821405268493509
154	1419	11	2489	0	279	149	0.482255664058	0.6367613486164877
155	3003	1	5118	12	279	149	1	1.0
156	221	25	319	0	287	149	4.57457849379e-10	1.8057821848629328e-08
158	162	11	771	28	298	149	0.168638635606	0.2637834617177707
164	74	11	285	35	265	149	0.726321582923	0.8774286496354562
171	24	4	167	39	298	149	0.434783694973	0.5837300657307886
172	17	0	77	2	298	149	0.246851298184	0.36548876927664614
173	14	0	104	2	273	149	0.433534868004	0.5826195839773618
174	22	5	155	0	273	149	2.76321273878e-05	0.00019631409255562812
176	14	0	5	7	221	149	6.48979635731e-06	5.790878840022927e-05
177	32	0	66	7	230	149	0.00334139862984	0.010038727921833017
178	12	2	5	9	230	149	0.00259878531318	0.008183773986425223
179	14	0	52	7	273	149	0.00458070162039	0.012942282426954551
180	18	2	106	9	239	149	0.687902156974	0.8419113152500547
181	39	1	160	0	239	149	0.287165581914	0.41307833133794236
189	45	0	24	4	298	149	0.00180795937391	0.006120246662023985
190	26	0	0	24	294	149	0	0.0
192	135	0	372	24	245	149	9.26839462154e-05	0.0005436791641817995
194	131	7	469	0	217	149	0.000586749395082	0.0024674907596751966
195	156	0	645	5	298	149	0.881776087255	1.0
196	77	3	101	7	298	149	0.339888737914	0.47600041928164183
