IncLevel1	IncLevel2	IncLevelDifference
1.0	0.761	0.239
0.979	1.0	-0.021
0.982	1.0	-0.018
0.918	1.0	-0.082
0.886	0.988	-0.102
0.989	0.944	0.045
1.0	0.941	0.059
0.992	1.0	-0.008
0.995	1.0	-0.005
1.0	0.941	0.059
0.987	1.0	-0.013
0.357	0.541	-0.184
0.404	0.108	0.296
0.486	0.31	0.176
0.099	0.043	0.056
0.041	0.0	0.041
0.99	0.974	0.016
0.373	0.216	0.157
0.991	0.988	0.003
0.996	0.995	0.001
0.028	0.0	0.028
0.998	0.993	0.005
0.005	0.0	0.005
0.982	1.0	-0.018
0.997	1.0	-0.003
0.894	0.976	-0.082
0.094	0.268	-0.174
0.69	1.0	-0.31
0.923	0.943	-0.02
0.906	0.82	0.086
0.0	0.114	-0.114
0.828	1.0	-0.172
0.0	1.0	-1.0
0.0	1.0	-1.0
0.059	0.112	-0.053
0.04	0.069	-0.029
0.0	0.012	-0.012
0.295	0.363	-0.068
0.974	0.939	0.035
1.0	0.958	0.042
0.069	0.177	-0.108
1.0	0.895	0.105
0.429	0.0	0.429
0.452	0.191	0.261
1.0	0.772	0.228
0.767	1.0	-0.233
0.0	0.18	-0.18
0.953	1.0	-0.047
0.002	0.0	0.002
0.996	1.0	-0.004
0.002	0.0	0.002
0.999	1.0	-0.001
0.987	1.0	-0.013
0.986	1.0	-0.014
0.999	0.996	0.003
0.821	1.0	-0.179
0.88	0.932	-0.052
0.791	0.821	-0.03
0.75	0.682	0.068
1.0	0.951	0.049
1.0	0.966	0.034
0.706	1.0	-0.294
1.0	0.325	0.675
1.0	0.859	0.141
0.795	0.265	0.53
1.0	0.802	0.198
0.849	0.88	-0.031
0.96	1.0	-0.04
1.0	0.75	0.25
1.0	0.0	1.0
1.0	0.904	0.096
0.928	1.0	-0.072
1.0	0.985	0.015
0.928	0.878	0.05
1.0	0.547	0.453
0.509	1.0	-0.491
0.993	0.997	-0.004
0.998	0.984	0.014
0.997	0.968	0.029
1.0	1.0	0.0
1.0	0.0	1.0
0.866	0.872	-0.006
1.0	0.584	0.416
0.166	0.079	0.087
0.013	0.017	-0.004
0.79	1.0	-0.21
0.091	0.0	0.091
0.435	1.0	-0.565
