ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	0	4	0,2	2,2	180	149
10	5	19	2,0	0,0	298	149
13	8	2	90,122	237,234	298	149
14	0	2	22,36	237,234	199	149
15	0	140	3,1	34,40	254	149
17	7	403	8,2	192,264	298	149
19	5	84	0,1	36,26	153	149
21	43	7	36,27	7,2	166	149
22	7	0	100,59	11,18	158	149
23	2	0	14,19	11,18	201	149
24	2	7	8,14	94,54	192	149
57	2	8	1,0	6,5	204	149
60	0	4	0,2	8,4	159	149
62	0	8	2,0	8,2	267	149
67	2	418	3,2	163,115	220	149
75	3	12	5,1	10,3	298	149
76	10	0	9,3	4,0	153	149
79	1	40	10,2	17,5	298	149
80	1	40	10,2	17,5	298	149
85	0	2	2,0	0,0	196	149
88	42	4	31,13	0,0	298	149
89	20	2	12,7	0,1	204	149
90	13	16	3,1	15,6	154	149
91	2	2	2,2	2,1	154	149
111	0	15	2,1	16,17	160	149
112	15	2	1,0	0,0	205	149
114	2	0	0,4	2,0	211	149
120	59	2	69,24	0,0	298	149
122	2	9	2,3	18,26	184	149
123	2	0	8,11	2,0	298	149
141	0	1	0,2	2,5	298	149
143	8	0	19,15	2,0	243	149
147	9	3	2,8	2,6	298	149
148	0	2	1,2	1,0	153	149
149	2	0	0,6	0,2	201	149
163	85	8	88,95	0,2	159	149
164	2	8	0,0	0,2	298	149
165	1	84	0,0	88,95	298	149
174	14	1	0,10	0,0	298	149
182	56	4	108,63	1,0	298	149
184	4	21	0,3	21,2	232	149
194	60	29980	12,7	5104,4072	183	149
196	69	6	83,65	0,2	284	149
197	1	0	2,6	5,0	161	149
203	0	2	1,0	0,3	298	149
205	0	9	0,1	6,3	161	149
206	1	20	0,0	32,26	152	149
218	4	77	5,10	37,44	298	149
228	0	33	0,2	29,16	196	149
233	34	0	31,46	2,2	159	149
268	0	5	0,2	6,0	226	149
269	4	5	0,2	6,0	166	149
277	4	2	8,12	10,13	298	149
278	3	4	20,27	2,15	153	149
286	10	15	10,6	29,31	182	149
299	10	0	19,12	1,0	172	149
302	50	2	8,0	2,0	225	149
331	0	1	2,2	2,0	298	149
332	7	2	26,17	4,0	298	149
333	1	2	0,0	4,0	156	149
334	7	1	32,17	0,0	298	149
345	7	5	4,19	1,6	164	149
346	0	6	0,2	16,35	160	149
351	6	9	2,2	12,21	153	149
357	24	0	4,21	0,2	151	149
385	1	26	7,4	24,21	187	149
390	1	6	0,0	0,4	173	149
392	22	63	40,32	78,53	298	149
394	5	76	4,5	68,52	171	149
395	4	6	5,0	4,4	217	149
399	61	0	238,214	2,2	298	149
405	2	0	0,0	2,0	228	149
406	0	20	10,6	36,45	292	149
409	9	11	23,8	40,20	160	149
411	3	2	6,7	4,6	160	149
419	2	2	0,2	0,0	298	149
420	2	2	3,5	2,0	154	149
424	6	3	2,0	0,0	298	149
430	11	228	6,1	173,179	177	149
438	13	159	3,1	57,49	195	149
439	10	0	2,1	3,2	195	149
441	9	82	15,12	154,166	247	149
442	9	82	17,13	154,166	298	149
443	18	2	36,13	0,2	298	149
444	2	14	17,8	16,13	203	149
458	24	1	10,4	4,2	203	149
461	3	20	0,0	7,3	298	149
463	70	0	45,60	1,3	152	149
469	0	2	3,2	4,0	203	149
481	2	94	8,0	110,97	298	149
485	37	8	38,36	5,8	270	149
487	2	30	7,11	33,17	161	149
496	392	0	121,56	2,0	222	149
506	2	0	10,0	2,0	298	149
508	9	11	13,4	52,12	201	149
510	16	2	3,7	0,2	173	149
512	0	9	15,6	8,3	176	149
516	4	2	4,6	9,13	155	149
520	8	687	13,4	680,403	222	149
533	1	0	0,12	2,2	298	149
535	399	9	177,130	4,6	292	149
544	0	25	0,2	11,29	197	149
556	2	0	6,8	2,0	298	149
561	104	7	117,34	6,8	155	149
562	24	635	13,6	343,180	162	149
565	52	4	23,9	2,0	296	149
567	13	0	7,6	0,1	260	149
568	17	0	10,9	0,1	298	149
569	19	0	10,9	0,1	298	149
573	25	5	16,5	2,9	226	149
587	2	500	2,4	690,1182	202	149
592	0	51	2,0	56,88	298	149
594	0	51	2,0	56,88	298	149
617	1	0	0,2	0,2	197	149
633	2	120	2,0	55,33	153	149
634	106	2	36,21	0,0	298	149
636	0	24	1,0	14,15	298	149
639	0	2	0,2	0,0	298	149
640	0	2	0,2	0,0	298	149
642	4	0	10,2	2,0	259	149
643	4	4	10,2	0,0	263	149
644	0	4	2,0	0,0	153	149
645	0	27	2,4	32,55	185	149
653	12	4	13,5	0,0	211	149
654	43	115	31,18	70,38	165	149
656	57	0	22,37	1,0	298	149
659	3	2	26,14	4,3	298	149
660	3	0	26,18	2,0	298	149
665	7	7	5,1	6,10	161	149
669	4	0	6,6	0,1	298	149
675	7	2	14,6	6,0	252	149
676	2	7	0,0	14,6	298	149
685	3	22	2,2	4,8	199	149
686	25	2	12,25	0,0	284	149
704	2	5	1,0	8,8	175	149
705	97	0	16,66	0,1	298	149
706	4	95	0,0	14,63	153	149
712	4	2	4,14	0,0	191	149
723	1	2	18,8	0,0	298	149
724	1	47	18,10	91,90	298	149
735	8	0	20,6	2,2	153	149
742	0	9	0,1	9,16	192	149
744	3	33	7,0	14,54	188	149
745	3	0	12,8	2,0	176	149
746	18	0	53,30	3,6	176	149
757	20	4	31,90	0,2	298	149
766	0	5	0,1	2,0	298	149
770	5	14	26,8	17,13	298	149
771	38	0	51,31	0,2	284	149
774	26	0	11,2	2,0	298	149
781	3	9	12,12	6,10	298	149
785	6	22	16,4	19,6	242	149
794	63	17	132,96	11,6	158	149
798	6	54	10,6	67,82	285	149
799	1	0	2,3	2,0	181	149
800	1	0	12,5	2,0	233	149
801	1	1	10,4	0,2	201	149
803	39	47	38,19	48,12	155	149
809	0	7	0,2	4,0	276	149
812	4	0	14,32	1,0	173	149
814	0	17	1,0	8,10	154	149
817	152	7	89,37	0,0	229	149
823	2	25	2,6	21,12	187	149
831	2	0	0,2	1,0	298	149
835	10	1	19,4	2,0	229	149
836	16	0	17,15	1,0	217	149
839	1	0	2,0	2,0	164	149
840	0	2	2,4	20,8	152	149
850	0	13	2,0	17,10	230	149
852	1	0	4,4	3,9	298	149
858	53	12	16,24	5,0	206	149
859	0	2	0,2	0,9	158	149
865	42	0	68,38	3,0	298	149
866	6	2	5,3	0,0	298	149
874	0	2	0,2	0,0	259	149
881	2	11	4,0	3,13	228	149
882	11	2	4,7	0,0	298	149
884	460	1	338,175	2,0	177	149
885	0	8	1,0	13,17	275	149
886	6	41	8,1	41,8	222	149
895	2	3	11,13	13,24	181	149
896	14	0	17,11	2,0	167	149
898	51	3	84,108	2,8	204	149
912	2	2	0,0	9,16	298	149
917	0	14	1,4	17,17	171	149
920	0	6	4,0	16,8	209	149
924	0	4	0,2	16,23	298	149
925	44	1	53,36	4,4	276	149
927	2	11	2,1	44,14	298	149
946	13	13	15,4	12,14	298	149
952	4	48	19,6	69,75	275	149
953	0	22	2,0	43,28	197	149
956	7	0	27,13	2,2	298	149
960	13	0	42,6	1,0	258	149
963	36	0	86,98	2,0	298	149
964	2	42	2,1	69,101	216	149
970	0	12	1,0	14,27	175	149
980	0	6	4,0	11,6	298	149
981	20	21	21,19	13,5	180	149
986	466	24	103,129	4,22	197	149
987	0	33	2,0	65,19	158	149
996	0	311	0,2	233,322	180	149
1007	61	0	153,81	2,0	153	149
1010	1396	0	772,900	0,2	298	149
1012	32	138	34,58	38,25	298	149
1014	9	0	68,88	0,2	178	149
1015	0	24	5,3	154,97	175	149
1024	0	2	2,2	1,1	194	149
1034	2	22	5,0	26,5	162	149
1043	4	0	51,21	3,2	170	149
1056	74	0	46,97	2,0	162	149
1058	0	7	1,2	16,17	166	149
1071	0	2	1,0	12,3	298	149
1072	0	7	2,0	25,11	298	149
1073	0	4	11,0	13,12	227	149
1076	25	0	117,86	0,4	212	149
1081	0	2	2,4	0,0	213	149
1082	0	23	4,0	37,24	153	149
1084	1	2	8,2	0,1	189	149
1085	1	0	1,0	2,2	159	149
1088	0	12	3,2	17,7	281	149
1092	85	2	229,141	0,0	259	149
1093	548	0	360,166	2,0	171	149
1097	0	13	3,8	7,20	185	149
1099	3	66	19,9	104,46	298	149
1100	63	0	161,76	0,1	298	149
1103	2	0	4,8	0,2	298	149
