ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
7	14	8	22,11	9,16	203	222
8	3	13	11,4	10,0	1104	295
9	0	13	2,0	10,0	271	295
11	22	7	9,4	2,0	245	294
18	3	20	4,0	21,0	209	221
23	15	9	6,0	2,2	198	210
24	2	30	0,0	39,19	247	825
26	62	2	31,0	4,4	210	337
27	54	22	23,2	2,0	210	264
28	2	6	0,0	4,0	185	264
29	2	7	0,0	6,4	185	337
30	2	8	0,0	6,4	185	354
31	2	42	0,0	14,0	185	264
33	2	0	0,4	2,0	183	228
38	22	1	15,4	2,2	275	298
44	2	48	6,0	36,32	216	301
45	2	5	4,4	8,1	337	289
47	262	180	102,94	89,56	229	211
55	2	4	0,2	0,2	428	296
56	0	14	0,3	2,0	313	428
57	10	0	4,17	0,3	305	313
58	25	0	4,9	2,8	275	305
59	15	2	16,11	0,0	337	451
65	1	186	0,0	85,47	203	374
66	26	1	18,9	0,0	297	508
67	20	1	7,11	0,0	297	187
68	26	1	18,9	0,0	297	187
72	18	14	49,8	29,10	241	249
74	4	1	1,4	1,2	269	494
77	1	0	3,2	6,0	347	262
78	26	26	34,19	41,22	320	284
79	32	35	32,42	31,20	272	320
80	22	13	20,13	9,3	284	239
81	22	20	20,13	25,9	284	305
82	18	38	6,4	17,15	184	248
83	5	12	3,1	15,5	196	243
96	18	4	75,21	4,6	456	254
97	24	4	23,30	4,3	260	254
98	3494	8973	0,4	7,23	244	327
99	4327	4397	0,3	0,7	276	244
100	7769	5643	3,37	0,11	358	276
101	2	0	0,2	1,1	242	344
104	5	4	0,6	12,15	249	221
106	4	1	2,0	0,0	242	242
107	63	1	16,37	0,0	437	242
108	63	4	16,37	2,0	437	242
116	1	0	0,0	4,2	223	452
117	23	42	25,29	32,39	1037	353
118	7	42	6,7	32,39	275	353
120	4	6	3,0	6,0	181	208
124	10	0	12,3	2,0	265	288
125	15	3	18,8	7,4	410	208
127	4	0	2,0	0,2	238	210
135	59	28	84,83	44,59	272	326
146	4	3	0,1	0,0	312	403
152	2	0	2,5	2,2	257	347
153	6	0	4,2	0,2	373	323
157	7	21	4,2	6,4	272	530
158	34	3	66,98	18,33	288	288
159	7	7	9,1	44,12	241	276
160	0	2	2,0	8,2	248	212
161	0	4	2,0	24,15	248	371
162	0	1	2,0	4,2	248	219
166	0	1	2,0	2,2	343	339
176	0	2	2,3	0,0	265	368
183	108	101	52,17	43,14	245	218
184	242	1	118,38	0,2	245	230
185	17	105	4,0	57,21	175	245
186	16	8	4,0	1,4	175	245
189	3	0	1,2	2,0	423	249
193	55	55	31,24	63,32	253	247
194	68	28	76,27	36,33	264	280
195	53	78	66,32	101,51	280	318
201	0	2	4,0	0,6	256	258
203	6	1	6,10	2,0	299	256
217	110	70	122,136	64,93	245	325
218	7	2	15,4	3,3	326	221
219	5	7	25,3	14,14	361	326
220	40	190	41,57	98,94	222	310
221	40	3	41,57	6,0	222	258
222	20	411	10,19	293,328	260	279
223	20	197	10,19	124,152	260	307
228	4	7	14,13	8,4	292	278
231	35	210	28,26	138,87	240	291
243	141	67	104,126	28,61	311	236
244	3	2	12,8	13,8	272	239
