ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	12	10	15,14	13,22	372	149
11	28	0	317,515	0,2	620	149
15	0	7	4,0	6,11	1730	149
16	14	45	21,20	62,35	469	149
17	10	2	21,7	0,2	273	149
18	33	1	29,14	0,0	989	149
20	2	2	8,4	0,0	1356	149
21	2	0	8,2	2,0	600	149
23	9	289	22,12	110,75	262	149
24	106	65	477,484	32,42	1121	149
25	47	17	101,151	13,27	363	149
57	20	6	28,24	6,4	2365	149
58	1	1	2,2	0,0	629	149
62	18	8	30,10	8,2	723	149
64	3568	243	10170,4541	83,90	4089	149
71	0	2	2,0	3,6	394	149
81	4	0	13,1	0,2	1560	149
85	6	1	21,11	0,0	785	149
87	1362	3	1694,1010	3,4	2924	149
88	1364	2	1697,1011	7,0	2927	149
89	22	2	35,36	0,0	448	149
90	9	1	8,15	0,0	467	149
91	4	0	15,16	4,0	395	149
96	7	1	50,43	2,0	823	149
97	42	2	112,44	0,0	2437	149
103	46	2	106,56	0,2	230	149
141	237	0	227,74	2,2	1221	149
142	2	14	4,8	13,14	1799	149
145	1	0	0,0	6,6	239	149
146	2	0	8,4	2,0	380	149
148	95	11	5,3	2,2	537	149
149	3	6	0,9	2,4	302	149
153	2	2	0,6	0,0	615	149
154	0	10	0,2	35,32	278	149
157	77	0	91,23	4,0	854	149
158	4	6	1,1	2,1	659	149
161	44	0	34,30	1,0	1385	149
196	3	2	10,14	0,2	1796	149
197	3	0	2,8	2,0	846	149
199	18	8	17,42	0,2	468	149
200	17	84	17,42	88,95	458	149
203	6	252	3,12	205,354	326	149
206	18	6	57,33	0,1	351	149
207	5	56	0,1	27,43	324	149
209	21	276	23,22	136,90	474	149
218	388	17	831,552	10,12	2058	149
221	0	30	9,23	27,40	1626	149
222	0	2	2,0	0,0	258	149
224	1	4	8,12	0,6	1200	149
226	0	4	2,2	5,10	299	149
240	1	24	0,0	11,15	255	149
241	2	14	5,4	4,4	358	149
246	3	51	6,5	55,53	288	149
247	5	112	2,6	118,119	356	149
250	2	60	4,2	50,58	252	149
251	0	39	3,3	13,25	244	149
252	121	5	210,300	1,0	1994	149
254	0	19	0,3	40,48	242	149
255	0	2	0,1	0,3	247	149
257	9	22	5,9	31,29	600	149
261	0	7	2,1	2,4	260	149
267	6	0	4,18	2,0	1423	149
278	2	7	8,2	5,4	403	149
279	1	0	0,0	0,2	298	149
285	2	1	0,0	2,0	326	149
286	0	7	2,12	3,2	353	149
292	4	14	0,0	14,11	285	149
293	0	31	1,1	39,36	238	149
303	3	38	0,0	0,4	478	149
310	2	0	5,0	4,2	234	149
318	4	1	0,4	0,0	448	149
330	0	2	0,2	3,7	297	149
340	2	6	16,13	3,19	1323	149
341	3	148	1,0	67,89	233	149
355	0	7	2,2	2,2	289	149
356	2	4	1,4	2,2	412	149
359	303	0	187,144	8,1	444	149
363	16	49	106,243	86,31	1096	149
365	1	17	2,0	2,0	243	149
366	33	83	25,37	7,25	1201	149
367	18	13	12,22	4,2	353	149
372	2	14	2,7	4,18	1507	149
394	23	0	14,28	3,0	728	149
396	35	6	32,29	12,16	812	149
397	13	7	31,12	15,12	594	149
399	0	10	6,4	23,19	235	149
400	0	4	4,8	5,8	324	149
404	1	10	0,0	3,2	223	149
406	4	56	3,9	25,18	240	149
413	0	8	2,2	4,8	377	149
415	12	1	22,16	0,0	987	149
417	0	5	4,8	4,3	469	149
426	2	13	2,0	2,2	398	149
427	0	8	6,4	0,1	505	149
437	2	22	1,0	5,4	877	149
460	5	0	12,23	0,2	1623	149
463	0	2	0,1	0,5	232	149
465	6	265	3,6	249,280	400	149
467	0	1	1,2	7,2	252	149
472	2	8	0,2	2,0	1275	149
474	0	12	0,1	16,26	244	149
480	42	16	72,102	6,8	1448	149
484	0	4	0,4	0,2	1329	149
492	0	2	2,0	4,0	587	149
512	8	2	2,10	2,2	667	149
513	4	0	2,10	2,0	753	149
514	0	49	10,28	69,76	246	149
516	12	1	17,12	0,0	1218	149
520	3	131	18,10	111,96	265	149
524	25	32	15,17	33,28	285	149
525	20	20	66,44	67,112	393	149
526	11	18	50,39	27,13	1623	149
527	4	0	10,6	0,2	385	149
532	4	51	9,6	110,126	223	149
533	7	29	8,13	47,50	488	149
535	12	0	20,32	2,2	1256	149
536	6	61	17,19	238,213	825	149
537	10	81	19,10	143,123	726	149
539	21	39	51,96	52,47	1980	149
540	23	54	84,56	79,57	825	149
543	2	15	3,4	22,38	347	149
547	3	0	14,12	3,4	765	149
550	0	4	1,0	5,5	264	149
553	2	0	0,4	1,0	606	149
554	2	0	0,4	2,4	667	149
556	3	0	36,33	0,1	2502	149
561	35	0	87,34	1,2	528	149
562	12	2	29,10	0,0	1187	149
564	38	0	47,36	0,2	1680	149
565	38	8	49,36	0,4	1754	149
566	4	10	0,10	2,2	234	149
567	11	8	2,5	11,11	254	149
568	38	2	51,35	2,4	1137	149
569	38	2	52,36	2,0	1142	149
576	163	145	311,206	68,54	1276	149
579	11	2	23,6	2,6	380	149
587	11	21	8,11	36,38	225	149
589	7	26	5,7	11,24	261	149
591	36	12	88,74	4,17	2339	149
608	29	0	49,78	4,0	264	149
609	66	8	84,114	5,8	385	149
610	4	8	0,4	5,4	385	149
612	5	94	20,16	48,62	255	149
614	1	0	2,0	2,0	510	149
620	1863	2291	892,713	219,205	5288	149
621	70	62	27,5	16,14	1262	149
624	21	36	44,28	24,13	2355	149
628	3	4	3,0	0,8	236	149
629	4	9	27,7	8,3	1840	149
630	4	0	25,5	13,4	1813	149
631	2	6	15,14	0,0	2362	149
634	1	1	2,4	0,0	247	149
635	4	2	2,10	0,0	427	149
640	20	10	11,2	10,5	452	149
642	1146	2	1018,471	0,2	2655	149
646	35	91	51,25	40,43	241	149
651	33	42	49,43	23,18	2306	149
652	7	10	2,4	21,13	464	149
653	14	1	28,18	0,0	838	149
654	2	3	0,0	4,0	249	149
655	83	12	123,54	16,12	1497	149
662	278	13	1133,673	17,34	1816	149
664	401	0	254,205	1,0	2651	149
665	136	0	102,95	0,1	1139	149
668	74	2	63,48	0,0	592	149
671	0	1	4,0	1,11	1747	149
672	55	76	111,36	195,66	503	149
673	1	0	0,2	2,2	521	149
674	1	8	0,2	11,11	513	149
682	3	128	0,0	2,20	224	149
